article_time,article_title,article_link,article_content
Updated: 06 Jul 2022,Why Bajaj Finance shares surged over 4.5% today?,https://www.livemint.com/market/stock-market-news/why-bajaj-finance-shares-surged-over-4-5-today-11657109170892.html,"Pune-headquartered NBFC major, Bajaj Finance witnessed a stellar buying sentiment on Wednesday's trading session. Bajaj Finance and its parent Bajaj Finserv were the biggest contributors to Sensex today. The investors' optimism in Bajaj shares come after Bajaj Finance announced its provisional data for the first quarter of FY23 ahead of its result. The stock skyrocketed as the company made strong growth in terms of new loans and customer franchises, meanwhile, also continued to maintain a robust liquidity position. Both Bajaj Finserv and Bajaj Finance were top gainers of Sensex with an upside of more than 4.5% each, followed by other heavyweights like HUL, Maruti Suzuki, Asian Paint, and Titan. Bajaj Finance's strong performance in the Q1FY23 sparked a bullish sentiment in its parent Bajaj Finserv as well during the day. On BSE, Bajaj Finance shares closed at ₹5,917.60 apiece up by ₹255.55 or 4.51%. The shares had touched an intraday high of ₹5,932.95 apiece during the trading hours. Due to its strong upside on BSE, Bajaj Finance outran ITC in becoming the 11th most valued company. Currently, Bajaj Finance's market cap is around ₹3,58,268.80 crore compared to ITC's market valuation of ₹3,56,388.56 crore. Up till June 5, ITC held the 11th most valued company title on BSE. However, that has changed with Bajaj Finance taking the 11th position as of now. As of June 30, 2022, Bajaj Finance's customer franchise surged to 60.3 million as compared to 50.5 million as of 30 June 2021. Also, the company recorded the highest ever quarterly increase in its customer franchise of 2.7 million in the first quarter of FY23. Further, the company booked new loans of 7.4 million in Q1FY23 against 4.6 million in the same quarter last year. Bajaj Finance's core assets under management (AUM) bettered at ₹204,000 crore as of June 2022 compared to ₹156,115 crore as of June 2021. This means in Q1FY23, the core AUM has jumped by 31% or by approximately ₹11,900 crore. Overall deposits book increased by 22% to ₹34,100 crore in Q1FY23 compared to ₹27,972 crore in Q1FY22. The company's liquidity position remains strong with a consolidated net liquidity surplus of ₹11,550 crore as of June 30, 2022. Meanwhile, the company also continued to remain well-capitalized with a capital adequacy ratio (CRAR) of approximately 26.2% as of 30 June 2022. During the quarter, Bajaj Finance invested ₹2,500 crore in equity shares of Bajaj Housing Finance, a wholly-owned subsidiary of the Company. On the share performance, Yash Gupta, Equity Research Analyst, Angel One said, ""Overall the Q1FY23 quarterly update seems to be very strong for Bajaj Finance and the company is back on its pre-covid growth momentum."" ""We expect bajaj finance to continue this growth momentum for the next couple of quarters. We have a neutral outlook on Bajaj Finance looking at the current valuations and comparing with peers group,"" Gupta added. In the annual report of Bajaj Finance for the financial year FY22 which was released on July 4, chairman Sanjiv Bajaj said that he expects Bajaj Housing Finance to become a truly significant presence in the housing finance market. Also, he expects Bajaj Financial Securities to grow impressively in the years to come. Both Bajaj Housing and Bajaj Financial Securities are wholly-owned subsidiaries of Bajaj Finance. The chairman is optimistic about Bajaj Finance's growth and its ability to delivery superior performance and greater shareholder value."
Updated: 06 Jul 2022,Four benefits you can enjoy with a Bajaj Finance Senior Citizen FD,https://www.livemint.com/brand-stories/four-benefits-you-can-enjoy-with-a-bajaj-finance-senior-citizen-fd-11657083561545.html,"As the Indian economy recovers, traditional investors now have the option to extract value from trusted instruments like the fixed deposit. The recent RBI repo rate hike is among the key factors, and it has led several top issuers to improve their offerings. One particularly smart option is the Bajaj Finance Fixed Deposit. Investors of all ages now enjoy some of the highest FD rates in the market, with special benefits for senior citizens. It is primarily because the senior citizen FD allows you to get an enhanced rate, thus ensuring higher returns. However, besides the FD rates, the Bajaj Finance Senior Citizen FD also has several other special benefits. These allow you to invest easily and ensure you enjoy a convenient experience without worrying about the returns. For a detailed breakdown of the features on offer, read on. Enhanced FD rates The FD rates you get dictate your total earnings. Higher rates lead to better earnings, so you must pick issuers accordingly. With a Bajaj Finance Fixed Deposit, you get some of the highest rates in the market, as regular investors can get interest rates up to 7.50% p.a. However, a special benefit ofthe senior citizen FD is that you get an additional 0.25% on the base rate offered. This notable increase can significantly increase your total earnings, especially if you invest over a lengthy tenor. To help you better understand the difference and how you stand to earn significantly more as a senior citizen investor, take a look at the following tables. Consider cumulative FD investments of Rs.3 lakh, Rs.5 lakh, and Rs.10 lakh; all booked at a common tenor of 44 months. Investors below 60 years: Senior citizen investor: Disclaimer: All results were computed using the Bajaj Finance FD calculator. Flexible investment options to ensure maximum convenience As a senior citizen investor, enjoying a convenient experience is crucial. This way, you don’t undertake any financial stress and can quickly achieve your financial goals. To ensure you enjoy such an experience, Bajaj Finance has several provisions. For one, you can start investing with Rs. 15,000. This way, you don’t have to accumulate a hefty sum to start investing and can start earning interest immediately. Another flexible feature is that you can opt for a tenor for up to 60 months. You can book your FD for anywhere between 12 and 60 months based on your goals and requirements. However, you must remember that a long-term senior citizen FD will fetch significantly greater returns than a short-term FD. It is mainly due to interest compounding, which causes you to earn generously the longer you stay invested. The easiest way to compare and understand the effects of compounding is to use the FD calculator. By increasing the tenor, you will notice that you can earn handsomely, even if you improve the duration by just one year. Multiple payout options to align with any investing goals Adding the convenience on offer, senior citizens can invest in a Bajaj Finance Senior Citizen FD and get interest payouts based on their requirements. You can choose either a non-cumulative or cumulative FD, based on which you get your interest earnings at maturity or periodically. If you choose the former, you can get monthly, quarterly, half-yearly, and annually interest payouts. For senior citizen investors, a non-cumulative FD can be a wise choice as it helps create a steady income stream. The earnings can quickly help you address monthly expenses, so long as you invest wisely. The interest rate offered to senior citizens for different payout options is mentioned below: Special interest rates are also offered for specific tenors: Do note that a non-cumulative FD will have lower FD rates as compared to a cumulative FD. You can check the difference and use the FD calculator to know exactly how your earnings get impacted. Simplified investing processes A vital benefit of the Bajaj Finance Senior Citizen FD is that you can invest online. You can complete the entire process in minutes, saving you from making a trip to a physical branch. Best of all, there’s no need to wait in queues whatsoever. Log on to the official website, fill out a simple form, upload the necessary documents, and book your FD through UPI or NetBanking. The process is quick, easy, and completely safe. Considering all these special benefits, the Bajaj Finance Senior Citizen FD is an intelligent choice. To enjoy all the features on offer, book your FD today and start earning generous returns on a safe and stable instrument. Disclaimer: This article is a paid publication and does not have journalistic/editorial involvement of Hindustan Times. Hindustan Times does not endorse/subscribe to the content(s) of the article/advertisement and/or view(s) expressed herein. Hindustan Times shall not in any manner, be responsible and/or liable in any manner whatsoever for all that is stated in the article and/or also with regard to the view(s), opinion(s), announcement(s), declaration(s), affirmation(s) etc., stated/featured in the same."
Updated: 01 Jul 2022,Consumer durable firms likely to raise prices due to GST rate hike,https://www.livemint.com/companies/news/consumer-durable-firms-likely-to-raise-prices-due-to-gst-rate-hike-these-two-stocks-top-picks-11656682041811.html,"From July 18, the GST rate on LED Lamps, lights, and fixtures will be at 18% from the current 12%. This GST hike on these items is likely to impact the earnings of consumer durable companies. To pass on the additional costs, firms are expected to raise prices on their products however demands will face the brunt. Among top picks are Havells India and Crompton Greaves Consumer Electricals in the sector. In their latest meeting, Finance Ministry said that ""all rate changes recommended by the 47th GST Council will be made effective from 18th July 2022."" Among many goods and services, the council has recommended hiking the GST rate on items like LED Lamps, lights, and fixtures, their metal printed circuits board - to 18% from 12%. Research analysts, Aniruddha Joshi, Manoj Menon, Karan Bhuwania, and Pranjal Garg at ICICI Securities in their report said, ""We believe any increase in taxes in a highly competitive segment like lighting may impact the industry profitability. Smaller/unorganised companies are likely to gain market shares. As most durable companies have raised prices by more than 20% in past 18 months, any further price hikes may impact volumes and /or may result in down-trading."" ""We believe most durable companies will be required to raise prices to pass on additional costs,"" analysts said. According to ICICI Securities analysts, the increase in the GST rate is likely to happen when inflation is already high. Most durable companies have raised prices by over 20% in the past 18 months. They said, ""We believe any further increase in prices may hurt demand or it may result in down-trading in the sector. We also believe the smaller/ unorganised sector will be able to gain some market share."" Talking about the impact on durable companies, the analysts said key companies that generate more than 20% revenue from lighting are Crompton, Bajaj Electricals, and Orient. Other companies such as Dixon and Havells also generate 12% and 10% of revenues from lighting, respectively. ""Any increase in taxes will have a 2-5% impact on earnings,"" they said. Further, the analysts added that considering the strong return ratios, healthy growth potential, and low penetration levels, ""we remain structurally positive on the white goods and durables sector."" Also, they said, ""We also expect the migration from unorganised to organised sector to steadily generate value."" ""Havells India and Crompton Greaves are our top picks,"" ICICI Securities analysts said. ICICI Securities have kept a buy recommendation on Havells for a target price of ₹1,644 apiece. While keeping a buy opinion on Crompton, the analysts have set a target of ₹504 apiece for the company. On Thursday, Havells stock closed at ₹1,110.30 apiece up by ₹10.60 or 0.96% on BSE. At the current market price, it has a market valuation of ₹69,561.19 crore. Meanwhile, Crompton finished at ₹349.85 apiece up by 2.78% on the same exchange. At the current market price, Crompton's market valuation stood at ₹22,168.05 crore. In a year, Havells stock has climbed by 12.29%, however, Crompton's stock has plunged by over 18.41%. On July 1st last year, Havells stock was around ₹988.9 apiece and Crompton around ₹428.8 apiece on BSE. Among the key risks, ICICI Securities analysts said a higher-than-expected rise in crude oil prices, any delay in price hikes to protect margins, and irrational competition."
Updated: 01 Jul 2022,Small savings schemes – an island in an ocean of rising rates,https://www.livemint.com/money/personal-finance/small-savings-schemes-an-oasis-in-an-ocean-of-rising-rates-11656664907535.html,"Expectations were high, and probably rightly so, that the Ministry of Finance would announce a hike in the small savings scheme (SSS) interest rates. With the central bank finally hiking repo rate to 4.9%, and yields on G-Sec or government securities also surging on inflation and other concerns, SSS rates too were expected to follow suit. But the rates on these schemes, which are reviewed every quarter, were left unchanged, once again, for the July-September, 2022 quarter. These rate revisions were announced on 30 June. Small savings schemes include many popular schemes such as the Post Office time deposits, the Public Provident Fund (PPF), the Senior Citizen Savings Scheme (SCSS) and the National Savings Certificate (NSC), among others. Deposit rates rising Ever since the Reserve Bank of India hiked the repo rate, many banks and NBFCs have undertaken deposit rate increases. Many of them have announced even more than one hike in the course of the last two months.  Data from BankBazaar shows that many public sector banks and private sector banks have hiked rates on less than one-year deposit rates by 10-75 bps and 20-100 bps, respectively between April 1 and June 24. Several public and private sector banks have hiked the rates for their 1- to 2-year deposits by 15-35 bps and 10-75 bps, respectively and for 2- to 3-year deposits, by 15-35 bps and 20-50 bps, respectively. NBFCs such as Bajaj Finance, Shriram Transport Finance and HDFC too have hiked their deposit rates in recent times. Bajaj Finance, for example, has hiked interest rates thrice since May. Impacted by rising inflation concerns, bond yields too have been heading northwards. The benchmark 10-year G-Sec yield has risen by over 100 bps to around 7.4% year-to-date. On the other hand, interest rates on the SSS have remained static since the last cut on 31 March 2020. The 1-,2- and 3-year Post Office time deposits offer 5.5% and the 5-year time deposits offer 6.7%. The SCSS, which comes with a five-year lock-in, offers 7.4%. As bank and NBFC deposit rates inch up further, the SSS may start looking less attractive on returns. These schemes may, though, still hold investor interest because of the tax benefits enjoyed by some of them (such as PPF and SCSS) and their high degree of safety given their sovereign backing. Then and now Small savings schemes have been an attractive investment option in the past when interest rates were declining. This was because, despite the rates on SSS becoming market-linked (linked to G-Sec yields of similar tenure) from April 2016, these were not pared despite the repo rate cuts by the RBI and the fall in G-sec yields during that period. Today, with the interest rate upcycle having begun, it is likely that the revision in SSS rates may not keep up pace with the rising rates. They may move up, but possibly, only with a lag."
Updated: 01 Jul 2022,"Bajaj Finance rate revision by up to 20 bps, new rates effective 1st July, 2022",https://www.livemint.com/brand-stories/bajaj-finance-rate-revision-by-up-to-20-bps-new-rates-effective-1st-july-2022-11656654383316.html,"New quarter surprise for all. Once again, Bajaj Finance has increased its FD rates by up to 20 bps. All deposits made on or after July 1, 2022, will be subject to the increased interest rate up to 7.75% p.a. All investor categories and tenors now receive higher FD interest rates, hastening the growth of an investor's capital. Given the turbulent market, the rate increase has made Bajaj Finance Fixed Deposit a profitable investment option for all investors. Revised interest rate: After the revision, the interest rates on deposits having a duration of 36 to 60 months have increased by 20 bps. The tenor which earlier yielded 7.20% p.a. returns for customers below 60 years of age, and 7.45% p.a. for senior citizens, will now earn an annual cumulative return of 7.40% and 7.65% p.a. for senior citizens. You may manage rising inflation and earn timely returns on your investment by making wise fixed deposit investments. The following are the updated interest rates for cumulative deposits. You can also opt for non-cumulative deposits and earn monthly, quarterly, half-yearly or yearly returns on your investment. Check the latest FD rates for non-cumulative deposits. Special FD interest rates: Bajaj Finance Fixed Deposits has also revised the special interest rates for all customers. With special interest rates, one can now choose a tenor of 44 months to enjoy interest rates up to 7.75% p.a. The special interest rate for senior citizens is 0.25% higher than the base rate for customers below 60 years of age. The rates for a cumulative deposit are as mentioned below: Multiple tenors The returns on your investment increase with length of investment. Additionally, you can earn better returns with high interest rates. Simply said, a high interest rate and a long tenor increase your earnings. The adjustable tenor of the Bajaj Finance FD ranges from 12 to 60 months. In order to get a higher interest rate, pick a tenor of at least 44 months. If a person invests Rs. 3 lakh in Bajaj Finance FD on or after 1st July, 2022. The interest rate and the total earnings are as mentioned below: All the results mentioned above were computed using the Bajaj Finance FD calculator. Regular monthly investment Although you must deposit at least Rs. 15,000 to open a normal Bajaj Finance FD, there is another option to gain from FDs. You can progressively increase your money by choosing the Systematic Deposit Plan and investing just Rs. 5,000 each month. As each deposit goes toward forming a new FD at the current rates, this plan enables you to take advantage of the benefit of locking in FD rates at the time of investment. The Bajaj Finance FD extends all these benefits in addition to the high FD rates to make sure you have a genuinely positive experience. Utilize the FD calculator, project your earnings, and Invest Online to get started right away and make the most of your money. About Bajaj Finance Limited  Bajaj Finance Limited, the lending arm of Bajaj Finserv Limited, is one of the most diversified NBFCs in the Indian market, catering to more than 50 million customers. Headquartered in Pune, the company’s product offering includes Consumer Durable Loans, Lifestyle Finance, Digital Product Finance, Personal Loans, Loan against Property, Small Business Loans, Wallet, Co-branded Credit Cards, Two-wheeler and Three-wheeler Loans, Commercial lending/SME Loans, Loan against Securities and Rural Finance which includes Gold Loans and Vehicle Refinancing Loans along with Fixed Deposits. Bajaj Finance Limited has the highest domestic credit rating of AAA/Stable for long term borrowing, A1+ for short-term borrowing, and FAAA/Stable & MAAA (Stable) for its’ FD program. It has a long-term issuer credit rating of BB+/Positive and a short-term rating of B by S&P Global ratings. To know more, visit https://www.bajajfinserv.in Disclaimer: This article is a paid publication and does not have journalistic/editorial involvement of Hindustan Times. Hindustan Times does not endorse/subscribe to the content(s) of the article/advertisement and/or view(s) expressed herein. Hindustan Times shall not in any manner, be responsible and/or liable in any manner whatsoever for all that is stated in the article and/or also with regard to the view(s), opinion(s), announcement(s), declaration(s), affirmation(s) etc., stated/featured in the same."
Updated: 30 Jun 2022,"Bajaj Finance hikes rates on deposits, yet again",https://www.livemint.com/money/personal-finance/bajaj-finance-hikes-rates-on-deposits-yet-again-11656609961166.html,"Bajaj Finance, a non-banking financial company (NBFC), has hiked interest rates on fixed deposits (FDs) across various tenures, with effect from 1 July. This is the third deposit rate hike by Bajaj Finance since May. With this, rates on its FDs across different tenures are up by 30-45 basis from that announced in May. The hike will apply to deposits, both new and those being renewed. Bajaj Finance’s deposits enjoy the highest credit rating of AAA/ Stable by CRISIL and AAA (Stable) by ICRA. Deposits with NBFCs are not covered under the Deposit Insurance and Credit Guarantee Corporation’s insurance cover of up to ₹5 lakh. However, a higher credit rating does offer some level of comfort. What’s on offer Bajaj Finance offers cumulative and non-cumulative FDs (the latter with monthly, quarterly, half-yearly and annual interest pay-outs) of the following tenures: 12-23 months, 24-35 months and 36-60 months. Apart from this, it also offers specific-tenure deposits such as 15-month, 18-month and 22-month deposits, that offer slightly higher rates than its similar-tenure deposits. For example, the 15-month cumulative FD offers 6.4%, versus 6.2% on the 12-23 months FD.   After the latest hike, among Bajaj Finance’s deposits, the 44-month cumulative and non-cumulative FD (with annual interest payout) offer the highest rate of 7.5%. Senior citizens will be offered a higher rate of 7.75% on these deposits. They get an additional 0.25% interest rate on all Bajaj Finance deposits. Another NBFC, Shriram Transport Finance (STFC), too, revised its deposits rates in May. Rates offered by STFC on deposits of certain tenures are higher than those offered by Bajaj Finance (see table). For cumulative deposits, while interest is compounded annually in the case of Bajaj Finance, it is compounded monthly in case of STFC. This makes the effective rate of return on STFC’s deposits even higher. However, STFC’ FDs are rated AA+ (Stable) by ICRA and AA+/ Stable by India Ratings and Research, a notch lower than the rating for Bajaj Finance’s deposits. Interest income from fixed deposits is taxed at your income tax slab rate. This makes them most suitable for only those in the lower tax brackets."
Updated: 30 Jun 2022,"Bajaj Finance hikes deposit rates, yet again",https://www.livemint.com/money/bajaj-finance-hikes-deposit-rates-yet-again-11656568302192.html,"NEW DELHI: With inflation concerns looming large, the Reserve Bank of India hiked repo rate by 90 basis points to 4.9% in a short span of around two months. This has set off a series of deposit rate hikes by banks and NBFCs (non-banking finance companies). The latest one to do so is Bajaj Finance. The NBFC has raised the rates that it offers on deposits of up to ₹5 crore, across different tenures, effective July 1. It had also raised interest rates in May. Following the latest hike, interest rates are up 30-45 basis points across deposits of varied tenures from May. Bajaj Finance FDs are rated AAA/Stable by CRISIL, and AAA (Stable) by ICRA. The interest rate on 12-23 months cumulative FD will go up from 5.75% to 6.2%. The rates on the non-cumulative FDs, too, have been raised – quarterly, half-yearly and annual interest pay-out options, for example, will now offer 6.06% (earlier 5.63%), 6.11% (earlier 5.67%) and 6.20% (earlier 5.75%), respectively. Likewise, the 15-month special cumulative FD rate has been raised to 6.4% from 6% and that on the non-cumulative FD with quarterly, half-yearly and annual interest pay-out options has been raised to 6.25% (earlier 5.87%), 6.3% (earlier 5.91%) and 6.4% (earlier 6%), respectively. Among Bajaj Finance’s cumulative FDs, the 44-month deposit offers the highest rate of 7.5%, up from the 7.2%. The 44-month non-cumulative FD with annual interest pay-out option also offers 7.5%, up from 7.2%. Senior citizens enjoy higher rates on all FDs. They can earn 6.45% on the 12–23-month cumulative FD. This is up from the 6% that is being offered currently. The 44-month cumulative special FD offers the highest rate of interest of 7.75%, up from the earlier 7.45%."
Updated: 30 Jun 2022,Two Bajaj shares turn ex-dividend today. Details here,https://www.livemint.com/market/stock-market-news/two-bajaj-shares-turn-ex-dividend-today-details-here-11656566187862.html,"Dividend paying stocks: Two Bajaj shares — Bajaj Auto and Bajaj Finance have turned ex-dividend stocks today. As per their exchange communications, both companies have fixed 1st July 2022 as record date for dividend payment. The board of directors of Bajaj Auto has approved a dividend of ₹140 per equity share for the financial year 2021-22 whereas Bajaj Finance has recommended a dividend of ₹20 per equity share for the financial year 2021-22. Informing about the record date for dividend payment, exchange communication of the Bajaj Auto Ltd says, ""In line with the Company's Dividend Distribution Policy, the Board of Directors has approved / recommended a dividend at the rate Rs. 140 per share (1400%) of face value of Rs. 10 each on equity shares for the financial year ended 31 March 2022. The said dividend, if declared by the shareholders at the ensuing Annual General Meeting, will be credited/dispatched on or around 30 July 2022."" ""The Dividend, if declared, shall be paid to the equity shareholders whose names appear on the Register of Members of the Company or in the records of the Depositories as beneficial owners of the shares as on Friday, 1 July 2022, which is the Record Date fixed for the purpose,"" Bajaj Auto Ltd exchange communication added. Informing Indian bourses about record date for dividend payment, Bajaj Finance Ltd said, ""In line with the Company's amended Dividend Distribution Policy, the Board of Directors has approved/recommended a dividend at the rate Rs. 2.0 per share (1000%) of face value of Rs. 2 each on equity shares for the financial year ended 31 March 2022. The said dividend, if declared, by the shareholders at the ensuing Annual General Meeting, will be credited/dispatched on 1 August 2022 and/or 2 August 2022."" ""The Dividend, if declared, shall be paid to the equity shareholders whose names appear on the Register of Members of the Company or in the records of the Depositories as beneficial owners of the shares as on Friday, 1 July 2022, which is the Record Date fixed for the purpose,"" Bajaj Finance exchange communication added. In Q4FY22 results, Bajaj Auto announced 10.30 per cent jump in year-on-year (YoY) net profit. The two wheeler and three wheeler company reported Q4FY22 net profit at ₹1,469 crore that stood at ₹1332 crore in Q4FY21. Its margins stood at 17.20 per cent in Q4FY22 whereas its EBIDTA in the quarter ending 341st March 2022 stood at ₹1366 crore. Similarly, in Q4FY22, Bajaj Finance reported Yoy jump in net profit to the tune of near 80 per cent as its net profit surged from ₹1346.64 crore in Q4FY21 to ₹24.19.51 crore in Q4FY22. It reported highest ever consolidated PAT (profit after tax) of ₹7,028 crore in Q4FY22. The company reported around 30 per cent rise in net income from ₹4659 crore in Q4FY21 to ₹6068 crore in Q4FY22."
Updated: 29 Jun 2022,Bajaj Allianz launches Global Health Care insurance policy,https://www.livemint.com/insurance/news/bajaj-allianz-launches-global-health-care-insurance-policy-11656477682681.html,"NEW DELHI: Bajaj Allianz General Insurance has launched ‘Global Health Care’, a comprehensive health indemnity insurance product that provides cover to a policyholder for planned as well as emergency treatment both in India and abroad. “Many of us want to look at international treatment options for our loved ones and ourselves but we seldom opt for it considering the massive expenses foreseen, and it can potentially diminish the life savings of an individual,"" said Tapan Singhel, MD & CEO, Bajaj Allianz General Insurance. Bajaj Allianz General Insurance has collaborated with Allianz Partners to provide a seamless claims experience to policyholders. Global Health Care offers one of the widest sum insured in the Indian market, starting from ₹37,50,000 to ₹3,75,00,000 ($100,000 to $1,000,000). The product is available with two plans - ‘Imperial Plan’ and ‘Imperial Plus Plan’ which offer both international and domestic Covers. The Imperial Plus Plan is a high-end variant with higher sum insured.  The domestic cover for ‘Imperial Plan’ and ‘Imperial Plus Plan’ provides in-patient hospitalization treatment, pre and post-hospitalization expenses with benefits like ambulance (air and road), day care procedures, living donor medical costs, modern treatment methods & technological advancement, mental illness treatment and rehabilitation amongst others. A supplementary feature of the domestic cover is that it also provides ayurvedic/homeopathic hospitalization as a special feature. further, during a treatment domestically, the patient can choose to opt to transfer to the best international facilities available for his/her ailment, said the firm. The international cover offers dental cover (optional), inbuilt OPD cover, and other enhanced features like in-patient cash benefit, palliative care, medical repatriation, repatriation of mortal remains, accommodation costs for one parent staying with an insured child, air ambulance and medical evacuation, and emergency treatment outside area of cover amongst others. The international cover also offers a voluntary deductible of Nil/$500/$1,000 on an aggregate basis which reduces the premium payable. These covers also provide an in-built annual preventive health check-up during each renewal cycle. Charu Kaushal, CEO, Allianz Partners India, said, “…The plan enables our customers to avail of planned or emergency treatment anytime around the world, supported by our vast medical network. We are excited to embark on this journey with Bajaj Allianz to jointly deliver best in class and customer-centric healthcare solutions."" Global Health Care offers policyholders the option to choose between worldwide cover including US, and worldwide cover excluding the US. This product is offered to Indians residing in India with a sum insured available on an individual basis for a policy cover period of 1 year. The entry age for adults is from 18 to 65 years and for dependent children is from 3 months to 30 years with a lifetime renewal option. Cashless and reimbursement claim settlement options are available in the Global Health Care product. Premium starts from ₹39,432 excluding GST provided with an EMI facility for the payment of the premium on a monthly, quarterly, half-yearly, or annually basis. An additional 5% discount will be applicable if two or more members of the family opt for the policy, said the firm."
Updated: 26 Jun 2022,"Bear days are numbered, build quality portfolio. These stocks are hot picks",https://www.livemint.com/market/stock-market-news/bear-days-are-numbered-build-quality-portfolio-in-markets-these-stocks-are-hot-picks-11656263787991.html,"Markets recovered last week as equity benchmarks snapped a two-week losing streak as investors took a breather from inflation concerns due to the downside in commodity prices. Going forward, markets will continue to witness volatility as bearish stick still lingers with current macroeconomic risks, however, the days are numbered. The selling pressure is expected to be short-lived and experts have advised investors to build quality stocks portfolio. On Friday, Sensex finished at 52,727.98 up by 462.26 points or 0.88%. Nifty 50 closed at 15,699.25 higher by 142.60 points or 0.92%. Both the benchmarks have gained nearly 3% each from June 20 to 24. During these days, investors' wealth on BSE climbed by ₹7,40,977.89 crore. BSE market cap stood at ₹234,86,923.67 crore on June 20 and jumped to ₹242,27,901.56 crore on June 24. Research Analysts - Dharmesh Shah, Nitin Kunte, CMT, Pabitro Mukherjee, and Vinayak Parmar at ICICI Securities in their technical note said, equity benchmarks behaved contrary to our expectations as downbeat global cues tracking anxiety around rising inflation globally, rate hikes weighed on investor sentiments. On Nifty 50, they said the velocity of the decline accelerated on breach of March low of 15700 and drifted further to the 15200 mark. Going forward, the analysts said, ""We expect the index to gradually resolve higher and extend pullback towards the 16600 regions in coming months wherein strong support is placed in the vicinity of 14800-14600 zone, which we expect to hold as it is 80% retracement of CY-21 rally (13596-18604), at 14600. Thus, dips should be utilised to construct a portfolio by accumulating quality stocks in a staggered manner."" ICICI Securities analysts' positive bias is based on four factors: 1. The reading of the percentage of stocks above 200 DMA below 15 signifies extreme pessimism in the markets that eventually leads to a technical pullback to the tune of a minimum of 10% in the subsequent three months. 2. Index has already corrected 18% from the life highs and has approached oversold reading on the weekly momentum oscillator. The weekly RSI has approached its lowest level (placed at 35) since May 2020. Historically, a reading of 35 on weekly RSI has produced a decent pullback, and the analysts expect this rhythm to maintain in the coming months. 3. India continues to relatively outperform the EM basket even in the ongoing corrective phase despite significant selling by FIIs. Over the past one year, while the MSCI EM index has corrected over 40% from highs, India has relatively outperformed as the benchmark corrected only 18%. 4. The India VIX and crude oil prices have cooled off from the recent swing high. Indian Equities have an inverse correlation with the India VIX. Thus, providing impetus for the acceleration of ongoing pullback. They added, ""On the broader market front, in three instances over the past decade, intermediate correction in the Nifty Midcap, Small cap indices have been to the tune of 28% and 40%, respectively. At present, both indices have corrected 25% and 34%, respectively."" Therefore, the analysts said, ""any further correction is likely to be short-lived amid oversold territory and would set the stage for a technical pullback in coming weeks."" Here are the top picks of ICICI Securities analysts: BFSI - SBI, HDFC, Kotak Bank, Federal Bank, and Bajaj Finance. Telecom & Technology - Reliance, TCS, Infosys, L&T Infotech, HCL Technology, and Coforge. Capital goods - L&T, ABB, Siemens, BEL, AIA Engineering, ELGI Equipment, Sanghvi Movers, and Timken India. Consumption - Hindustan Unilever, Titan, ITC, Asian Paints, Tata Consumer, Havells India, Jubilant Foods, and Astral Poly. Auto - M&M, Maruti Suzuki, Ashok Leyland, Jamna Auto, Mahindra CIE, FIEM Industries, and Minda Industries. Infra and Realty - DLF LTD, Brigade Enterprise, and Phoenix Mills. Pharma & Chemicals - Divi's Laboratories, Cipla, Syngene, Torrent Pharma, and SRF Ltd. Metal - JSW Steel, Hindalco, and Graphite. Others - Adani Port, Indian Hotels, Zee Entertainment, Trent, Concor, Nocil, Balrampur Chinni, BDL, Bluedart, Dixon Technologies, Kansai Nerolac, and NRB Bearing. Markets weekly outlook: For the week June 27 to July 1, ICICI Direct analysts expect Nifty to eventually resolve past falling channel placed at 15800 and gradually head towards 16200 levels in coming weeks. In expiry week, use dips towards 15400 to create long positions as the index is poised at extreme oversold readings. ICICI Direct analysts added that brent oil prices have breached the weekly rising trend line indicating a loss of momentum and ""we expect upsides to be capped in 125-130 zone."" According to ICICI Direct analysts, amongst sectors preferences, IT, and BFSI are key sectors with favourable risk/reward, while Auto and Capital goods are expected to extend outperformance. The analysts prefer - SBI, HDFC, Kotak Bank, TCS, Maruti Suzuki, ITC, and Titan in large caps while in midcaps we like KPIT Technologies, Federal Bank, AIA Engineering, NRB Bearings, Ashok Leyland, Automotive Axles, Bharat Electronics, Havells, Trent, and Indian Hotel. Yesha Shah, Head of Equity Research, Samco Securities said, ""The coming week has a host of events arriving which could affect the mood of the market. Globally, investors will keenly analyze the US quarterly GDP growth rate numbers. The USA would officially enter into a recession if they post a negative growth and thus this could have a spill-over effect on global markets."" ""In India, the vehicle sales figures will continue to fuel stock-specific moves on D-Street as investors attempt to decipher the future trend,"" Shah added, ""Moreover, the monthly F&O expiry in the second half of the week may cause volatility in the indices. Investors are thus advised to accumulate good stocks with strong fundamentals, free cash flows, and lower leverage over the long run while disregarding short-term difficulties."""
