article_time,article_title,article_link,article_content
Updated: 09 Jul 2022,Adani Group confirms 5G auction participation for captive network solutions,https://www.livemint.com/news/india/adani-group-confirms-5g-auction-participation-for-captive-network-solutions-11657377330239.html,"The Adani Group confirmed its participation in the upcoming 5G spectrum auctions but clarified that it was not aiming to launch services in the consumer mobility. ""As India prepares to roll out next generation 5G services through this auction, we are one of the many applicants participating in the open bidding process,"" the group said in response to queries sent on Friday. ""Our intention is not to be in the consumer mobility space,"" it added. The conglomerate said it will use 5G for providing private network solutions across airports, ports, power generation and transmission among its other businesses. ""We are participating in the 5G spectrum auction to provide private network solutions along with enhanced cyber security in the airport, ports & logistics, power generation, transmission, distribution, and various manufacturing operations,"" it said. It further went on to add that if it were to get 5G spectrum in the open bidding, it will align with the Group's recent announcement of significantly increasing the Adani Foundation's investments in education, healthcare and skill development in rural areas. ""In addition, as we build our own digital platform encompassing super apps, edge data centres, and industry command and control centres, we will need ultra-high quality data streaming capabilities through a high frequency and low latency 5G network across all our businesses,"" the group added. The statement comes amid sources saying that existing telecom players - Bharti Airtel, Reliance Jio and Vodafone Idea - that have also expressed interest in bidding for 5G airwaves. The three carriers are heavily invested in the consumer mobility space servicing nearly 1 billion consumers between them. The carriers are equally betting on 5G for providing captive networks for enterprises which will lead to additional revenue upside to their existing business stream."
Updated: 09 Jul 2022,5G Spectrum: Adani Group confirms participation in open bidding process,https://www.livemint.com/news/india/5g-spectrum-adani-group-confirms-participating-in-open-bidding-process-11657373379390.html,"Adani Group on 9 July confirmed that its is one of the many applicants participating in the open bidding process for 5G Spectrum services. Though, the group said that its intention is not to be in the consumer mobility space. ""We are participating in the 5G spectrum auction to provide private network solutions along with enhanced cyber security in the airport, ports & logistics, power generation, transmission, distribution, and various manufacturing operations,"" it said in an official media statement. Apart from this, the group said if awarded 5G spectrum in the open bidding, it will also align with its recent announcement of significantly increasing the Adani Foundation's investments in education, healthcare and skill development in rural areas. ALSO READ: Adani Group in race to acquire 5G spectrum Among other things, Adani Group said that they would be needing ultra high quality data streaming capabilities through a high frequency and low latency 5G network across all our businesses. Earlier on 8 July, several reports claimed billionaire Gautam Adani's group is mulling to make a surprise entry in the race to acquire 5G spectrum, competing with Mukesh Ambani's Jio and Sunil Bharti Mittal's Airtel. The applications for participating in the 5G auction on 26 July closed on 8 July with atleast four applications. Earlier, the telecom ministry has specified in its rules for inviting applications that a new entity can apply for spectrum as long as it gives an undertaking that it will obtain the unified license for providing access services or mobile and or data services in any part of the country. ""Any entity that gives an undertaking to obtain a Unified License with authorization for Access Services through a New Entrant Nominee as per the DoT guidelines/ license conditions can bid for the Spectrum,"" the department said in the notice inviting applications."
Updated: 09 Jul 2022,Adani Group in race to acquire 5G spectrum,https://www.livemint.com/companies/news/adani-group-in-race-to-acquire-5g-spectrum-11657301994611.html,"NEW DELHI : Adani Group is learnt to have applied to participate in the upcoming 5G spectrum auctions to be held later this month, a move that may mark its entry into the telecom industry. According to a person aware of the development, the group is learnt to have submitted its interest on 8 July, the last date that the telecom department kept for receiving applications from potential bidders. It was unclear which entity of the group applied for participation or the quantum of airwaves it applied for. The government has specified in its rules for inviting applications that a new entity can apply for spectrum as long as it gives an undertaking that it will obtain the unified license for providing access services or mobile and or data services in any part of the country. “Any entity that gives an undertaking to obtain a Unified License with authorization for Access Services through a New Entrant Nominee as per the DoT guidelines/ license conditions can bid for the Spectrum,"" the department said in the notice inviting applications, the official document that lays down rules of the auction. The conditions also add that a unified license can only be given to an Indian company, and any foreign applicant will need to form or acquire an Indian company. Emails sent to Adani Group did not elicit a response as of Friday evening. The person added that Reliance Jio, Bharti Airtel and Vodafone Idea have also submitted their interest in participating in the auctions. Emails sent to Reliance Jio, Bharti Airtel and Vodafone Idea did not elicit a response as of Friday evening. The government has put up for sale 5G airwaves in several bands, including the 600 MHz, 700 MHz and 3300 MHz. Besides 5G, airwaves in 26 GHz, 800 MHz, 900 MHz, 1800 MHz, 2100 MHz, 2300 MHz, and 2500 MHz. Auctions will take place on 26 July. The final list of bidders will be announced by the government on 20 July."
Updated: 07 Jul 2022,"Stocks to Watch: Titan, Bharti Airtel, Reliance, Equitas SFB, Power Grid",https://www.livemint.com/market/stock-market-news/stocks-to-watch-titan-bharti-airtel-reliance-equitas-sfb-power-grid-11657156587738.html,"Here is a list of top 10 stocks that will be in news today: Titan: The Tata group firm said its sales in the April-June quarter were up nearly three-fold on a year-on-year basis, helped by a low base of the Covid-19 impacted quarter in the last year. ""Sales in Q1FY23 grew 205 per cent YoY on a low base and clocked 3-year CAGR of 20.5% over Q1FY20,"" it said. Bharti Airtel: Arm Bharti Airtel International (Netherlands) BV, which manages Airtel's Africa business, has raised tender offer to buy back up to $450 million (about ₹3,550 crore) of senior notes. The company had issued a tender offer to purchase $300 million worth of its 5.35% guaranteed senior notes of $1 billion due 2024. The offer commenced from June 21 and will expire on July 19. Reliance Industries: The company's retail arm Reliance Retail has signed a long-term franchise agreement with US apparel major Gap Inc.The partnership will mark Gap’s return to India with its casual wear apparel brand. Equitas Small Finance Bank: The lender said its gross advances grew by 22% from a year ago to ₹21,699 crore as of June 30. The bank's disbursements during Q1 FY23 rose by 156% to ₹3,238 crore as against ₹1,265 crore. Total deposits increased by 19% year-on-year to ₹20,386 crore. Power Grid Corporation: The board of the state-owned company has approved two proposals to raise up to ₹11,000 crore through the issuance of bonds and term loans. The board approved a proposal to raise funds up to ₹6,000 crore from the domestic market through issue of secured/unsecured, non-convertible, non-cumulative/cumulative, redeemable, taxable/tax-free debentures/bonds under private placement during FY2023-24 in up to 20 tranches. NTPC/Gujarat Alkalies and Chemicals: The state-owned power giant's arm NTPC RE Ltd and Gujarat Alkalies and Chemicalshave inked a pact to collaborate for renewable energy and synthesising green chemicals. Deep Industries: The company has received Letter of Awards from ONGC Limited, for charter hiring of two 1000 HP mobile drilling rigs for Ahmedabad asset for a period of three years. The total estimated value of the awards is around ₹150.24 crores. Nykaa Fashion: FSN E-CommerceVentures, the company that owns Nykaa, has announced the launch of its underwear and athleisure brand for men, Gloot. Gloot products are made from a special fiber which enables them to have an 83% lower carbon footprint compared to a generic comparable fibre, the company said. TVS Motor Company: The company has forayed into the premium lifestyle segment with the launch of 225-cc bike Ronin priced at ₹1.49 lakh, ex-showroom. The bike comes in three trims tagged at ₹1.49 lakh, ₹1.56 lakh and ₹1.69 lakh, respectively. It plans to sell around one lakh units of the model in the current financial year. IndusInd Bank: The bank has tied up with MoEngage, an insights-led customer engagement platform, to deliver a differentiated digital experience across multiple customer journeys. As part of the partnership, Induslnd Bank will leverage MoEngage's technology platform to deliver 'Gen Z' digital banking experience to its customers. "
Updated: 07 Jul 2022,Telcos may see slower revenue growth in Q1,https://www.livemint.com/industry/telecom/telcos-may-see-slower-revenue-growth-in-q1-11657133640951.html,"NEW DELHI : The April-June quarter will see slower mobile revenue growth for the telecom sector due to subscriber decline for Bharti Airtel and Vodafone Idea, fewer 4G net additions due to lower smartphone sales and diminishing benefit of the November 2021 tariff hike, analysts said. Some said the earnings before interest, tax, depreciation and amortization (Ebitda) may have some upside coming from longer validity recharges, primarily for Reliance Jio, and one additional day in the tariff cycle—29 days versus 28 days—which was mandated by the telecom regulator. Therefore, average revenue per user (Arpu), a key metric used for measuring the profitability of a telco, is set to rise by as much as 4% for Jio, the highest among all carriers. According to ICICI Securities and ICICI Direct, RJio’s Arpu is expected to rise to ₹174, while Vodafone Idea’s Arpu will grow by 2% to ₹126 in the quarter ended June. Bharti Airtel’s Arpu is expected to grow by 3.1% to ₹184, the highest in absolute terms among the carriers. Sector watchers are also monitoring the upcoming spectrum auctions, during which they do not anticipate aggressive bidding. “We expect telecom operators to stagger their 5G spectrum purchases due to sufficient spectrum availability and lack of ecosystem. Consequently, the balance sheet commitment could be limited,"" analysts at Edelweiss said in a report seen by Mint. With little pressure on balance sheets, the additional upside to the Arpu levels will come from the next round of tariff hikes, which are likely to commence from October-December in FY23, they added. They, however, flagged inflationary pressures, which will lead to a contraction of 45-145 basis points in Ebitda margins for all carriers, even as telcos are expected to report revenue growth of 1-5% quarter-on-quarter, thanks to Arpu improvements. “Mobile revenue growth for Bharti is estimated at 1.6% on-quarter, while VIL’s will grow only 0.6% and RJio’s revenue will be up 3.3%,"" Sanjesh Jain, vice-president at ICICI Securities, said in a research note ahead of first-quarter earnings later this month. The brokerage estimated revenue for Airtel India to be ₹23,100 crore, led by the mobile business, while Africa revenue is expected to be about $1.2 billion, up 0.8% from the preceding quarter. Ebitda growth will be further restricted owing to higher power costs due to the rise in diesel prices, and Ebitda margin will be flattish quarter-on-quarter for all the three operators, the brokerage said. Airtel’s India Ebitda is expected to be around ₹11,600 crore, up 1.6% sequentially, while Africa Ebitda may be about $579 million, up 0.5% sequentially. “Consolidated revenue to rise 2.6% on-quarter to ₹32,300 crore and Ebitda will dip 1% on-quarter to ₹15,900 crore. Net profit is seen at ₹1,900 crore,"" Jain noted. For Vodafone Idea, revenue may rise 0.6% sequentially to ₹10,300 crore, negatively impacted by subscriber decline. “Vi is expected to suffer a subscriber decline of 2.5 million versus a contraction of 3.4 million in Q4FY22,"" said analysts at Edelweiss in a research note. Ebitda may drop 3.4% quarter-on-quarter (up 21% year-on-year) due to one-off gains of ₹150 crore in the base and higher power costs. “Net loss seen at ₹6,600 crore for Vodafone Idea,"" ICICI Securities’ Jain said."
Updated: 06 Jul 2022,"Mint Explainer: What 5G means for you, India and telcos",https://www.livemint.com/technology/tech-news/mint-explainer-what-5g-means-for-you-india-telcos-11657123695947.html,"For data-hungry India, the upcoming 5G auctions will herald another telecom revolution. It goes beyond super-fast downloads and uploads, or glitch-free video calls, live streaming, and real-time gaming. 5G holds the promise of a tech utopia — from automated cars, to robotic surgeries and much more futuristic technology. 5G may also end the monopoly of telecom companies over telecom services as the government is allocating spectrum to private enterprises too, a move that has become controversial. But that could be just a teething trouble. It’s the biggest spectrum auction with 72,000 MHz up for grabs. What is 5G? 5G, short for the fifth-generation cellular technology, promises to exponentially raise the speed and data capacity of wireless networks. Data is the new oil, as Mukesh Ambani has famously said. Data traffic is surging, estimated to be growing more than 60% every year. 5G is tailor-made to handle this data explosion globally, including in India. Unlike 4G, 5G is capable of connecting multiple devices seamlessly and can handle a staggering 1 million devices per square kilometre. In India, 5G networks will run on mid- and high-end spectrum with speed and capacities more than 10 times greater than the 4G networks.           "
Updated: 03 Jul 2022,"M-cap of 3 of top-10 valued firms eroded by ₹73,630 cr; RIL biggest loser",https://www.livemint.com/news/india/mcap-of-3-of-top-10-valued-firms-eroded-by-rs-73-630-cr-ril-biggest-loser-11656825997747.html,"The combined market valuation of three of the 10 most valued domestic firms eroded by ₹73,630.56 crore last week, with Reliance Industries Limited taking the biggest hit. While HUL and ICICI Bank were the other laggards from the top-10 pack, TCS, HDFC Bank, Infosys, LIC, SBI, HDFC and Bharti Airtel were the gainers. However, the combined gain of the seven firms at ₹49,441.05 crore was less than the total loss suffered by the three companies. Last week, the Sensex climbed 179.95 points or 0.34 per cent, while the Nifty gained 52.80 points or 0.33 per cent. The market valuation of Reliance Industries Ltd (RIL) declined by ₹62,100.95 crore to reach ₹16,29,684.50 crore. ICICI Bank's valuation fell by ₹6,654.2 crore to ₹4,89,700.16 crore and that of Hindustan Unilever Ltd (HUL) dipped ₹4,875.41 crore to ₹5,36,364.69 crore. Among the gainers, the market valuation of Infosys jumped ₹15,172.88 crore to ₹6,21,907.38 crore. The market capitalisation (m-cap) of State Bank of India (SBI) climbed ₹11,200.38 crore to ₹4,16,690.11 crore. The valuation of Life Insurance Corporation of India (LIC) went up by ₹9,519.12 crore to ₹4,28,044.22 crore and that of TCS advanced ₹8,489 crore to stand at ₹12,13,396.32 crore. HDFC added ₹3,924.46 crore to its valuation to reach ₹4,01,114.96 crore. The m-cap of Bharti Airtel gained ₹1,043.49 crore to ₹3,69,833.12 crore and that of HDFC Bank went up by ₹91.72 crore to ₹7,51,892.03 crore. In the ranking of top-10 firms, Reliance Industries retained its top slot, followed by TCS, HDFC Bank, Infosys, HUL, ICICI Bank, LIC, SBI, HDFC and Bharti Airtel. This story has been published from a wire agency feed without modifications to the text. Only the headline has been changed."
Updated: 30 Jun 2022,AGR dues: Bharti Airtel defers payment up to FY19 after DoT's moratorium offer,https://www.livemint.com/news/india/agr-dues-bharti-airtel-defers-payment-up-to-fy19-after-dot-s-moratorium-offer-11656609616364.html,"Private telecom operator Bharti Airtel on 30 June said that it has opted to defer the payment of Adjusted Gross Revenue (AGR) dues up to FY 2018-19. The telco said that it has retained the right to pre-pay instalment amounts and would not avail the option of conversion of the interest dues that would accrue into equity. The AGR dues are not tabulated in the Supreme Court's order, by up to four years, it added. ""We wish to inform you that the company has informed to DoT (Department of Telecom) that the company shall avail the option to defer the payment of the AGR (Adjusted Gross Revenue) dues up to FY 2018-19 which are not tabulated in the Hon'ble Supreme Court order, up to four years (applicable from FY 2021-22 to FY 2024-25) while retaining the right to pre-pay the instalment amounts,"" Bharti Airtel said in a regulatory filing on 30 June. Apart from this, the firm made it clear that it will ""not avail the option of conversion of the interest dues that accrue under aforesaid option into equity"". The amount of dues add up to about ₹3,000 crore for the additional years, said sources at the firm. In its statement, Airtel said that the Department of Telecom had offered the option of four-year moratorium for AGR dues up to FY 2018-19 which are not tabulated in the Supreme Court order pertaining to statutory dues as well as for the conversion of the interest dues that accrue into equity. As per details, the DoT calculates its share of revenue from telecom operators based on their AGR, which is considered to have been earned by them from the sale of services. ALSO READ: Voda-Idea to raise ₹500 cr more from Vodafone Group Earlier in June, debt-ridden telecom operator Vodafone Idea Ltd (VIL) decided to defer payment of additional AGR dues of ₹8,837 crore by a period of four years. In a filing on 22 June, VIL said DoT, on 15 June, raised AGR demand for additional two financial years beyond 2016-17, which were not covered under the Supreme Court order on the statutory dues. ""The board of directors ""has approved the exercise of the option of deferment of the AGR related dues by a period of four years with immediate effect, in accordance with the said DoT letter,"" VIL statement had said. ""The amount of the AGR related dues as stated in the said DoT letter is ₹8,837 crore, which is subject to revision on account of disposal of various representations,"" it had said. With PTI Inputs."
Updated: 30 Jun 2022,CCI approves Google's 1.28% stake buy in Bharti Airtel,https://www.livemint.com/companies/news/cci-approves-google-s-1-28-stake-buy-in-bharti-airtel-11656598357482.html,"The Competition Commission of India approved Google’s investment of nearly $1 billion for 1.28% in Bharti Airtel.   “The CCI approved the proposed combination on the basis of modifications offered by the Acquirer (Google International LLC),"" the agency said in a statement on Thursday.  Google and Airtel have executed an Investment Agreement (IA) per which the Acquirer proposes to acquire a minority and non-controlling stake of 1.28% of equity share capital. Along with the IA, the acquirer and the target through their affiliates have also entered into certain commercial deals.   The body added that the companies also intend to enter into certain other commercial arrangements in future.  Google had said in January this year that it will invest up to $1 billion in India’s No 2 telecom services provider Bharti Airtel through an equity purchase of 1.28% for $700 million and commercial agreement of $300 million on mutual terms over the next five years.    The investment comes on the back of the internet search giant having invested $4.5 billion in Reliance Jio back in July 2020, both part of the Google for India Digitization Fund, making it an investor in two rival telecom service providers in the sector.    Google has already partnered with Reliance Jio to launch of low cost smartphone – JioNext - with an optimized Android OS, as part of Google’s investment into Jio last year. Jio Platforms, the holding company of Reliance Jio, has also received a $5.7 billion investment from Facebook, now Meta, for a 9.99% stake. "
Updated: 30 Jun 2022,CCI approves Google International's buy of 1.28% stake in Bharti Airtel: Report,https://www.livemint.com/news/india/cci-approves-google-international-s-buy-of-1-28-stake-in-bharti-airtel-report-11656593965161.html,"The Competition Commission of India on 30 June approved Google international's buy of 1.28 per cent stake in Bharti Airtel, reported CNBC-TV18. Earlier in 28 January, Google announced that invest as much as $1 billion in Bharti Airtel Ltd as the Internet giant redoubles efforts to increase smartphone access and accelerate digital transformation in India. According to the agreement signed between the two firms, Google will buy a 1.28% stake in Bharti Airtel for $700 million and invest $300 million over the next five years in commercial arrangements in the areas of affordable mobile devices, 5G network and cloud technologies. ALSO READ: Google to invest up to $1bn in Airtel through equity buy, commercial agreement Airtel will sell shares to Google at ₹734 apiece, the company said in an exchange filing on January, 2022. Meanwhile, Airtel’s shares shrunk 3.60% to ₹683.90 on BSE on Thursday. With this investment, Google is aiming at developing the digital infrastructure in India, which will, in turn, generate demand for its products and services, including cloud computing, mobile devices, apps and digital advertisements. The latest move by Google follows a $4.5 billion investment in Reliance Industries Ltd’s digital unit, Jio Platforms Ltd, in July 2020. Both the investments are routed through the Google for India Digitization Fund. On the other side, Bharti Airtel chief executive Gopal Vittal had said the company has no plan to build smartphones with Google but will work to increase smartphone adoption among consumers as part of the strategic partnership. ""We have mentioned we are not keen on a subsidy game, but equally, we are going to be competitive in the market; so wherever there is an incentive to be given, we have developed the software capability to target it into a device in order to be really smart and minimize the economic cost of that,"" Vittal said."
