article_time,article_title,article_link,article_content
Updated: 08 Jul 2022,How an Indian cement maker bought Russian coal using yuan,https://www.livemint.com/news/india/exclusive-how-an-indian-cement-maker-bought-russian-coal-using-yuan-11657240560306.html,"An Indian cement maker's recent purchase of Russian coal using yuan involved India's biggest private lender, HDFC Bank, according to an invoice seen by Reuters and a source, as more details emerge of the kind of trade that could blunt Western sanctions against Moscow. There is no suggestion that the purchase, the particulars of which have not previously been reported, in any way breaches sanctions imposed on Russia in the wake of its invasion of Ukraine. But the document shows one way in which Russia could continue to sell commodities abroad without settling in U.S. dollars despite restrictions aimed at freezing it out of financial markets. According to the invoice dated June 5 and a source familiar with the matter, HDFC Bank backed cement maker Ultratech's purchase of Russian coal from producer and trader SUEK for 172.7 million yuan ($25.74 million). The letter of credit for the deal was issued by HDFC Bank's Mumbai suburban branch of Andheri East, according to the invoice.  The dollar is the currency of choice for global trade in raw materials, but some traders say the yuan could be increasingly used to settle payments for supplies from Russia.  In the invoice, SUEK requests Ultratech remit the 172.7 million yuan to SUEK's account at the Shanghai branch of China Everbright Bank. SUEK lists the Hong Kong branch of international lender HSBC as the correspondent bank.  A correspondent bank acts as a middleman in the transfer of money from one bank to another. Reuters could not determine if a payment had been received by China Everbright or if HSBC or any other bank was involved in a transfer of funds.  HDFC Bank and HSBC declined to comment. Ultratech, SUEK and China Everbright Bank did not respond to requests for comment. It was not clear from the invoice which currencies were used to effect the yuan payment.  The amount listed was quoted in Chinese yuan and Reuters reported last week that Ultratech imported 157,000 tonnes of coal from Switzerland-registered SUEK and agreed to settle the final payment in that currency. YUAN TRADES STILL RARE For India, such payment methods could become more common as it seeks to maintain trade ties with Russia for commodities including oil and coal without the risk of contravening Western sanctions. India has deep political and security ties with Russia and has refrained from condemning the Ukraine war, which Russia says is a ""special military operation"". India's energy imports from Russia have soared recently as traders, unable to sell into many Western markets, have offered steep discounts. New Delhi defends its purchases of Russian goods, saying they are legal and that a sudden halt would inflate prices further and hurt consumers. Greater use of the yuan to settle payments could help insulate Moscow from punishment and bolster Beijing's push to further internationalise the yuan and chip away at the dominance of the U.S. dollar in global trade. It is, however, still rare for an Indian firm to agree to settle a trade with a non-Chinese company in yuan. In the absence of sanctions, overseas payments to Russian commodity and energy companies would typically be made in dollars via SWIFT to Russian accounts. For Indian trade settlements using the yuan, lenders would potentially send dollars to foreign banks with sufficient yuan reserves, or Chinese banks they have tie-ups with, in exchange for yuan to settle the trade. The invoice mentioned the SWIFT transaction IDs of both HSBC's Hong Kong branch and China Everbright's Shanghai branch. Reuters could not confirm whether any payment was made using the SWIFT platform. SWIFT is a secure messaging system that facilitates rapid cross-border payments, making international trade flow smoothly. Several Russian banks have been cut off from the system in recent months. ""As a matter of policy, SWIFT does not comment on flows between institutions,"" a spokesman said. India's bilateral trade with China, for which companies largely pay in dollars, has flourished even after a deadly military border clash between the two in 2020 that ratcheted up tensions that have still not subsided. New Delhi has increased scrutiny on Chinese investments and imports, and banned some mobile apps over security concerns. The Indian government and the central bank were aware of potential payments for Russian cargo in Chinese yuan, sources told Reuters last week. The government and central bank did not comment for this article."
Updated: 07 Jul 2022,Fossil fuel revenues for India can fall around 65% by 2050: Study,https://www.livemint.com/economy/fossil-fuel-revenues-for-india-can-fall-around-65-by-2050-study-11657184812267.html,"NEW DELHI : The fossil fuel revenues for India can fall around 65% of the 2019 levels by 2050, said a new report by the International Institute for Sustainable Development (IISD). The study suggests that in terms of coal production, India’s revenues can fall around 15%. Titled Boom and Bust: The Fiscal Implications of Fossil Fuel Phase-Out in Six Large Emerging Economies, the report spotlights heavy dependence on fossil fuel revenues in Brazil, Russia, India, Indonesia, China, and South Africa (BRIICS). The economic reliance on fossil fuels puts BRIICS countries at risk of experiencing a substantial revenue gap over the next few decades, as the world transitions from fossil fuel-based energy systems to cleaner energies to limit global warming to 1.5°C. The six emerging economies need to start adjusting their fiscal policies now to account for declining fossil fuel use to avoid a USD 278 billion gap in revenues by 2030. The study finds that by 2050, overall fossil fuel revenues in BRIICS countries could be as much as $570 billion lower than a business-as-usual scenario where governments fail to phase down fossil fuels enough to avoid the worst climate impacts. The widest gaps are expected to occur in India ($178 billion), China ($140 billion), and Russia ($134 billion). The report finds that public revenues from fossil fuel production and consumption currently account for a staggering 34% of general government revenue in Russia, 18% in India, and 16% in Indonesia. The share stands at 8% in Brazil, 6% in South Africa, and 5% in China. “To prevent devastating climate change, the world has to phase out the production and consumption of fossil fuels, which will inevitably erode related revenues. Emerging economies have an enormous opportunity to build more resilient and economically sustainable energy systems as they decarbonize—but they must plan ahead to avoid shortfalls in public revenues that could reverse progress on poverty eradication and economic development,"" says Tara Laan, Senior Associate at IISD and lead author of the report. The economic planning can be done in climate-positive and socially progressive ways, by removing subsidies from—and increasing taxes on—fossil fuels in ways that don’t hurt the poor—like export duties and windfall profits taxes, as imposed by India last week. The IISD experts suggest that the eventual fall in global energy prices will be an opportune time to impose carbon pricing. Diversifying income streams, such as new targeted taxes in the energy and transport sectors will ensure that addiction to fossil fuel revenues does not become a barrier to the reform."
Updated: 06 Jul 2022,India’s coal production rises 33% in June to 67.59 million tonne,https://www.livemint.com/industry/energy/indias-coal-production-rises-33-in-june-to-67-59-million-tonne-11657116952195.html,"NEW DELHI : India’s coal production increased by 32.57% to 67.59 million tonne in June 2022 amid anticipation of rising power demand in the country. In June 2021, the domestic coal production was 50.98 million tonne. According to the provisional statistics of the union ministry of coal during June this year, Coal India Ltd (CIL), Singareni Collieries Company Ltd (SCCL) and captive mines registered a growth of 28.87%, 5.50% and 83.53% by producing 51.56 milion tonne, 5.56 million tonne and 10.47 million tonne, respectively.  Out of the top 37 coal mines as many as 22 mines produced more than 100% and production of another nine mines stood between 80% and 100%, said a statement from the ministry. Last month, coal despatch increased by 20.69% to 75.46 million tonne from 62.53 million tonne in June 2021. During June 2022, CIL and captive mines registered a growth of 15.20% and 88.23% by despatching 58.98 million tonne and 11.05 million tonne respectively. SCCL registered a negative growth of 0.46% during the month. The power utilities despatch has grown by 30.77% to 64.89 million tonne during June this year as compared to 49.62 million tonne in June 21 due to increase in power demand. The statement said that coal based power generation has registered a growth of 26.58% in June 2022 as compared to June 2021. The overall power generation in June 2022 has been 17.73% higher than in June 2021. However, coal-based power generation in the month of June 2022 has been 95,880 million units in comparison to 98,609 million units in May 2022 and registered a negative growth of 2.77%. Total power generation has also decreased in June 2022 to 138,995 million units from 140,059 million units in May 2022 and registered a negative growth of 0.76%. The decrease in power generation on a month-on-month basis comes at a time when power demand has eased with the arrival of the Monsoon rains. The maximum power demand met on 5 June was 190.386 GW and the peak shortage was 2.336 GW. India had registered a record maximum demand met of 210.79 GW on June 9, 2022 and since the power demand has eased. However, going ahead the demand is expected to gain momentum. Union power minister R.K. Singh had recently said that the power demand in the country will continue to rise and is expected to remain above 205 GW. He also said that in order to meet the rising demand, India’s domestic coal production will be increased. The stock of coal at the 173 power plants tracked by the Central Electricity Authority (CEA) was at 27.3 million tonne on 5 June, 48% of the required inventory."
Updated: 06 Jul 2022,Coal India hopes to reach wage pact for non-executive workforce soon,https://www.livemint.com/companies/news/coal-india-hopes-to-reach-wage-pact-for-non-executive-workforce-soon-11657090153807.html,"The Ministry of Coal has clarified that the government-run coal mining and refining company, Coal India Limited (CIL) is looking to reach a wage pact for its non-executive workforce at the earliest. “Coal India Ltd (CIL) has held five meetings under NCWA – XI so far. The Company aims to conclude the wage pact of its non-executive workforce at the earliest in a mutually agreeable manner,"" as stated in the official press release. CIL maintains amicable and harmonious relations with its Unions and strives to avoid any discordance or strikes in view of the importance of the coal sector in the country. The negotiations are in progress and it usually takes time to conclude the pact. It is pertinent to mention that CIL was the first CPSU in the country to have successfully concluded the previous three wage agreements. Keeping up this tradition, CIL hopes to quickly seal the wage pact this time as well. Meanwhile, a key trade union at Coal India Ltd. has warned workers may strike over delays in finalising salary increases. Talks held July 1 failed to reach any agreement over a pay deal, Bloomberg quoted Sudhir Ghurde, who represented Akhil Bharatiya Khadan Mazdoor Sangh.  Workers are seeking a 47% increase in wages while Coal India has offered a 3% raise.  In August last year, trade unions at Coal India Ltd demanded a 50% increase in workers' wages, company Chairman Pramod Agrawal had said that it would  be difficult for the PSU to give a 50% wage hike to workers due to financial constraints. Tussle over $5 billion wages Coal India’s salary bill was 407 billion rupees ($5.2 billion) in the 12 months ended in March, about 6% higher from the previous year, Bloomberg reported. The company, which is facing higher production costs, spent more than a third of its revenue on salaries. Wages of non-executive workers, which account for 94% of Coal India’s workforce, are revised every five years.. The hike is due from July this year. In 2017, CIL signed a wage agreement with worker unions proposing a 20% hike in salaries for five years. Coal India has a total workforce of 2.59 lakh. Out of this, around 15,000 are executive staff. -With inputs from Agencies  "
Updated: 06 Jul 2022,"Hindalco, Vedanta want a piece of CIL project in Odisha",https://www.livemint.com/companies/news/hindalco-vedanta-eye-stake-in-cil-s-new-project-11657048323101.html,"Indian aluminium giants Hindalco Ltd and Vedanta Ltd, and several companies in West Asia, have expressed interest in Coal India Ltd’s proposed aluminium project in Odisha, said two officials aware of the matter. The world’s biggest coal producer recently invited expressions of interest (EoI) for equity partners in the project that includes bauxite mining, alumina refinery and aluminium and an associated coal preparation plant. “Most domestic companies are interested, including Vedanta and Hindalco, as equity partners,"" one of the two officials said on condition of anonymity. “During the pre-bid conference, parties from the Gulf showed interest. Actually, a lot of electricity is required to produce aluminium, and in the Gulf, electricity production using gas is cheaper. But they don’t have bauxite, so they buy alumina from India, which is made from bauxite, and use it to produce aluminium with cheaper electricity and sell it worldwide. Now, they have shown some interest in our plant,"" the official added.        "
Updated: 05 Jul 2022,"Rupee likely to hit 81 against dollar by FY23-end, here's why",https://www.livemint.com/news/india/rupee-likely-to-hit-81-against-dollar-by-fy23-end-here-s-why-11657040292093.html,"The widening of trade deficit to fresh record highs has made a case for further depreciation of the Indian rupee against the dollar. The local currency is seen to reach up to 81 by March 2023 end. On Thursday, the rupee hit a record low of 79.33 against the greenback due to a strong dollar and stubborn foreign funds outflow. As per the latest data, the country's trade deficit touched a fresh record of $25.63 billion in June 2022 widening from $24.3 billion in May 2022. From April to June 2022, the trade deficit stands at $70.25 billion. In June 2022, India's merchandise exports stood at 37.94 billion - taking the total to $116.77 billion in Q1FY23. Meanwhile, the country's imports climbed to $63.58 billion in the month under review and cumulatively stood at $187.02 billion in Q1 of the current fiscal. Analysts Indranil Pan, Radhika Piplani, and Deepthi Mathew at Yes Bank in their Ecologue report said, ""exports moderated for the 3rd consecutive month whereas imports registered a tepid uptick. The uptick in imports was on account of a large increase in oil and coal imports. The positive development was the seasonal moderation in gold imports. Despite the recent pullback in global commodity prices due to increasing concerns around global slowdown, we expect oil prices to remain sticky at higher levels. As such, we expect CAD/GDP at 2.6-3.2% of GDP with oil price averaging at $100-120 per barrel."" At the interbank forex market today, the Indian rupee settled at 79.37 against the dollar. The local unit had touched a lifetime low of 79.38 per dollar during the day. Jateen Trivedi, VP Research Analyst at LKP Securities said, ""Rupee scaled to fresh new lows below 79.35 falling by more than 0.50% amid strong sell off from higher levels in capital markets indicting FII’s still fearful on any rise in equities. Rupee felt the heat with dollar index sharp surge towards 106$ rising 1% compared to last close. As risk sentiment on inflationary pressures continues globally. Rupee range can be seen between 79.05-79.55."" NSDL data showed that FPIs continued to remove their money from the Indian market even in July. So far this month, FPIs' overall outflow stood at ₹7,323 crore from the market (including equity, debt, debt-VRR, and hybrid market). Overall, in the current year, the outflow is around ₹2,34,613 crore. According to Yes Bank's report, the widening of the trade gap to fresh record highs only increases the concern around the strength of India’s external account to withstand such increases. In Q1 FY23, the trade deficit sums to $70 billion, recording an average monthly trade deficit of $23.3 billion. This undoubtedly is the highest in the series so far. A correction below this level is possible on two accounts - if exports pick up or imports reduce substantially. ""With high-frequency global data on production, sales, GDP, sentiment, and consumer confidence indicators already indicating start of global slowdown, it is unlikely that the exports will register stellar growth to offset the downtrend seen in Q1 FY23. On the other hand, India’s oil imports remain relatively inelastic. As such, amid higher oil prices, oil import bill is likely to remain elevated,"" the report said further. Also, the analysts in the report pointed out that the ongoing energy crisis in India does not improve the situation any further. Coal imports are recording fresh series high with each successive print since March 2022. This trend is likely to continue further despite increases in India’s coal production over the last 3-months. ""The start of monsoon season is likely to impact domestic production going forward hence further increase in coal imports is plausible. The government intervention through increase in customs duty on gold by a net 4.24% to 15% could reduce gold imports even as the impact is likely to be marginal, given that gold prices are currently on a downward bias,"" the analysts note said. Yes Bank's analysts in their note stated that they consider 3-scenarios for India’s current account balance with average oil prices at $100 per barrel, $110 per barrel, and $120 per barrel in FY23. The note added, ""Despite some buffer being expected on the invisible inflows, FY23 CAD is likely to be higher at $93-111 bn in FY23 ($47 bn in FY22). As a % of GDP, CAD is likely at 2.6-3.2% in FY23. As such, weakening external balances, increase in FII outflows, decline in import cover, tightening by AEs, is expected to build downward pressure on USDINR."" Hence, the report said, ""we see depreciation bias in USDINR continuing,"" adding ""Our fair price model indicates for an 81.00 level by March 2023."""
Updated: 05 Jul 2022,Trade deficit at a record in June amid rupee slump,https://www.livemint.com/economy/trade-deficit-at-a-record-in-june-amid-rupee-slump-11656958781431.html,"NEW DELHI : India’s trade deficit widened to a record in June, adding further pressure on the Indian currency, which has hit new lows against the dollar in the past weeks. The trade gap, the amount by which the value of a country’s imports exceeds its exports, rose to $25.63 billion in June, led by a surge in coal and oil imports amid soaring global prices, according to official data. Exports touched a four-month low in value terms. The rate of growth slowed sharply as inflation and recession fears in key markets, including the US and the European Union, dampened demand, with engineering goods, drugs and yarn reporting a decline in outbound shipments during last month. Merchandise exports growth slowed for the third straight month in June to touch a four-month low of $37.94 billion, while imports surged by 51% to a record $63.58 billion from a year earlier, preliminary data released by the ministry of commerce and industry showed on Monday. The trade deficit was more than double the $9.37 billion in June last year. The trade data comes days after the government hiked import duty on gold to rein in the widening current account deficit and arrest the rupee’s record decline against the dollar. It also imposed export tariffs on petrol, diesel, and jet fuel besides windfall taxes on crude production to improve domestic supplies and lower the import bill. The rupee ended little changed against the dollar on Monday at 78.94. Economists expect the trade deficit to remain elevated through the fiscal, with the current account deficit expected to widen to more than 3% of GDP in FY23 from 1.2% in the previous year. “With a steady uptick in the size of the merchandise trade deficit over the course of the quarter, we expect the current account deficit to more than double to $30 billion in the first quarter of FY23, from the modest $13 billion in the previous quarter,"" said Aditi Nayar, chief economist, ICRA. She added that the merchandise trade deficit is estimated to remain more than $20 billion in the remainder of 2022 and the current account deficit in the range of $100-105 billion, which is 3% of GDP in FY23. “However, robust services surpluses will partly absorb the shock,"" added Nayar. Petroleum imports rose 94% in value in June to $20.73 billion from last year. The Centre imposed a cess or windfall tax of ₹23,250 per tonne on crude oil production and a special additional excise duty of ₹6, ₹13, and ₹6 per litre on export of petrol, diesel, and jet fuel, respectively, to ease domestic supplies. Coal imports more than tripled in June to $6.4 billion, crossing the $5.4 billion import bill in May. Gold imports nearly tripled to $2.61 billion in June from a year earlier, even as it was sharply lower sequentially from $6 billion in May. The Centre on Friday hiked the import duty on gold to 15% from 10.75% amid a spike in yellow metal imports, with shipments exceeding 100 tonnes during these months. The non-oil, non- gems and jewellery imports, which signify industrial activity in the economy, grew 31% to $36.7 billion in June, about half of the total imports. Brent crude oil price has been volatile and stood at $111 per barrel on Monday. That compares with $113 in the same time last month, nearly $100 at the beginning of April and $139 in mid-March. As for exports, engineering goods recorded a 1.57% decline in June to $9.19 billion from a year earlier. Drugs exports fell by 1.27% to $1.99 billion, while yarn and handloom exports declined 22.5% to $925 million. Petroleum products, electronic goods, ready-made garments and gems and jewellery recorded a double-digit export growth in June at 98%, 51%, 45%, and 19.4%, respectively."
Updated: 03 Jul 2022,The WTO’s leaky boat may be our best hope in a storm,https://www.livemint.com/opinion/columns/the-wto-s-leaky-boat-may-be-our-best-hope-in-a-storm-11656865986520.html,"Russia’s incursion into Ukraine’s sovereign territory has catalysed a new phase in the extant geo-economic and geopolitical arrangements. While Western academics have been debating whether this new European war spells the end of a liberal regime that defined the world order since the fall of the Berlin Wall (and break-up of the Soviet Union), the Russia-Ukraine conflict has reactivated many fault-lines that lay dormant in the global economy. And, for developing countries like India, multilateral platforms like the World Trade Organization (WTO) hold out the best chance of confronting these challenges, despite the many shortcomings that have hobbled the institution. A food crisis tops the list of phantoms emerging from the ravages of this war; it will rekindle many second order effects that the world had temporarily forgotten, which could include renewed contestation between the West and poor nations, or even civil wars in poverty-stricken nations. One of the reasons for hostilities reviving could be because the notion of trade in the US and EU is still rooted in an outdated economic orthodoxy, even while op-eds in leading newspapers and policy briefs from think-tanks debate the need for a new heterodoxy to replace the now-defunct canon. The WTO’s role has, hence, become non-negotiable, given the severe food crisis confronting the planet. A 6 June report from the Food and Agriculture Organisation and the United Nation’s World Food Programme (WFP), titled Hunger Hotspots, predicts that 20 countries will face a heightened food availability crisis over the next three months. While it is true that Russian aggression has triggered a global food crisis, it is equally true that the world was already facing a food emergency before February 2022. About 2.3 billion people were classified as food insecure during 2021. According to the Global Report on Food Crises, another WFP publication, global hunger levels were alarmingly high in 2021, with “close to 193 million people acutely food insecure and in need of urgent assistance across 53 countries/territories."" The pandemic and climate change amplified the food crisis during 2020 and 2021. The problem is compounded when energy price inflation (which bleeds into fertilizer prices) and fractured supply chains add affordability to availability problems. The food emergency shifted the world’s attention towards India and 29 other countries which banned wheat exports soon after Russia’s war sent grain prices skyrocketing globally. While India may have been compelled to impose an export ban, with wheat production falling short of forecasts and total foodgrain stocks dipping, solutions for the supply of grains to the WFP were actually found at the WTO’s 12th Ministerial Conference, or MC12 held recently in Geneva. India and the others agreed to supply wheat to the WFP, while being allowed to meet their domestic food security needs. The Western media, though, has not stopped pillorying India’s export ban, even though wheat exports during 2021-22 (before the ban was enforced) were only slightly over $2 billion, or a mere 0.5% of the country’s total exports. The Western leadership’s stance at the WTO on agriculture has long undermined India’s attempts to ensure food security for its citizens through subsidies at both the production and consumption stages. The formula being used to determine whether these subsidies are within permissible limits is based on outdated data; all attempts by India and other developing countries to seek a permanent solution have met with repeated filibustering. A drumbeat of protests against India has been revived in a seemingly coordinated move. Seven WTO members—including the US, Japan, the EU and UK—raised concerns over India’s export bans at the trade body’s first agriculture meet after MC12. In parallel, and a seemingly unconnected move, 12 Congressmen have written to US President Joe Biden, requesting him to lodge formal objections at the WTO against India’s trade-distorting agricultural policies. Their letter does not mention anything about the antiquated formula, or how US subsidies could also be trade distorting. There are suspicions, unfounded of course, that these protests are sponsored by large grain traders who now fear that India’s ban may extend to even rice exports, which were worth about $10 billion during 2021-22. It’s not only foodgrains. The duplicity and blinkered vision of rich nations was on full display when many of them stubbornly refused to relax intellectual property rights for global vaccine distribution at the height of the pandemic. These advanced nations decided to put private profit ahead of public health in times of global crisis. And, yet, it was at the MC12 that a solution was hammered out for developing countries to produce and sell patented vaccines, both in the domestic and international markets, even though this comes two years after India and South Africa had first proposed such a covid occasioned relaxation and when the pandemic seems to be on the wane. Some of the trade-related moves against India possibly have their genesis in the Western hemisphere’s disappointment with New Delhi’s stand vis-à-vis Russia’s expansionary moves. An old strategy seems to be re-emerging: continue to court the Indian leadership at plurilateral meetings, but deliver a thousand cuts via diverse platforms, including the media. India’s best chance of resistance may yet lie in creating a coalition of developing nations on multilateral platforms. Rajrishi Singhal is a policy consultant and journalist. His Twitter handle is @rajrishisinghal."
Updated: 01 Jul 2022,Coal India June quarter output hits record,https://www.livemint.com/companies/news/coal-india-s-production-hits-record-high-of-160-mt-in-apriljune-11656677937860.html,"Coal India Ltd (CIL), the world’s biggest producer of the fossil fuel, posted record production in the June quarter as it sought to meet strong demand from power plants amid an unprecedented heatwave. The state-run miner produced 159.8 million tonnes (MTs) of coal in the three months ended June, a nearly 29% rise from the 124 MTs produced a year earlier. All units of CIL recorded higher production in Q1. “Such growth was never witnessed in any Q1 since CIL’s inception. Our first quarter production surge of nearly 36 MTs surpassed the entire annual increase of 26.4 MTs of FY22,"" according to a senior official at CIL. The surge in output in the June quarter has reduced the asking growth rate for this fiscal to 8.3%. CIL had earlier placed an asking growth rate of 12.4% to achieve its production aim of 700 MTs for FY23. In June, when the country faced an extremely hot summer, CIL produced 51.6 MTs, up 29% from 40 MTs a year earlier.  Supplies to the power sector scaled a new high of 153.2 MTs during the fiscal first quarter, an increase of 19.8% from 127.9 MTs a year earlier. Coal offtake, or the amount of supplies from coal pitheads, totalled 177.6 MTs during the quarter, a nearly 11% increase from the 160.3 MTs offtake of a year earlier.  In June, supplies to coal-fired plants jumped to 1.713 MTs per day against a projected requirement of 1.6 MTs. This led to 107% materialization. CIL’s offtake to the power sector during the month jumped 27% to 51.4 MTs from 40.4 MTs in June 2021. Higher supplies during the month resulted in coal stock accretion of 77,000 tons per day at power plants.  CIL’s total offtake in June grew 15.4% to 59 MTs from 51.2 MTs last year."
Updated: 01 Jul 2022,"Stocks to Watch: HUL, RIL, Coal India, UPL, Airtel",https://www.livemint.com/market/stock-market-news/stocks-to-watch-hul-ril-coal-india-upl-airtel-11656640281790.html,"Here is the list of the top 10 stocks that are likely to be in focus on Friday: Hindustan Unilever: Hindustan Unilever Ltd CEO and managing director Sanjiv Mehta will be appointed as president commissioner (non-executive chairman) of Anglo-Dutch FMCG major Unilever's Indonesia business. Coal India: Coal India Ltd is looking at taking all its eight subsidiaries public as prices of the fossil fuel soared after power demand rebounded from the pandemic, a government official aware of the development said. Bharti Airtel: The Competition Commission of India approved Google’s investment of nearly $1 billion for 1.28% in Bharti Airtel. Bajaj Consumer Care: Bajaj Consumer Care Ltd is set to diversify its range under the flagship Almond Drops brand by launching more skin and hair care products. This is part of a broader attempt to diversify its portfolio. AU Small Finance Bank: Rating agency Crisil On Thursday revised its outlook on long-term debt instruments (tier-II bonds, non-convertible debentures, and subordinated debt bonds) of AU Small Finance Bank to AA/Stable. Reliance Industries: Reliance Brands has announced a strategic partnership with Pret A Manger, a global fresh food and organic coffee chain, to launch and build the brand in India. Lupin: Drug maker Lupin on Thursday said it has received approval from the US health regulator to market Paliperidone extended-release tablets, used to treat Schizophrenia, in the American market. Novartis: Drug firm Novartis India on Thursday said its division Sandoz Technical Operations has inaugurated a new manufacturing facility in Maharashtra. UPL: Agrochemical major UPL on Thursday announced partnership with global agribusiness player Bunge to form new firm Origeo that will strive to increase productivity, profitability and sustainability for farmers in Brazil. Jupiter Wagons: Mobility solutions provider Jupiter Wagons Ltd (JWL), which had announced the reverse merger with CEBBCO (Commercial Engineers & Body Builders Company Ltd) through the acquisition of the company, completed its listing on the bourses on Thursday."
