article_time,article_title,article_link,article_content
Updated: 27 Jun 2022,PVR among 4 weekly stock picks from Axis Securities,https://www.livemint.com/market/stock-market-news/pvr-shriram-transport-finance-sunteck-realty-eicher-motors-among-4-weekly-stock-picks-11656299587787.html,"Eicher Motors Limited, Sunteck Realty Limited, Shriram Transport Finance Company and PVR Limited are the top technical stock picks on a weekly basis from Axis Securities. Eicher Motors Limited has a buy at range ₹2850 - 2794, Sunteck Realty Limited has a buy at range ₹480 - 472, Shriram Transport Finance Company Limited has a buy at range 1235 - 1211 and PVR Limited has a buy at range 1840 - 1804, Axis Securities said in a report. The brokerage suggests a holding period or 3 to 4 weeks for these four stocks.  Indian stock markets rebounded last week with Sensex and Nifty both rising over 2.5% on a weekly basis after two straight weeks of losses.  Analysts say that global trends, crude oil movement and FII behaviour will be key this to watch this week amid monthly derivatives expiry. For this week, For the week, Axis expect Nifty to trade in the range of 16200-15400 with mixed bias. If Nifty crosses and sustains above 15800 level it would witness buying which would lead the index towards 15900-16200 levels, the brokerage said.  However if the index breaks below 15600 level it would witness selling which would take the index towards 15400-15200, Axis Securities added.  Here are 4 stock picks from Axis Securities  CMP: 1845; Buy Range: 1840-1804; Stop loss: 1735; potential upside: 6% –9% “On the weekly chart, PVR Limited has confirmed higher tops and bottoms formation indicating bullish trend. In addition to this , it has also broken out three months “down-sloping"" trend line breakout at 1800 levels. This breakout is accompanied with rising volumes indicating increased participation.  The stock is sustaining above its 20, 50, 100 and 200 day SMA which reconfirm bullish sentiments,"" Axis Securities said in a note.   CMP: 1245; Buy Range: 1235-1211; Stop loss: 1159; potential upside: 8% – 13% “On the daily chart, Shriram Transport Finance Company Limited has confirmed “symmetrical triangle"" breakout around 1230 levels on a closing basis. The stock has recaptured its 20, 50, 100 and 200 day SMA’s and sustaining above the same which reconfirm bullish sentiments. Rising volumes at breakout zone indicates increased participation. The daily “band Bollinger"" buy signal shows increased momentum. The daily and weekly strength indicator RSI continue to remain bullish which signals sustained and rising strength,"" Axis Securities said.   Sunteck Realty Limited CMP: 483; Buy Range: 480-472; Stop loss: 454; Potential Upside: 7% – 11% “On the daily chart, Sunteck Realty Limited has observed five months “down-sloping trend line"" breakout at 475 levels indicating trend reversal. This buying momentum was accompanied with huge volumes indicating increased participation at breakout level. The stock is also well placed above 20, 50, 100 and 200 day SMA which reconfirm bullish trend,"" the brokerage said.  Eicher Motors Limited CMP - 2870, Buy Range - 2850-2794, Stop loss - 2700; Upside potential - 6-12% “On the weekly chart, the Eicher Motors Limited has witnessed “down sloping channel"" breakout around 2800 levels and sustaining above the same. This breakout is accompanied with huge volumes indicating increased participation. The stock is well placed above its 20, 50 , 100 and 200 SMA which reconfirmed bullish trend,"" Axis Securities said.  Disclaimer: The views and recommendations made above are those of individual analysts or broking companies, and not of Mint."
Updated: 02 Jun 2022,"Royal Enfield grows 133% y-o-y, sells 63,643 motorcycles in May 2022",https://www.livemint.com/auto-news/royal-enfield-grows-133-y-o-y-sells-63-643-motorcycles-in-may-2022-11654152695816.html,"Royal Enfield posted sales of 63,643 motorcycles in the month of May against the sale of 27,294 motorcycles for the same month last year. The company registered a growth of over 133% in sales over the pandemic affected May last year. The company sold its highest ever 10,118 motorcycles in overseas markets, marking a YoY growth of over 40%. Royal Enfield continued its stable performance in the domestic market and posted an improvement over April 2022. Las month, Royal Enfield posted sales of 62,155 motorcycles against the sales of 53,298 motorcycles for the same month last year. Royal Enfield exported 8,303 motorcycles during the last month. The parent company of Royal Enfield, Eicher Motors, also posted a good Q4 results announced in April 2022. For the quarter ended March 31, 2022, Eicher Motors’ total revenue from operations was at an all-time high at ₹3,193 crore, up 8.6% as compared to ₹2,940 crore in the corresponding quarter of FY 2020-21. EBITDA was ₹757 crore, up 19.3% as compared to ₹634 crore in the same quarter of the previous financial year. Profit After Tax was ₹610 crore, an increase of 16.0% as compared to ₹526 crore during the same period last year.  During the quarter, Royal Enfield recorded sales of 182,125 motorcycles, down by 10.4% from 203,343 motorcycles sold during the same period in FY 2020-21. For the Financial Year ended March 31, 2022, Eicher Motors’ total revenue from operations was at an all-time high of ₹10,298 crore up by 18.1% as compared to ₹8,720 crore recorded for FY 2020-21 aided by Royal Enfield’s performance in international markets. Subsequent to the Board of Directors meeting the Chennai-based company also announced the appointment of B Govindarajan as Chief Executive Officer of Royal Enfield. With this appointment, Govindarajan will now be CEO - Royal Enfield, and Wholetime Director on the Board of Eicher Motors Ltd."
Updated: 02 Jun 2022,"Stocks to Watch: NHPC, Reliance, YES Bank, Eicher Motors",https://www.livemint.com/market/stock-market-news/stocks-to-watch-nhpc-reliance-yes-bank-eicher-motors-11654134700683.html,"Here is the list of the top 10 stocks that are likely to be in focus on Thursday: NHPC: State-run NHPC Ltd aims to securitize ₹2,000 crore revenue in the current fiscal, said its chairman and managing director, Abhay Kumar Singh. This is part of the securitization model the company has adopted in line with the Centre’s national monetisation pipeline (NMP). India’s largest power generation firm has appointed SBI Capital Markets Ltd for this exercise. Reliance Industries: Reliance Brands Ltd (RBL) and Plastic Legno SPA have entered a joint venture pact through which RBL will acquire a 40% stake in the European company’s toy manufacturing business in India. YES Bank: Yes Bank Ltd has chosen JC Flowers Asset Reconstruction Co. as its joint venture partner to offload ₹49,000 crore of bad loans as the private lender seeks to clean up its books and raise capital to fund credit growth. Dhanlaxmi Bank: The bank's shareholders have raised questions regarding the financial situation of the lender amid two major resignations. Nestle India: Nestle India is looking to tap opportunities in new categories such as 'healthy ageing', 'plant-based nutrition’ and 'healthy snacking' to boost growth in the country, its Chairman and Managing Director Suresh Narayanan said on Wednesday. Carmakers: Leading carmakers Maruti Suzuki, Hyundai and Tata Motors reported robust dispatches to dealers in May on the back of strong demand for passenger vehicles across regions, even as the global semiconductor shortage continued to impact production. Mahindra & Mahindra, Kia India, Toyota Kirloskar Motor, Honda Cars and Skoda also witnessed strong demand for their models last month. Eicher Motors: The firm recorded a growth of 133% in May 2022 compared to same month last year with 63,643 units of Royal Enfield sold. Hero MotoCorp: The two-wheeler major announced postponement of its first electric vehicle unveil, which was earlier scheduled to take place in July, to the festive season later this year. Butterfly Gandhimathi Appliances: The firm's long term rating has been upgraded by Crisil to 'AA' from 'A', and short term rating to 'A1+' from 'A2'. Mold-Tek Packaging: A 2.25% stake in the company was sold by Ashish R Kacholia & PAC through open market transactions on May 31."
Updated: 02 Jun 2022,Duplicate shares: SEBI penalises Eicher Motors for flouting rules,https://www.livemint.com/news/india/duplicate-shares-sebi-penalises-eicher-motors-for-flouting-rules-11654127452944.html,"Eicher Motors has been fined ₹10 lakh by the Securities and Exchange Board of India (SEBI) on June 1 for failing to perform due diligence in a case involving the issue of duplicate shares or new certificates. According to an order issued by the capital markets regulator, the corporation must pay the penalties within 45 days. The order comes after the SEBI received a complaint from Adesh Kaur against Eicher, alleging that 903 shares of the company, which had been held in her name since 1994-95, had been fraudulently transferred to an account of an impersonator who had managed to forge her signature and change her address from Sangrur (her original address) to Mumbai, and then had duplicate share certificates issued in the fraudster's name in lieu of the 903 s. According to Kaur's complaint, Eicher and its Share Transfer Agent (STA) — MCS Limited — performed or processed the change of address from Sangrur to Mumbai and the issuance of duplicate certificates without following SEBI requirements or undertaking adequate due diligence. In its order, the SEBI noted that Kaur had mentioned to Eicher about the fraudulent transfer of 903 shares of the company from her folio in 2013, the value of which was approximately ₹17.52 lakh during the relevant time. Eicher took steps to compensate Kaur by rectifying its register of members and transferred shares of the company to her demat account in May 2021. It is noted that the compensation was made by Eicher only after a specific direction was issued by the Supreme Court in July 2018, directing Eicher to rectify its register insofar as the physical share certificates are concerned. Although the court's direction was issued in July 2018, Eicher compensated Kaur in 2021, almost after three years. By doing so, it violated the general norms for processing documents. ""The time limit as prescribed under...the Listing Agreement and...the LODR Regulations in the matter of issuance of duplicate shares or new certificates has not been adhered to by the noticee (Eicher),"" the SEBI said. Under the rules, a listed entity is required to issue new certificates in cases of loss or old decrepit or worn-out certificates within a period of 30 days from the date of such lodgment. ""The investor was put to loss as a result of the complete failure on the part of the noticee (Eicher) to exercise the expected level of due diligence and professionalism while processing the request for issuance of duplicate certificates from the impersonators,"" the SEBI said. ""By aimlessly shifting the responsibility on its agent for the lapses, the interest of the investor has suffered. Clearly, the noticee has failed in its obligation to exercise due diligence, skill and promptitude while handling the complaint or grievance of Adesh Kaur,"" it added. (With PTI inputs)"
Updated: 16 May 2022,"Stocks to Watch: Bank of Baroda, Tech Mahindra, Eicher Motors, DMart, Maruti",https://www.livemint.com/market/live-blog/stocks-to-watch-bank-of-baroda-tech-mahindra-eicher-motors-dmart-maruti-11652664297144.html,"Here is the list of the top 10 stocks that are likely to be in focus on Monday: Bank of Baroda: State-owned Bank of Baroda Friday reported a standalone profit after tax of ₹1,779 crore in the quarter ended March 2022, helped by higher interest income and fall in bad loans. The lender had a loss of ₹1,047 crore in the year-ago period. DMart: Radhakishan Damani-led Avenue Supermarts (DMart) reported ₹427 crore consolidated net profit for the quarter ended March 2022 as compared to ₹414 crore recorded in the corresponding period of last year, posting year-on-year growth of 3.14 per cent. Nazara Tech: Digital gaming and sports platform Nazara Technologies on Friday posted an about 17 per cent increase in consolidated profit to ₹4.9 crore for the quarter ended March 2022. The company had logged a profit of ₹4.2 crore in the same period a year ago. Eicher Motors: Eicher Motors on Friday said its consolidated net profit after tax increased by 16 per cent to ₹610 crore for the fourth quarter ended March 31, 2022. The company had reported a net profit after tax of ₹526 crore in the January-March quarter of the 2020-21 fiscal. Tech Mahindra: IT services provider Tech Mahindra on Friday reported a 39 per cent jump in its consolidated net profit for March 2022 quarter at ₹1,678.4 crore, and exuded confidence that the positive business momentum will continue in the current fiscal. Maruti Suzuki: Maruti Suzuki India (MSI) has lined up ₹5,000 crore capex for various initiatives, including new product launches, for the current financial year, according to a senior company official. The country's largest carmaker has also announced an investment of ₹11,000 crore in the first phase of a new facility to be set up at Sonipat in Haryana. JK Paper: JK Paper Ltd on Friday reported a 25 per cent increase in consolidated net profit at ₹170.17 crore for the fourth quarter ended March riding on higher sales volumes. The company had posted a consolidated net profit of ₹136.07 crore in the corresponding period of previous fiscal, JK Paper Ltd said in a regulatory filing. Sundaram Home Finance: Sundaram Home Finance was bullish on the long-term prospects of the sector and would further strengthen its presence in real estate sector, according to a top official. The company clocked 44.9 per cent rise on its net profit for the quarter ending March 31, 2022 to ₹53.05 crore from ₹36.60 crore registered same period last financial year. Quint Digital Media: AMG Media Networks, a unit of billionaire Gautam Adani's conglomerate Adani Enterprises, will pick a 49 per cent stake in Raghav Bahl-curated digital business news platform Quintillion Business Media Pvt Ltd for an undisclosed sum, according to a regulatory filing. Ambuja Cements: Holcim Ltd. agreed to sell its Indian operations to local billionaire Gautam Adani, another step in Chief Executive Officer Jan Jenisch’s pivot away from traditional cement. The Swiss company will sell its 63.1% stake in Mumbai-listed Ambuja Cements Ltd. to Adani Group in a deal valuing the business at nearly $10 billion, according to a statement Sunday. Adani will inherit Ambuja’s controlling stake in another publicly traded cement producer, ACC Ltd., and buy Holcim’s direct 4.5% holding in the unit, the statement shows."
Updated: 14 May 2022,"Eicher Motors Q4 profit jumps 16%, appoints B Govindarajan as CEO Royal Enfield",https://www.livemint.com/auto-news/eicher-motors-q4-profit-jumps-16-appoints-b-govindarajan-as-ceo-royal-enfield-11652518464697.html,"Eicher Motors Limited (EML) announced audited consolidated financial results for the quarter and financial year ended March 31, 2022. For the quarter ended March 31, 2022, Eicher Motors’ total revenue from operations was at an all-time high at ₹3,193 crore, up 8.6% as compared to ₹2,940 crore in the corresponding quarter of FY 2020-21. EBITDA was ₹757 crore, up 19.3% as compared to ₹634 crore in the same quarter of the previous financial year. Profit After Tax was ₹610 crore, an increase of 16.0% as compared to ₹526 crore during the same period last year.  During the quarter, Royal Enfield recorded sales of 182,125 motorcycles, down by 10.4% from 203,343 motorcycles sold during the same period in FY 2020-21. For the Financial Year ended March 31, 2022, Eicher Motors’ total revenue from operations was at an all-time high of ₹10,298 crore up by 18.1% as compared to ₹8,720 crore recorded for FY 2020-21 aided by Royal Enfield’s performance in international markets.  EBITDA was ₹2,172 crore, up by 22.0% as compared to ₹1,781 crore in FY21, and Profit After Tax was recorded at ₹1,677 crore, up by 24.5% as compared to ₹1,347 crore for the same period last year.  During FY 2021-22, Royal Enfield registered motorcycle sales at 595,474, down 2.3% from 609,403 in FY 2020-21. Subsequent to the Board of Directors meeting the Chennai-based company also announced the appointment of B Govindarajan as Chief Executive Officer of Royal Enfield. With this appointment, Govindarajan will now be CEO - Royal Enfield, and Wholetime Director on the Board of Eicher Motors Ltd."
Updated: 13 May 2022,"Stocks to Watch: SBI, Tech Mahindra, RIL, Bank of Baroda, Airtel, Tata Motors ",https://www.livemint.com/market/stock-market-news/stocks-to-watch-sbi-tech-mahindra-ril-bank-of-baroda-airtel-tata-motors-11652404028055.html,"NEW DELHI: Following are the stocks that could be in focus on Friday: Reliance Industries: Reliance Industries Ltd (RIL) and BP Plc, which operate more than 1,400 fuel retail outlets under the Jio-BP brand name, are drawing up a compensation plan for dealers to stave off closure, as per a news report. In March, RIL nearly halved fuel supply to its dealers due to losses of ₹10-12 per litre daily on the sale of diesel. It has not resumed fuel supplies fully. Telcos: Bharti Airtel continued gaining subscriber share with 2.2 million customers added in March. Reliance Jio broke its three-month losing streak by adding over 1.2 million users during the month, taking its total base to 404 million, while Vodafone Idea lost over 2.8 million users in March. Larsen & Toubro: The engineering & infrastructure behemoth reported 10% year-on-year rise in profit to ₹3,621 crore for the March quarter, with revenue also up 10% at ₹52,851 crore. EBITDA increased 2.1% to ₹6,520.5 crore and order inflows grew 46 percent on year to ₹73,941 crore in during the quarter. Tata Motors: Has said inflation and a chip shortage are the biggest challenges facing Tata Motors. The company will nevertheless meet its profit and cashflow targets for the year. Capex is likely to increase to up to ₹6,000 crore this fiscal. Tata Motors saw its consolidated net loss narrow to ₹992.05 crore in March quarter from ₹7,585.34 crore a year ago. Revenue from operations fell to ₹78,439.06 crore from ₹88,627.90 crore in the year-ago period. PNB: Punjab National Bank has said it would subscribe to the rights issue of its associate mortgage lender PNB Housing Finance, which has renewed its capital raising plan by selling equity shares to existing shareholders. Zomato: Online food-delivery and restaurant booking company Zomato’s 10-minute delivery plan is being re-evaluated as the platform hasn’t been able to meet the time target for all orders during its pilot in Gurgaon, as per a media report. Adani Green Energy: Has approved allotment of two crore equity shares for ₹3,850 crore to Green Energy Investment Holding RSC Ltd. Adani Green will issue 2,00,18,198 equity shares of face value ₹10 each at the rate of ₹1,923.25 per share for ₹38,49,99,99,303.50 to Green Energy Investment Holding. Future Retail: The Mumbai bench of NCLT has granted more time to Future Retail Ltd. (FRL) to file its response to a Bank of India petition seeking to initiate insolvency resolution proceedings against the company for defaulting on loans. Petronet LNG: Has begun talks with Qatar to renew a multi-year gas deal despite market ""turbulence"", making new long-term contracts difficult as sanctions on Russian fuel have squeezed an already tightly supplied market. India's top gas importer has till end-2023 to renew its long-term liquefied natural gas (LNG) deal with Qatar Gas to beyond 2028. Ujjivan Small Finance Bank: Reported a 7% year-on-year decline in profit at ₹127 crore in quarter ended March, dented by higher provisions. Net interest income grew 48% to ₹544 crore and pre-provision operating profit rose 40% to ₹217 crore."
Updated: 30 Mar 2022,Day trading guide for Wednesday: 7 stocks to buy or sell today — 30th March,https://www.livemint.com/market/stock-market-news/day-trading-guide-for-wednesday-7-stocks-to-buy-or-sell-today-30th-march-11648600259140.html,"Day trading guide for Wednesday: The Indian stock market continued with decent gains on Tuesday after witnessing an upside bounce from the lower support levels on Monday. After opening on a positive note, the market showed volatile movement for the better part of the session. The upside momentum got strengthened in the later part of the session and Nifty advanced to the highest closing level since 15th February. In the last half an hour, Nifty 50 index broke out from the entire day’s range of 17,235 to 17,322. According to stock market experts, technically this pattern indicate follow-through upside move amidst a range movement. Presently, the Nifty is making an attempt to stage upside breakout of the range movement of the last 6-7 sessions around 17,450 levels. This is positive indication and one may expect sharp upside move in the market on the breakout of sideways range movement. The positive sequence like higher tops and bottoms is also intact as per daily time-frame chart. Day trading guide for stock market today Speaking on intraday trading strategy in regard to Nifty today; Nagaraj Shetti, Technical Research Analyst at HDFC Securities said, ""The short term trend of Nifty continues to be positive. A sustainable move above 17,500 levels is likely to pull Nifty towards the next upside trajectory of around 17,800 to 18,000 levels in the near term. Immediate support for NSE Nifty is placed at 17,250 levels."" Advising traders to look for buying opportunity in stock market today; Ruchit Jain, Lead Research at 5paisa.com said, ""Nifty has been consolidating within a range since last few days which just seems to be a time-wise correction within an uptrend. This consolidation was much required as the momentum readings were deeply overbought post the recent sharp run up from the lows. However, due to this range bound price action, the momentum readings cooled-off from their overbought zone and are now indicating a positive traction. The index has formed a support base at 17,000 and till this support is intact, intraday dips will witness buying interest just as we saw today. Hence, we advise traders to look for buying opportunities as ahead of the F&O expiry, we may see the index resuming its uptrend."" Ruchit Jain went on to add that data indicates immediate resistance around 17,450 to 17,500, but considering that the index may try to resume the momentum in the near term, we expect the market to breach this hurdle soon. ""One should look out for such stock specific opportunities as that has better potential to generate good short term returns,"" Ruchit Jain of 5paisa.com said. On small and broad range of Nifty and Bank Nifty today; Sneha Seth, Derivatives Research Analyst at Angel One Limited said, ""The broader range for Nifty today is place between 17,000 to 17,500 whereas for high risk traders, small range of Nifty is placed between 17,100 to 17,400 levels. Similarly, small range of Nifty Bank index seems placed between 35,400 to 36,200 levels whereas broader range of Nifty Bank index is placed between 35,000 to 36,800 levels."" Day trading stocks Sharing intraday trading stocks for today, stock market experts — Sumeet Bagadia, Executive Director at Choice Broking; Sneha Seth of Angel One Limited; Rohit Singre, AVP — Research at Bonanza Portfolio, Mehul Kothari, AVP – Technical Research at Anand Rathi Shares & Stock Brokers and Anuj Gupta, Vice President at IIFL Securities — recommended 7 stocks to buy or sell today. Sumeet Bagadia's day trading stocks to buy today 1] MOIL: Buy at CMP, target ₹205, stop loss ₹184 2] Adani Ports: Buy at CMP, target ₹780, stop loss ₹740 Sneha Seth's intraday stocks for today 3] Max Financial Services Ltd or MFSL: Momentum buy at CMP, target ₹762, stop loss ₹727 4] Infosys: Buy at CMP, target ₹1927, stop loss ₹1860 Anuj Gupta's stock of the day 5] Delta Corp: Momentum buy at CMP, target ₹350, stop loss ₹315 Rohit Singre's stock pick for today 6] Godrej Properties: Buy at CMP, target ₹1800, stop loss ₹1550 Mehul Kothari's day trading stock for Wednesday 7] Eicher Motors: Buy at CMP, target ₹2610, stop loss ₹2415. Disclaimer: The views and recommendations made above are those of individual analysts or broking companies, and not of Mint."
Updated: 15 Mar 2022,"Maruti, Eicher, M&M, Bajaj Auto among 75 firms approved in PLI scheme; 10 points",https://www.livemint.com/news/india/maruti-eicher-m-m-bajaj-auto-among-75-firms-approved-in-pli-scheme-10-points-11647333134316.html,"Production Linked Incentive (PLI) Scheme for Automobile and Auto Component Industry has witnessed stellar demand from the companies. On Tuesday, the government announced the scheme successfully attracts proposed investment of a whopping Rs74,850 crore against the target estimate of ₹42,500 crore. Furthermore, 75 applicants have received approval under the “Component Champion Incentive Scheme"". Major automakers such as Maruti Suzuki, M&M, Hyundai Motor, Tata Motors, Bajaj Auto, Hero MotoCorp, TVS Motor, and Ford India were some of the companies to receive approval under the PLI scheme. Moreover, Bharat Heavy Electricals and CEAT received approval under the new Non-Automotive Investor (Component) companies category. Union Heavy Industries Minister Dr. Mahendra Nath Pandey said, “The overwhelming response shows that Industry has reposed its faith in India’s stellar progress as a world-class manufacturing destination which resonates strongly with Hon’ble Prime Minister’s clarion call of AtmaNirbharBharat - a self-reliant India. India will surely take a huge leap towards cleaner, sustainable, advanced and more efficient Electric Vehicles (EV)based system"". Here are 10 key highlights of the scheme. 1. Under the PLI scheme, the proposed investment of ₹45,016 crore is from approved applicants under Champion OEM Incentive Scheme and ₹29,834 crore from approved applicants under Component Champion Incentive Scheme. 2. A total of 115 companies had filed their application under the scheme. From which, 5 Auto OEM companies had applied for both parts of the scheme. The scheme was open for receiving applications before midnight of 9 January 2022. Incentives are applicable under the scheme for Determined Sales of Advanced Automotive Technology (AAT) products (vehicles and components) manufactured in India from 1 April 2022 onwards for 5 consecutive years. 3. The schemes have two components viz. Champion OEM incentive scheme and Component Champion incentive scheme. A total of 95 applicants have been approved under this PLI scheme. Earlier, the government approved 20 applicants (along with their 12 subsidiaries)for the Champion OEM Incentive scheme. Subsequently, the government has processed the applications received under the Component Champion incentive scheme and 75 applicants (along with their 56 subsidiaries) have been approved under this category of the scheme. 4. Apart from Indian business groups, approved applicants include groups from countries such as Japan, Germany, USA, UK, Republic of Korea, Ireland, France, Belgium, Netherlands, and Italy. 5. The Champion OEM Incentive scheme is a ‘sales value linked’ scheme, applicable on Battery Electric Vehicles and Hydrogen Fuel Cell Vehicles of all segments. 6. Meanwhile, the Component Champion Incentive scheme is a ‘sales value linked’ scheme, applicable on Advanced Automotive Technology components of vehicles, Completely Knocked Down (CKD)/ Semi Knocked Down (SKD) kits, Vehicle aggregates of 2-Wheelers, 3-Wheelers, passenger vehicles, commercial vehicles, and tractors, etc. 7. The Centre had approved the PLI scheme for the Automobile and Auto Component Industry to enhance India’s Manufacturing Capabilities for Advanced Automotive Products (AAT) with a budgetary outlay of ₹25,938 crore. 8. The scheme was made open to existing automotive companies as well as new investors who are currently not in the automobile or auto component manufacturing business. 9. The scheme proposes financial incentives to boost domestic manufacturing of Advanced Automotive Technology (AAT) products and attract investments in the automotive manufacturing value chain. Its prime objectives include overcoming cost disabilities, creating economies of scale, and building a robust supply chain in areas of AAT products. It will also generate employment. This scheme will facilitate the Automobile Industry to move up the value chain into higher value-added products. 10. The Centre expects PLI scheme for the automotive sector along with PLI scheme for Advanced Chemistry Cell (ACC) and FAME to enable India to leapfrog from traditional fossil fuel-based automobile transportation system to environmentally cleaner, sustainable, advanced, and more efficient Electric Vehicles (EV) based system. Here's a list of some companies that have received approval under the Champion OEM Incentive scheme: Under Champion OEM (except 2W & 3W), companies like Ashok Leyland, Eicher Motors, Ford India, Hyundai Motor, Kia India, Mahindra & Mahindra, PCA Automobiles India, Pinnacle Mobility Solutions, Suzuki Motor Gujarat, and Tata Motors received approval. In Champion OEM 2W & 3W category, approval was given to companies like Bajaj Auto, Hero MotoCorp, Piaggio Vehicles, and TVS Motor Company. Meanwhile, in New Non-Automotive Investor (OEM) category, firms like Axis Clean Mobility, Booma Innovative Transport Solutions, Elest, Hop Electric Manufacturing, Ola Electric Technologies and Powerhaul Vehicle. Notably, a total of 73 existing Automobile and Auto Component Manufacturing companies were approved under Component Champion Incentive Scheme. Some of the companies are Maruti, Bharat Forge, Hero MotoCorp, Bosch, Minda Corporation, Motherson Sumi Systems, Toyota Industries, Tube Investments Of India and Wabco India were among others. BHEL and CEAT were approved under New Non-Automotive Investor (Component) companies."
Updated: 24 Feb 2022,"As two-wheeler demand recovers, road is tough for margins",https://www.livemint.com/market/mark-to-market/as-two-wheeler-demand-recovers-road-is-tough-for-margins-11645691154234.html,"The woes of two-wheeler companies are far from over with the industry facing risks from muted rural demand, higher commodity prices, chip shortage, and supply chain disruptions. While two-wheeler companies were hopeful of a sequential margin expansion in Q4 on the back of price hikes in January and expected stabilization in commodity costs, one variable is posing a problem now. Even as prices of steel are stabilizing, those of aluminum and precious metals are rising from November–December lows. Two-wheelers’ higher exposure to aluminum and precious metals is likely to dent margins. True, companies can resort to price hikes, but this would impact demand and affordability. “We estimate 2W (two-wheeler) original equipment manufacturers (OEM) would have to increase prices by 2.0-2.5% to fully pass on the recent impact and maintain gross margins at 3QFY22 levels"" said analysts at IIFL Securities in a report. As such, there is a slight relief as analysts believe that the demand is bottoming out now. Demand is set to rebound with the economy opening up and an expected healthy rabi crop season which will aid rural demand. The upcoming marriage season is also likely to help demand. The increased penetration of two-wheelers in Indian households over the years is proof that it is prime to India’s mobility. “The combined effect of big regulatory cost push, weak economy and Covid has resulted in 2W volume declining 34% over FY19-22E. We believe Indian 2W demand is ripe for recovery after the worst fall in five decades. We expect an urban-led revival to drive faster growth for scooters and premium motorcycles vs sub-125cc bikes"" said analysts at Jefferies India Pvt Ltd in a report Further, better growth in urban areas will favor the likes of Bajaj Auto Ltd and Eicher Motors Ltd owing to its meaningful presence in the premium segment. TVS Motor Co. Ltd is gaining an increased share in 2W exports. But concerns continue to persist for Hero MotoCorp Ltd as it primarily operates in the entry segment. Investors seemed to factored this going by the underperformance of Hero MotoCorp’s shares vis-à-vis its peers in the past one year. Besides that, Hero MotoCorp does not have a presence in the 3W segment like TVS and Bajaj and it also has a relatively lesser exposure in exports. Meanwhile, the electric vehicle (EV) segment is seeing an increase in new entrants reflecting that EV adoption is accelerating. Listed OEMs are also focusing on expanding their presence in this segment as the whole industry moves towards sustainable options. TVS Motor, Bajaj Auto and Hero MotoCorp are either planning to launch a new electric vehicle in the coming years or expand their current offerings to more cities. “Share of EVs in 2Ws has risen from just 0.4% in FY21 to 3% (~9% of scooters) in Jan-Feb; we expect EVs to form 8% of 2Ws (25% of scooters) by FY25,"" added the Jefferies report"
