article_time,article_title,article_link,article_content
Updated: 05 Jul 2022,IT services firms likely to report strong revenue in Q1,https://www.livemint.com/companies/company-results/it-services-firms-likely-to-report-strong-revenue-in-q1-11657042305039.html,"BENGALURU :   Top Indian IT services companies are expected to report strong revenue growth of 2.3-4.3% quarter-on-quarter (Q-o-Q) in constant currency during the fiscal first quarter ended June, according to analysts. Tata Consultancy Services Ltd (TCS) will kick off the earnings season on Friday. However, the peak revenue growth of these companies is likely to be behind them and the momentum is expected to start softening from H2 FY23 due to absence of large deal wins and clients postponing their technology spends. While the long-term demand environment remains unaltered, elevated inflation and an economic slowdown in the US and Europe is likely to impede growth in the second half of the fiscal. “We anticipate Infosys to lead on organic revenue front with growth of 4.3% QoQ in constant currency, followed by TCS at 3.6% QoQ in constant currency. Growth in Tech Mahindra, Wipro and HCL Technologies is expected to be soft due to seasonal weakness and moderation in demand,"" ICICI Securities said in a pre-earnings note. Margins are likely to be under pressure due to wage hikes, higher backfilling costs, increase in travel/visa/other discretionary costs with the easing of travel restrictions, and back-to-office trends, said Emkay Research. “Due to cross-currency headwinds, benefits from rupee depreciation will be marginal in Q1."" The brokerage firm expects Infosys to retain its annual revenue growth guidance of 13-15% in constant currency and EBIT margin guidance of 21-23% for FY23. HCL Technologies is also likely to retain its 12-14% revenue growth and 18-20% EBIT margin guidance range. Wipro should guide for a 2.5-4.5% sequential growth in constant currency with Rizing adding about 1% incrementally for Q2 FY23. In the absence of large deal wins, smaller deals will drive deal intake in the June quarter. “ACV (annual contract value) of signed deals to remain strong. We expect the deal intake to remain healthy across companies in Q1, with an uptick in smaller deals (led by clients’ urgency to execute digital transformation deals quickly) driven by increased demand for cloud adoption, digital transformation and customer experience transformation deals,"" Emkay Research said."
Updated: 24 Jun 2022,IT firms bet on organic cloud platforms,https://www.livemint.com/industry/infotech/it-firms-bet-on-organic-cloud-platforms-11656014158470.html,"BENGALURU : Top software services companies like Tata Consultancy Services Ltd (TCS), Infosys Ltd, HCL Technologies Ltd and Wipro Ltd are betting big on organic cloud platforms built in-house to help customers accelerate their cloud journeys. The shift to cloud has accelerated due to the pandemic. According to Gartner, by 2025, 51% of IT spending in the areas of application software, infrastructure software, business process services and system infrastructure markets is expected to shift to public cloud, compared to 41% in 2022. Traditional offerings, constituting 58.7% of revenue in 2022, should witness a much slower growth than cloud. “Surge in cloud adoption could prove to be a growth lever for IT service providers on the back of cloud platforms created by them to help speed up cloud transformation journey of clients, thereby improving the utilization of cloud capacity subscribed by clients, and thus, translating bookings into revenues for hyperscalers partners,"" analysts at ICICI Securities said. Infosys has developed an organic cloud platform known as Cobalt, comprising a set of services, solutions, and platforms to help clients, mostly large enterprises, build new cloud-first capabilities. It offers 14,000 cloud assets and over 200 industry cloud solution blueprints. Infosys has also created a Polycloud platform, which enables enterprises to procure, build, and manage vendor-agnostic solutions across multiple hybrid cloud providers without worrying about vendor lock-in. Similarly, TCS Enterprise Cloud is a cloud platform that provides a range of flexible cloud infrastructure options to support dynamic cloud services. It offers data services built on an open-source stack supporting big data, analytics, internet of things (IoT). Cloud Smart by HCL Technologies aims to “reimagine"" the cloud to provide an adaptive portfolio of innovative cloud services driven by high-tech automation and a robust partner ecosystem. Last year, Wipro committed to invest $1 billion to strengthen its cloud technologies, capabilities, acquisitions, and partnerships over the next three years. As part of this, it launched Wipro FullStride Cloud Services, which brings together the full portfolio of Wipro’s cloud-related capabilities, offerings, and talent."
Updated: 21 Jun 2022,Inaugural Cohort of ATLAS SkillTech University Fellows On The Way To Success,https://www.livemint.com/brand-stories/inaugural-cohort-of-atlas-skilltech-university-fellows-on-the-way-to-success-11655801630636.html," Brand Stories/HT Brand Studio  Mumbai, June 21, 2022 – India’s leading urban multidisciplinary university - ATLAS SkillTech University – held its inaugural graduation ceremony for its first batch of Academic Fellows on June 18, 2022, in Mumbai. Chief Guest, Ronnie Screwvala, Indian entrepreneur, philanthropist, opinion leader and author, graced the occasion with his presence. Over 1500 ATLAS Fellows with an interesting mix of diverse backgrounds, coming from more than 20 different states across India and overseas, participated in the grand ceremony hosted at Jio World Convention Centre.  Congratulating the students, Dr. Indu Shahani, Founding President and Chancellor, ATLAS SkillTech University, said, “ATLAS SkillTech University offers students a technology-enabled learning environment and represents the university of tomorrow. The knowledge and skills the graduating fellows have acquired at ATLAS during this fellowship have nurtured future-ready digital professionals. We are extremely proud of our talented students and wish them great success as they step out to create the new world order.""  These ATLAS Fellows have completed rigorous, new-age programs in Design (ISDI), Management, Entrepreneurship (ISME), Hospitality, Media, Digital Marketing, Film and Animation created in collaboration with world leaders in education. The cutting-edge innovation-focused interdisciplinary programs are designed to transform young and creative learners into inventors, innovators, researchers, entrepreneurs and technology leaders. The programs prepare students for high-impact careers with an entrepreneurial mindset.  ATLAS has given students a phenomenal advantage to become part of the larger business community with its experienced faculty, corporate and global networks, state-of-the-art infrastructure and central location in Bandra-Kurla Complex (BKC) with proximity to over 500 leading conglomerates.  The first batch of graduating ATLAS fellows have secured top placements and internships across various industries in leading organisations such as Apple, Aditya Birla Group, Bain & Company, Boston Consulting Group, Colgate, Deloitte, EY, Gucci, Harvard T.H. Chan School of Public Health, HCL Technologies, HDFC Bank, Infosys, KPMG, Mahindra, Nykaa, Phillips, PWC, Reliance Industries, Samsung, Sabyasachi, Siemens, TATA Consultancy Services, Tommy Hilfiger, Viacom and Vogue.  Those wanting to pursue further studies have been accepted for coveted Masters Programs at the world’s leading universities such as Columbia University, Imperial College London, New York University, London Business School, London School of Economics, John Hopkins University, Parsons School of Design, University of the Arts London, SCAD and Rice University among many others.  For more information, visit https://atlasuniversity.edu.in/  About ATLAS SkillTech University  ATLAS SkillTech University is a state private skills university situated in Mumbai. Focused on emerging trends and skills for young India, ATLAS has adopted a futuristic multidisciplinary education model co-created with an international community of scholars, academicians, industry experts, and world leaders in education with an undivided focus on academic excellence. ATLAS delivers cutting-edge undergraduate and postgraduate education across the new-age streams of Design & Innovation, Management & Entrepreneurship and Digital Technology. The world-renowned faculty, start-of-the-art infrastructure, and unique corporate connect of ATLAS empower students to succeed in Industry 4.0 and become global leaders.  The University is led by the Founding President and Chancellor of ATLAS SkillTech University, Dr. Indu Shahani (Former Sheriff, Mumbai). To follow ATLAS SkillTech University on Instagram, click on: https://www.instagram.com/atlasskilltechuniversity/?hl=en  For Facebook, click on:  https://www.facebook.com/atlasskilltechuniversity/  For LinkedIn, click on :  https://www.linkedin.com/school/atlasuniversity/ Disclaimer: This article is a paid publication and does not have journalistic/editorial involvement of Hindustan Times. Hindustan Times does not endorse/subscribe to the content(s) of the article/advertisement and/or view(s) expressed herein. Hindustan Times shall not in any manner, be responsible and/or liable in any manner whatsoever for all that is stated in the article and/or also with regard to the view(s), opinion(s), announcement(s), declaration(s), affirmation(s) etc., stated/featured in the same."
Updated: 01 Jun 2022,Digital is gradually changing the nature of deals for IT companies,https://www.livemint.com/companies/news/digital-is-gradually-changing-the-nature-of-deals-for-it-companies-11654026807652.html,"BENGALURU : As software services companies help clients accelerate their digital transformation initiatives, the nature of deals is becoming shorter and smaller. Digital projects are aimed at solving specific customer pain points and therefore tend to be smaller in size and value, and of shorter duration than traditional contracts. “Some customers want to introduce a big digital programme, so they break it into smaller programmes and then take it step by step. So, we see a higher percentage of smaller deals in the overall pipeline,"" C. Vijayakumar, chief executive officer and managing director, HCL Technologies Ltd said in a recent interview. “As we see, I think there are lots of mid-sized and large deals as well in the pipeline. We have always enjoyed a very good renewal rate of over 90% in our services business, and it continues to be in that range."" With the overall macro environment beset with various challenges, short-term deals are being increasingly accepted by both clients and vendors. “In our view, clients prefer short tenure digital deals because they can easily track their return on investment with the launch of new platforms or programmes in a phased manner. So, many clients do not opt to launch the entire transformation programme at one go, given the higher risk,"" said Ashis Dash, IT analyst at Sharekhan by BNP Paribas. From n software services provider’s point of view, short-term contracts are beneficial given the faster conversion of revenue. “Further, the vendor is able to push for price increase during signing of the next phase of the digital transformation programme based on its understanding of earlier programmes and complexities of the new deals, which would be beneficial in terms of margins for the IT services vendor,"" added Dash. The short-cycle digital deals typically span for about 6-12 months and clients usually choose the existing vendor to execute subsequent phases of its transformation programme. Historically, the software services companies have been organized to deliver large projects at low costs. However, digital projects have opposite characteristics. “These are smaller, complex projects where margins as a percentage of revenue are higher. Digital projects, like consulting projects, are also the gateway to downstream work, which presents larger and longer maintenance opportunities. Digital projects need to be viewed as the tip of the spear in IT, much like consulting projects,"" said Abhisek Mukherjee, co-founder and director, Auctus Advisors. During the March quarter, none of the local software services companies bagged a mega deal worth $1 billion or more. To be sure, the share of digital revenue continues to rise for most of these companies. For Infosys Ltd, revenue from digital business grew 38.8% in constant currency from a year earlier and contributed 59.2% to the total revenues for the quarter ended March. For HCL Technologies, digital or ‘mode 2’ business grew 31.6% in constant currency from a year ago and contributed 27.2% to the revenues for the March quarter. Some such as Tata Consultancy Services Ltd and Wipro Ltd have stopped calling out digital revenues separately as the lines between traditional and digital offerings are getting blurred. Going forward, the share of the digital revenue is only expected to rise. Organizations across industries are adopting digital transformation strategies and quickly adapting to new ways of working to serve their customers. The worldwide IT spending is projected to total $4.4 trillion in 2022, an increase of 4% from 2021, according to the latest forecast by research firm Gartner Inc. The major growth drivers of this massive digital transformation are the adoption of industry 4.0, the use of advanced technologies such as cloud, IoT, big data and analytics, mobility, and social media."
Updated: 25 May 2022,India puts 'new reality' on display with Davos street show,https://www.livemint.com/news/world/india-puts-new-reality-on-display-with-davos-street-show-11653487402332.html,"DAVOS : Bright colours and bold logos proudly signal where India has set up base on the main street in Davos this year, as the country trumpets its pro-business and foreign investment drive. Inside a pavilion on the Swiss Alpine resort's Promenade street beneath an ""India @ Davos 2022"" logo, the federal government served up treats including 'masala chai' tea, 'samosa' snacks and other spicy delicacies. Clustered around it are six Indian states with their own lounges, housed in what are usually high street shops. ""It's an Indian street, it should be called 'Little India'. It shows the country is open for investments,"" said Samir Saran of India's Observer Research Foundation. Indian Commerce Minister Piyush Goyal told Reuters that Prime Minister Narendra Modi had suggested bringing states together to showcase unity at the gathering of business and political leaders at the World Economic Forum. ""Investors love this kind of a messaging,"" Goyal said. While India has long had a presence at the World Economic Forum, several officials and attendees from Asia's third-largest economy said it was not previously so prominent. At the government's base, food was being prepared by a team of 15 chefs who were flown in from India, along with 450 kilograms of vegetables and local spices, head chef Guru Nathan told Reuters, as people enjoyed a fragrant morning buffet. ""We were asked to keep the spice moderate so that everyone can enjoy (the food),"" Nathan said. Only a few steps down the road, Indian tech giants Infosys, Wipro and HCL Technologies have set up their bases close to those of Alphabet's Google, Meta and Intel. One state government official put the number of Indian officials attending Davos at more than 100, with scores of company executives and a handful of startups also present. Goyal estimated overall there would be 200 Indian participants. ""We have record numbers from India,"" Sriram Gutta, head of India agenda at the WEF, said. 'NEW REALITY' Federal ministers have talked about India's economic boom and the opportunities it offers at Davos. Although Modi's government has often faced criticism from foreign companies for announcing policies which they say are protectionist in nature and favour domestic companies, India recently reported its highest ever foreign direct investment inflow, which hit $83.57 billion in 2021-22. After engaging regularly with Indian states on subjects such as agriculture technology, drones and electric vehicles, the WEF has gradually increased the number of invitations to them, Gutta said, adding that they ""will continue to gain prominence"". Even though they are run by different political parties, the states were seeking to project a united image and showcase their respective offerings for businesses, Deepak Bagla, CEO of federal investment promotion arm Invest India, told Reuters. The southern state of Andhra Pradesh signed investment pacts worth a total of $16 billion for investment in renewables at Davos, while one official said Karnataka has held meetings with prospective investors. ""What this street really shows you is the new reality of India,"" Bagla said. This story has been published from a wire agency feed without modifications to the text."
Updated: 23 May 2022,Top picks: ICICI Securities recommends these IT stocks to buy,https://www.livemint.com/market/stock-market-news/top-stock-picks-icici-securities-recommends-these-it-stocks-to-buy-11653297719611.html,"Nifty IT has underperformed Nifty by 5% since the past one month. The correction can be attributed to headwinds of slowing revenue growth, reduced margins, elevated consensus expectations and of course stretched stock valuations, in addition to a weak macro environment. “We do believe valuations have contracted materially, but the price paid for high earnings growth is still elevated. We strongly suggest to investors that deployment in Indian IT services segment should be very slow and gradual as we believe there will be many unknown risks ahead, which might further hamper the valuations,"" the note stated. The start of slowdown induced by central bank policy tightening is already being seen. Among mid-caps, it has retained pecking order: Coforge, MTCL and Persistent Systems. Among large-caps, the brokerage has recommended TCS, Infosys, HCL Technologies, Wipro, Tech Mahindra. It has downgraded Mphasis' shares rating from Buy to Add. Further, given the recent sharp correction over the past month, the brokerage has upgraded its rating on Newgen to Buy. “Emphasis on costs will likely lead to dampening of tech budgets and reduce discretionary spend. Macro factors such as GDP, PMI, S&P 500 revenues and CEO confidence are worsening by the day,"" ICICI Securities added. ""We expect a ‘J line’ curve in cost items in the P&L in FY23/FY24. For example, travel costs, which accounted for 2-3% of revenues, are down to ~0.5% now. Going forward, we will also have to take into account the already high inflation, which might push travel costs (and other costs too) way higher than pre-covid levels,"" it added. ICICI Securities still believes the fallen stock prices have not yet fully captured all the headwinds on growth and margins. The views and recommendations made above are those of individual analysts or broking companies, and not of Mint."
Updated: 13 May 2022,"IT/ITes to hire up to 1 mn by end-2023, says industry body",https://www.livemint.com/industry/human-resource/itites-to-hire-up-to-1-mn-by-end-2023-says-industry-body-11652383759868.html,"The domestic IT and ITes industry is set to hire 800,000 to one million people by the end of 2023, according to estimates by the Indian Staffing Federation (ISF), which represents more than 100 recruitment and flexi staffing companies.  The hiring frenzy in the tech sector will continue and it will take at least a year for the attrition to subside as the pressure to poach from rivals abates. “The sector is adding 400,000-500,000 a year and we do not see demand easing soon,"" said ISF president Lohit Bhatia. The tech sector currently employs about 4.5 million people. The industry body, which sees a large portion of the workforce with 0-8 years experience, does not expect any of the tech firms to change their non-compete clauses. “I don’t think any organization would completely open the no-compete clause and allow people to walk away with data and customer information,"" Bhatia said. ISF’s comments come on the back of a Pune-based labour union’s appeal to the Union labour ministry seeking removal of the non-compete clause by IT giant Infosys. The clause, a common practice in the industry, prevents employees from joining a rival firm on similar projects, clients, and geographies. The focus on these clauses come at a time when the tech sector is battling record high attrition. Infosys, Wipro, Tata Consultancy Services (TCS) and HCL Technologies faced record high attrition levels in the March quarter. Infosys posted an attrition rate of 27.7%, while TCS had an attrition rate of 17.4% during the quarter. Wipro clocked an attrition rate of 23.8%, while that of HCL was 21.9%.  However, ISF’s Bhatia said that the attrition numbers will come down in a year. “Attrition is hovering around 25%. It will ease in a year once tech firms with their hybrid policies hire from smaller towns. This will ease pressure to recruit from rivals in cities,"" he said. The industry body is optimistic that hiring demand will be seen beyond technology as hospitality, aviation and retail sectors return to pre-pandemic levels. Most of the job roles are “covid proof"" where only a few may run the risk of a salary dip, according to a study by recruitment firm TeamLease Services. The Jobs and Salaries Primer FY 2021-22 was done from salary data of 410,000 employees and it showed that salaries grew by a minimum of 4.11 % and a maximum of 10.71% across sectors in FY22."
Updated: 12 May 2022,We see higher percentage of smaller deals in the pipeline: C. Vijayakumar,https://www.livemint.com/companies/we-see-higher-percentage-of-smaller-deals-in-the-pipeline-c-vijayakumar-11652379062271.html,"BENGALURU : The pandemic has shifted the way technology is being adopted by businesses, and cloud has now become a business strategy for a lot of clients instead of being only a technology strategy. The digital nature of deals has also changed in their sizes and duration. In an interview, C. Vijayakumar, chief executive and managing director, HCL Technologies Ltd, spoke about the changing nature of deals, expansion plans and acquisition strategy. Edited excerpts: Have the client budgets for this fiscal been finalized yet and which areas are they investing in? We are pretty much almost halfway to the calendar year, so the client budgets are already decided and as you would expect, a lot of them are investing in technology initiatives. One big initiative where we see a lot of customers investing is cloud adoption. The whole cloud strategy has become a business strategy for a lot of clients. This is because cloud offers a scalable platform, it allows the flexibility to scale up and down, and it allows you to collaborate with multiple industries. It is really the platform of innovation for a number of businesses. Given the digital nature of deals, have the deal sizes actually become smaller and of shorter durations? Some customers want to introduce a big digital programme, so they break it into smaller programmes and then take it step by step. So, we see a higher percentage of smaller deals in the overall pipeline. As we see, I think there are lots of mid-sized and large deals as well in the pipeline. We have always enjoyed a very good renewal rate of over 90% in our services business, and it continues to be in that range. What’s your strategy to expand into other markets apart from your core ones? We have a new strategy—one is called focus countries and the other is called new frontier countries. In the focus countries, there are five geographies where we are focusing on—Germany, France, Japan, Australia and Canada. These five are significant in terms of spending and we want to expand in these geographies. In the new frontier countries, we have low presence but we are building up our presence. These countries include Brazil, Mexico, Spain, Portugal, South Korea and Vietnam. We have already set up our presence there in the last couple of years and we are already seeing good traction in these countries. In the context of the Russia-Ukraine war, did you have any operations in either of these countries and do you continue to expand in other European countries? We did not have any operation in either of the two countries. We continue to ramp up in other East European countries such as Bulgaria, Romania and Poland. These are three important countries where we are continuing to scale up. There has been no noticeable impact from the war. What is your acquisitions strategy for this year? Our acquisitions will be mostly from a capability building point of view. We recently announced the acquisition of Confinale AG, a Switzerland-based digital banking and wealth management consulting specialist, which is expected to increase our footprint in the global wealth management market. We are open to looking at acquisitions as we see opportunities to add more capabilities. But our big focus is on organic growth. How has the pandemic changed the role of a CIO and what are the trends you see during your recent conversations? The pandemic has made resilience a very important requirement for every business and every leader. And chief information officers (CIOs) have played a huge role in demonstrating or establishing resilience for a number of businesses, whether it is work from home or managing the volume fluctuations that were part of what happened during the pandemic. I think the CIO’s role has become even more important because technology is driving a big part of the business outcome today. What are some of the new technologies HCL will be focussing on this year and beyond? Internet of things (IoT) is definitely a sharp focus area. Digital engineering is the other important area which includes 5G, softwarization, data engineering, and cloud modernization of applications. On the digital foundation side, we are very focused on security, SD-WAN (software-defined wide area network). In the digital workplace front, we are focused on experience services as the employees of our clients are so distributed today, working from anywhere. So, it is about offering a good experience of the IT platform."
Updated: 12 May 2022,HCL Tech's Roshni Nadar Malhotra seeks to boost company's growth,https://www.livemint.com/companies/people/hcl-tech-s-roshni-nadar-malhotra-seeks-to-boost-company-s-growth-11652355610856.html,"Roshni Nadar Malhotra, the chairwoman of HCL Technologies Ltd., is seeking to grow sales at the software services company founded by her billionaire father in double digits and planning to expand business into newer geographies. “My vision for HCL Technologies is that we should keep growing in double digits,"" Malhotra, the only woman among those helming top software makers in India, said at a media briefing in Mumbai. “Five years from now, we will grow in more geographies and business lines."" The company founded by tech tycoon Shiv Nadar clocked revenues of $2.99 billion in the quarter to March 31, a jump of 11% over the past year, exchange filings show. It counts plane maker Boeing Co. and health care major Merck & Co among its clients and expects revenues to grow by as much as 14% in the year to March 2023. IT services for chip companies are also a focus area for HCL Tech, Malhotra said, as the world moves toward chip sovereignty with countries including the US, Japan and India wooing semiconductor makers to build factories.  Malhotra took over HCL, India’s third-largest IT services company, after her father stepped down in 2020. Nadar, considered a pioneer in India’s tech industry, started HCL in the 1970s as a hardware firm that made computers. The company gradually began offering software services to global clients and has since become a key player in India’s IT services industry. This story has been published from a wire agency feed without modifications to the text. Only the headline has been changed."
Updated: 10 May 2022,Intel introduces new global rewards policy for employees,https://www.livemint.com/industry/human-resource/intel-introduces-new-global-rewards-policy-for-employees-11652122742478.html,"Intel Corp. introduced a rewards and recognition (R&R) programme for its 120,000 employees worldwide as the US chip giant seeks to attract new talent and retain existing employees amid a covid-induced spurt in demand for tech workers. “You’ve got to reward people for the work that they do. You also get to reward people in terms of an outcome and people like a tangible kind of a thing,"" Vijay Colaco, human resource director at Intel India said in an interview. He did not disclose the size of Intel’s workforce in India. The quarterly R&R programme will be over and above the annual appraisal cycle of an Intel employee and could result in either monetary or non-monetary benefits. “It could be either through money or higher education. You could also use various others ways to actually recognize and reward your employees,"" Colaco said. The new policy, which was rolled out six months ago, comes as technology firms devise new strategies to retain employees as they battle high attrition following increased digitalization and growing demand for tech workers. India is home to Intel’s second-largest research and development centre outside of the US. Attrition levels at Infosys, Wipro, Tata Consultancy Services (TCS) and HCL Technologies hit record highs in the March quarter. Infosys posted an attrition rate of 27.7% while TCS had an attrition rate of 17.4% during the quarter. Wipro clocked an attrition rate of 23.8% while that of HCL was 21.9%. “Employee engagements have to become more often than an annual discussion during appraisal. More IT and ITes companies are coming up with quarterly R&R programmes. Annual cycles will in future only be used for corrections and inflation adjusted hikes,"" said Guruprasad Srinivasan, group chief executive at recruitment firm Quess Corp. He pointed out that the banking, financial services and insurance (BFSI) and retail sectors had monthly and quarterly incentives, and R&R programmes for sales teams. This concept is now being increasingly adopted across profiles and sectors. According to recruiters, after a two-year work from home policy with companies asking employees to return to offices, budgetary allocations towards R&R have to increase as employees will need more incentives. Product firms and other tech companies are also facing the brunt of the ongoing hiring frenzy. However, Intel’s attrition is “below the average semiconductor, IT sector"", Colaco said without elaborating. He said the latest form of R&R is not a top down approach. “I think that’s certainly not working. Earlier, the manager tells you to do these 10 things and people say ...I’ve delivered; now, what next and I don’t want to do this anymore. I’ll go do something else,"" Colaco said. The latest co-created approach is very unique to Intel, he said adding that the company runs a quarterly engagement activity between a manager and an employee where they engage in discussions. The employee needs to know how his work is impacting the broader organization and whether he is “touching the big picture"", he said. “We have got managers to start focusing working on the individuals to start understand the purpose, the vision, and the impact of their work...when you bring in a co-created methodology between a manager and employee, the sense of purpose and the sense of gratification also starts coming in and you see that quickly on quarter-on-quarter basis,"" Colaco said."
