article_time,article_title,article_link,article_content
Updated: 20 Apr 2022,HDFC Ltd to sell 10% equity in HDFC Capital to Abu Dhabi Investment Authority,https://www.livemint.com/companies/news/hdfc-ltd-to-sell-10-equity-in-hdfc-capital-to-abu-dhabi-investment-authority-11650428740985.html,"HDFC Ltd has entered into binding agreements to sell 10% of share capital of HDFC Capital Advisors Ltd (HDFC Capital) to a wholly-owned subsidiary of the Abu Dhabi Investment Authority (ADIA) for about ₹184 crore. ADIA is also the primary investor in the alternative investment funds managed by HDFC Capital. HDFC Capital is a wholly owned subsidiary of Housing Development Finance Corporation Ltd (HDFC Ltd) and is in the business of managing private equity funds focused on real estate sector in India. HDFC Capital also seeks to promote innovation and the adoption of new technologies within the real estate sector by investing in and partnering with technology companies. The funds managed by HDFC Capital provide long-term, flexible funding across the lifecycle of affordable and mid-income housing projects including early-stage funding. In addition, the funds will also invest in technology companies(construction technology, fin-tech, clean-tech etc.) engaged in the affordable housing ecosystem. Deepak Parekh, Chairman – HDFC Ltd, said, “Six years ago we set up HDFC Capital with a vision of progressing in sync with the government's ‘Housing For All’ goal by increasing the supply of affordable homes in India. Supported by marquee global investors like ADIA, the funds managed by HDFC Capital have grown to create one of the world’s largest private financing platforms for the development of affordable housing. This investment by ADIA will enable HDFC Capital to leverage ADIA’s global expertise and experience to further propel HDFC Capital towards becoming a leading investment platform for global and local investors across multiple strategies and asset classes in the real estate and technology ecosystem."" Set up in 2016, HDFC Capital is the investment manager to HDFC Capital Affordable Real Estate Funds 1, 2 & 3; and is aligned with the Government of India’s goal to increase housing supply and support the Pradhan Mantri Awas Yojana - ‘Housing for All’ initiative. HDFC Capital manages an approximately $3 billion funding platform which has recently been rated as one of the world’s largest private finance platforms focused on development of affordable housing. Earlier this month, India's largest private lender HDFC Bank announced that it is buying its biggest shareholder in a $40 billion deal, the country's biggest ever, creating a financial services titan to better tap rising demand for credit. HDFC Bank's deal with housing finance firm HDFC Ltd, which owns about 21% of the lender, will build on its 68 million customers and expand its home loan portfolio significantly while also opening up the scope for larger loans. HDFC and HDFC Bank shares were up 1.3% and 0.3% respectively in early trade.   "
Updated: 02 Feb 2022,"HDFC Q3 net profit rises 11%, shares surge",https://www.livemint.com/companies/company-results/hdfc-q3-net-profit-rises-11-shares-surge-11643789217340.html,
Updated: 28 Jul 2021,HDFC enhances limit to borrow via medium-term bonds,https://www.livemint.com/industry/banking/hdfc-enhances-limit-to-borrow-via-medium-term-bonds-11627490662310.html,"The country's largest mortgage lender HDFC Ltd on Wednesday said it has enhanced its existing limit to raise capital through medium-term notes to up to USD 2.8 billion (about ₹20,875.65 crore). Housing Development Finance Corporation on Wednesday updated its existing medium-term note (MTN) programme for an amount of up to USD 2.8 billion in order to enable the Corporation to issue rupee/foreign currency-denominated bonds in the international capital market, it said in a regulatory filing. The enhancement is subject to regulatory approvals. ""The update of the MTN programme is only an enabling step, and presently no instruments are being issued by the Corporation,"" it said. The MTN programme allows a company to issue bonds to meet its constant capital requirement for the medium term. The coupon on these types of bonds are higher than those on short-term notes. These can be offered with or without call options. Shares of HDFC on Wednesday closed 0.31 per cent down at ₹2,427.15 apiece on the BSE. This story has been published from a wire agency feed without modifications to the text."
Updated: 05 Jul 2021,"Stocks to Watch: Vodafone Idea, HDFC Bank, Tata Consumer, Panacea Biotec",https://www.livemint.com/market/stock-market-news/stocks-to-watch-vodafone-idea-hdfc-bank-tata-consumer-panacea-biotec-11625452958417.html,"NEW DELHI: Indian Pesticides' stock will make its market debut today. Here are top ten stocks that may be in the news on Monday. Canara Bank: India Ratings & Research has revised Canara Bank's outlook to stable from negative while affirming the long-term issuer rating at 'IND AAA.' HDFC Bank: The lender said its board has given its approval to buy more than 3.55 crore shares in group firm HDFC ERGO General Insurance Company for over ₹1,906 crore from the parent company Housing Development Finance Corporation (HDFC). JK Cement Ltd: The company targets up to 10% growth in its revenue this fiscal, helped by the government's push for infrastructure, a good monsoon and pent-up demand for the sector, JK Cement chief operating officer (Grey Cement Business) Rajnish Kapur said in an interview. ONGC Ltd: The state-owned company has said that it will procure equipment and services worth over ₹30,000 crore to support its oil and gas exploration and production operations, which will provide local entities business and support 'Aatmanirbhar Bharat' initiative. Panacea Biotec: The company has received a licence from the Drugs Controller General for manufacturing the Sputnik V vaccine in India, after the first batch of the covid-19 vaccine cleared all quality-control tests at the Gamaleya Center, Russia, the company said. RailTel Corporation of India Ltd: The company has received a work order worth ₹16.99 crore from Central Mine Planning and Design Institute Ltd. Tata Consumer: The fast-moving consumer goods firm will work “very closely"" with BigBasket, an e-commerce platform that was recently acquired by the Tata Group, to drive synergies in terms of costs and topline, according to the company’s managing director and chief executive officer, Sunil D’Souza. Tata Steel: The company on Sunday said that its crude steel production grew 55% YoY in the first quarter of the current fiscal year in India as per the provisional data. Additionally, Tata Steel India deliveries increased by 42% year on year. Vodafone Idea Ltd: The company has asked its lenders to give up their first charge on the collateral so that the cash-strapped telco can raise fresh funds from investors, two bankers aware of the matter said. The company, saddled with liabilities of ₹1.8 trillion, is looking to raise nearly ₹25,000 crore from international investors using the securities placed as collateral with banks. It has borrowed close to ₹23,080 crore from banks and financial institutions. Wockhardt Ltd: The company has incorporated a new subsidiary, Wockhardt Biologics Ltd. The company has authorised, subscribed and paid-up capital of ₹5,00,000 divided into 50,000 equity shares of ₹10 each. Wockhardt Ltd will hold approximately 65% of the total share capital while the remaining stake will be held by promoter group."
Updated: 08 May 2021,HDFC to off-load 0.62% stake in general insurance subsidiary,https://www.livemint.com/companies/news/hdfc-to-off-load-0-62-stake-in-general-insurance-subsidiary-11620493734782.html,"NEW DELHI : Housing finance major HDFC Ltd is selling 0.62 per cent of its stake in general insurance subsidiary HDFC Ergo to the foreign JV partner Ergo International for over ₹236 crore to meet regulatory norms. The Housing Development Finance Corporation Ltd (HDFC) is required to reduce its shareholding in HDFC Ergo to 50 per cent or below as per an RBI directive. HDFC has today entered into a share purchase agreement for sale of 44,12,000 equity shares of ₹10 each, representing 0.62 per cent of the issued and paid-up share capital of HDFC Ergo, the mortgage lender said in a regulatory filing on Saturday. The agreement contains ""the sale of 44,12,000 equity shares of HDFC Ergo by HDFC, Indian promoter of HDFC Ergo to Ergo International AG, foreign promoter of HDFC Ergo,"" it said in the filing. Ergo International AG does not belong to the promoter/promoter group of HDFC, it added. The sale is expected to be completed by May 12, 2021, for a cash consideration of ₹2,364,832,000 i.e., ₹536 per equity share, HDFC said in the filing. The total income of HDFC Ergo for year ended March 31, 2021 was ₹7,557.50 crore, which was 5.43 per cent of the consolidated income of HDFC. The insurer's networth stood at ₹3,253.55 crore which was 1.96 per cent of the consolidated net worth of HDFC Ltd. ""Subsequent to the sale, HDFC Ergo would cease to be a subsidiary company of HDFC under the provisions of the Companies Act, 2013,"" it added. PTI KPM MR MR"
Updated: 02 Feb 2021,HDFC’s growth recovery should impress but stress shows its head,https://www.livemint.com/market/mark-to-market/hdfcs-growth-recovery-should-impress-but-stress-shows-its-head-11612267743622.html,"Housing Development Finance Corp. Ltd (HDFC) has been consistently better than peers on asset quality to the benefit of its investors. In FY21 so far too, the mortgage lender has managed to maintain its asset quality but not without challenges. For the December quarter, its Statge 3 assets or delinquencies rose 6% sequentially, an indication of incremental stress, albeit small. Adjusted to the judicial standstill on asset recognition, HDFC’s gross bad loan ratio stood at 1.91% of its loans for Q3. This is far higher than 0.75% a year ago. The troubled asset pile has risen 57% year-on-year (y-o-y) given the impact of the pandemic. Analysts at Jefferies India Pvt. Ltd pointed out that the rise in Stage 2 assets indicates the lender may have restructured loans. HDFC said that it has restructured loans worth ₹5,000 crore as of December end under the regulatory forbearance. This forms 0.9% of the lender’s assets under management (AUM). The bulk of these loans are from the non-individual portfolio. Retail loans restructured were only 26% of the total restructured pile. This again shows that HDFC’s stress is limited to its developer loan book.  Understandably, much of this stress has come from the non-individual book because of stressed developers. As secured individual loans form a lion’s share of HDFC’s portfolio, the overall impact of stress has been limited. The individual book has stood the test of time with delinquencies remaining negligible. Even so, Stage 3 assets form 2.3% of total asset book, which is 69 basis points higher from a year earlier. Improving collections every month has helped the lender maintain asset quality. Collections have risen to 97.6% for individual loans and are close to pre-pandemic levels. Given the lower-than anticipated stress, the lender’s provisions have reduced y-o-y. For Q3, HDFC set aside ₹594 crore as provisions, 80% lower than the year-ago period. That said, the company holds provisions nearly double than what is required by regulation. HDFC’s shares have risen 3% in the past month after its update on operating metrics on 5 January cheered investors. Indeed, it wins over peers on growth recovery. Retail loan disbursements rose 26% y-o-y. On an AUM basis though, HDFC reported a 10% growth in retail and 7% in its non-individual book. These are levels far lower than what the lender has been historically clocking every quarter. However, HDFC’s focus on affordable housing may come to its aid here. Since the budget has extended the tax deduction benefit on affordable housing loans, HDFC may see continued expansion here. While growth has improved despite the pandemic’s impact, the lender still has a long road ahead for a complete recovery. After gaining 23% in the past three months, HDFC shares trade at a 4.4 times estimated book value for FY22."
Updated: 24 Sep 2020,"Stocks to Watch: RIL, HDFC, Sun Pharma, TCS, Zydus Wellness, Ircon International",https://www.livemint.com/market/stock-market-news/stocks-to-watch-ril-hdfc-sun-pharma-tcs-zydus-wellness-ircon-international-11600914694061.html,"NEW DELHI : Here’s a list of top ten stocks that may be in news on Thursday: RIL: Oil to retail conglomerate Reliance Industries Ltd (RIL) is said to be in the race to acquire Debenhams, a British multinational retailer operating department stores in the United Kingdom with franchise stores in other countries, Sky News reported. HDFC: Mortgage lender Housing Development Finance Corporation Ltd (HDFC) on Wednesday said it will raise up to ₹5,000 crore by issuing bonds on a private placement basis. The issue size for the secured redeemable Non-Convertible Debentures (NCDs) will be ₹2,500 crore with an option to retain oversubscription of up to ₹2,500 crore, HDFC Ltd said in a regulatory filing. Sun Pharma: Sun Pharmaceutical Industries, Inc., a wholly owned subsidiary of Sun Pharmaceutical Industries Ltd. is voluntarily recalling one lot of RIOMET ER™, due to the level of N-Nitrosodimethylamine (NDMA), which has been found to be above the allowed acceptable daily intake limit established by the US FDA. NDMA is classified as a probable human carcinogen (a substance that could cause cancer) based on results from laboratory tests. Tata Chemicals, Tata Motors DVR: Tata Sons Pvt Ltd on Wednesday bought shares of Tata Chemicals and Tata Motors DVR through open market transactions. According to bulk deal data on NSE, Tata Sons purchased shares of Tata Chemicals for ₹63.56 crore and Tata Motors DVR shares for ₹22.51 crore. TCS: Tata Consultancy Services (TCS) and Yale University have jointly announced the launch of a new private off-grid networking platform using blockchain, that could help ensure privacy and trust in peer-to-peer digital networks. Zydus Wellness: The board of directors of the company have approved a QIP issue to raise funds. While the board is scheduled to meet on 28th September to decide on the issue price, it has fixed the floor price at ₹1,775.85 per equity share. Ircon International: The engineering and construction firm has won contracts worth over ₹400 crore from Ministry of Railways. ""Ircon International Limited has secured works of total 9 Road Over Bridges (ROBs) valuing more than ₹400 crore from Ministry of Railways, Government of India,"" the company said in a filing to BSE. Jindal Steel: ICRA has reaffirmed ratings on Jindal Steel and Power Ltd's (JSPL's) bank facilities and non-convertible debentures due to its healthy standalone operating performance in FY21 despite subdued demand trends and challenging market conditions. IIFL Securities: The company has agreed to buy 6.25% additional stake in Trendlyne, it said in a regulatory filing. Post-acquisition, IIFL Securities Limited shall hold 20.55% of the share capital of Trendlyne on fully diluted basis, it added. Coal India: The state-run firm has finalised contracts for heavy earth moving equipment worth over ₹5,900 crore to ramp up production, its Chairman Pramod Agrawal said on Wednesday. The miner is also planning a capex of ₹10,000 crore during the current fiscal."
Updated: 04 Jul 2020,HDFC Bank advances rise 21% to ₹10 lakh crore at end of Q1,https://www.livemint.com/companies/news/hdfc-bank-advances-up-21-at-10-lakh-crore-by-q1-end-11593863821791.html,"Private sector lender HDFC Bank on Saturday reported 21 per cent growth in its advances which totalled ₹10.04 lakh crore on June 30 as compared to ₹8.29 lakh crore a year ago and ₹9.93 lakh crore on March 31. The bank's deposits aggregated to ₹11.89 lakh crore on June 30, marking a growth of 25 per cent from ₹9.54 lakh crore on June 30 last year and ₹11.47 lakh crore on March 31 this year, it said in regulatory filings at stock exchanges. The CASA (current account savings account) ratio stood at about 40 per cent on June 30 this year as compared to 39.7 per cent on June 30 last year and 42.2 per cent on March 31 this year. During the quarter ended June 30, the bank purchased loans aggregating ₹1,376 crore through the direct assignment route under the home loan arrangement with Housing Development Finance Corporation (HDFC). "
Updated: 03 Jul 2020,HDFC's Deepak Parekh once again pushes for one-time debt recast for developers,https://www.livemint.com/news/india/hdfc-s-deepak-parekh-once-again-pushes-for-one-time-debt-recast-for-developers-11593748635274.html,"MUMBAI: Deepak Parekh, a doyen of India's banking and finance sector, has again suggested that the Reserve Bank of India (RBI) should permit a one-time debt recast of developer loans. In his letter to shareholders, the hairman of Housing Development Finance Corporation (HDFC) said this has been a long-standing request and a measure implemented in the past to revive the sector. “If developers do not have cashflows due to a slowdown in sales or delay in receiving requisite building approvals, they can neither complete the existing projects nor can they service their loans,"" he said. According to Parekh, even if a lender is willing to help the project stay viable, any modification in the terms of the loan, including additional funding is construed to be a non-performing loan under the current regulatory norms. “Allowing for a restructuring of these loans and categorising them as standard assets will facilitate last mile funding for these projects,"" said Parekh. This is not the first time Parekh is seen pitching for a one-time debt recast of real estate loans. News agency PTI reported on 28 January that ahead of the presentation of the Union Budget 2020-21, Parekh pitched for a one-time loan recast for realty projects. “We are talking to the regulators, we have spoken to the finance ministry, one-time restructuring is absolutely necessary,"" Parekh was quoted by PTI as saying. Then again in April, PTI reported that Parekh has pushed for a one-time restructuring of stressed real estate accounts and relaxation in classification of NPA norms to 180 days from 90 days to help the sector. Led by the Indian Banks’ Association (IBA), lenders have sought a one-time debt recast of loans from the central bank, a proposal yet to be approved. Bankers expect asset quality to take a beating once the moratorium ends. Rating agency Crisil estimates that bad loans will rise to 11-11.5% by March 2021 from the 9.6% expected for FY20. Meanwhile, Parekh also said that the saga of the highest court of law questioning the RBI on the moratorium was indeed unfortunate. He was referring to the case in the Supreme Court where the decision to levy interest on loans during the RBI-permitted loan moratorium is being scrutinised. “Why should a central bank have to be answerable to a court on basic principles which the financial sector operates on? Interest payments on borrowings and loans are contractual obligations. No laws are being violated,"" said Parekh."
Updated: 16 Jun 2020,HDFC plans to raise funds; board meet on June 19,https://www.livemint.com/companies/news/hdfc-plans-to-raise-funds-board-meet-on-june-19-11592331852913.html,"NEW DELHI : HDFC, the country's largest mortgage lender, plans to raise funds and the proposal regarding this will be discussed by its board on June 19. In a regulator filing on Tuesday, the company said a meeting of its committee of directors, duly constituted by the board of directors, will be held on June 19. The meeting will ""consider seeking shareholders' approval for raising of funds by issue of equity shares and/or other securities through any permissible mode(s)"", it said. However, the quantum of the funds proposed to be raised was not disclosed. Housing Development Finance Corporation's (HDFC) shares on Tuesday closed 4.03 per cent higher at ₹1,822.80 a piece on BSE."
