article_time,article_title,article_link,article_content
Updated: 08 Jul 2022,Kotak Mahindra Bank acquires DLL India's agri and healthcare portfolio,https://www.livemint.com/news/india/kotak-mahindra-bank-acquires-dll-india-s-agri-and-healthcare-portfolio-11657274103606.html,"Private lender Kotak Mahindra Bank (KMBL) on 8 July announced to have acquired the Agri and Healthcare Equipment financing portfolio of De Lage Landen Financial Services India Private Limited (DLL India). Over the next few months, the operations of DLL India Acquired Portfolio will be transitioned to Kotak Mahindra Bank in a planned manner, while until then it will be managed by DLL India, Kotak Mahindra Bank said in a stock regulatory filing. With the acquisition, Kotak will gain access to over 25,000 high-quality customers with a total standard loan outstanding of around ₹582 crore -- equivalent to €69.8 million. ALSO READ: RBI fines Kotak Mahindra Bank ₹1.05 crore for non-compliance of its norms Apart from this, Kotak also acquired the Non-Performing Assets (NPA) portfolio with a total loan outstanding of around ₹69 crore -- equivalent to €8.3 million. ""DLL India has been operating in the country since 2013 and has built a strong customer portfolio. KMBL’s acquisition of DLL India’s Agri and Healthcare Equipment portfolio reiterates our continued commitment towards a strong presence in this space and gives us access to a high-quality customer base. We welcome DLL India customers to Kotak Bank and assure them that they will experience a seamless transition and enhanced customer experience,"" Kotak Mahindra Bank's Group President D Kannan said. The commercial banking of KMBL has specialised units which offer financial solutions in the areas of commercial vehicles, construction equipment, tractor and agriculture sector. The bank aims to DLL in those sector. For this transaction of portfolio sale to Kotak Mahindra Bank, KPMG acted as the exclusive financial advisors to the shareholders of DLL India."
Updated: 06 Jul 2022,Goldman Sachs sees this Indian bank shares hitting $100 billion market cap,https://www.livemint.com/market/stock-market-news/goldman-sachs-sees-kotak-mahindra-bank-shares-hitting-100-billion-market-cap-11657095537708.html,"Kotak Mahindra Bank shares have been underperforming for near two years with its standalone bank valuation de-rated to 1SD-below-mean. However, the banking stock has been giving upside bounce after ushering in July 2022 and it seems that stock is trying to come out of the consolidation phase. Goldman Sachs believes that the bank stock may go up to ₹2,135 per share levels in next 12 months and the banking shares may hit $100 billion market cap by FY27. On earning and valuations of Kotak Mahindra Bank shares, Goldman Sachs report says, ""We believe Kotak Mahindra Bank is positioned for an earnings upgrade cycle; we raise our estimates by 7%/13% for FY23E-FY25E on higher margins and lower loan-loss provisions, driving our 12-m TP to Rs2,135 (from Rs1,984, based on a blend of relative P/E and SOTP). We expect core operating profits to grow at a 22% CAGR (vs. a <15% CAGR in FY19-22) and net profits to grow at an 18% CAGR in FY22-25E (21% adj. for provision reversal in FY2022), and our FY23E-25E estimates are c.8% higher on average than VA consensus."" Expecting big upside in Kotak Mahindra Bank's market cap, Goldman Sachs report says, ""The key debates have been the bank’s risk appetite and its ability to deliver sustainable growth by utilizing excess capital and sweating its infrastructure to drive the ROEs higher. We believe Kotak Mahindra Bank is well-positioned this cycle to put capital to work, and successful execution of its retail asset strategy to drive the MCap to US$100bn by FY27E. With these positives and with 28% upside to our 12-month target price (vs. the 24% average for our coverage), we upgrade Kotak Mahindra Bank to Buy from Neutral and add the shares to our Conviction List."" 'We turn constructive on Kotak Mahindra Bank given its: (1) beneficial position in a rising interest rate environment; (2) sustainable loan growth at a +20% CAGR on utilization of excess capital (c.500bps v/s PVT banks) and realize operating leverage aided by its digital platform (“811""); (3) best in class PPOP-ROA; and (4) limited dilution risk as promoter’s stake already at RBI limits, leading to an improvement in ROEs of c.200bps in FY22-25E,"" the brokerage report added. Disclaimer: The views and recommendations made above are those of individual analysts or broking companies, and not of Mint."
Updated: 05 Jul 2022,"Stocks to Watch: HDFC, Tata Steel Long, Kotak Mahindra Bank, IndusInd Bank, TCS",https://www.livemint.com/market/stock-market-news/stocks-to-watch-hdfc-tata-steel-long-kotak-mahindra-bank-indusind-bank-tcs-11656984125938.html,"Here is the list of top 10 stocks that will be in news today: HDFC Bank/HDFC: India’s largest private lender HDFC Bank on Monday said the Reserve Bank of India (RBI) has approved its proposed merger with parent and mortgage lender HDFC. The two entities had announced a deal in April.  Kotak Mahindra Bank: The Reserve Bank of India on Monday penalized the private sector lenders Kotak Mahindra Bank for failing to comply with certain regulatory guidelines and imposed a penalty of ₹1.05 crore.  The RBI has also slapped a fine of ₹1 crore on IndusInd Bank. Tata Consultancy Services: The IT major has said that the punitive damages levied by a US court on the company in the EPIC Systems Corporation case has been reduced to $140 million. The company said the case was not supported by facts and that it did not misuse or derive any benefit from EPIC's documents. Tata Steel Long Products: The company has completed the acquisition of state-owned Neelachal Ispat Nigam Ltd for ₹12,100 crore, the Centre said. The strategic divestment of the Odisha-based steelmaker was underway since January 2021. Tata Motors: The carmaker expects second half of the current fiscalto be better in terms of performance with gradual improvement in the overall supply situation and stabilisation in commodity prices, according to company chairman N Chandrasekaran. Vedanta: The mining giant reported a 3% increase in its aluminium production to 5,65,000 tonnes in the April-June quarter of the ongoing fiscal. Mined metal production at Zinc India increased by 14% to 2,52,000 tonnes due to higher ore production across all the mines and supported by better mill recovery. Hospitality companies: The Central Consumer Protection Authority has barred hotels and restaurants from levying service charge automatically or by default in food bills and allowed customers to file complaints in case of violation. The CCPA has issued guidelines for preventing unfair trade practices and violation of consumer rights with regard to levying of service charge. Cipla: The US Food and Drug Administration has issued two observations to the drugmaker based on an inspection that was conducted at its Indore plant from 27 June to 1 July 2022. The observations are related to a drug filing for a product that was to be manufactured at the plant. Muthoot Finance: The gold loan-focussed NBFC  has said it has received an approval from Reserve Bank of India to open additional 150 branches across the country. The non-bank lender plans to open these branches across southern and northern parts of the country.    "
Updated: 04 Jul 2022,RBI penalizes two private sector lenders,https://www.livemint.com/industry/banking/rbi-penalizes-two-private-sector-lenders-11656955529830.html,"MUMBAI : The Reserve Bank of India (RBI) on Monday said it has penalized private sector lenders Kotak Mahindra Bank and Indusind Bank for failing to comply with regulatory guidelines. The banking regulator has imposed a penalty of ₹1.05 on Kotak Mahindra Bank for contravention of provisions of sub-section (2) of Section 26A of the Banking Regulation Act, read with paragraph 3 of The Depositor Education and Awareness Fund Scheme. “The examination of the risk assessment reports, inspection reports and all related correspondence pertaining to the same, revealed, inter alia, contravention of...provisions of the Act and the directions issued by RBI,"" it said. RBI fined Indusind Bank, ₹1 crore and said that a statutory inspection for supervisory evaluation was conducted with reference to its financial position as on 31 March, 2020. An examination of the risk assessment report, inspection report revealed non-compliance with the directions issued by RBI. It said the bank failed to adhere to the customer due diligence procedure in accounts opened using OTP based e-KYC as in some accounts the aggregate of credits in a fiscal year in deposits taken together surpassed ₹2 lakh threshold."
Updated: 04 Jul 2022,RBI fines Kotak Mahindra Bank and Indusind Bank ,https://www.livemint.com/industry/banking/rbi-fines-kotak-mahindra-bank-and-indusind-bank-11656945828677.html,"MUMBAI : The Reserve Bank of India (RBI) on Monday said it has penalized private sector lenders Kotak Mahindra Bank and Indusind Bank for failing to comply with certain regulatory guidelines.  On Kotak Mahindra Bank, RBI has imposed a penalty of ₹1.05 crore for contravention of the provisions of sub-section (2) of Section 26A of the Banking Regulation Act, read with paragraph 3 of The Depositor Education and Awareness Fund Scheme.  RBI said that a statutory inspection for supervisory evaluation of the bank was conducted with reference to its financial positions as on 31 March 2018 and 31 March 2019.  “The examination of the Risk Assessment Reports, Inspection Reports and all related correspondence pertaining to the same, revealed, inter alia, contravention of...provisions of the Act and the directions issued by RBI..."" it said. Kotak Mahindra Bank, RBI said, failed to credit the eligible amount to the Depositor Education and Awareness Fund within the period prescribed; credit the amount involved in the unauthorized electronic transactions to the customers’ account within 10 working days from the date of notification by the customer. For Indusind Bank, fined ₹1 crore, the regulator said that a statutory inspection for supervisory evaluation was conducted with reference to its financial position as on 31 March 2020. An examination of the risk assessment report, inspection report revealed non-compliance with the directions issued by RBI.  It said that the bank failed to adhere to Customer Due Diligence (CDD) procedure in the accounts opened using OTP based e-KYC, in non-face-to-face mode, as in certain accounts, the aggregate of all credits in a financial year, in all the deposits taken together, exceeded the prescribed threshold of ₹2 lakh."
Updated: 04 Jul 2022,RBI fines Kotak Mahindra Bank ₹1.05 crore for non-compliance of its norms,https://www.livemint.com/news/india/rbi-fines-kotak-mahindra-bank-rs-1-05-crore-for-non-compliance-of-its-norms-11656939959684.html,"Reserve Bank of India on 4 July imposed a monetary penalty of ₹1.05 crore on Kotak Mahindra Bank for non-compliance, related to customer protection, loan and advances, and other norms. ""The Reserve Bank of India (RBI) has, by an order dated June 29, 2022, imposed a monetary penalty of ₹1,05,00,000/- on Kotak Mahindra Bank Limited (the bank) for contravention of the provisions of sub-section (2) of Section 26A of the Banking Regulation Act, 1949 (the Act),"" the RBI statement said. The apex bank also mentioned that the 'action is based on the deficiencies in regulatory compliance and is not intended to pronounce upon the validity of any transaction or agreement entered into by the bank with its customers'. ALSO READ: Cryptocurrencies are a clear danger: RBI Governor Shaktikanta Das Earlier, RBI conducted Statutory Inspection for Supervisory Evaluation (ISE) of the Kotak Mahindra Bank with reference to its financial positions as on 31 March, 2018 and 31 March, 2019. The examination of the Risk Assessment Reports, Inspection Reports and all related correspondence pertaining to the same, revealed non-compliance with the above-mentioned provisions of the Act and the directions issued by RBI. The report said Kotak Mahindra Bank failed to credit the eligible amount to the depositor education and awareness fund within the period prescribed or credit the amount involved in the unauthorised electronic transactions to the customers’ account within 10 working days from the date of notification by the customer and, also failed to apply margin on advances to stock brokers. Later a show cause notice too was sent to the private lender, but after considering the bank’s reply to the notice, RBI decided to impose penalty on it."
Updated: 04 Jul 2022,Investing lessons from Kotak Mahindra AMC’s Nilesh Shah,https://www.livemint.com/money/personal-finance/investing-lessons-from-kotak-mahindra-amc-s-nilesh-shah-11656861679246.html,"Buy a business as if you are not going to look at it for the next 10 years."" This advice by investment guru Warren Buffet has remained the guiding principle for Nilesh Shah where it concerns his investments. “I invest as if I am not going to touch it (the investments) for the next decade or so,"" says Shah, the managing director at Kotak Mahindra Asset Management Company Ltd. As with many CEOs and senior executives of companies, a large part of Shah’s wealth, too, is tied to his employer. Most of his personal wealth (60%) is in equity—either in employee stock options (ESOPs) or shares of Kotak Mahindra Bank that he acquired long ago. (He owns some shares in the physical format as well so that he doesn’t get tempted to sell them.) Another 15% of his assets is held in equity mutual funds, mostly in the large cap and large-and-mid cap category segments. Shah does not invest in passive funds, except where it is required as per market regulator Sebi’s rules. Under these regulations, as the CEO of Kotak Mahindra AMC, Shah has to invest in all the schemes of the fund house. But these rules came into effect only in October 2021, and hence such mutual fund (MF) units are a very small part of Shah’s portfolio. Interestingly, Shah relies on a distributor to transact in MFs rather than opting for direct plans.       "
Updated: 01 Jul 2022,Kotak Mahindra Bank hikes interest rates on fixed deposits: Details inside,https://www.livemint.com/money/personal-finance/kotak-mahindra-bank-hikes-interest-rates-on-fixed-deposits-details-inside-11656671112161.html,"The interest rate on fixed deposits below ₹2 Cr has increased thanks to the private sector bank Kotak Mahindra Bank. The bank revised interest rates today, July 1, 2022, and as a result, certain tenors now have interest rates that are 10 basis points higher. Fixed deposits maturing in 3 years and above but up to 10 years will now be offered by the bank at a maximum interest rate of 5.90 per cent to regular customers and 6.40 per cent to senior citizens. Interest rates on deposits of 7 days to 10 years will now range from 2.50 per cent to 5.90 per cent for the general public and 3.00 per cent to 6.40 per cent for senior citizens.  The bank will continue to give an interest rate of 2.50 per cent on deposits made between 7 days to 30 days, and 3.00 per cent on fixed deposits made around 31 to 90 days. On deposits maturing in 91 to 179 days, Kotak Mahindra Bank will continue to give a 3.50 per cent interest rate, while on term deposits maturing in 180 to 363 days, the bank will continue to offer a 4.75 per cent interest rate. The bank has kept its interest rate on fixed deposits that mature in 364 days unchanged at 5.25 per cent, and it will continue to give a 5.50 per cent interest rate on term deposits that mature in 365 days to 389 days. While the interest rate on fixed deposits maturing in 390 days (12 months and 25 days) to less than 23 months has increased from 5.65 per cent to 5.75 per cent, the bank will continue to provide the same rate on deposits maturing in 23 months to less than 3 years. The bank will continue to offer a 5.90 per cent interest rate on term deposits with maturities of three years or longer, but no longer than ten years. On July 1, 2022, IDFC First Bank also increased the interest rate on fixed deposits. The bank will now provide an interest rate of 6.25 per cent on fixed deposits maturing in 1 year, 1 day to 3 years, up from 6.00 per cent before, or a 25 basis point increase. Interest rates on fixed deposits with maturities of 3 years, 1 day to less than 5 years are now 6.50 per cent instead of 6.25 per cent, an increase of 25 basis points. The bank has maintained its interest rates constant on the remaining tenors."
Updated: 28 Jun 2022,Credit card spends touch all-time high,https://www.livemint.com/industry/banking/credit-card-spends-touch-all-time-high-11656352651270.html,"MUMBAI : Credit card spends touched an all-time high of ₹1.14 trillion in May, a sign that the retail economy is growing strong.  Credit card spends grew 118% year-on-year and 8% month-on-month on the back of strong e-commerce spending and high-value spending on travel and tourism and discretionary purchases, according to Reserve Bank of India data. Credit card spends remained well above the ₹1 trillion in May despite inflationary pressures and rising interest rates. Total credit card spending in May was ₹1.13 trillion against ₹1.05 trillion spending in April and ₹52,200 crore in May last year.  Indusind Bank and Kotak Mahindra Bank saw the highest incremental growth in terms of credit card spends at 17% and 15%, respectively, while all other players grew in the 4-9% range. American Express, on the other hand, saw a decline of 2% month-on-month.  “Latest data releases from RBI reveal that credit card spends have been very strong touching an all-time high level in May 2022,"" said Macquarie Research in a note. Bounce rates by value are also at a three-year low levels. “These data points indicate that the retail economy is strong,"" it said but cautioned that with interest rates expected to rise rapidly in the next few quarters we need to see whether current trends are sustainable. The total number of outstanding credit cards in the system grew 23.2% year-on-year to 76.9m in May 2022, the highest in the past 27 months. In terms of new card additions, HDFC bank saw the highest incremental card additions with 38,000 new cards being added in the same month. The bank has also been seeing an increase in marketshare in credit card spends since April.  The bank’s marketshare in credit card spends stood at 27.7% in May compared to 27.6% in April and 26.6% in March. This gain in marketshare comes after HDFC Bank launched 1 million new credit cards and relaunched three credit cards after RBI lifted the ban on new credit card issuances in August last year.  Axis Bank on the other hand saw a fall in marketshare in spends despite adding large number of cards in May."
Updated: 24 Jun 2022,Day trading guide for Friday: 8 stocks to buy or sell today — 24th June,https://www.livemint.com/market/stock-market-news/day-trading-guide-for-friday-8-stocks-to-buy-or-sell-today-24th-june-11656029511804.html,"Day trading guide for Friday: Despite fears of rising interest rates and recession across the globe, Indian stock market recovered from the early afternoon selloff on Thursday. Volumes on the NSE were in line with the recent average. Advance decline ratio jumped up to much above 1:1. Nifty 50 index ended 143 points higher at 15,556 whereas BSE Sensex surged 443 points and closed at 52,265 levels. Nifty Bank index shot up 289 points and closed at 33,135 levels. According to stock market experts, current Dalal Street pattern indicates upside move in the market with high volatility. They said that after the weakness of Wednesday, the market showing upside bounce could be a positive indication and the days low of 15,367 is expected to be a small higher bottom formation as per daily chart. This needs to be confirmed with follow-through upside move in the subsequent session. Day trading guide for stock market today Speaking on day trading guide for Nifty today, Nagaraj Shetti, Technical Research Analyst at HDFC Securities said, ""The Nifty 50 index is placed within a broader high low range of 15,700 to 15,350 levels. Having bounced up from the higher low on Thursday, there is a possibility of further upside move towards the crucial overhead resistance of 15,700 to 15,800 levels in the next 1-2 sessions, before showing another round of minor weakness from the highs."" Unveiling day trading strategy, Ruchit Jain, Lead Research at 5paisa.com said, ""Given that the market breadth is positive and certain sectors and stocks are also showing signs of a pullback from their oversold territory, we may see Nifty breaking the higher barrier soon. Hence, till 15,180 is intact, short term traders should look for stock specific buying opportunities and trade with a positive bias."" Day trading stocks Sharing intraday stocks for today, stock market experts — Sumeet Bagadia, Executive Director at Choice Broking; Mehul Kothari, AVP — Technical Research at Anand Rathi; Anuj Gupta, Vice President — Research at IIFL Securities and Avinmash Gorakshkar, Head of Research at Profitmart Securities — recommended 8 stocks to buy today. Sumeet Bagadia's stocks for Friday 1] Indian Hotels: Buy at CMP, target ₹235, stop loss ₹215 2] Pidilite: Buy at CMP, target ₹2250, stop loss ₹2075 Mehul Kothari's intraday stocks for today 3] ITC: Buy around ₹265, target ₹272, stop loss ₹260 4] Kotak Mahindra Bank: Buy around ₹1680, target ₹1740, stop loss ₹1640 Anuj Gupta's day trading stocks to buy 5] Axis Bank: Buy at CMP, target ₹700, stop loss ₹590 6] State Bank of India or SBI: Momentum buy at CMP, target ₹490, stop loss ₹418 Avinash Gorakshkar's stock picks for Friday 7] Tata Motors: Buy at CMP, target ₹437, stop loss ₹393 8] ICICI Bank: Buy at CMP, target ₹730, stop loss ₹684. Disclaimer: The views and recommendations made above are those of individual analysts or broking companies, and not of Mint."
