article_time,article_title,article_link,article_content
Updated: 28 Jun 2022,"Near 6% to its 52-week-low, this large-cap stock to pay 1100% dividend soon",https://www.livemint.com/market/stock-market-news/near-6-to-its-52-week-low-this-large-cap-stock-to-pay-1100-dividend-soon-11656423239930.html,"A large-cap firm with a market cap of ₹218,008 crore that specialises in the construction industry is Larsen & Toubro Ltd. An Indian global company called Larsen & Toubro deals with engineering, building, and technology in more than 50 different countries. The stock climbed 1.02 per cent from its previous close of ₹1535.80 and closed at a market price of ₹1,551.50 today. At the current level, Larsen & Toubro shares are trading 25.35 per cent below the 52-week high and 6.53 per cent above the 52-week low on the NSE, where the stock reached a 52-week high of ₹2,078.55 on 18th January 2022 and a 52-week low of ₹1,456.35 on 20th June 2022. The Board of the company proposed a dividend of Rs. 22.00 per share, or 1100 per cent of the face value of Rs. 2/- per share, for the fiscal year that ended on March 31, 2022. The company today notified the record date for the proposed dividend. In its exchange filing, Larsen & Toubro informed BSE that “The Company has fixed Friday, 22nd July 2022 as the Record Date to determine the Members entitled to receive the proposed Dividend of Rs. 22.00 per share of face value Rs. 2/- each for the year ended 31st March 2022. Dividend, if declared at the AGM, will be paid on or before Monday, sth August 2022. The Company has fixed Thursday, July 28, 2022 as the Cut-off Date for the purpose of determining the Members eligible to vote on the resolutions set out in the Notice of AGM or to attend the AGM."" The stock is trading above the five-day moving averages, but below the 20-day, 50-day, 100-day, and 200-day moving averages at the current level. The company's book value per share is ₹691.18, and at the stock's current price, it is being traded for 2.24 times of book value. The company's PE of 25.15 is its highest level since October 2021, and its current EPS of Rs. 61.70 Cr. is comparably low when compared to levels since March 2019."
Updated: 28 Jun 2022,"LTTS launches engineering design centre in France, to hire 100 ",https://www.livemint.com/companies/news/ltts-launches-engineering-design-centre-in-france-to-hire-100-11656407915004.html,"BENGALURU: L&T Technology Services Ltd. (LTTS), the listed subsidiary of Larsen & Toubro Ltd. focused on engineering and R&D services, has launched an engineering design centre in Toulouse, France, to cater to the new-age digital requirements of global aerospace and defence sectors. It also plans to hire over 100 engineers in the next two years for the centre. The centre will initially focus on developing cutting-edge solutions for aerospace and defence industries and LTTS will work with major original equipment manufacturers (OEMs) in the region as an engineering partner. LTTS said it plans to invest and expand the new centre with focus on “sustainable next-gen solutions such as avionics systems and airlines digital solutions for customer and operations excellence. The centre will also incubate engineering solutions in other domains such as digital plant solutions, hydrogen fuel generation and distribution, to cater to the domestic market."" LTTS has been a strategic supplier with Airbus in India for more than a decade and it will now be extending this collaboration to a key geographic location like Toulouse, with the new centre offering end-to-end engineering services for Airbus and its supply chain. “For over a decade, LTTS has supported global aerospace, defence and manufacturing companies with future-ready, cutting-edge digital and engineering technologies. This in-depth understanding of multiple domains makes LTTS a preferred engineering partner and has helped in building strategic alliances with global customers. The engineering centre at Toulouse, one of Europe’s primary Aerospace hubs, perfectly aligns with our goal of heralding a sustainable, greener future in France,"" said Amit Chadha, chief executive and managing director, LTTS."
Updated: 19 Jun 2022,L&T Infotech-Mindtree merger likely by year-end,https://www.livemint.com/companies/news/lt-infotech-mindtree-merger-likely-by-yearend-11655655909043.html,"The amalgamation process of Mindtree and Larsen & Toubro Infotech, two software units controlled by a Mumbai-based engineering conglomerate, is expected to be completed by December this year, and during this period, both the firms will continue to operate independently. The two subsidiaries of Larsen & Toubro had last month announced a mega-merger to create an efficient and scaled-up IT services provider, exceeding $3.5 billion in combined revenue. Shareholders of Mindtree will be issued 73 L&T Infotech shares for every 100 shares held, as per an exchange filing by the companies earlier. Larsen & Toubro Ltd, the parent company, will hold 68.7% of the combined entity after the merger. The name of the combined entity will be 'LTIMindtree', the companies had said in a statement. “We hope the merger will be completed in the next two quarters… It is undergoing regulatory approvals. There are three-four agencies involved in the process,"" L&T Infotech Chief Operating Officer Nachiket Deshpande told news agency PTI. Larsen & Toubro had acquired a controlling stake in Bengaluru-based Mindtree in 2019. Deshpande said he expects demand for IT services to continue to remain strong over the next three-five years, and supply-side constraints to ease within a few quarters. “Once transformation in an organisation starts, it cannot be stopped midway. Despite recessionary fears, most of the customers with whom we spoke said they are not likely to reduce IT expenditure,"" he said. The senior official said L&T Infotech will increase its footprint across multiple cities and several locations are under evaluation for setting up new offices. “We believe we should now take work to people rather than taking people to work,"" Deshpande said. L&T Infotech opened its first centre in Kolkata on Friday, and said it is planning to hire 4,000-5,000 employees in the next two-three years in the eastern region. Larsen & Toubro had last month reported a 10 per cent growth in its consolidated net profit at ₹3,620.69 crore for the quarter ended March, 2022. The company had posted a consolidated net profit of ₹3,292.81 crore in the year-ago period. The consolidated income during the quarter under review rose to ₹53,366.26 crore from ₹49,116.16 crore in the year-ago period."
Updated: 17 Jun 2022,LTI opens new satellite centre in Kolkata,https://www.livemint.com/companies/news/lti-opens-new-delivery-centre-in-kolkata-11655462472219.html,"Larsen & Toubro Infotech Ltd (LTI) has expanded its operations in Kolkata by setting up a new facility in the city. The new centre marks company’s expansion in the Eastern region of the country and is designed to meet the requirements of a futuristic and modern workplace, LTI said. LTI plans to gradually scale up the operations at the new centre and make it a core delivery unit in the region. Located in the Salt Lake Electronics Complex, the new centre is equipped to house more than 300 employees. LTI said the centre will support its service delivery capabilities for cloud, data, and digital technologies and create exciting career opportunities for local talent seeking experiences in these futuristic domains. It will also offer LTI’s clients the benefit of increased access to a larger talent pool from the state and the region. “Kolkata boasts of a rich industry-academia ecosystem, and we are excited about our foray into the City of Joy. This centre is launched in response to requests from our current and potential employees in the region. We are thrilled to mark our presence in the city and are committed to a long-term association with the region,"" said Nachiket Deshpande, chief operating officer, LTI. “We are witnessing monumental changes in the work, workplace, and workforce of the future, and are establishing more talent hubs across the country. Our expansion in Kolkata aims to benefit the overall technology landscape in the region. We are excited about our new start in this city and look forward to accelerated growth in times to come,"" said Manoj Shikarkhane, chief human resources officer, LTI."
Updated: 25 May 2022,L&T named second strongest global engineering & construction brand,https://www.livemint.com/companies/news/lt-named-second-strongest-global-engineering-construction-brand-11653487012992.html,"NEW DELHI : Larsen & Toubro (L&T), an Indian multinational engaged in EPC Projects, Hi-Tech Manufacturing and Services, has been named as the ‘Second Strongest Brand’ among the top 50 Global Engineering and Construction (E&C) companies – by Brand Finance, a global brand valuation consultancy. L&T has also been ranked as the ‘Third Fastest Growing Brand’ by the London-based consultancy in its ‘Engineering & Construction 50 – 2022’ report. It is the only Indian company among the ‘Most Valuable Global E&C Firms’. L&T with its footprint across 50 countries has gained 44% in its Brand Value over last year.  Commenting on this achievement, an L&T spokesperson, said: “Brand is about so much more than just a name or a logo. It’s about trust, reputation, value systems and credibility. We are honoured to be recognized as the Second Strongest Global Brand in the Engineering and Construction space by Brand Finance. This recognition is a testament to our team’s commitment to excellence and our clients‘ trust in our ability to deliver on our promises.""  “We are excited to see what the future holds for our brand and our business. With continued growth and expansion into new markets and new sectors, we are confident that we will continue to build on our strong foundation and solidify our position as a leading player in the global industry."" L&T achieved a significant improvement in its brand strength, with its Brand Strength Index (BSI) increasing by 7.1 points, to 83.9 out of 100, with a corresponding rating of AAA. Among the ‘Most Valuable E&C 50 2022’ brands L&T is the only Indian brand present there. Brand L&T is known for providing technological impetus for key sectors such as infrastructure, construction, hydrocarbon, heavy engineering and defence engineering. Every year, Brand Finance puts 5,000 of the world’s biggest brands to the test, and publishes around 100 reports, ranking brands across all sectors and countries. The Engineering and Construction industry’s top 50 most valuable and strongest brands in the world are included in the annual Brand Finance Engineering & Construction 50 ranking. In its sixth consecutive study, Brand Finance has covered 36 countries and 29 sectors with over 100,000 respondents surveyed annually. The brand valuation consultancy defines Brand Value as the present value of earnings specifically related to brand reputation, while Brand is described as a marketing-related intangible asset. Each brand is assigned a Brand Strength Index (BSI) score out of 100 by Brand Finance, which feeds into the brand value calculation. Based on the score, each brand is assigned a corresponding Brand Rating up to AAA+ in a format like a credit rating by the valuation consultancy."
Updated: 23 May 2022,"L&T, Komatsu and Scania launch four eco-friendly hydraulic excavators",https://www.livemint.com/companies/news/lt-komatsu-and-scania-launch-four-eco-friendly-hydraulic-excavators-11653302142730.html,"New Delhi: Larsen & Toubro, Komatsu India and Scania India launched four new eco-friendly B20-biodiesel ready, hydraulic excavators on Monday. The Komatsu PC205-10MO Hydraulic Excavator, Komatsu PC500LC-10R Hydraulic Excavator, Komatsu PC210LC-10MO Super Long Front and Komatsu GD535-6 Motor Grader were put on display at the Excon 2022. The launch is part of the focus of Komatsu, Scania and L&T to introduce sustainable technologies. The four machines are designed to run B20 biodiesel. The excavators deliver the same power and productivity when they consume alternate energy and reduce greenhouse gas emissions. The models have been specially developed to suit the tough Indian applications and conditions. Komatsu machines are digitalised and equipped with KOMTRAX tracking systems that enable users to monitor equipment health and increase efficiency.  "
Updated: 12 May 2022,L&T Q4FY22: Consolidated PAT rises by 10% YoY in line with revenue growth,https://www.livemint.com/companies/news/lt-q4fy22-consolidated-pat-rises-by-10-yoy-in-line-with-revenue-growth-11652354384196.html,"Mumbai-based conglomerate, Larsen & Toubro (L&T) registered a consolidated net profit of ₹3,621 crore for the quarter ending March 31, 2022 (Q4FY22) - rising by 10% over the corresponding quarter of the previous year. The latest PAT is in line with revenue growth. Consolidated revenues stood at ₹52,851 crore in Q4FY22 logging a 10% yoy growth. International sales during the quarter at ₹17,550 crore constituted 33% of the total revenue. In Q4FY22, the company received orders worth ₹73,941 crore registering a strong growth of 46% over the corresponding quarter of the previous year, with the infrastructure segment booking a mega order from the Middle East. International orders accounted for 44% of the total orders, to ₹32,241 crore during the quarter. For the full year FY22, L&T's consolidated net profit excluding items and discontinued operations - recorded a robust growth of 23% yoy to ₹8,572 crore. If including exception items and discontinued operations, the PAT comes at ₹8,669 crore. During the financial year, consolidated revenues stood at ₹156,521 crore growing by 15% yoy with strong execution in project business aided by continuing growth momentum in the IT&TS portfolio. International revenues during the year stood at ₹55,783 crore constituting 36% of the total revenue. In the financial year, L&T bagged orders aggregating to ₹192,997 crore at the group level with a growth of 10% yoy. In FY22, major traction was seen in the international region, especially from the Middle East, where the Company bagged large value orders during the year, taking the share of international orders to 44% of the total order inflow, as compared to 27% in the previous year. As of March 31, 2022, the order book of the Group on a consolidated basis, is at ₹357,595 crore - with international orders having a share of 27%. In a meeting held today, the company's board recommended a final dividend of ₹22 per equity share for the approval of shareholders, an increase of 22% per share over the previous year. On BSE, L&T shares closed at ₹1,524.35 apiece down by 3%."
Updated: 12 May 2022,"Stocks to Watch: L&T, Tata Motors, PNB, Vodafone Idea, Hindalco, UltraTech",https://www.livemint.com/market/stock-market-news/stocks-to-watch-l-t-tata-motors-pnb-vodafone-idea-hindalco-ultratech-11652318132844.html,"NEW DELHI: Here are the top 10 stocks that could be in focus on Thursday: Vodafone Idea: The telco does not expect rising inflation to become a challenge in raising tariffs in the short or long term since consumer spend on telecom services was a tiny part of the consumer’s wallet, its chief executive officer Ravinder Takkar said, signalling certainty to more tariff hikes in the coming quarters. Vodafone Idea is also looking at a use-more, pay-more model for tariff hikes going forward which will have a lesser impact on low-end users. Hindalco Industries: Novelis Inc., the American unit of Hindalco Industries Ltd. will invest $2.5 billion to build a new recycling and rolling plant in the US in the largest greenfield expansion plan by parent Aditya Birla Group. Novelis reported a 21% year-on-year growth in its net profit to $217 million in the March while net sales rose 34% to $4.8 billion. PNB: Public sector lender Punjab National Bank on Wednesday reported a 66% year-on-year decline in its standalone net profit to ₹202 crore for the quarter ended March due to higher amount parked towards provisioning, even as bad loans declined. Standalone income during the quarter of 2021-22 stood at ₹21,095 crore, down from ₹21,386 crore a year ago. UltraTech Cement: India’s largest cement maker, has submitted a non-binding bid for Holcim Ltd’s Indian assets Ambuja Cements Ltd and ACC Ltd. Details about UltraTech’s bid could not be immediately ascertained. Vedanta: Is in active negotiations with smartphone brands Oppo and Vivo, laptop manufacturers and electronic device makers for the semiconductor chips it plans to roll out of its soon-to-be-announced semiconductor plant in India. In January, Vedanta had announced a tie-up with Taiwanese electronics manufacturer Foxconn for a multi-billion dollar chip manufacturing plant. Future Retail: Amazon Inc. has written to the Reserve Bank of India and lenders of Future Group, alleging repeated collusion by Future Retail Ltd (FRL) and banks to deny its rights. FRL should not be allowed to go into bankruptcy proceedings as that would impact its rights further. Macrotech Developers: Real estate firm Macrotech Developers, or the Lodha Group, has partnered with Bain Capital and Ivanhoé Cambridge to build a platform of logistics and light industrial parks, as well as in-city fulfillment centers. The platform will jointly invest $1 billion to create about 30 million sq ft of operating assets to serve the country’s digital economy. Petronet LNG: The liquefied natural gas importer reported a 24% year-on-year growth in consolidated profit to ₹791 crore for the March ended quarter, driven largely by strong topline. Revenue grew 47.3% to ₹11,160.4 crore during the period. Pfizer: Life Insurance Corp. of India has acquired 2.03% equity stake in the company via open market transactions. With this, its shareholding in the company stands at 6.05%, up from 4.02% earlier. PFC, REC: The Centre has directed state-run Power Finance Corp. and REC Ltd. to take necessary action to arrange short term loans for a period of six months with adequate safeguards, for imported coal-based plants plants which are under stress or in NCLT, at the earliest. India last week invoked an emergency law to start generation at some idle power plants running on imported coal which are not producing power because of financial stress or due to high cost of imported coal."
Updated: 10 May 2022,L&T and VMware join hands to accelerate digital infra adoption across verticals,https://www.livemint.com/companies/news/lt-and-vmware-join-hands-to-accelerate-digital-infra-adoption-across-verticals-11652174525776.html,"Smart World & Communication (SWC) business of L&T, a company engaged in EPC projects, hi-tech manufacturing and services, and VMware Inc, a global provider of multi-cloud services, have announced a strategic partnership to accelerate the adoption of digital infrastructure solutions across industries, through incubation of a VMware Centre of Excellence (COE). The offerings would include an AI and automation-led ‘Intelligent, secure SD-WAN on-demand’ solution, to help clients improve the experience and efficiencies across their enterprise networks. This partnership will help clients attain digital versatility through multi-cloud solutions, leveraging VMware suite of products. The partnership will focus on innovation in the areas of cloud engineering and disaster recovery, improving the resilience of businesses and enterprises. L&T SWC will also leverage VMware’s cutting-edge Telco Cloud products to create unique value propositions for clients through robust, secure Industry 4.0 solutions across verticals over 5G/IOT/Edge. “With the advent of 5G, we believe, the market is set to see large scale adoption of Industry 4.0 solutions across manufacturing, healthcare, education and other industries. L&T SWC and VMware join hands to build a robust suite of digital infrastructure solutions, to help businesses become highly agile, versatile and resilient,"" said J. D Patil, Whole-time Director and Senior Executive Vice President for L&T’s Defence Business & Smart Technologies Business. “We are delighted to partner with L&T SWC to help our customers innovate faster in a multi-cloud world. Through this CoE, we are bringing our formidable capabilities together in building joint solutions for digital workspace and edge, security, networking, and cloud infrastructure,"" said Pradeep Nair, VP, MD, VMware India ‘Smart World and Communications’ (SWC) business of L&T is committed towards leveraging the latest technological innovations in Telecommunications and IOT areas to benefit society at large. SWC, as a master systems integrator, provides technology solutions and services in the areas of Safe and Smart cities and Digital Communications. SWC leverages its technical prowess to solve problems through scalable digital solutions in satellite radio communications, telecom infrastructure, 4G/5G, Industry 4.0 solutions in education, smart cities and other verticals, cyber security solutions, data centre solutions and defence communications."
Updated: 09 May 2022,Larsen & Toubro bags ‘significant’ order from Jharkhand govt,https://www.livemint.com/news/india/larsen-toubro-bags-significant-order-from-jharkhand-govt-11652084307090.html,"New Delhi: Engineering major Larsen & Toubro (L&T) has bagged a significant project from Jharkhand government for irrigation. “The project envisages to provide water to irrigate 22,283 Ha. of Culturable Command Area (CCA) in the Dumka district of Jharkhand by way of pumping water from the Sidheshwari River. The scope includes survey, design, and constructing a 158 m long barrage across the Sidheshwari river. The scope also includes survey, design, procurement, installation, testing and commissioning intake and intermediate pump houses, delivery chambers, MS, Dl & HDPE pipeline of various diameters and pipeline distribution networks with all allied works,"" the company said in a statement. The company is already executing a similar lift irrigation project in Jharkhand's Garhwa district. “With this order from the irrigation sector, the Business has reinforced its credentials of possessing the technical and executional capability to deliver the elementary requirement of water to the farmers and drive the growth of agriculture across the state,"" the company said. As per the company, a contract valued at ₹1,000-2,500 crore is categorised as a significant order. L&T is an Indian multinational engaged in engineering, procurement, and construction projects."
