article_time,article_title,article_link,article_content
07:04 AM IST,Anand Mahindra's cheeky reply when asked about his age by a Twitter user,https://www.livemint.com/news/anand-mahindra-reply-when-asked-about-his-age-by-a-twitter-user-11657416106410.html,
Updated: 09 Jul 2022,Anand Mahindra's 'Twitter Tease' to Elon Musk as he pulls out of $44 bn deal,https://www.livemint.com/news/anand-mahindra-s-twitter-tease-to-elon-musk-as-he-pulls-out-of-44-bn-deal-11657366269228.html,"Social media went abuzz just as Elon Musk pulled the plug on the $44 billion Twitter deal, alleging the company failed to provide enough information on the number of fake accounts. Elon Musk's pulling out of the Twitter buyout deal set the stage for a court battle as the social media giant said it will sue the Tesla CEO. Just as Elon Musk backed out of the deal, triggering an avalanche of reactions, Industrialist Anand Mahindra also joined in, poking fun at the development. Taking to Twitter, Anand Mahindra wrote: ""If Elon [Musk] was traveling on an Indian train, the conductor would label him a ""TT"" Ticketless Traveler,"" he said, adding, ""But TT could now also become a term for any headline grabbing bid that implodes: A Twitter Tease.""   Reacting to Anand Mahindra's tweet, a Twitter user asked the Mahindra Group Chairperson: ""why don't u consider buying twitter? We are too much dependent on these social media controlled by west. They can shutt off anyday like they did to Russia (ie SWIFT, apple). We are self reliant in automobiles & payments thanks to #mahindra #tata #bajaja #tvs #UPI."" Another asked, ""Sir why don't you open the same platform pan India."" A Twitter user said, ""Thankfully, ticketless travelers don't change the direction of the train as per their whims."" Elon Musk announced Friday that he will abandon his tumultuous $44 billion offer to buy Twitter after the company failed to provide enough information about the number of fake accounts. Twitter immediately fired back, saying it would sue the Tesla CEO to uphold the deal."
Updated: 09 Jul 2022,3 bluechip stocks to BUY as suggested by Sharekhan,https://www.livemint.com/market/stock-market-news/3-bluechip-stocks-to-buy-as-suggested-by-sharekhan-11657363784346.html,"The shares of Titan Company, TCS, and Mahindra & Mahindra Ltd. have been given a buy call rating by the brokerage company Sharekhan. Since the brokerage has set a target price of Rs. 2,900 for Titan, Rs. 3,650 for Tata Consultancy Services Ltd., and Rs. 1,390 for Mahindra and Mahindra Ltd (M&M), all of these blue-chip stocks offer tremendous potential upside from the current market price.  Sharekhan has said in a note that “Titan Company Limited’s (Titan) pre-quarter update outlined a good start to FY2023 with strong growth of 3.0x in revenue and robust growth across key businesses and subsidiaries. We expect revenue to be at Rs. 9,180 crore at a consolidated level (and ~Rs. 8,650 crore at a standalone level). Revenue of the jewellery business (excluding bullion sales in the base quarter) grew by 3x y-o-y i.e. to ~Rs. 7,570 crore. Despite near-term headwinds of high inflation, the company is confident of maintaining good growth momentum in the quarters ahead because of market share gains, network expansion, and shift to trusted brands. The company aims to achieve consistent double-digit revenue growth over the next five years by strengthening core businesses such as watches, jewellery, and eyecare through efficient capital allocation plans. Further, profitability is expected to consistently improve with consistent growth in the jewellery business and scale-up in new ventures."" “Titan is aiming to generate revenue CAGR of over 20% revenue during FY2022-FY2027 on back of its ambitious growth plan in the medium term. This along with consistent margin improvement will help cash flows to improve strongly in the coming years. FY2023 will be a strong year for the company due to low base in core businesses. The stock has corrected by ~15% in the past three months, in-line with substantial correction in the broader indices. The company’s strong growth outlook, industry tailwinds in the medium term, and strong balance sheet make it a best play in the retail space. Hence, we maintain our Buy recommendation on the stock with an unchanged price target (PT) of Rs. 2,900,"" said the brokerage.  The brokerage has said that “TCS reported steady revenue growth with strong client addition across large revenue buckets and healthy deal wins, while margins lagged our expectations owing to wage revisions, supply-side challenges and rising discretionary expenses. Constant currency (CC) revenue grew by 3.5%/15.5% y-o-y in Q1FY2023, in-line with our estimates, led by continued strong growth in North America and broad-based growth across verticals with strong growth in Retail & CPG. Deal TCVs remained healthy at $8.2 billion (including two large deals worth of $400 million+) during Q1FY23, up by 1.2% y-o-y, but it was down 27% q-o-q. The book-to-bill ratio stood at 1.21x, in-line with its long term average book-to-bill ratio. EBIT margin declined by 190 bps q-o-q to 23.1%, lagged our estimates. TCS continues see strong traction across cloud adoption, operating model transformation, vendor consolidation, growth and transformation (G&T) programs. We believe the company is well positioned to gain most from market opportunities even in case deteriorating macro concerns given its strong marquee clientele, strong capabilities and solid execution capability."" “We believe that TCS has a robust business model which would leverage both G&T opportunities and operation transformation program given its strong capabilities and end-to-end service capabilities. We expect the company’s US Dollar revenues and earnings to clock a 10%/11% CAGR over FY2022-24E. At CMP, the stock trades at valuation of 28x/25x its FY2023E/FY2024E earnings, in-line with 5-year average 1-year forward PE multiple. We continue to prefer TCS considering its better supply-management capability, best-in-class execution, deep expertise, full-service model and excellent payout ratios. Further, the stock price correction of around 14% on a YTD basis offers good entry opportunity for long-term investment. Hence, we maintain a Buy on TCS with a revised PT of Rs. 3,650,"" said Sharekhan.  As per the brokerage “Mahindra and Mahindra Ltd (M&M) and British International Investment (BII) have executed a binding agreement to invest Rs. 1,925 crore ($250 million) each into M&M’s wholly owned subsidiary that will be incorporated soon to spin its passenger electric vehicle (EVCo) business. BII is a UK government development finance institution and a leading impact investor with focus on climate change and ESG. BII is expected to acquire 2.75-4.76% stake in M&M’s subsidiary EVCo at a valuation of US$ 5.1-8.8 billion (Rs. 40,441-70,070 crore). Promoters, along with investors to infuse ~Rs. 10,000 crore in the new EVCo between FY22 to FY27, to launch five electric vehicle models. The company targets its Electric SUV penetration to be 20-30% of its overall SUV portfolio by FY2027 and expects EV volumes at ~200,000 per annum in best case scenario. The EVCo will be asset light and leverage M&M’s ecosystem of suppliers, dealers and financers."" “M&M will provide manufacturing support, design, product development, technology and sourcing services on arm’s length. We firmly believe that M&M is on track with its growth roadmap. Besides its aggressive plans for the farm equipment and ICE passenger car segments, the company is taking leap towards making strong product portfolio for passenger electric vehicles. In the ICE segment, M&M has become No.1 in SUV revenue market share in H2FY22 with 16.8% market share. We expect Scorpio-N to further consolidate its share in the SUV market. Successful new launches will continue to help M&M to increase its market share in the SUV and LCV segments. M&M has guided for strengthening of the SUV segment through product launches of 13 new products by FY2027E, including EV launches. Further, the management continues to focus on the farm equipment segment and maintained its guidance to achieve a 10x revenue growth by FY2027E. M&M has maintained its FY25E guidance to deliver an 18% RoE and 15-20% EPS growth,"" said Sharekhan. The brokerage has further claimed that “We expect M&M to benefit from its leadership status in the tractor segment, strengthening position in the LCV segment and regaining its market share in the highly competitive SUV segment. M&M is on track with its growth roadmap. The company plans its farm business to grow 10x by FY2027E, while strengthen its SUV segment by adding 13 new products by FY2027E, including EV launches. The investment commitment of US$ 250 million by impact investor, British International Investment (BII), in M&M’s passenger electric vehicle arm is a positive development and would help M&M in attracting additional sources of private capital into EVCo venture. The EVCo business add Rs. 132 per share to our SOTP based PT. Further, M&M continues to benefit from the turnaround of loss-making subsidiaries, scaling up of digital platforms and strong performance of its listed entities, which would improve the company’s FCF going forward. We expect standalone earnings to post a 22.5% CAGR during FY22-FY24E, driven by a 16.7% revenue CAGR and 190 bps rise in EBITDA margins. We reiterate Buy rating on the stock with a revised PT of Rs. 1,390. The stock trades at a P/E multiple of 17.6x and EV/EBITDA multiple of 11x its FY24E estimates."" The views and recommendations made above are those of individual analysts or broking companies, and not of Mint."
Updated: 09 Jul 2022,Mahindra sees E-SUVs making up 30% of its sales by fiscal 2027,https://www.livemint.com/auto-news/mahindra-sees-e-suvs-making-up-30-of-its-sales-by-fiscal-2027-11657303303840.html,"MUMBAI : Mahindra and Mahindra Ltd has set an ambitious aim of achieving 20-30% of its total sales from electric sport-utility vehicles (SUVs) in the next five years, with the automaker set to start selling the first of five electric SUVs early next year. To propel its electric initiatives, M&M on Thursday announced an investment of ₹1,925 crore ($250 million) from British International Investment (BII) into its wholly owned EV unit that will be newly incorporated. The UK government’s development finance institution will invest in compulsory convertible instruments for a 2.75-4.76% stake in the new company at a valuation of up to ₹70,070 crore. M&M will also invest an equal sum in the entity focusing on producing four-wheeled passenger electric vehicles. Overall, the Mumbai-based automaker has outlined a total capital infusion of ₹8,000 crore in the EV business in FY24-27, and the investments from BII and the company will fund this initiative. M&M’s ambitious plans come as the automaker seeks to get a bigger foothold in the fast-growing Indian EV market. Considered a pioneer of the Indian EV industry, M&M took a majority stake in Bengaluru-based The Reva Electric Car Co. Ltd in 2010 and renamed it Mahindra Reva Electric Vehicles Pvt. Ltd, which made the e2o electric small car. In 2016, M&M further renamed the company Mahindra Electric Mobility. Meanwhile, the Indian EV industry is undergoing rapid changes buoyed by government incentives and the launch of new models. Tata Motors Ltd is now the top EV maker with high-selling models like the Nexon compact SUV and Tigor compact sedan. Others, such as MG Motor India and Hyundai Motor India, also sell EVs in addition to luxury brands like Mercedes-Benz and Audi. “Electric SUV segment is at an inflection point. Several pieces of data give confidence that electric SUV penetration will go up significantly over the next three years. Market research indicated that 85% of Indians desire to move to electric, and that percentage is among the highest in the world. We are projecting that, by FY27, we will get a penetration of somewhere between 20-30% of our SUV portfolio as electric,"" Rajesh Jejurikar, executive director, auto and farm sectors at M&M, told a press conference on Friday. M&M currently produces a range of electric three-wheelers and small commercial vehicles. However, these vehicles won’t be part of the new EV company."
Updated: 08 Jul 2022,Big business houses hit hardest by stock market collapse,https://www.livemint.com/market/stock-market-news/big-business-houses-hit-hardest-by-stock-market-collapse-11657276763982.html,"He asked me to say those three magical words. And I said them in a heartbeat, “Salary is Credited."" This month when I got this message on my 'Samsung' mobile I was beyond happy. I decided it was time to take a much-needed break. So, I reached out for my 'HP' laptop and booked myself a weekend at the lavish 'Raddison-Blu' resort in Udaipur. And for dinner, I picked up some takeout from 'McDonald’s' and celebrated those three words with 'Netflix' and chill. But just as I was about to hit the bed, I realised that most of the transactions that day were with some foreign companies. Multinational companies (MNCs) have become an inevitable part of our life.                                                                                                         "
Updated: 08 Jul 2022,Kotak Mahindra Bank acquires DLL India's agri and healthcare portfolio,https://www.livemint.com/news/india/kotak-mahindra-bank-acquires-dll-india-s-agri-and-healthcare-portfolio-11657274103606.html,
Updated: 08 Jul 2022,M&M’s expanding presence in EVs takes the stock to a new high,https://www.livemint.com/market/mark-to-market/mms-expanding-presence-in-evs-takes-the-stock-to-a-new-high-11657257224018.html,"Shares of Mahindra & Mahindra Ltd (M&M) rose by 5.4% in the morning trade on Friday on NSE taking the stock to a new 52-week high of Rs1194.90 apiece. This comes on the back of the company’s announcement of executing an agreement with British International Investment (BII), UK’s development finance institution, to invest up to Rs1,925 crore or $250 million each into a wholly owned subsidiary of M&M, EVCo, which will be newly incorporated. Post the capital infusion in EVCo, BII would hold a 2.75%-4.76% stake in the subsidiary. Based on BII’s investment of $250 million, EVCo’s valuation is around $5.9-9.1 billion, according to analysts at Motilal Oswal Financial Services. “It implies a gross value for M&M shareholders at Rs360-569/share,"" said Motilal Oswal analysts in a report on 7 July. Note that this transaction does not include electric vehicle segments such as three-wheelers and light commercial vehicles. EVCo would focus on electric passenger vehicles in the four-wheeler (4W) segment. The assets of M&M’s 4W passenger vehicle electric business would be transferred to EVCo. Over FY24-27, the total capital infusion is expected to be around Rs8000 crore or $1 billion. The utilization of the funds will be directed towards creating an electric SUV portfolio with advanced technologies, said the company. As such, M&M expects the proportion of electric sports utility vehicles (SUV) in its SUV portfolio to reach 20%-30% by 2027. It is likely to reveal the electric XUV 400 in September. “Net value accretion to M&M shareholders will depend on its ability to leverage the electrification trend and expand its market share in the SUV segment. Currently, we are not valuing the EV business separately as it doesn’t have any material presence in the electric PV segment,"" added the Motilal Oswal report."
Updated: 06 Jul 2022,Goldman Sachs sees this Indian bank shares hitting $100 billion market cap,https://www.livemint.com/market/stock-market-news/goldman-sachs-sees-kotak-mahindra-bank-shares-hitting-100-billion-market-cap-11657095537708.html,"Kotak Mahindra Bank shares have been underperforming for near two years with its standalone bank valuation de-rated to 1SD-below-mean. However, the banking stock has been giving upside bounce after ushering in July 2022 and it seems that stock is trying to come out of the consolidation phase. Goldman Sachs believes that the bank stock may go up to ₹2,135 per share levels in next 12 months and the banking shares may hit $100 billion market cap by FY27. On earning and valuations of Kotak Mahindra Bank shares, Goldman Sachs report says, ""We believe Kotak Mahindra Bank is positioned for an earnings upgrade cycle; we raise our estimates by 7%/13% for FY23E-FY25E on higher margins and lower loan-loss provisions, driving our 12-m TP to Rs2,135 (from Rs1,984, based on a blend of relative P/E and SOTP). We expect core operating profits to grow at a 22% CAGR (vs. a <15% CAGR in FY19-22) and net profits to grow at an 18% CAGR in FY22-25E (21% adj. for provision reversal in FY2022), and our FY23E-25E estimates are c.8% higher on average than VA consensus."" Expecting big upside in Kotak Mahindra Bank's market cap, Goldman Sachs report says, ""The key debates have been the bank’s risk appetite and its ability to deliver sustainable growth by utilizing excess capital and sweating its infrastructure to drive the ROEs higher. We believe Kotak Mahindra Bank is well-positioned this cycle to put capital to work, and successful execution of its retail asset strategy to drive the MCap to US$100bn by FY27E. With these positives and with 28% upside to our 12-month target price (vs. the 24% average for our coverage), we upgrade Kotak Mahindra Bank to Buy from Neutral and add the shares to our Conviction List."" 'We turn constructive on Kotak Mahindra Bank given its: (1) beneficial position in a rising interest rate environment; (2) sustainable loan growth at a +20% CAGR on utilization of excess capital (c.500bps v/s PVT banks) and realize operating leverage aided by its digital platform (“811""); (3) best in class PPOP-ROA; and (4) limited dilution risk as promoter’s stake already at RBI limits, leading to an improvement in ROEs of c.200bps in FY22-25E,"" the brokerage report added. Disclaimer: The views and recommendations made above are those of individual analysts or broking companies, and not of Mint."
Updated: 05 Jul 2022,IT services firms likely to report strong revenue in Q1,https://www.livemint.com/companies/company-results/it-services-firms-likely-to-report-strong-revenue-in-q1-11657042305039.html,"BENGALURU :   Top Indian IT services companies are expected to report strong revenue growth of 2.3-4.3% quarter-on-quarter (Q-o-Q) in constant currency during the fiscal first quarter ended June, according to analysts. Tata Consultancy Services Ltd (TCS) will kick off the earnings season on Friday. However, the peak revenue growth of these companies is likely to be behind them and the momentum is expected to start softening from H2 FY23 due to absence of large deal wins and clients postponing their technology spends. While the long-term demand environment remains unaltered, elevated inflation and an economic slowdown in the US and Europe is likely to impede growth in the second half of the fiscal. “We anticipate Infosys to lead on organic revenue front with growth of 4.3% QoQ in constant currency, followed by TCS at 3.6% QoQ in constant currency. Growth in Tech Mahindra, Wipro and HCL Technologies is expected to be soft due to seasonal weakness and moderation in demand,"" ICICI Securities said in a pre-earnings note. Margins are likely to be under pressure due to wage hikes, higher backfilling costs, increase in travel/visa/other discretionary costs with the easing of travel restrictions, and back-to-office trends, said Emkay Research. “Due to cross-currency headwinds, benefits from rupee depreciation will be marginal in Q1."" The brokerage firm expects Infosys to retain its annual revenue growth guidance of 13-15% in constant currency and EBIT margin guidance of 21-23% for FY23. HCL Technologies is also likely to retain its 12-14% revenue growth and 18-20% EBIT margin guidance range. Wipro should guide for a 2.5-4.5% sequential growth in constant currency with Rizing adding about 1% incrementally for Q2 FY23. In the absence of large deal wins, smaller deals will drive deal intake in the June quarter. “ACV (annual contract value) of signed deals to remain strong. We expect the deal intake to remain healthy across companies in Q1, with an uptick in smaller deals (led by clients’ urgency to execute digital transformation deals quickly) driven by increased demand for cloud adoption, digital transformation and customer experience transformation deals,"" Emkay Research said."
Updated: 05 Jul 2022,Food on wheels! Anand Mahindra shares video of moving dining table,https://www.livemint.com/news/india/food-on-wheels-anand-mahindra-shares-video-of-moving-dining-table-11656985253868.html,"Business tycoon Anand Mahindra has shared an interesting video of a dining table that can move on its own. The video shows a group of four people enjoying a meal at a fuel pump. And an attendant appears and refuels the fuel. Within a second, one of the person kick starts the table and their table starts moving on the road. Anand Mahindra amazed by this technology wrote on Twitter, ""I guess this is e-mobility. Where ‘e' stands for eat..."". The tweet b has gone viral and has clocked more than 37,000 likes and 4,157 retweets. Separately, the industrialist won the internet with his response when a Twitter user asked him about his qualification. A Twitter user named Vaibhav SD commented on Mahindra’s Monday motivation posts and asked, “Sir, may I know your qualification?"" To which he replied, “Frankly, at my age, the only qualification of any merit is experience."""
