article_time,article_title,article_link,article_content
04:25 PM IST,3 bluechip stocks to BUY as suggested by Sharekhan,https://www.livemint.com/market/stock-market-news/3-bluechip-stocks-to-buy-as-suggested-by-sharekhan-11657363784346.html,"The shares of Titan Company, TCS, and Mahindra & Mahindra Ltd. have been given a buy call rating by the brokerage company Sharekhan. Since the brokerage has set a target price of Rs. 2,900 for Titan, Rs. 3,650 for Tata Consultancy Services Ltd., and Rs. 1,390 for Mahindra and Mahindra Ltd (M&M), all of these blue-chip stocks offer tremendous potential upside from the current market price.  Sharekhan has said in a note that “Titan Company Limited’s (Titan) pre-quarter update outlined a good start to FY2023 with strong growth of 3.0x in revenue and robust growth across key businesses and subsidiaries. We expect revenue to be at Rs. 9,180 crore at a consolidated level (and ~Rs. 8,650 crore at a standalone level). Revenue of the jewellery business (excluding bullion sales in the base quarter) grew by 3x y-o-y i.e. to ~Rs. 7,570 crore. Despite near-term headwinds of high inflation, the company is confident of maintaining good growth momentum in the quarters ahead because of market share gains, network expansion, and shift to trusted brands. The company aims to achieve consistent double-digit revenue growth over the next five years by strengthening core businesses such as watches, jewellery, and eyecare through efficient capital allocation plans. Further, profitability is expected to consistently improve with consistent growth in the jewellery business and scale-up in new ventures.""         "
Updated: 08 Jul 2022,Tata group share turns ex-dividend stock today. Key things you should know,https://www.livemint.com/market/stock-market-news/tata-group-share-titan-company-turns-ex-dividend-stock-today-key-things-you-should-know-11657262386798.html,"Dividend paying stock: One of the flagship Tata group companies, Titan Company has turned ex-dividend stock today. The board of directors of the jewelry brand has recommended dividend ₹7.50 per equity share for the financial year 2021-22. The record date for payment of dividend has been fixed on 11th July 2022. As stock market remains closed on Saturday and Sunday, leading fashion stock turned ex-dividend on Friday session. Company will pay this dividend after the 38th Annual General Meeting of the company, which is scheduled on 26th July 2022. Informing Indian exchanges about the recommendation of dividend payment, Titan Company's exchange communication says, ""Titan Company Ltd has informed BSE that the Board of Directors of the Company at its meeting held on May 03, 2022, inter alia, has recommended a Dividend of Rs. 7.50 per Equity Share of Rs. 1 each of the Company which shall be paid/dispatched on or after the seventh day from the conclusion of the 38th Annual General Meeting subject to the approval of the shareholders of the Company."" Later in other exchange communication, the Tata group company said that 38th AGM of the company will take place on 26th July 2022 citing, ""Pursuant to Regulation 30 read with paragraph A of Part A of Schedule III of the SEBI (Listing Obligations & Disclosure Requirements) Regulations, 2015 (Listing Regulations), attached herewith is the Notice and the Explanatory Statement of the 3 8th Annual General Meeting of the Company to be held on Tuesday, 26th July 2022 at 10.30 a.m. (1ST) via two-way Video Conference/ Other Audio Visual Means. The said Notice forms part of the Annual Report 2021-22 and is being sent through electronic mode to the shareholders of the Company."" Here we list out key details in regard to Tian Company's dividend for the financial year 2021-22: 1] Titan Company dividend 2022: Tata group company has announced a dividend of ₹7.50 per equity share.    "
Updated: 07 Jul 2022,Rakesh Jhunjhunwala portfolio: Brokerage says to buy this Tata group stock,https://www.livemint.com/market/stock-market-news/rakesh-jhunjhunwala-portfolio-brokerage-says-to-buy-this-tata-group-stock-11657200198512.html,"With a market valuation of ₹188,876 crore, Titan Company Limited is a large-cap company that operates in the gem and jewellery industry. Being a TATA product, Titan is the largest and most reputable brand in India for accessories including jewellery, watches, and eyeglasses. When compared to the same period the previous year, Titan Company's first quarter ended in June 2022 (Q1FY23) sales increased by an astounding 205 per cent. Additionally, Titan's 3-year CAGR over Q1FY20 reached 20.5 per cent. As a result, brokerage firm Emkay Global is bullish on the stock and has given it a buy recommendation with a target price of ₹2,530.  Commenting on the performance of the company, Emkay Global has said in a note that excluding bullion sales, Jewelry revenues almost tripled YoY, led by growth in the number of buyers/walk-ins. The avg. ticket size remained stable. On a 3-Yr CAGR basis, growth in the jewelry segment accelerated to 23% in Q1 vs. 18-21% in the previous three quarters. TITAN attributed the strong trends to uninterrupted operations, the regionalization strategy and strong traction during the Akshay Tritya festival in May’22. The studded mix improved slightly from the previous year and was back to pre-Covid levels (~25%) in Q1. Tanishq’s network was expanded by 7 stores, including one in Dubai. “Watches/Eyewear posted a slower 3-Yr CAGR of 2%/8%, helped by a 6%/12% store count CAGR. Encouragingly, wearables growth quintupled on a low base, and the momentum remains intact in the second half. Store additions, however, have been particularly strong in both Eyewear/Watch segments, with 56/39 new store additions in Q1. The pick-up in store additions is encouraging and in line with Titan’s expansion outlook for these categories,"" said the research analysts of Emkay Global. As per the brokerage, TITAN Company’s “Caratlane maintained its strong growth trajectory with a 3-year CAGR of ~55%. Growth has been driven by a ~30% store count CAGR, launch of new merchandise, marketing campaigns and unlocking of markets. Other businesses (Taneira, Fragrances and Accessories) grew 29%, aided by high operational stores and new launches. TEAL’s revenue performance remained flat on a 3-year basis."" “Titan accelerated network expansion with the addition of 125 net stores across segments (vs. ~100 in Q3/Q4FY22), with 39/56 additions in watches and eyewear segments. In our view, a strong Q1 should drive an upgrade to consensus estimates. However, we do not see material changes to our estimates given near-term volatilities due to a recent customs duty increase and higher inflation. We currently have a Buy rating on TITAN with a TP of Rs2,530 (51x Jun’24E EPS),"" said Emkay Global. Rakesh Jhunjhunwala holds 3,53,10,395 Titan shares, or 3.98 per cent of the company, according to the Titan Company shareholding pattern for Q4FY22, which is publicly accessible on the BSE, while his wife Rekha Jhunjhunwala owns 95,40,575 shares or 1.07 per cent of the company's total paid-up capital. The Jhunjhunwala family jointly holds 4,48,50,970 shares in Titan. The Q1FY23 shareholding pattern is yet to come.  The views and recommendations made above are those of individual analysts or broking companies, and not of Mint."
Updated: 07 Jul 2022,7 stocks to turn ex-dividend tomorrow: Check if you own any,https://www.livemint.com/market/stock-market-news/7-stocks-to-turn-ex-dividend-tomorrow-check-if-you-own-any-11657197933666.html,"Investors interested in dividend stocks should pay close attention to the shares of Pressman Advertising, Jubilant FoodWorks, Sundaram Finance, Onward Technologies, Titan Company Limited, Lumax Auto Technologies Limited, and Lumax Industries Limited as they will go ex-dividend tomorrow. All of these companies have set 11th July as the record date to determine the eligibility of the shareholders for the purpose of dividend. As the market will remain closed on Saturday and Sunday, the ex-dividend date for the stocks is falling tomorrow on 8th July 2022 which means that the stocks will trade tomorrow without the amount of the upcoming dividend payment.   Pressman Advertising has announced a 50.00 per cent equity dividend at a face value of ₹2, or ₹1 per share, for the fiscal year ending March 2022. The dividend yield at the present share price of ₹40.45 is 2.47 per cent. As per the BSE exchange filing “The Company has fixed Monday, July 11, 2022 as the 'Record Date' for determining entitlement of Members to final dividend for the financial year ended March 31, 2022. The final dividend, if approved by the Members at the AGM, will be paid subject to deduction of tax at source."" The stock gained 3.98 per cent from its previous close of Rs. 38.90 and closed today at Rs. 40.45. The stock has climbed 20.57 per cent year-to-date (YTD) in 2022 so far.  On 17th June 2022, the company informed BSE by saying that “Pursuant to the Regulation 42 of Listing Regulations, the Company has fixed Monday, July 11, 2022 as the Record Date for the purpose of determining the names of Members eligible for Dividend of ₹1.20/- (i.e. 60%) per equity share of face value of Rs. 2/- each for the Financial Year 2021-22."" Jubilant FoodWorks shares closed today at ₹570.85 level apiece, up by 1.40% from its previous close of ₹562.95. In the year 2022, the stock has fallen 21.89% so far according to YTD data.               "
Updated: 02 Jul 2022,Rakesh Jhunjhunwala's net worth dips ₹1000 crore this week in these two stocks,https://www.livemint.com/market/stock-market-news/rakesh-jhunjhunwala-s-net-worth-dips-rs-1000-crore-this-week-in-these-two-stocks-titan-company-star-health-11656747982927.html,"Rakesh Jhunjhunwala portfolio: Amid fear of soaring inflation and looming slowdown concerns, Indian stocks witnessed heavy beating last week. The sell-off triggered in some quality stocks as well. Despite backing from ace investor Rakesh Jhunjhunwala, shares of Titan Company and Star Health and Allied Insurance Company were hit badly this week. Due to heavy sell-off in these Rakesh Jhunjhunwala stocks, Big Bull lost over ₹1,000 crore in 5 sessions last week. Dip in Rakesh Jhunjhunwala portfolio stocks In 5 trade sessions last week, Titan share price slide from ₹2,053.50 to ₹1,944.75 apiece levels, recording ₹108.75 per share dip in last week trade. Similarly, other Rakesh Jhunjhunwala stock Star Health share price slipped from ₹531.10 to ₹475.90 apiece levels, logging ₹55.20 per share dip last week. Rakesh Jhunjhunwala shareholding According to Titan Company for January to March 2022 period, Rakesh Jhunjhunwala holds 3,53,10,395 shares while his wife Rekha Jhunjhunwala owns 95,40,575 Titan shares. So, Jhunjhunwala couple together owns 4,48,50,970 Titan shares. Similarly, Rakesh Jhunjhunwala holds 10,07,53,935 Star Health shares.     "
Updated: 22 Jun 2022,Rakesh Jhunjhunwala portfolio: Tata stock gives 35% CAGR over 20 years,https://www.livemint.com/market/stock-market-news/rakesh-jhunjhunwala-portfolio-tata-stock-titan-company-gives-35-cagr-over-20-years-rs-1-lakh-turns-rs-5-5-crore-11655865728553.html,"Rakesh Jhunjhunwala portfolio: Amid speculations about market making its bottom, retail investors are busy scanning quality stocks available at discounted price. For such investors, Titan Company shares can be a good stock to look at. This Rakesh Jhunjhunwala stock is currently trading at around ₹2,080 per equity share, which is around 25 per cent lower from its 52-week high of ₹2,769 per share mark. This Tata group stock has a history of giving stellar return to its shareholders as in last 20 years, Titan share price has ascended from ₹3.79 per equity share to ₹2079.95 levels, delivering CAGR (compound average growth rate) of more than 35 per cent over these 20 years. Titan share price history After ascending to 52-week high in March 2022, Titan Company share price has been nosediving continuously and currently it has retraced around 25 per cent from its 52-week high. Prior to this base building phase, Titan share price remained sideways from mid October 2021 to late March 2022. However, this Rakesh Jhunjhunwala-backed company has delivered staggering return to its shareholders in long term. In last one year, Titan share price has given near 20 per cent return to its shareholders whereas in last 5 years, it has given whopping 305 per cent return to its shareholders. In last 10 years, Titan Company shares have ascended from ₹221 to ₹2080 levels, delivering around 840 per cent return to its share investors. This Rakesh Jhunjhunwala holding company has given CAGR of near 25 per cent over 10 years. Similarly, in last 20 years, Titan share price has zoomed from ₹3.79 apiece levels to ₹2079.95 per share mark, registering around 550 times rise in this time horizon. Impact on investment If an investor had invested ₹1 lakh in this Rakesh Jhunjhunwala stock 5 years ago, its ₹1 lakh would have turned to ₹4.05 lakh today. If an investor had invested ₹1 lakh in Titan shares 10 years ago, its ₹1 lakh would have become ₹9.40 lakh today. However, if an investor had invested ₹1 lakh in this Tata group stock 20 years ago, its ₹1 lakh would have turned to ₹5.50 crore today. Rakesh Jhunjhunwala shareholding in Titan Company According to Titan Company shareholding pattern for Q4FY22, Big Bull owns 3,53,10,395 Titan shares or 3.98 per cent stake in the company while his wife Rekha Jhunjhunwala owns 95,40,575 Titan shares, which is 1.07 per cent of total paid-up capital of the company. So, Jhunjhunwala couple together holds 4,48,50,970 Titan shares."
Updated: 21 Jun 2022,Rakesh Jhunjhunwala earns ₹590 crore from these two Tata stocks in one day,https://www.livemint.com/market/stock-market-news/rakesh-jhunjhunwala-earns-rs-590-crore-from-two-tata-stocks-titan-company-and-tata-motors-in-one-day-11655815335735.html,
Updated: 17 Jun 2022,These 3 stocks pull down Rakesh Jhunjhunwala's net worth by ₹900 cr in 15 mins,https://www.livemint.com/market/stock-market-news/these-3-stocks-titan-company-star-health-metro-brands-pull-down-rakesh-jhunjhunwala-s-net-worth-by-rs-900-crore-in-15-minutes-11655444899564.html,"Rakesh Jhunjhunwala net worth: Amid India stock market extending the sell-off trend on sixth straight session on Friday morning deals, Big Bull Rakesh Jhunjhunwala has lost around ₹900 crore within 15 minutes of the opening bell today. This could happened due to the profit-booking in three Rakesh Jhunjhunwala portfolio stocks — Titan Company, Metro Brands and Star Health & Allied Insurance Company Ltd. Dip in Titan share price Titan Company share price today opened lower and hit ₹1997 apiece levels by 9:30 AM, logging ₹63.95 per share dip from its yesterday's close of ₹2060.95 levels on NSE. Dip in Star Health share price Star Health share price today opened lower and went on to hit ₹609.05 apiece levels by 9:30 AM. As the stock had closed at ₹664.15 levels on Thursday, it logged ₹55.10 dip within 15 minutes of stock market opening today. Dip in Metro Brands share price Like two other Rakesh Jhunjhunwala stocks, Metro Brands share today opened with a downside gap and went on to hit ₹535.35 by 9:30 AM, logging ₹14.30 per share within 15 minutes of opening bell. Dip in Rakesh Jhunjhunwala's net worth As per shareholding pattern of Titan Company for Q4FY22, Rakesh Jhunjhunwala holds 3,53,10,395 company shares while his wife Rekha Jhunjhunwala owns 95,40,575 titan shares. So, Jhunjhunwala couple together holds 4,48,50,970 Titan shares. As Titan share price dipped 63.95 in 15 minutes of stock market opening today, net slide in Rakesh Jhunjhunwala's net worth due to slide in this Tata stock is around ₹287 crore ( ₹63.95 x 4,48,50,970).   "
Updated: 10 Jun 2022,"₹4 to ₹2138: Rakesh Jhunjhunwala stock gives 53,000% return in 20 years",https://www.livemint.com/market/stock-market-news/rs-4-to-rs-2140-multibagger-rakesh-jhunjhunwala-portfolio-stock-titan-company-gives-53-000-return-in-20-years-11654823488064.html,"Rakesh Jhunjhunwala portfolio: Money is not in buying and selling of stocks but in hold. According to market magnet Warren Buffett, one should buy and hold a stock as long as one can. To understand the benefit of this stock market investment strategy, one needs to look at Rakesh Jhunjhunwala-backed Titan Company shares. In last 20 years, Titan share price has shot up from ₹4.03 (close price on 12th June 2002 on NSE) to ₹2138 levels today, ascending to the tune of near 53,000 per cent in the last two decades. Titan share price history This Tata group stock has remained sideways with negative bias throughout 2022. In YTD time, it shed near 15 per cent, which looks obvious after the recent stock market sell-off post-Russia-Ukraine war. In last one year, this Rakesh Jhunjhunwala stock has surged from 1738 to 2138, appreciating to the tune of 23 per cent in this period. In last 5 years, this stock has delivered multibagger return to its shareholders. This has surged from 516 to 2138 levels in last 5 years, delivering whopping 315 per cent return to its shareholders.      "
Updated: 19 May 2022,Rakesh Jhunjhunwala's this Tata stock is a hot pick. 4 key trigger points,https://www.livemint.com/market/stock-market-news/rakesh-jhunjhunwala-s-this-tata-stock-is-a-hot-pick-4-trigger-points-for-future-performance-11652959427028.html,"Big Bull, Rakesh Jhunjhunwala is known for making notable gains from a diversified pool of stocks that he holds. In his portfolio, Jhunjhunwala's majority of assets in value terms is in Tata Group-backed Titan Company. In the gems and jewellery sector, Titan is seen to hold a significant position and its growth outlook remains strong. Due to high growth visibility in earnings, Titan stock has the potential for robust upside going forward. Jhunjhunwala who is often referred to as the 'Warren Buffet of India' have stayed with Titan shares since 2015. He has modified his shareholding in Titan on numerous occasions since then. As of March 31, 2022, Rakesh holds 35,310,395 equity shares or 3.98% in Titan, while his wife Rekha Jhunjhunwala holds 9,540,575 equity shares or 1.07% in the company. Rakesh manages his and his wife's portfolio. Together, the couple holds 44,850,970 equity shares or 5.05%. On Wednesday, Titan shares corrected tracking a broader bearish markets tone, and also stayed on the downside. On BSE, the shares closed at ₹2110.80 apiece down by 2.57%. Despite the dive in today's market price, Titan still has given nearly double-digit returns in percentage terms to its investors in a year. On Dalal Street, Titan shares have skyrocketed by nearly 39% in a year. On May 19 last year, Titan shares stood at ₹1521.85 apiece. As per Trendlyne data, as of today, Jhunjhunwala's total portfolio values to around ₹28,767.48 crore. Of which, his holding values to ₹9,599 crore in just Titan - making it the most valued stock in his portfolio. Analysts are optimistic about Titan stock ahead due to its robust balance sheet and strong market presence. On Titan's upside ahead, Jhunjhunwala too will add notable gains in his portfolio. Despite disruptions in Q1 and as well as Q4, Titan managed to deliver a solid all-around performance for the financial year FY22. The company's total income for FY22 was at ₹26,411 crore, registering a growth of 36% compared to ₹19,426 crore in FY21 (excluding bullion sales). Titan posted a profit of ₹2,983 crore (before taxes and exceptional items) for the fiscal year in comparison to, ₹1,370 crore in FY21, a growth of 118%.               "
