article_time,article_title,article_link,article_content
Updated: 08 Jul 2022,How an Indian cement maker bought Russian coal using yuan,https://www.livemint.com/news/india/exclusive-how-an-indian-cement-maker-bought-russian-coal-using-yuan-11657240560306.html,"An Indian cement maker's recent purchase of Russian coal using yuan involved India's biggest private lender, HDFC Bank, according to an invoice seen by Reuters and a source, as more details emerge of the kind of trade that could blunt Western sanctions against Moscow. There is no suggestion that the purchase, the particulars of which have not previously been reported, in any way breaches sanctions imposed on Russia in the wake of its invasion of Ukraine. But the document shows one way in which Russia could continue to sell commodities abroad without settling in U.S. dollars despite restrictions aimed at freezing it out of financial markets. According to the invoice dated June 5 and a source familiar with the matter, HDFC Bank backed cement maker Ultratech's purchase of Russian coal from producer and trader SUEK for 172.7 million yuan ($25.74 million). The letter of credit for the deal was issued by HDFC Bank's Mumbai suburban branch of Andheri East, according to the invoice.  The dollar is the currency of choice for global trade in raw materials, but some traders say the yuan could be increasingly used to settle payments for supplies from Russia.  In the invoice, SUEK requests Ultratech remit the 172.7 million yuan to SUEK's account at the Shanghai branch of China Everbright Bank. SUEK lists the Hong Kong branch of international lender HSBC as the correspondent bank.  A correspondent bank acts as a middleman in the transfer of money from one bank to another. Reuters could not determine if a payment had been received by China Everbright or if HSBC or any other bank was involved in a transfer of funds.  HDFC Bank and HSBC declined to comment. Ultratech, SUEK and China Everbright Bank did not respond to requests for comment. It was not clear from the invoice which currencies were used to effect the yuan payment.  The amount listed was quoted in Chinese yuan and Reuters reported last week that Ultratech imported 157,000 tonnes of coal from Switzerland-registered SUEK and agreed to settle the final payment in that currency. YUAN TRADES STILL RARE For India, such payment methods could become more common as it seeks to maintain trade ties with Russia for commodities including oil and coal without the risk of contravening Western sanctions. India has deep political and security ties with Russia and has refrained from condemning the Ukraine war, which Russia says is a ""special military operation"". India's energy imports from Russia have soared recently as traders, unable to sell into many Western markets, have offered steep discounts. New Delhi defends its purchases of Russian goods, saying they are legal and that a sudden halt would inflate prices further and hurt consumers. Greater use of the yuan to settle payments could help insulate Moscow from punishment and bolster Beijing's push to further internationalise the yuan and chip away at the dominance of the U.S. dollar in global trade. It is, however, still rare for an Indian firm to agree to settle a trade with a non-Chinese company in yuan. In the absence of sanctions, overseas payments to Russian commodity and energy companies would typically be made in dollars via SWIFT to Russian accounts. For Indian trade settlements using the yuan, lenders would potentially send dollars to foreign banks with sufficient yuan reserves, or Chinese banks they have tie-ups with, in exchange for yuan to settle the trade. The invoice mentioned the SWIFT transaction IDs of both HSBC's Hong Kong branch and China Everbright's Shanghai branch. Reuters could not confirm whether any payment was made using the SWIFT platform. SWIFT is a secure messaging system that facilitates rapid cross-border payments, making international trade flow smoothly. Several Russian banks have been cut off from the system in recent months. ""As a matter of policy, SWIFT does not comment on flows between institutions,"" a spokesman said. India's bilateral trade with China, for which companies largely pay in dollars, has flourished even after a deadly military border clash between the two in 2020 that ratcheted up tensions that have still not subsided. New Delhi has increased scrutiny on Chinese investments and imports, and banned some mobile apps over security concerns. The Indian government and the central bank were aware of potential payments for Russian cargo in Chinese yuan, sources told Reuters last week. The government and central bank did not comment for this article."
Updated: 05 Jul 2022,Cloud over cement cos’ profitability as prices dip in June,https://www.livemint.com/companies/news/cloud-over-cement-cos-profitability-as-prices-dip-in-june-11656964110857.html,
Updated: 01 Jul 2022,What’s dragging down UltraTech Cement?,https://www.livemint.com/market/mark-to-market/ultratech-cement-stock-valuations-have-tapered-but-that-s-not-enough-11656610594381.html,"UltraTech Cement Ltd’s shares have fallen by as much as 26% so far this calendar year. Investor concerns are understandable. Cost inflation has been a pressing worry and margins are expected to be under pressure during the first half of financial year 2023 (H1FY23). Prices of coal and petroleum coke, key inputs used in making cement, remain painfully high, weighing on profitability. “Earnings for UltraTech Cement as well as the cement sector are expected to remain under pressure in H1FY23 and lower than our earlier estimate because of sustained cost pressures (we expect a ₹300-350 per tonne increase in energy costs in H1FY23); the recent decline in cement prices, which came under pressure in June 2022; lower than our estimated growth in cement demand in Q1FY23; and the tendency to increase capacities by different players,"" said a report by Motilal Oswal Financial Services on 29 June.    "
Updated: 29 Jun 2022,UltraTech Cement paying for Russian coal in Chinese yuan: Report,https://www.livemint.com/companies/news/ultratech-cement-paying-for-russian-coal-in-chinese-yuan-report-11656495919667.html,"India's biggest cement producer, UltraTech Cement, is importing a cargo of Russian coal and paying using Chinese yuan, according to an Indian customs document reviewed by Reuters, a rare payment method that traders say could become more common. UltraTech is bringing in 157,000 tonnes of coal from Russian producer SUEK that loaded on the bulk carrier MV Mangas from the Russian Far East port of Vanino, the document showed. It cites an invoice dated June 5 that values the cargo at 172,652,900 yuan ($25.81 million). Two trade sources familiar with the matter said the cargo's sale was arranged by SUEK's Dubai-based unit, adding that other companies have also placed orders for Russian coal using yuan payments. The increasing use of the yuan to settle payments could help insulate Moscow from the effects of western sanctions imposed on Russia over its invasion of Ukraine and bolster Beijing's push to further internationalise the currency and chip away at the dominance of the U.S. dollar in global trade. The sources declined to be identified as they are not authorized to speak to the media. UltraTech and SUEK did not respond to a request seeking comment. ""This move is significant. I have never heard any Indian entity paying in yuan for international trade in the last 25 years of my career. This is basically circumventing the USD (U.S. dollar),"" a Singapore-based currency trader said. The sale highlights how India has maintained trade ties with Russia for commodities such as oil and coal despite the western sanctions. India has longstanding political and security ties with Russia and has refrained from condemning the attack in Ukraine, which Russia says is a ""special military operation"". It was not immediately clear which bank opened a letter of credit for UltraTech and how the transaction with SUEK was executed. SUEK did not respond to a request seeking comment. The Mangas is currently at anchor near the Indian port of Kandla, according to ship-tracking data on Refinitiv Eikon. INDIA-CHINA-RUSSIA TRADE           "
Updated: 29 Jun 2022,Is the ‘waste heat recovery system’ a saviour for cement companies?,https://www.livemint.com/market/mark-to-market/cement-cos-esg-issue-has-no-easy-solution-11656436082234.html,"Cement companies continue to make new investments in waste heat recovery systems (WHRS) installations. The sector’s overall cost has spiked in recent quarters mainly because of high fuel costs. Against this backdrop, WHRS is a saviour. It traps the enormous heat generated during manufacturing and generates electricity, which can be used as an additional source of power. Thus, it helps reduce energy costs. If about 10% of power is consumed from WHRS, it could help cement companies save Rs50 per tonne, according to an analysis by Yes Securities. Analysts estimate that the average power generation cost from WHRS is less than Re1 per unit compared to Rs5 per unit from the grid. Power and fuel account for 25-30% of the sector’s total operating costs.       "
Updated: 24 Jun 2022,Top picks: Sharekhan is bullish on these 6 cement stocks for robust gain ahead,https://www.livemint.com/market/stock-market-news/top-picks-sharekhan-is-bullish-on-these-6-cement-stocks-for-robust-gain-ahead-11656089157281.html,"The leading brokerage firm Sharekhan has placed a buy call rating on the shares of Shree Cement for a target price (TP) of ₹26000, Ultratech Cement (TP: ₹7100), Grasim Industries (TP: ₹1740), The Ramco Cement (TP: ₹850), JK Lakshmi Cement (TP: ₹600), and Dalmia Bharat (TP: 1850). These recommendations were made because the brokerage forecasts that, in accordance with the plans disclosed by major cement players, the cement sector would add more than 90 mtpa in capacity between FY2023 and FY2025. The brokerage has said in a note that “Cement industry is expected to add over 90 mtpa in capacities over FY2023- FY2025 as per plans announced by major players. This implies a 5% CAGR in installed capacity, while cement demand is estimated to post a 6-7% CAGR over FY2023-FY2025. With the rise in supply almost equivalent to demand growth, industry capacity utilizations levels would stay almost flat at 67-68% over FY2023- FY2025. Pan-India cement prices have risen each year during FY2015-FY2022 barring a couple of years, while in Q1FY2023, they are up 8% as compared to FY2022 level. Going by historical anecdotes, we believe cement prices to remain on an uptrend despite capacity additions over the next three years. On the cost front, International petcoke prices have corrected by 17% m-o-m and 20% from March 2022 levels in June 2022."" According to Sharekhan “The diesel prices across Metros declined by 5% m-o-m while they were up 3% y-o-y in June 2022. We expect the easing of petcoke/ coal prices during Q1FY2023 and ahead to reflect in operational performance for the industry from H2FY2023 as it exhausts high-cost fuel inventory fully during H1FY2023. We estimate our cement coverage universe to report 11% CAGR in sales volume over FY2022-FY2024 as against industry growth estimated at 6-7% per annum. Higher-than-industry growth is expected to be lead by market share gains by larger companies aided by rise in capacities."" The brokerage has claimed that “We estimate weighted average EBITDA/tonne for our coverage universe to grow at 4% CAGR during FY2022- FY2024 although the same may remain lower than peaks seen in FY2021. The improvement in EBITDA/tone is based on our assumptions of capacity utilizations remaining almost flat due to high capacity additions, part retention of growth in cement prices and easing of energy and freight costs."" By staying positive on the cement sector, Sharekhan has said “Our cement coverage universe has seen 30%-45% correction in stock prices over trailing five months led by Russia-Ukraine crisis, rise in energy costs and large capacity plans announced by leading cement players. The same has led to one year forward EV/EBITDA valuation multiples of almost all cement companies sinking below their historical averages. Notwithstanding, soft earnings performance for the cement pack in H1FY23, the recent correction offers good entry points for long term investors as sustainable infrastructure push over next 3-5 years coupled with easing out of input cost pressure in H2FY23E would drive stock performance over next 12-15 months. We remain construction and stay Positive on the sector. Our preferred picks are UltraTech, Shree Cement, Dalmia Bharat and JK Lakshmi Cement."" Weakness in demand, a decline in cement prices and a rise in key input costs like energy and freight costs are key risks to the industry, said Sharekhan, which investors should take note of. The views and recommendations made above are those of individual analysts or broking companies, and not of Mint.  "
Updated: 10 Jun 2022,3 Indian Stocks that Pass the Warren Buffett Filter,https://www.livemint.com/market/stock-market-news/3-indian-stocks-that-pass-the-warren-buffett-filter-11654851615192.html,"The Russia and Ukraine war, the US ripple effect, skyrocketing crude oil prices, and the risk of fiscal slippage has led to unprecedented market volatility in recent months. Adding to woes, the Reserve Bank of India (RBI) decided to tighten the money supply and increase policy rates. From an investor perspective, it is understandable to look up to ace investors and market analysts for some meaningful advice to tide over these tough times. After all, they can guide you towards the multibagger stocks for 2025. And a name that immediately comes to mind is Warren Buffett. The Warren Buffett Style of Investing Undeniably, Warren Buffett is the most successful investor of our time. Investors across the world are inspired by his ability to pick winning stocks that deliver long term returns.                                                           "
Updated: 09 Jun 2022,Radio ad volumes rise by 20% y-o-y Jan- Mar ’22 ,https://www.livemint.com/industry/advertising/radio-ad-volumes-rise-by-20-y-o-y-jan-mar-22-11654783321030.html,"As radio ad volumes continue to recover, toothpaste has been among the top categories that has seen the highest increase in ad secondages with growth of 33 times on the radio followed by properties, real estates with 32% growth during January to March 2022 period compared to the same period the year before, found a new report.  Vicco Laboratories topped the advertiser list from January to March 2022 followed by LIC India, found a new report by Tam AdEx that has put out its quarterly report on the radio medium.      "
Updated: 07 Jun 2022,The Adani versus Birla battle in a prized market for cement,https://www.livemint.com/opinion/columns/the-adani-versus-birla-battle-in-a-prized-market-for-cement-11654619859936.html,"Gautam Adani’s meteoric rise to the world’s ninth-richest person began with a port on India’s west coast in the 1990s and friendship with a politician who’s now prime minister. The rest has been all about finding the next industry that will enlarge his debt-fuelled empire. The port brought in coal, liquefied gas and palm oil, and so Adani got into these and adjacent businesses. Once he began supplying coal to power plants, he entered mining and electricity generation and distribution. He supplied piped gas to Indian cities, and set out to harvest solar and wind power. Extending his dominance in logistics to owning airports, grain silos and data centres was logical, as was selling a cooking medium: He just had to refine Indonesian palm-oil arriving at Indian ports, of which he now owns 13. Finally, if the group was going to create infrastructure, why not produce cement? In its most recent expansion, Adani is paying $10.5 billion. In this field, his challenger isn’t arch-rival Mukesh Ambani, the only Indian tycoon richer than Adani, it’s another billionaire. Kumar Mangalam Birla comes from old money, unlike Adani, a first-generation entrepreneur. His great-grandfather, who diversified from textile trading to jute manufacturing and a lot else, was a confidant of Mahatma Gandhi during India’s freedom struggle. Birla’s father, stymied by a post-1947 socialist turn, globalized the commodities conglomerate by expanding in Indonesia, Thailand and the Philippines. Birla bought Novelis in 2007 to become the world’s largest aluminium-rolling firm. But then Birla had to deal with the 2008 financial crisis, followed by a boom-bust in China’s commodities demand and a long expensive entanglement in telecom, an industry disrupted by Ambani’s 2016 foray with cheap data and free voice calls. While a government-backed rescue for Vodafone Idea Ltd has prevented it from going belly up, a new battle has begun. Adani is challenging Birla in India’s vast and expanding market for cement. No surprise then that Adani’s Holcim India acquisition evoked a quick response. Birla-controlled UltraTech Cement Ltd has announced a capital expenditure of ₹12,900 crore to increase its cement capacity by 22.6 million tonnes per annum. That works out to $75 per tonne. Adani is paying almost double that per tonne for taking over an estimated 73 million tonnes per annum capacity this year at the two Holcim units, Ambuja Cements and ACC. If Adani is going to buy scale at a premium, Birla will build cheap. The game is on. Birla’s telecom business got bruised when Ambani waged a price war. But it’ll be hard for Adani to beat Birla in the latter’s family borough of cement. Birla, who was worth $6.5 billion in early 2013 when Adani wasn’t even a billionaire, is now almost $85 billion behind. But he knows his cement: UltraTech’s current capacity of about 120 million tonnes per annum gives it a market share of 20%, ahead of the 12% Adani just acquired. It isn’t, however, an assured lead. As Kotak Institutional Equities has noted, Adani has the option of expanding to 100 million tonnes relatively cheaply, at $80- 90 per tonne. That’ll cut his acquisition cost. UltraTech has a $3.20-$3.90 advantage over Holcim in how much earnings before interest, taxes, depreciation and amortization it can eke out per tonne. Kotak says that Adani can close the gap by merging the two acquired firms, ending royalties to Holcim and saving costs via waste heat recovery. But Birla isn’t without options. He, too, will enter adjacent industries, such as paints. It’s too early to say who will win India’s building-material war, though one thing is certain: Birla won’t take another challenger lightly. In 2017, when he decided to merge his Idea with Vodafone’s India business, he may have thought that scale would protect him from relentless pricing attack by Ambani’s Reliance Jio. It didn’t. The government won a case in the Supreme Court over past dues from cellular firms, putting Vodafone Idea’s survival in doubt. Finally, New Delhi had to offer a bailout to prevent the telco market from becoming a Reliance-led duopoly. Cement isn’t as highly regulated as telecom. But Birla must still rue the ease with which Adani beat his rival bid—and one more by another Indian billionaire—for Holcim’s assets by agreeing to take over any liability emanating from a price-fixing case brought by India’s trustbuster. The real question before Birla, however, runs deeper. If Adani plans to dethrone him as India’s king of cement, what’s the right response: Fight or flight? His great-grandfather, the patriotic Ghanshyam Das Birla, bet on Gandhi and won against British rulers and their companies like Andrew Yule & Co. Going up against Adani, who also views himself as a nationalist businessman, may be no less of a gamble in Prime Minister Narendra Modi’s India. Andy Mukherjee is a Bloomberg Opinion columnist covering industrial companies and financial services in Asia."
Updated: 07 Jun 2022,Why cement stocks are falling,https://www.livemint.com/market/stock-market-news/why-cement-stocks-are-falling-11654602336285.html,
