article_time,article_title,article_link,article_content
Updated: 28 Jun 2022,Adani Ports moves SC against HC order,https://www.livemint.com/companies/news/adani-ports-moves-sc-against-hc-order-11656436971399.html,"MUMBAI : Adani Ports and Special Economic Zone Ltd on Tuesday moved the Supreme Court against Bombay High Court’s rejection of its plea on disqualification of its bid for maintenance and upgrade of the container terminal in Navi Mumbai by the board of trustees of Jawaharlal Nehru Port Authority (BTJNPA), according to people aware of the development. A query sent to a spokesperson for Adani Ports for confirmation was not answered immediately. On Monday, Chief Justice Dipankar Datta of Bombay High Court rejected the company’s plea against BTJNPA and called it unmeritorious. The court had also directed the company to deposit Rs5 lakhs with the tender to JNPA. The firm had already paid a major chunk of the amount and was thus asked to deposit the remaining amount. The Supreme Court’s division bench led by Justice Surya Kant and J.B. Pardiwala asked the company to approach the registry to get their matter listed for hearing. Abhishek Manu Singhvi, the lead counsel representing Adani Ports, requested the division bench to take up the matter on Wednesday as JNPA was inviting bids from Wednesday. He also asked the court to grant status quo by restraining the authority from proceeding with the bids. The Adani group firm argued that its exclusion from the JNPA contract procedure was unlawful and mala fide. The JNPA board had come across an order by Andhra Pradesh High Court that upheld the termination of the concession agreement by Vizag Port Trust (VPT). It asked the company to show cause as to why it should not be disqualified from the bid. The company was also given a hearing by the JNPA board. However, in May JNPA wrote to the company that as VPT had issued a termination letter to them, it was disqualified from participating in the process. Adani Ports said it had provided to JNPA all the documents about the dispute between Adani Vizag Coal Terminal Pvt Ltd and Vishakapatnam Port Authority."
Updated: 27 Jun 2022,HC rejects Adani plea against JNPA,https://www.livemint.com/companies/news/hc-rejects-adani-plea-against-jnpa-11656352899872.html,"MUMBAI : The Bombay high court on Monday rejected Adani Ports and Special Economic Zone Ltd’s application that challenged the decision by the board of trustees, Jawaharlal Nehru Port Authority (JNPA), to disqualify its bid for upgrade of a container terminal in Navi Mumbai. This comes after Adani Ports had moved the court earlier in May. “We find no merit in the contentions urged on behalf of Adani Ports. Accordingly, the petition stands dismissed,"" said a bench of Chief Justice Dipankar Datta and Justice M.S. Karnik. “The decision of JNPA to disqualify the petitioner after having once declared it as qualified, to our mind, conforms to the settled law that JNPA was bound by the tender terms and conditions, which amounts to a representation to the public, and that any deviation therefrom would have amounted to a fraud on public, unless JNPA reserved unto it a power of relaxation of an eligibility criterion,"" the bench ruled. The court stated the case as unmeritorious and directed Adani Ports to pay ₹5 lakh to JNPA. The company has already paid ₹4.24 lakh with tender to JNPA and, thus, is expected to pay the remaining within a month. The tender issued was a global invitation of Request For Qualification (RFQ) calling for applications from interested firms for upgrading, operating, maintenance and transfer of Jawaharlal Nehru Port Container Terminal through a public-private partnership for a concession period of 30 years. On May 3, JNPA eliminated the private firm from the competition to privatise the state-run port authority’s container handling facility. Based on JNPA’s terms and conditions in the tender document, any firm involved in contract termination at other ports will not be permitted to participate in the terminal privatisation bidding process. A segment of APSEZ’s contract to run a coal handling terminal at the Vishakapatnam Port Authority was cancelled in December 2020. Adani Vizag Coal Terminal Pvt Ltd is part of Adani Ports. The Adani group firm, however, said its exclusion from the JNPA contract procedure was unlawful and malafide. The board had come across an order by Andhra Pradesh High Court upholding the termination of the concession agreement by Vizag Port Trust."
Updated: 08 Mar 2022,Indian Oil to build more crude oil tanks at Adani's Mundra port,https://www.livemint.com/companies/news/indian-oil-to-build-more-crude-oil-tanks-at-adani-s-mundra-port-11646737046691.html,"Adani Ports and Special Economic Zone Ltd (APSEZ) on Tuesday signed an agreement with Indian Oil Corp Ltd (IOCL) towards augmentation of IOC’s crude oil volumes at Mundra. Indian Oil will expand its existing crude oil tank farm at APSEZ’s Mundra Port, thus enabling it to handle and blend additional 10 mmtpa crude oil at Mundra. This will support IOCL’s expansion of its Panipat Refinery (Haryana). IOCL is raising the capacity at its Panipat Refinery by 66% to 25 MMPTA to meet India’s rapidly growing energy requirements, Adani Ports said in a statement. ""Mundra Port is a major economic gateway that serves the northern hinterland of India by providing multimodal connectivity. It gives us immense pride to strengthen our partnership further and support IOCL, which plays a vital role in ensuring the energy security of the nation. As IOCL’s trusted long-term partner, APSEZ is well equipped to handle the additional 10 MMTPA crude oil at our existing single buoy mooring (SBM) at Mundra."" said Karan Adani, CEO and Whole Time Director of APSEZ. Indian Oil, which accounts for nearly half of India's petroleum products’ market share, has a refining capacity of 80.55 MMTPA and over 15,000 KM of pipeline network. Part of IOCL’s current crude oil requirement of 15 MMTPA for its Panipat Refinery is handled at the SBM at Mundra Port. The Mundra SBM is located 3-4 km off the coast where Very Large Crude Carriers (VLCCs) unload crude oil. An undersea pipeline then transports this crude oil from SBM to the Crude Oil Tank Farm and thereafter to the refinery at Panipat via the Mundra Panipat Pipeline (MPPL). Indian Oil is currently operating a crude oil tank farm in an exclusive area in Adani’s Mundra Special Economic Zone, consisting of 12 tanks with a total capacity of 720,000 KL. The addition of 9 new tanks will augment the storage capacity to 1,260,000 KL, thus making Mundra Port by far the largest port based crude oil storage facility for IOCL. This will be accompanied by augmentation of the MPPL pipeline capacity by IOCL to 17.5 mmtpa. IOCL Board had approved a capital expenditure of INR 9000 crore for the crude oil tanks and MPPL augmentation in December 2021, Adani Ports said. This expansion project at Mundra Port underlines the trust of state-run IOCL in APSEZ, earned through its strategic approach of modernizing its ports, improving turnaround time, and thus creating value for its customers, the company said."
Updated: 30 Jan 2022,APSEZ receives NCLT approval for Amalgamation of Sarguja Rail Corridor,https://www.livemint.com/news/india/apsez-receives-nclt-approval-for-amalgamation-of-sarguja-rail-corridor-11643529337686.html,"New Delhi: Adani Ports and Special Economic Zone Ltd’s (APSEZ) composite scheme of arrangement to acquire Sarguja Rail Corridor Pvt Ltd (SRCPL) has been approved by the Ahmedabad Bench of the National Company Law Tribunal (NCLT) and will be effective from the Appointed Date of 1 April 2021. APSEZ will now consolidate all rail assets under a single business entity – Adani Tracks Management Services Pvt Ltd – creating value for all stakeholders from day one, as it aligns with APSEZ’s vision of being a leader in the Transport Utility space, a company statement said. This consolidation will allow APSEZ, which is targeting 2,000 km of track length by 2025, to participate in Indian Railways PPP projects without having to compete with similar businesses in the Adani portfolio, a position that is in full alignment with the equity interests of minority shareholders. Karan Adani, CEO and whole time director of APSEZ said, “As per the national rail plan 2020, Indian Railways will invest more than ₹3 Lakh Crore over the next 10 years to construct new rail lines. Further, the government’s shift in focus from road to rail as the preferred mode of transport, an obvious choice both economically and environmentally, will require significant participation of the private sector. Therefore, this acquisition creates significant business value for APSEZ as a Transport Utility."" ""The process adopted by APSEZ to acquire SRCPL from another entity within the Adani Group,"" added Karan Adani, “reflects our continuous commitment to enhancing our corporate governance practices. The strongest endorsement of the process lies in the overwhelming support it received from our minority shareholders, reaffirming their confidence in APSEZ’s management."" The acquisition being a related party transaction, APSEZ adopted a transparent approach with minority shareholders and creditors for approval. Some of the key steps in the approval process included: Proposal evaluation by an Executive Committee (EC) of three independent board directors; Independent asset valuation (by Deutsche Bank and BDO Valuers) and ‘fairness opinion’ from JP Morgan and JM Financial on the valuation; Post NOC from the stock exchanges, an application was filed for an NCLT- convened meeting of APSEZ’s equity shareholders and secured and unsecured creditors, to vote on the proposal; Over 92% of minority shareholders and close to 100% of debtors voted in favour of the proposal; NCLT, after reviewing the outcome, has approved the composite scheme. The acquisition of Surguja Rail will create value for all stakeholders from day one, as it is EPS accretive. The company said that significant growth opportunity is available as the business is yet to mature, including in non-Adani mine areas with annual potential of up to 40 MMTPA. It added that critical and environment-friendly transport infrastructure will help decarbonize the mineral transport sector. Besides, secured long-term contract with sovereign equivalent counterparty will provide annuity like returns."
Updated: 26 Jan 2022,IDFC MF files draft SID for Nifty Mobility Index Fund,https://www.livemint.com/mutual-fund/mf-news/idfc-mf-files-draft-sid-for-nifty-mobility-index-fund-11643191235268.html,"IDFC Mutual Fund has filed a draft SID for Nifty Mobility Index Fund – an open-ended passive scheme that will track Nifty Mobility Index. NSE Indices had developed the Nifty Mobility Index in December 2021. It aims to track the performance of a portfolio of stocks that broadly represent the mobility theme. The stocks, which are part of the Nifty 500 at the time of review, are eligible for inclusion in the index. Also, the largest 30 stocks from eligible basic industries are chosen based on a 6-month average free-float market capitalisation. Some of the eligible basic industries are airlines, auto ancillaries, batteries (automobile), castings/forgings, commercial vehicles, fasteners, logistics service providers and passenger/utility vehicles. The Index is reconstituted semi-annually along with Nifty broad-based indices. The industry exposure of the index, as per the factsheet, has been at 70% in automobile, 14.7% in services, 10.4% in oil & gas and 4.7 per cent in industrial manufacturing. For a sectoral/ thematic index, no single stock will have more than 35% weight in the index. The weightage of the top three constituents of the index, cumulatively shall not be more than 65% of the Index. The individual constituent of the index shall have a trading frequency greater than or equal to 80% and an average impact cost of 1% or less over the previous six months. The fund manager of the scheme is Nemish Sheth (equity portion) The minimum amount for application during the NFO period as well as the ongoing offer is ₹5,000 for lumpsum, and ₹100 in case of SIP (systematic investment plan), subject to a minimum of six instalments."
Updated: 06 Oct 2021,Adani group raises $9 billion from offshore bond market,https://www.livemint.com/companies/news/adani-group-raises-9-billion-from-offshore-bond-market-11633457139162.html,"MUMBAI : Billionaire Gautam Adani’s group has become the biggest issuer of offshore bonds from India with multiple group companies issuing bonds in the past five years to raise more than $9 billion from foreign investors. The Adani group’s flagship company Adani Ports and Special Economic Zone Ltd (APSEZ) alone has raised over $5 billion during this period across nine bond issuances and is the biggest private sector issuer of foreign bonds from India, according to data from financial markets tracker Refinitv. Only state-owned lenders, such as Power Finance Corp. Ltd and Export Import Bank of India, have raised more than APSEZ, the data showed. The two have raised $7 billion and $6 billion, respectively. Other major overseas bond issuers from the Adani Group include Adani Transmission Ltd and Adani Green Energy Ltd, which raised $2.29 billion and $1.61 billion, respectively. JSW Steel is the second biggest private sector issuer of overseas bonds raising $3.87 billion. APSEZ, JSW Steel and Adani Transmission Ltd are the only non-financial services and non state-owned enterprises to feature in the list of top 10 offshore issuers from India. “The Adani Group has been the most active and repeat issuer in the overseas bond market and the market is now very comfortable investing in an Adani paper. Hence, we have also seen the Adani Group raising capital through very long dated bonds such as 20 years, for which generally offshore investors are comfortable only with state-owned enterprises that have previously raised 30-year money,"" said a investment banker who advises companies on offshore bond offerings. “Offshore capital has been available at cheaper rates given the liquidity in the global markets and low interest rates. Given that it (the Adani Group) has been one of fast-growing conglomerates in the country investing in capital-intensive infra sectors, it has had the need to increase its access to capital beyond domestic banks and markets,"" the investment banker said. In July, APSEZ became the first infra company to raise 20-year money from international bond markets, issuing $750 million bonds of dual tranche 10.5-year and 20-year unsecured bonds in global capital markets. As of August, the firm’s foreign debt comprised 70% of its overall debt with rupee debt accounting for the remaining 30%. The fact that Adani firms such as APSEZ and Adani Transmission have a high rating of BBB-, similar to India’s sovereign rating, has helped the company tap the liquidity in global debt markets. It is not just the Adani group that has been active in the overseas markets. With bond yields at a historical low, fundraising activity in the offshore bond market is on its way to likely surpass the $21 billion record of 2019. “Indian corporate issuers tapped the offshore US dollar bond markets and raised more than $16.6 billion so far this year, the highest first nine-month period by proceeds since records began in 1980. Aside from the financials sector, a wider variety of companies from various industries took advantage of the favourable market conditions driven by the relatively low interest rate environment, greater liquidity in international markets, and strong investor demand for attractive yields,"" said Elaine Tan, senior analyst, Refinitiv, an LSEG Business. “Beyond diversification from India’s domestic bond markets, sustainability-themed targets emerged as a significant key driver. ESG-related bond issuance accounted for 43% of the Indian corporate US dollar-denominated bond proceeds, raising $7.1 billion in proceeds."""
Updated: 21 Sep 2021,CCI clears APSEZ's 10% stake purchase in Gangavaram Port ,https://www.livemint.com/companies/news/cci-clears-apsez-s-10-stake-purchase-in-gangavaram-port-11632169404250.html,"NEW DELHI : The Competition Commission of India (CCI) on Monday cleared the acquisition of 10.4% stake in Gangavaram Port Limited (GPL) by Adani Ports and Special Economic Zones Limited (APSEZ). APSEZ is buying the stake from the government of Andhra Pradesh, said an official statement from CCI.  The deal is worth ₹644.78 crore, Mint had reported on 25 August. APSEZ is an integrated port infrastructure services provider present across 11 domestic ports in the states of Gujarat, Goa, Kerala, Andhra Pradesh, Tamil Nadu and Odisha. GPL own, develop and operate the deep-water port at Gangavaram in Andhra Pradesh. This is based on a  concession agreement on build-own-operate-transfer basis with the Andhra Pradesh government for a period of thirty years. The concession agreement can be extended by 20 years. The acquisition will provide (APSEZ) access to growth from new hinterland markets. CCI did not specify any modifications to the transaction."
Updated: 12 Aug 2021,Adani Ports says it can easily acquire ‘strategic’ target Concor,https://www.livemint.com/companies/news/adani-ports-says-it-can-easily-acquire-strategic-target-concor-11628763419224.html,"Adani Ports & Special Economic Zone Ltd. expects to easily raise funds, without weakening its financial health, to acquire state-owned logistics firm Container Corp. of India Ltd., or Concor, in which the government is looking to divest its shareholding. “Concor is a very strategic acquisition,"" Chief Executive Officer Karan Adani said in an Aug. 3 call with analysts, which was confirmed by an Adani spokesman on Thursday. By raising funds “without stretching the balance sheet, we should easily be able to do that acquisition,"" he said. The transaction underscores the rapid expansion spree that the Adani Group has seen in recent years as billionaire-founder Gautam Adani -- Karan Adani’s father -- rapidly diversifies what was once an agri-trading business into a conglomerate spanning ports, power generation, airports, data centers and green energy. Adani Ports, which is India’s largest private port operator, has synergies with Concor as the latter owns inland ports -- called dry ports -- across the country in addition to providing rail transport for containers that are critical for port operations. The publicly traded state-run firm also handles cold-chain and air cargo besides managing some ports. all these will bolster Adani Ports’ portfolio. The Narendra Modi-led government is looking to dilute its stake in Concor from 55% to a minority stake. Concor’s Chairman V. Kalyana Rama called the disinvestment process a “work in progress"" in a July 30 call with analysts. While Adani Ports can also scale up on its own, Karan Adani said it would take a lot of time. “It is possible to create an alternate, but it takes 10 years,"" he said. “You are paying to fast track your strategy."""
Updated: 03 Aug 2021,"Adani Ports' Q1 results: Net profit jumps 77% to ₹1,342 crore",https://www.livemint.com/companies/company-results/adani-ports-q1-results-net-profit-jumps-77-to-1-342-crore-11627995495496.html,"Adani Ports and Special Economic Zone (APSEZ) on Tuesday reported a 77.04% jump in consolidated net profit to ₹1,341.69 crore for the first quarter of the current financial year. The country's largest integrated logistics player had clocked a consolidated net profit of ₹757.83 crore in the corresponding period a year ago, according to a regulatory filing. Its total income during the latest June quarter rose to ₹4,938.43 crore, against ₹2,749.46 crore in the year-ago period. The company's total expenses during the quarter under review increased to ₹3,464.88 crore, from ₹1,805.24 crore a year ago. ""Our strategy of establishing a network of world-class ports to balance cargo across the east and west coasts has been tracking precisely as per plan, thereby continuing to de-risk our growth as well as lay the foundation of a broader logistics platform. ""This has resulted into APSEZ accelerating its market share gain,"" Karan Adani, chief executive officer and whole-time director of APSEZ, said in a statement. Adani further said that therefore, the company has raised its target cargo volumes to 350-360 MMT (million metric tonnes), which translates into a year-on-year growth of about 45%. ""APSEZ also became the first Indian infrastructure company to have raised a dual-tranche of 10.5-year and 20-year unsecured bonds,"" he said adding that the company's goal of becoming the first port firm to be carbon neutral by 2025 is very well on track. Its board has formed a committee of independent directors to evaluate an acquisition for consolidating Gangavaram Port Ltd (GPL) with APSEZ Group, including merger, post completion of 10.40% stake sale by the Government of Andhra Pradesh (GoAP) in GPL, the company said. In notes to April-June quarter earnings, APSEZ said the company acquired balance 25% stake in Krishnapatnam port for ₹2,800 crore, making it a 100% subsidiary of APSEZ. It said that as a second international foray, it will develop a container terminal at Colombo Port with a capacity of 3.5 million twenty-foot equivalent unit (TEUs). ""Construction is expected to start in December 2021."" The firm also said the consideration for 58.1% stake from DVS Raju and Family, agreed at ₹120 per share, and process for acquisition of balance 10.4% from GoAP are at an advance stage. In the statement, APSEZ also said that the merger scheme for consolidating rail track assets (by acquiring SRCPL and demerging Mundra rail assets) has been filed. According to the company, cargo volume increased due to growth in all types of cargo — dry bulk grew 104%, container 69%, and liquid cargo (including crude) 57%. As part of its social outreach programme, APSEZ said it decided to vaccinate its employees in April 2021. The company, under the corporate quota, provided free vaccination to all its employees. Its 97% employees are vaccinated, it said."
Updated: 03 Aug 2021,"Stock markets likely to be cautious; Bharti, Adani Enterprise, Vodafone in focus",https://www.livemint.com/market/stock-market-news/stock-markets-likely-to-be-cautious-bharti-adani-enterprise-vodafone-in-focus-11627958289667.html,"MUMBAI: Indian stock markets are likely to be cautious on Tuesday while trends in SGX Nifty suggest a negative start to domestic benchmark indices. On Monday, the BSE Sensex ended at 52,950.63, up 363.79 points or 0.69%. The Nifty closed at 15,885.15, up 122.10 points or 0.77%. Asian stocks slipped on Tuesday, as the Delta coronavirus variant spread in key markets in the region and put Chinese authorities on high alert, rattling investor confidence. Trade in Asia faced a weaker lead from Wall Street after investors there considered the impact the increasing number global cases of Delta could have on global economic growth. In Asia, MSCI’s broadest index of Asia-Pacific shares outside Japan fell 0.40% in early trading. Japan’s Nikkei was off 0.85% in early trade. Hong Kong’s Hang Seng Index fell 0.83%. In China, the spread of the Delta variant from the mainland’s coast to its inland cities prompting authorities to implement strict counter epidemic measures to bring the outbreak under control Adding to the negative sentiment is ongoing investor concern about increasing Chinese official regulation in sectors ranging from technology, fintech and education. The Dow Jones Industrial Average fell 0.28%, the S&P 500 lost 0.18% and the Nasdaq Composite added 0.06%. Back home, Bharti Airtel, Adani Enterprises, Adani Ports & Special Economic Zone, Dabur India, Tata Consumer Products, Godrej Consumer Products, Indian Overseas Bank, Bank of India and IIFL Wealth Management are among the key companies scheduled to announce their June quarter earnings today. Adani Wilmar Ltd (AWL), the equal joint venture between Adani Enterprises Ltd and Wilmar International Ltd and the owner of the Fortune brand of edible oils, on Monday filed the draft red herring prospectus (DRHP) for its proposed initial public offering (IPO), Adani group flagship company Adani Enterprises said in an exchange filing. Aditya Birla Group chairman Kumar Mangalam Birla has offered to transfer the group’s entire ownership in Vodafone Idea Ltd to the government in a last-ditch effort to keep the cash-strapped telco from collapsing. Tata Motors on Monday announced a minor hike in prices of all its passenger vehicles offered in the Indian car market, effective Tuesday (3 August). While no official reason has been assigned behind the decision to hike prices, rise in input costs have been cited by the company in the recent past. There is, however, price protection on all retail till August 31. The benchmark 10-year Treasury yield was down 5.5 basis points at 1.1839% in afternoon trading, extending a pattern of declines playing out since the spring. The yield touched 1.151%, the lowest since July 20, shortly after an Institute for Supply Management report showed July U.S. manufacturing growth slowed for the second straight month. In US trade, crude oil was down between 3.3% and 3.6%, which Commonwealth Bank analysts said was the result of the Delta variant being seen “as a headwind on still recovering oil demand."" Oil started to track slightly higher during early Asian trade though. U.S crude ticked up 0.31% to $71.46 a barrel. Brent crude was 0.32% up to $73.15 per barrel. Gold was slightly lower. Spot gold was trading down 0.1% $1812.4352 per ounce. (Reuters contributed to the story)"
