article_time,article_title,article_link,article_content
Updated: 07 Jun 2022,"Adani, Apollo explore  bids  for majority stake in Metropolis",https://www.livemint.com/companies/news/adani-apollo-explore-bids-for-majority-stake-in-metropolis-11654539475699.html,"Billionaire Gautam Adani and Apollo Hospitals Enterprise Ltd, the country’s biggest operator of hospitals, are evaluating bids to pick up a majority stake in diagnostic chain Metropolis Healthcare Ltd, two people familiar with the development said. The deal size, given the market cap of Metropolis and its operations across the country, could be at least $1 billion ( ₹7,765 crore), they added. Last month, Mint reported that Adani Group is planning a massive foray into the healthcare sector and may acquire large hospitals, diagnostic chains, and both offline and digital pharmacies. The group is said to have earmarked as much as $4 billion for the business, to gain a foothold in the healthcare space and is talking to investors and lenders to devise a long-term funding plan. A Metropolis spokesperson declined to comment on the development, whereas email queries sent to Adani Group and Apollo Hospitals went unanswered till press time. Adani Group is one of India’s largest business conglomerates, with more than $20 billion in annual revenue. It has a presence in power, green energy, infrastructure, food processing, and airports, among other industries. Metropolis started as a single lab in the 1980s and received its first external funding of ₹35 crore from private equity firm ICICI Venture in 2005. This was followed by $85 million from PE firm Warburg Pincus, providing an exit to ICICI Venture. In 2015, the founding Shah family bought back a 27% stake of Warburg Pincus for ₹550 crore, with the backing of KKR India. Later in 2015, the company brought marquee investor Carlyle on board when the PE firm bought out co-promoter GSK Velu’s stake in a controversial board battle. The pathology chain operates in 19 states in India, with a strong presence in the western and southern regions."
Updated: 20 May 2022,"Amazon, Flipkart in talks to buy stake in Metropolis Healthcare",https://www.livemint.com/industry/retail/amazon-flipkart-in-talks-to-buy-stake-in-1-1-billion-diagnostics-chain-report-11653033636424.html,"Metropolis Healthcare Ltd., a diagnostics chain operating in India and Africa, is looking to raise more than $300 million and bring onboard a strategic partner by selling a significant minority stake, according to people familiar with the matter. The company is in early discussions with several global strategic investors and other potential purchasers of the shares, said the people, asking not to be identified because the deliberations aren’t public. Metropolis, traded in Mumbai with a market value of $1.1 billion -- about half what it was at the start of the year -- tapped Barclays as an adviser, they said. A deal would likely include a sale of primary shares as well as secondary shares by existing investors, including the managing director, that could take the deal size over $300 million. Walmart Inc.-owned retailer Flipkart and listed health-care chain Apollo Hospitals Enterprise Ltd. are among potential strategic investors that have signed non-disclosure agreements with Metropolis, while Amazon.com Inc. has held preliminary discussions, said one of the people. Agreements are also in place with global funds including KKR & Co., TPG Inc. and Barings, the person said, while talks are ongoing with Blackstone Inc. Representatives of Metropolis Healthcare, Amazon, Apollo Hospitals, Barings, Blackstone, KKR and TPG declined to comment. Flipkart did not respond to emails seeking comment. A representative for Barclays declined to comment. Shares of Metropolis fell as much as 3.1% on Friday. They have halved since the start of the year amid a broader tech selloff and concerns about intensifying competition. Metropolis runs more than 3,000 diagnostics centers as well as pathology laboratories in India and Africa. It has grown as consumers sought out branded operators for tests and scans during the pandemic. The chain was founded in 1981 by Sushil Shah, whose daughter Ameera Shah has since taken the reins. Ameera Shah currently owns 50% of the company and could offload some of her shares in a secondary transaction that could increase the size of the deal, a person familiar with the discussions said. Diagnostics chains have become targets for the likes of Amazon and Walmart, which are ramping up health-care services to add to their retail offerings in India. Spending on preventive health care such as testing is rising in the country of 1.4 billion people, driven by chronic and lifestyle-related diseases and an aging population. Intensifying competition is driving consolidation, with online pharmacy startup Pharmeasy buying a majority stake in publicly traded diagnostics chain Thyrocare Technologies last year for $612 million. Metropolis acquired diagnostic chain Hitech Diagnostic Centre for 6.36 billion rupees ($82 million) last year. To remain competitive, diagnostics companies need to invest heavily in newer technology and equipment and strengthen their online offerings. Despite the hits to its market price, Metropolis said it is focusing on expansion. It plans to start 1,800 collection centers in the next three years, the company said in an exchange filing.  It will boost its home collection service to 200 locations within two years, it said in its most recent earnings filing in February.   This story has been published from a wire agency feed without modifications to the text. Only the headline has been changed."
Updated: 21 Oct 2021,HDFC Mutual Fund launches Nifty Next 50 index fund,https://www.livemint.com/mutual-fund/mf-news/hdfc-mutual-fund-launches-nifty-next-50-index-fund-11634815697847.html,"NEW DELHI: HDFC Asset Management Company has launched a new fund offer (NFO) HDFC NIFTY Next 50 Index Fund for investors looking for returns that are commensurate with the performance of Nifty Next 50 index. Nifty Next 50 index represents 50 companies from Nifty 100 after excluding the constituents of Nifty 50 Index. As per the fund house, the Nifty Next 50 Index is more diversified with top three sectors’ weight pegged at 58% compared with 67% for Nifty 50, and thereby may offer better risk adjusted returns in long term. The NFO will open on 22 October and close on 29 October. Krishan Kumar Daga, senior fund manager, HDFC AMC, said, “Nifty Next 50 Index has favourable risk-reward ratio compared with Nifty 50 Index. Nifty Next 50 has outperformed Nifty 50 Index over 19-year period ended 30 September. Out of 75 stocks that were included in Nifty 50 index during January 2002–March 2021, about 51 stocks were from Nifty Next 50 Index. Thus, the fund offers investors an opportunity to invest in basket of tomorrow’s potential Nifty 50 companies."" Nifty Next 50 Index is computed using free float market capitalisation method wherein the level of the index reflects total free float market value of all the stocks in the index relative to a particular base market capitalization value. The top stocks in the index as per weightege are Info Edge (India) Ltd. (4.03%), Avenue Supermarts Ltd. (3.80%), Apollo Hospitals Enterprise Ltd (3.66%), ICICI Lombard General Insurance Company Ltd. (3.29%) and Adani Enterprises Ltd. (3.27%). Navneet Munot, MD and CEO, HDFC AMC, said, “Launch of HDFC NIFTY Next 50 Index Fund is a part of our endeavor to expand our product bouquet in the passive space. HDFC AMC has been one of the oldest players in the passive strategies with proven capability."" HDFC AMC has been betting big on passive funds as it recently filed papers for nine exchange-traded funds (ETFs) with the Securities and Exchange Board of India. The AMC had applied for the following ETFs: Nifty Growth Sectors 15, Nifty IT, Nifty Next 50, Nifty Private Bank, Nifty100 Low Volatility 30, Nifty100 Quality 30, Nifty200 Momentum 30, HDFC NV 20 and HDFC Nifty 100."
Updated: 18 Aug 2021,Apollo Hospitals’ Q1 enough to keep its investors hooked,https://www.livemint.com/market/mark-to-market/apollo-hospitals-remains-in-favour-with-growth-triggers-ahead-11629265052289.html,"Shares of Apollo Hospitals Enterprise Ltd have gained 18% in the past three trading sessions, an indication that the June quarter performance has boosted investor sentiment. Multiple growth drivers remain intact, according to analysts. The hospital business grew 26% sequentially and 145% year-on-year (y-o-y), with an improved occupancy level. The average revenue per operating bed (ARPOB) also showed improvement. The Q1FY22 occupancy in mature hospitals remained stable at 64%. New hospitals, on the other hand, reported a significant jump in occupancy to 73% compared to 60% a quarter ago. As much as 26% of the business during the quarter was a result of covid-19. Analysts are hopeful of healthier growth due to the normalization of business mix, increase in elective surgeries and other factors that may bode well for margins. New hospitals have shown profitability with most of them achieving break-even. Proactive capacity addition has also benefited the company. “We expect strong 57.5% growth in the hospitals business in FY22 on a low base, consolidation of the Kolkata hospital and incremental revenue from vaccination,"" analysts at ICICI Securities Ltd wrote in a note. The firm’s pharmacy business grew by 35% sequentially and reported decent improvement in the margin to 7.6% from 7.1% in the previous quarter. This was aided by an increased share in private labels to 13.24%, which is far better than the 9% historically. The company had separated the front-end pharmacy business and Apollo 24/7 into a separate subsidiary, Apollo HealthCo Ltd, to improve its e-commerce platform. The Apollo 24/7 platform is scaling up well and analysts at HDFC Securities Ltd expect revenues to reach $50 million to $60 million by the end of FY22. They expect Apollo 24/7 to break even by FY24 and expect the company’s diagnostics business to see a steady ramp-up and achieve revenue of ₹500 crore by FY23. “We expect improvement in performance to continue in the ensuing quarters supported by higher occupancy, cost control initiatives and continuous growth momentum in the pharmacy segment,"" said the ICICI Securities note. They expect 25.5% revenue and 51.8% earnings before interest, tax, depreciation and amortization on a compound annual growth rate basis over FY21-FY23 on a low base of FY21."
Updated: 13 Jul 2021,"Zomato raises ₹4,196 cr from anchor investors ahead of IPO",https://www.livemint.com/companies/news/tiger-global-cppib-blackrock-others-invest-in-zomato-s-rs-4-196-cr-anchor-allocation-ahead-of-ipo-11626196681636.html,"Mumbai: Online food delivery platform Zomato on Tuesday said that it has raised ₹4,196 crore from several prominent institutional investors as part of an anchor book allocation, a day ahead of its public offering. The company informed exchanges that it has allocated 552.17 million equity shares, to anchor investors, at a price of ₹76 per share, the upper end of its price band of Rs72-76 per share. The Rs9,375 crore Zomato IPO opens for subscription to public market investors on 14 July and will close on 16 July. Marquee global investors that participated in the anchor book include Government of Singapore, canadian pension funds Canada Pension Plan Investment Board and OMERS, BlackRock Global Funds, T Rowe Price, Fidelity, Aberdeen Global Indian Equity, Baillie Gifford, Steadview Capital, Goldman Sachs, Neuberger Berman, Abu Dhabi Investment Authority and Pinebridge Global Funds. Among domestic investors, Axis MF, HDFC Trustee, SBI MF, Aditya Birla Sun Life, ICICI Prudential, Kotak MF, Nippon Life India, and SBI Life Insurance invested in the company via anchor book. “There was as much as 40x demand for the anchor book,"" said a person close to Zomato’s share sale, on the condition of anonymity. The IPO comprises a fresh issue of equity shares worth ₹9,000 crore and an offer for sale (OFS) worth ₹375 crore by existing investor Info Edge (India), which is the parent company of Naukri.com. The proceeds from the fresh issue will be used towards funding organic and inorganic growth initiatives and for general corporate purposes, according to the information in the red herring prospectus of Zomato. On Friday, Mint reported that at ₹76 per share, the upper end of the price band of the IPO, the country’s largest food delivery platform will have a post-money valuation of ₹59,623 crore, giving it the 78th position among listed firms in India by market value. The share sale will open for subscription on 14 July. Zomato’s valuation will be more than long-established and well-known names such as Hero MotoCorp Ltd, India’s biggest two-wheeler maker; drugmaker Aurobindo Pharma; Piramal Enterprises; Apollo Hospitals, Biocon Ltd and Bandhan Bank. Post the IPO, Zomato will have about $2 billion, or roughly ₹15,000 crore in cash in the bank. On average, 6.8 million customers ordered food every month on Zomato in FY21, an average monthly frequency of approximately three times, the company said in its prospectus. Zomato had 169,802 delivery partners and 148,384 restaurants on the platform in March 2021. It had 1.5 million Pro Members and 25,443 Pro Restaurant Partners as of 31 March. Kotak Mahindra Bank, Morgan Stanley India and Credit Suisse Securities, BofA Securities and Citigroup Global Markets are book-running lead managers."
Updated: 08 Jul 2021,Zomato to rank among India's top 100 most-valued public companies with its IPO,https://www.livemint.com/market/ipo/zomato-to-rank-among-india-s-top-100-most-valued-public-companies-with-its-ipo-11625726951008.html,"Mumbai: The much-awaited IPO of Zomato Ltd will see the country's largest food delivery platform enter the ranks of the top 100 most-valued listed companies on the Indian stock exchanges. At ₹76 per share, the upper end of the IPO price band, Zomato will have a post-money valuation of ₹59,623 crore, which will rank it at 78th position among the top 100 Indian listed companies by market capitalization. In fact, Zomato will rank higher than some long-established and well-known names such as Hero MotoCorp, Gland Pharma, Aurobindo Pharma, Piramal Enterprises, Apollo Hospitals, SAIL, Lupin, Bandhan Bank. The firm said that its initial public offering (IPO) will open on 14 July and close on 16 July. The issue price has been fixed at ₹72-76 a share. The issue comprises an offer for sale of ₹375 crore by the company's early investor Info Edge and a fresh issue of shares of ₹9,000 crore. The stock is likely to list on exchanges on 27 July. In the grey market, it was quoting a premium of ₹14 per share, according to a dealer. As of 31 December, Zomato had 3,50,174 active restaurant listings. In terms of table bookings, 12.2 million covers were booked through its platform in fiscal 2020. On an average, in fiscal 2020, Zomato had 131,233 active food delivery restaurants every month. ""Zomato IPO would mark the first meaningful Internet listing in India. With >80% contribution to revenues, food delivery is the bedrock, a two-player market now although more competition is possible. Covid-19 impacted revenues negatively but helped unit economics and sustainable level is unclear. Clarity is needed on usage of ~45% proceeds for M&A, nutraceutical foray etc. The technical factors may drive investor interest, which may have boarder implications,""said Jefferies India in a note to its investors."
Updated: 23 Jun 2021,"Markets likely to be steady; PNB Housing, Adani group, Jet in focus",https://www.livemint.com/market/stock-market-news/markets-likely-to-be-steady-pnb-housing-adani-group-jet-in-focus-11624416047947.html,"MUMBAI: Markets are likely to be steady on Wednesday while trends in SGX Nifty suggest a positive opening. On Tuesday, the BSE Sensex was up 14.25 points or 0.03% at 52,588.71. The Nifty gained 26.25 points or 0.17% at15,772.75. Asian stocks were steady Wednesday after reassuring comments on inflation and monetary policy from Federal Reserve officials bolstered investor sentiment. Treasury yields held declines. Stocks fluctuated in narrow ranges, dipping in Japan, China and Australia but inching higher in Hong Kong. US equity contracts made modest gains after the S&P 500 climbed a second day. Overnight, Fed Chair Jerome Powell reiterated his view that inflation pressures will be transitory even after a notable increase in recent months. He added that the Fed would be patient in waiting to lift borrowing costs. Punjab National Bank, the controlling shareholder of PNB Housing Finance Co. Ltd, is likely to have vetoed the mortgage lender’s planned ₹4,000 crore fundraising from investors led by Carlyle Group at Tuesday’s voting, and will instead propose an alternative plan to raise capital, according to a Mint report. Norwegian pension fund KLP is divesting from Adani Ports and Special Economic Zone Ltd on the grounds the company's links with the Myanmar military breach the fund's responsible investment policy, KLP told Reuters on Tuesday. Apollo Hospitals Enterprises, Allcargo Logistics, Hindustan Construction Company and Andrew Yule & Company are among key companies which will announce their March quarter results today. The Mumbai bench of the National Company Law Tribunal (NCLT) on Tuesday approved the resolution plan submitted by Kalrock Capital and UAE-based entrepreneur Murarilal Jalan for the revival of Jet Airways (India) Ltd, which has been grounded since April 2019. Oil traded around $73 a barrel in the wake of a report pointing to another decline in U.S. crude stockpiles. Markets have stabilized after being buffeted by a hawkish shift in the Fed’s policy outlook as the recovery from the pandemic stokes price pressures. Officials have since sought to emphasize that the central bank is continuing to support the economy with asset purchases and low interest rates to make progress toward employment and inflation goals. In testimony to the House Select Subcommittee Tuesday, Powell said price increases recently were bigger than expected but will likely wane. He also acknowledged the uncertainty around that view. Earlier Tuesday, New York Fed president John Williams noted that a discussion about raising interest rates is still “way off in the future."" Meantime, his Cleveland counterpart Loretta Mester said she wants to see additional employment gains for the next several months before assessing whether the US economy has achieved the progress required to taper bond purchases. (Bloomberg contributed to the story)"
Updated: 01 May 2021,Some private hospital chains start jab drive for adults today,https://www.livemint.com/news/india/some-private-hospital-chains-start-jab-drive-for-adults-today-11619807439884.html,"Three of India’s largest hospital chains—Apollo Hospitals Enterprise, Max Healthcare Institute and Fortis Healthcare—on Friday announced that a few hospitals in their network will start vaccinating all adults from Saturday, including those in the age group 18-44 years who were not part of the vaccination drive earlier. While Fortis Healthcare will only be using Bharat Biotech International’s Covaxin, Max Healthcare will be using Serum Institute of India’s Covishield. Apollo Hospitals will be vaccinating all adults with both Covaxin and Covishield. All three hospitals said the expanded drive will begin with limited quantities of jabs, which will be ramped up in the coming weeks. “Fortis will administer covid vaccines for 18+ at its centres across North India from tomorrow (1 May). Fortis centres in other cities will commence vaccination as soon as supplies are made available by authorities,"" a spokesperson for Fortis Healthcare said in a statement. For now, Max Healthcare will be making vaccines available only at its facilities in the National Capital Region—at Panchsheel Park, Patpatganj, Shalimar Bagh, Noida and Vaishali and the BLK Super Speciality Hospital at Rajinder Place, the hospital chain said in a statement. As per government guidelines, all vaccinations will only be done through prior appointment on the government’s Co-WIN platform, and no vaccine would be administered on a walk-in basis. Apollo Hospitals will charge ₹1,200 for administering a dose of Covaxin. The hospital will charge ₹800 for administering a dose of Covishield, wherein ₹600 will be the cost of a dose as charged by Serum Institute and ₹200 will be administration charges. Fortis Healthcare will charge ₹1,250 per dose of Covaxin, with ₹50 as administration cost. Max Healthcare will publish its prices on its website later, a spokesperson for the company said. The start of the vaccination drive has come at a time when the country is facing a massive surge in covid cases in the second wave, with India recording 386,773 new cases on Thursday, a record increase, while on Friday the addition of confirmed patients was at 352,435 at 10.30pm. “The second wave has come like a tsunami with an exponential rise in the number of cases. The government’s decision to open up the vaccination program and permit private hospitals to procure vaccines directly from the manufacturers is a much-required step to counter the covid threat,"" Apollo Hospitals executive vice-chairperson Shobana Kamineni said in a statement. The start of the vaccination drive at all private hospitals contrasts with delays reported by states like Maharashtra, Chhattisgarh and Rajasthan, who have said they will be unable to start vaccination due to a shortage of doses. Even among private hospitals, it is only a few large ones that would be getting the vaccine. A spokesperson for Manipal hospitals said they will not start vaccinating all adults as there is no clarity on availability of vaccines. Aster DM Healthcare’s hospitals in India will also not be administering covid-19 vaccines. “We have spoken to all the major vaccine manufacturers, and none of them currently have sufficient stock for the private sector,"" Harish Pillai, chief executive officer of Aster India, said in a statement."
Updated: 23 Jan 2021,"Apollo Hospitals raises ₹1,170 cr through allotment of shares to QIBs",https://www.livemint.com/companies/news/apollo-hospitals-raises-rs-1-170-cr-through-allotment-of-shares-to-qibs-11611412263137.html,"New Delhi: Healthcare major Apollo Hospitals on Saturday announced raising Rs 1,169.99 crore through allotment of shares to the qualified institutional buyers (QIBs). The Fund Raising Committee on Saturday ""approved allotment of 46,59,498 equity shares of face value ₹5 each to eligible qualified institutional buyers at the issue price of 2,511 per equity share, i.e., at a premium of 2,506 per equity share aggregating to ₹11,699.99 million, pursuant to the issue,"" Apollo Hospitals Enterprise said in a filing to the BSE.  The issue opened on January 18, 2021 and closed on January 22, 2021, it added. ""Pursuant to the allotment of equity shares in the issue, the paid-up equity share capital of the company stands increased from ₹69,56,25,795 consisting of 13,91,25,159 equity shares to ₹71,89,23,285 consisting of 14,37,84,657 equity shares,"" the filing said. This story has been published from a wire agency feed without modifications to the text."
Updated: 10 Dec 2020,"With Covid vaccine rollout in sight, Apollo ready for 1 million daily shots",https://www.livemint.com/news/india/with-covid-vaccine-rollout-in-sight-apollo-ready-for-1-million-daily-shots-in-india-11607576530134.html,"India’s largest hospital chain says it’s ready to administer one million coronavirus vaccine doses a day, but the government has not made clear how vaccines will be distributed and whether private health-care networks will be involved. Apollo Hospitals Enterprise Ltd. has so far trained 6,000 staff to give out jabs across its network of 71 hospitals, hundreds of clinics and thousands of pharmacies, according to Managing Director Suneeta Reddy, who said the company’s talks with officials in New Delhi had yet to provide any firm guidance. “We need to know if the government wants to handle the whole thing or allow the private sector to do it,"" Reddy said in an interview Tuesday. “The issue here is how can we double the amount of people that can be vaccinated,"" she said from Chennai, adding that Apollo is ready to help in any capacity. The government “can do it, but it will take time."" Also read: The pandemic push to the silver economy How and if India decides to work with its large network of private hospitals on vaccine distribution could be crucial to any success in reining in the world’s second-worst outbreak, which has inflicted deep economic damage. India may start inoculation efforts within weeks as front-running developers apply for emergency authorization. There will be a “flood of Covid vaccines"" in the next five to six months, Krishna Ella, the chairman of Bharat Biotech International Ltd. -- which is producing one of India’s leading indigenous candidates -- told a conference on Tuesday. Apollo has been telling clients via its digital app that a shot “should be available in 60-120 days"" and customers will “be the first ones to know about the vaccines."" Capacity Concerns Companies vying to roll out those vaccines, along with public health experts, have raised concerns about India’s capacity to swiftly inoculate its population of about 1.3 billion people. There are also fears of unequal access, given the enormous wealth disparities across India’s cities and vast hinterlands. Apollo Hospitals has held talks with the Serum Institute of India Ltd., the world’s largest vaccine maker which has already produced millions of doses of AstraZeneca Plc’s shot. But Reddy said developers are waiting on direction from New Delhi “because all of them have committed capacity to the government first."" Rajesh Bhushan, secretary to the federal health ministry, told Bloomberg last month that India will rely on its national immunization network, which currently targets 26.7 million newborns and 29 million pregnant women every year. Experts believe that system will need to be significantly built up with help from private players to meet India’s needs. Private hospitals in India have been criticized for sitting on the sidelines of the coronavirus crisis. Though the private sector accounts for around 60% of India’s total hospital bed capacity, there were widely reported instances of some private hospitals and doctors refusing to treat Covid-19 patients as cases accelerated in India starting from June. Apollo has treated more than 30,000 Covid patients and provided about 400,000 tests, said Suneeta Reddy, one of four daughters of octogenarian founder Prathap C. Reddy, who established the company in 1983. India has nearly 10 million cases of the coronavirus, and is adding over 30,000 new infections daily. The firm saw a “lost quarter"" following the sudden decision by Prime Minister Narendra Modi to impose a draconian national lockdown in March with little notice, she said. The company suffered a loss of 2.08 billion rupees ($28 million) in the three months through June, though it’s seeing a better-than-expected recovery, posting net income of 602.7 million rupees in the latest quarter. Medical Tourism With about 12% of the firm’s revenue derived from international customers, Apollo has received a blow from the near total disappearance of thousands of overseas patients who visit India each year. Until October, India had closed its borders to medical tourism, a market that was expected to be worth $9 billion in 2020, according to the Federation of Indian Chambers of Commerce & Industry. A rise in local demand has compensated for that loss, Reddy said. Many wealthy Indian patients who used to go abroad for treatments are now Apollo’s customers. Occupancy rates across Apollo’s hospitals now runs at about 67%, close to pre-pandemic levels. Roughly 15%-20% of those are Covid patients in specially segregated facilities, she said. The company will raise up to 15 billion rupees through an equity issue in January, Reddy said. The proceeds will be used to acquire IHH Healthcare Bhd.’s remaining 50% stake in a Kolkata hospital, reduce Apollo’s debt, as well as fund upgrades of its digital app and any potential bolt-on acquisitions.  This story has been published from a wire agency feed without modifications to the text. Only the headline has been changed."
Updated: 17 Aug 2020,Telemedicine here to stay: Apollo Hospitals' Sangita Reddy on Covid impact,https://www.livemint.com/videos/telemedicine-here-to-stay-apollo-hospitals-sangita-reddy-on-covid-impact-11597633958483.html,
