article_time,article_title,article_link,article_content
Updated: 04 Jul 2022,Top picks: Axis Securities suggests these 3 auto stocks to buy,https://www.livemint.com/market/stock-market-news/top-stock-picks-axis-securities-suggests-these-3-auto-stocks-to-buy-11656921780050.html,"Domestic brokerage and research firm Axis Securities is ‘overweight’ on the auto sector as it believes the Indian Automobile sector has seen a significant demand improvement with most categories witnessing encouraging traction.  The long-term outlook for the auto industry remains positive as demand drivers are intact and many companies may offer decent upside from current levels, the note stated. Axis Securities' top stock picks in the auto sector includes Bajaj Auto with a target price of ₹4,200, Maruti Suzuki India Ltd (TP: ₹9,800), and Ashok Leyland Ltd (TP: ₹164) with buy ratings on the three auto stocks. Bajaj Auto seems to capitalize on demand normalization and premiumization trends in the 2W industry which should support profitability and operational performance going forward, said the brokerage, adding that Bajaj Auto remains its preferred pick in the 2W segment given reasonable valuations and strong medium-term growth prospects. Axis Securities believes that Ashok Leyland remains well-positioned to benefit from a strong recovery in the CV cycle on the back of new product launches and a well-diversified product portfolio. “In Q4FY22, auto companies broadly reported better-than-expected results, exhibiting outperformance on the margin front, which was aided by improving product mix, higher realizations, cost control measures, and positive operating leverage led by improving volumes. We expect new product launches to help drive excitement among buyers with the SUV segment retaining the consumer pulling power,"" the brokerage house said. Demand momentum in the commercial vehicle (CV) segment is likely to sustain and we expect the CV cycle to maintain its momentum driven by the pickup in the economic activities and the government’s focus on infrastructure, the report highlighted. Furthermore, the introduction of a duty on steel export may lead to gross margin improvement for Automakers, which is expected to translate into earnings upgrade as most of the companies are likely to retain the benefit. Based on the current development and positive outlook, the brokerage has upgraded the sector to Overweight from the earlier Equal weight stance. The views and recommendations made above are those of individual analysts or broking companies, and not of Mint."
Updated: 01 Jul 2022,"Centre to review new taxes on crude oil, auto fuel every fortnight: Tarun Bajaj",https://www.livemint.com/industry/energy/centre-to-review-new-taxes-on-crude-oil-auto-fuel-every-fortnight-tarun-bajaj-11656673474136.html,"New Delhi: The government will review the windfall tax on petroleum and the duty on auto fuel export, that were imposed on Friday, every 15 days for recalibration, revenue secretary Tarun Bajaj told reporters here. “Every 15 days, we will see what are the international prices of diesel, petrol and aviation turbine fuel and what are the crude oil price and based on that if there is need to revise it, we will revise it every 15 days,"" Bajaj told reporters on the sidelines of a finance ministry function organised to commemorate five years of GST. The government announced a cess of ₹23,230 per tonne on domestically produced crude oil to take away the windfall gains accruing to producers from high international oil prices. Crude oil produced in India is sold to domestic refineries at international parity prices, and not based on cost-of-production-plus- margin basis. In the case of petrol and diesel too, refineries sell to local customers at a price benchmarked against the international price of these fuels. “Crude prices have risen sharply in recent months. The domestic crude producers sell crude to domestic refineries at international parity prices. As a result, the domestic crude producers are making windfall gains. Taking this into account, a cess of Rs. 23250 per tonne has been imposed on crude. Import of crude would not be subject to this cess,"" finance ministry said in a statement, This cess will have no adverse impact, whatsoever, on domestic petroleum products/fuel prices, it said. In the case of exports of petrol and diesel, a special additional excise duty/cess has been imposed on exports of petrol and diesel at the rate of ₹6 per litre on Petrol and ₹13 per litre on diesel. A special additional excise duty of ₹6 per litre has also been imposed on exports of aviation turbine fuel."
Updated: 01 Jul 2022,"Auto sales in June: Kia records 60% increase, Maruti Suzuki sells 1,47,368 units",https://www.livemint.com/news/india/auto-sales-in-june-kia-records-60-increase-maruti-suzuki-sells-1-47-368-units-11656666773502.html,"There were numerous fresh launches in the passenger vehicle sector in June, and the chip supply problem also seemed to be improving. All of this has resulted in very strong demand for passenger vehicles. The market for commercial vehicles has been boosted by pent-up demand, firming freight rates, and an increase in infrastructure activity. The two-wheeler space is the only one that has not recovered yet as the demand for weddings is declining by 10 to 15 percent month over month.  Maruti Suzuki India, the biggest automaker in India, said on July 1 that total wholesales increased by 5.7% in June to 1,55,857 units. In June 2021, the business had delivered 1,47,368 units to dealers, according to a statement from the company. According to the corporation, domestic sales rose 1.28 percent in May to 1,32,024 units from 1,30,348 units in June 2021. Sales of micro cars, which include the Alto and S-Presso, decreased from 17,439 units in the same month last year to 14,442 units this month. However, sales in the compact segment—which include vehicles like the Swift, Celerio, Ignis, Baleno, and Dzire—rose to 77,746 units in June 2022 from 68,849 units the previous month. From 602 units in June 2021, sales of the mid-size vehicle Ciaz surged to 1,507 units last month. However, sales of utility cars, such as the Vitara Brezza, S-Cross, and Ertiga, fell to 18,860 units from 28,172 in the same month last year, according to MSI. According to the corporation, exports increased significantly last month, reaching 23,833 units, up from 17,020 automobiles in the same month in 2021.  In June, Bajaj Auto sales were unchanged from the same month in 2021, when they were 3,46,136 units, at 3,47,004 units. According to a statement released on July 1, domestic sales (of two-wheelers and commercial vehicles) fell 15% to 1,38,351 units in June from 1,61,836 units in June 2021.However, exports increased 13% to 2,08,653 units in June 2021 above 1,84,300 automobiles. 3,15,948 automobiles were sold in total, including exports, in June 2022, an increase of 2% over 3,10,578 units in the same month the previous year. However, according to the announcement, domestic two-wheeler sales decreased 20%, to 1,25,083 vehicles, from 1,55,640 units in June 2021. In comparison to the same month last year, when 1,54,938 vehicles were exported, two-wheeler exports increased by 23% to 1,90,865 units. When compared to the 35,558 vehicles sold in June 2021, total sales of commercial vehicles fell 13% in a single month to 31,056 units, the business reported.  On July 1, Kia India recorded its highest-ever monthly wholesales at 24,024 units in June, representing a 60% increase over the same time in 2021. In June 2021, the carmaker had delivered 15,015 cars to dealers. The business claimed that it dispatched 1,21,808 units in the domestic market during the first half of 2022, surpassing the milestone of one lakh sales. With 8,388 and 7,895 units, respectively, Seltos and Carens continued to be the top contributors to Kia's overall sales in June. 7,455 and 285 units came from Sonet and Carnival, respectively. ""Despite the global supply chain constraints, we are still managing to achieve milestones in record time,"" Kia India Vice President & Head of Sales and Marketing Hardeep Singh Brar said in a statement. The company is well aware of the lengthening wait times for its model range, and it is making the necessary adjustments to production to speed up delivery to customers.  On July 1, Tata Motors Ltd. revealed that total domestic sales increased by 82% in June 2022 to 79,606 units. In the same month last year, the business reported total domestic sales of 43,704 units, according to a statement from Tata Motors. Additionally, domestic passenger vehicle (PV) sales increased by 87% to 45,197 units from 24,110 units in the same month last year. PV sales were 1,30,125 units in the first quarter of 2022–2023 as opposed to 64,386 units in the same period the previous year. ""Our SUV portfolio contributed 68 percent of Q1 FY23 sales. Electric vehicle sales attained new heights with quarterly sales of 9,283 in Q1FY23 and highest-ever monthly sales of 3,507 units in June 2022,"" Tata Motors Passenger Vehicles Ltd and Tata Passenger Electric Mobility Ltd Managing Director Shailesh Chandra said.  MG Motor India stated on Friday that its retail sales increased by 27% to 4,503 units in June. 3,558 units had been sold at retail by the corporation during the same month last year. The company said in a statement that the sales momentum that is seen across all models is the result of some improvement in chip availability, despite the fact that the prognosis is still limited due to supply-chain bottlenecks and significant logistical challenges. With continuous monthly bookings of over 4,000 and 1,000 units, respectively, the company's flagship brands, the Hector SUV and electric SUV ZS EV, continue to enjoy high consumer demand. The production and supply chain concerns will be addressed, according to MG Motor India, which also expects a gradual improvement in the situation in the second half of 2022.  Volkswagen Passenger Cars India reported sales of 21,588 units for the first half of the year, or almost a twofold rise (January-June). According to a statement from Volkswagen Passenger Cars India, the company sold 10,843 units under the VW brand during the same period last year. According to the statement, the growth has been fueled by the recently released Volkswagen Virtus, Tiguan, and Taigun SUVs. The business said that since the Virtus global sedan's June 9, 2022, introduction in India, it had shipped 2,500 units. ""Amidst the industry challenges that are impacting the supply chain, we are witnessing a high demand for our youngest and freshest product portfolio in the Indian market,"" Volkswagen Passenger Cars India Brand Director Ashish Gupta said.  In June 2022, Skoda Auto India recorded sales of 6,023 vehicles, an increase of more than eight times. In the same month last year, the business sold 734 vehicles, according to a statement from Skoda Auto India. The company reported selling 28,899 units in the first six months of the year, which is more than the 23,858 units it expects to sell annually in 2021. The company's India 2.0 models, the Kushaq and Slavia, entered the market against a very difficult background but are still registering solid sales, according to Skoda Auto India Brand Director Zac Hollis. ""A global pandemic, intermittent lockdowns, economic upheaval, geopolitical instability, and now a continued semiconductor shortage upsetting the supply chain. So, it is an incredible achievement for all of us. Skoda Auto India to continue breaking and setting new sales records,"" he added.  Nissan Motor India has said that domestic wholesales increased slightly in June to 3,515 units. According to a statement from Nissan Motor India, the company recorded domestic wholesales of 3,503 units in the same month last year. According to the report, exports totaled 4,497 units, down from 5,661 units in the same time last year. Rakesh Srivastava, managing director of Nissan Motor India, stated that the company's compact SUV Magnite continues to have high demand momentum with a backlog of more than 16,000 bookings. ""We do see improvements on the supply side in the coming months and would be able to serve more customers,"" he added.  Suzuki Motorcycle India recorded a 68,018 unit increase in total sales, or a 37 percent increase. According to a statement released by Suzuki Motorcycle India Pvt Ltd (SMIPL), the company sold 49,662 units in June 2021. The Japanese two-wheeler manufacturer shipped 52,929 units into the domestic market, up from 40,474 units during the same time last year. 15,089 units were exported last month. The previous year, there were 9,188 units of the same. Satoshi Uchida, the managing director of Suzuki Motorcycle India, claimed that the company's two-wheelers are experiencing rising demand both in India and abroad, which is the cause of the steady sales success. ""As a responsible company, we remain committed to deliver quality products to all our customers,"" he added.  Royal Enfield, a manufacturer of motorcycles, stated on Friday that its overall sales for June increased by 43% to 61,407 units. In the same period last year, the business had sold a total of 43,048 units, according to a statement from Royal Enfield. Domestic sales increased by 40% this month to 50,265 units from 35,815 units in June 2021. 11,142 units of exports represented a 54% increase. According to the report, the same month last year saw 7,233 units sold.  The largest two-wheeler manufacturer of India, Hero MotoCorp, stated that total sales increased by 3% to 4,84,867 units in June. The company had sold 4,69,160 units in the corresponding month in 2021, Hero MotoCorp said in a statement. Sales in the domestic market increased last month from 4,38,514 units in June 2021 to 4,63,210 units. In contrast to the same month a year earlier, when exports were 30,646 units, they were 21,657 units in June. ""The growth in volumes indicate the continuously improving consumer sentiment and the company expects the positive trend to continue in the coming months, on the back of a decent monsoon, and encouraging farm activity,"" the two-wheeler major stated.  Honda Motorcycle and Scooter India (HMSI) has revealed that its overall two-wheeler sales increased by 67% year over year in June to 3,83,882 units. In June 2021, the company had sold 2,32,497 automobiles altogether. In the domestic market, sales increased by 65% to 3,55,560 units in June 2022 from 2,12,453 units in the same month the previous year, the report added. ""The growth expectations with which we set out in the beginning of FY23 is gradually turning into a reality. Timely arrival of monsoon has impacted the economic indicators favourably,"" Atsushi Ogata, Managing Director, President and CEO at Honda Motorcycle and Scooter India, said. (With agency inputs)"
Updated: 01 Jul 2022,5 stocks that stand to gain big from a weakening rupee,https://www.livemint.com/market/stock-market-news/5-stocks-that-stand-to-gain-big-from-a-weakening-rupee-11656647575125.html," The value of the Indian rupee with respect to the US dollar has fallen significantly in 2022. The primary reason for this has been the strength of the US dollar. At the beginning of the year, one US dollar was worth ₹74. Today, the same is worth ₹78. This means for every dollar you spend; you will have to pay ₹4 more.  This sharp move is attributable to numerous factors such as geopolitical tensions, rising inflation, and rising crude oil prices.  After a decade of historically low-interest rates and loose monetary policy, global central banks, including the US Federal Reserve, have hiked interest rates.  This move signals the end of accommodative policies, whose impact has trickled down to economies across the globe. As US interest rates rise, investors everywhere, flock to invest in the safe-haven dollar. This increased demand boosts the value of the dollar, weakening the rupee.                                                         "
Updated: 30 Jun 2022,Two Bajaj shares turn ex-dividend today. Details here,https://www.livemint.com/market/stock-market-news/two-bajaj-shares-turn-ex-dividend-today-details-here-11656566187862.html,"Dividend paying stocks: Two Bajaj shares — Bajaj Auto and Bajaj Finance have turned ex-dividend stocks today. As per their exchange communications, both companies have fixed 1st July 2022 as record date for dividend payment. The board of directors of Bajaj Auto has approved a dividend of ₹140 per equity share for the financial year 2021-22 whereas Bajaj Finance has recommended a dividend of ₹20 per equity share for the financial year 2021-22. Informing about the record date for dividend payment, exchange communication of the Bajaj Auto Ltd says, ""In line with the Company's Dividend Distribution Policy, the Board of Directors has approved / recommended a dividend at the rate Rs. 140 per share (1400%) of face value of Rs. 10 each on equity shares for the financial year ended 31 March 2022. The said dividend, if declared by the shareholders at the ensuing Annual General Meeting, will be credited/dispatched on or around 30 July 2022."" ""The Dividend, if declared, shall be paid to the equity shareholders whose names appear on the Register of Members of the Company or in the records of the Depositories as beneficial owners of the shares as on Friday, 1 July 2022, which is the Record Date fixed for the purpose,"" Bajaj Auto Ltd exchange communication added. Informing Indian bourses about record date for dividend payment, Bajaj Finance Ltd said, ""In line with the Company's amended Dividend Distribution Policy, the Board of Directors has approved/recommended a dividend at the rate Rs. 2.0 per share (1000%) of face value of Rs. 2 each on equity shares for the financial year ended 31 March 2022. The said dividend, if declared, by the shareholders at the ensuing Annual General Meeting, will be credited/dispatched on 1 August 2022 and/or 2 August 2022."" ""The Dividend, if declared, shall be paid to the equity shareholders whose names appear on the Register of Members of the Company or in the records of the Depositories as beneficial owners of the shares as on Friday, 1 July 2022, which is the Record Date fixed for the purpose,"" Bajaj Finance exchange communication added. In Q4FY22 results, Bajaj Auto announced 10.30 per cent jump in year-on-year (YoY) net profit. The two wheeler and three wheeler company reported Q4FY22 net profit at ₹1,469 crore that stood at ₹1332 crore in Q4FY21. Its margins stood at 17.20 per cent in Q4FY22 whereas its EBIDTA in the quarter ending 341st March 2022 stood at ₹1366 crore. Similarly, in Q4FY22, Bajaj Finance reported Yoy jump in net profit to the tune of near 80 per cent as its net profit surged from ₹1346.64 crore in Q4FY21 to ₹24.19.51 crore in Q4FY22. It reported highest ever consolidated PAT (profit after tax) of ₹7,028 crore in Q4FY22. The company reported around 30 per cent rise in net income from ₹4659 crore in Q4FY21 to ₹6068 crore in Q4FY22."
Updated: 29 Jun 2022,"India 2-wheelers: Still time to buy, says Jefferies, bullish on 3 auto stocks",https://www.livemint.com/market/stock-market-news/indian-2-wheelers-still-time-to-buy-says-jefferies-bullish-on-these-3-auto-stocks-11656472944741.html,"2Wheeler stocks have outperformed Nifty by 11-33% since Feb 2022 . However, stocks have still lagged Nifty by 33-77% since Jan 2018 due to demand downturn and EV concern. While the latter concern will continue until clarity on EV market shares emerges, Jefferies believes stocks are attractive for the impending demand recovery. “The abnormal 35% fall in two-wheeler (2W) volumes over FY19-22 has created a favorable base for double-digit CAGR in coming years. Even if one assumes demand recovers to FY19 level by FY25, 2Ws needs to rise at a strong 16% Cagr next three years. EV adoption is accelerating, but listed incumbents are turning aggressive too,"" the note stated. Sharing its top stock picks, Jefferies' top 2-wheeler preferred picks are Eicher Motors with target price of ₹3,500, TVS Motor with target price of ₹1,000, followed by Bajaj Auto (TP: ₹4,500) with Buy ratings. Meanwhile, it has hold tag on Hero Moto shares with target price of ₹3,000.  Share of EVs in 2Ws has risen from just 0.4% in FY21 to 3.7% in 1QFY23 and the global brokerage expects electric vehicles (EVs) to form 5%/8%/10% of 2Ws in FY23/FY24/FY25.  “While new OEMs are ramping-up, listed incumbents are also expanding capacity and portfolio. We expect EV OEMs to gain share in scooters, but expect these gains to largely come at the expense of Honda. TVS has higher exposure to scooters at 26% of its volumes, but also has a strong track record of product launches and market share gains in ICE; we assume 10% market share for TVS in EV scooters vs 21% in ICE scooters,"" it added. 2W OEMs have demonstrated strong pricing discipline and delivered their best-ever gross-profit-per-vehicle in 2HFY22 despite weak demand and severe commodity cost pressures, as per Jefferies. It expects EBITDA margins of its covered 2W OEMs to expand 2-3ppt YoY over FY22-24 amid improving demand and lower commodity prices. The views and recommendations made above are those of individual analysts or broking companies, and not of Mint."
Updated: 28 Jun 2022,Bajaj Auto share buyback offer fails to cheer investors. What analysts say?,https://www.livemint.com/market/stock-market-news/bajaj-auto-share-buyback-offer-fails-to-cheer-investors-what-analysts-say-11656397897230.html,"Bajaj Auto share price: After the announcement of Bajaj Auto share buyback by board of directors of the company, stock market experts have gone bullish on the auto stock despite investors giving tepid response to the scrip. Bajaj Auto share price today opened downside and went on to hit intraday low of ₹3783.05 apiece levels on NSE, around 2 per cent lower from its Monday close of ₹3861 per share levels.  However, the stock is showcasing some signs of recovery in mid-session. According to stock market analysts, Bajaj Auto share price is sideways with positive bias and it may become highly bullish after breaching the immediate hurdle placed at ₹4,000. They said that the auto stock may go up to ₹4,300 apiece levels after breaching this hurdle. Speaking on Bajaj Auto share price outlook, Ashwin Patil, Senior Research Analyst at LKP Securities said, ""The size of the buyback is Rs2500 cr and at a price of Rs4600. However it's an open market buyback and not through a tender offer. This means that the stock may not reach those levels by the time the buyback offer closes. Therefore for retail investors, there may not be any significant upside because of this buyback. However, we believe that the stock definitely holds a good value through its intrinsic performance and can reach levels of ₹4400 which is as it is our target price. We maintain Buy on the stock."" Advising positional investors to add Bajaj Auto shares in one's stock portfolio, Rohit Singre, AVP — Technical Research at Bonanza Portfolio said, ""Bajaj Auto share is trading sideway with positive bias.. Any dip in the stock should be seen as buying opportunity as the scrip has immediate support placed at ₹3750 and strong support at ₹3650. It has immediate hurdle placed at ₹4000 apiece levels. Once, it breaks this hurdle, it may go up to ₹4,300 per share levels in short term."" Rohit Singre of Bonanza Portfolio said that those who have short term view should maintain stop loss at ₹3750 whereas those who have a long term perspective in Bajaj Auto shares are advised to maintain stop loss at ₹3650 apiece levels. On Monday, the board of directors of the auto company at its meeting approved the proposal for buyback of the fully paid up equity shares of the company having a face value of ₹10 each from the existing shareholders of the company (except promoters, promoter group and persons in control of the Company) from open market through stock exchange mechanism. Bajaj Auto share buyback will be done from open market through stock exchange mechanism at a price not exceeding ₹4,600 per equity share aggregating up to ₹2500 crore. Disclaimer: The views and recommendations made above are those of individual analysts or broking companies, and not of Mint."
Updated: 28 Jun 2022,Bajaj Auto announces share buyback. 5 things you should know,https://www.livemint.com/market/stock-market-news/bajaj-auto-announces-share-buyback-5-things-you-should-know-11656388688200.html,"Bajaj Auto share buyback: The board of directors of Bajaj Auto Limited has approved the proposal for buyback of company's shares at ₹4600 per share buyback price. The share buyback will be done from open market through stock exchange mechanism. The company board approved this buyback in its meeting held on 27th June 2022 i.e. on Monday. The board also made it clear that Bajaj Auto share buyback won't exceeding ₹2500 crore. Informing about the share buyback to Indian exchanges, Bajaj Auto Limited said, ""We wish to inform you that the Board of Directors of the Company (""Board"") at its meeting held today i.e. Monday, 27 June 2022, has approved the proposal for buyback of the fully paid up equity shares of the Company having a face value of Rs. 10/- each (""Equity Shares"") from the existing shareholders of the Company ( except promoters, promoter group and persons in control of the Company) from open market through stock exchange mechanism (i.e through National Stock Exchange of India Limited and BSE Limited collectively ""Stock Exchanges"") at a price not exceeding Rs. 4,600/- (""Maximum Buyback Price"") per Equity Share and such aggregate amount, up to Rs. 2,500 crore (""Maximum Buyback Size""), representing 9.61 % and 8.71% of the aggregate of the total paid-up share capital and free reserves (including securities premium account) of the Company based on the latest audited financial statements of the Company as at March 31, 2022."" Subject to the market price of the equity shares being equal to or less than the maximum buyback price, the indicative maximum number of equity shares proposed to be bought back, would be 54,34,782 equity shares (""Proposed Buyback Shares""), comprising approximately 1.88 per cent of the paid-up share capital of the Company as of 27 June 2022. If the Equity Shares are bought back at a price below the maximum buyback price, the actual number of equity shares to be bought back could exceed the proposed buyback shares, but will always be subject to the maximum buyback size. ""The Company will utilise at least 50% of the amount earmarked as the Maximum Buyback Size for the Buyback i.e. Rs. 1,250 Crores (""Minimum Buyback Size""). Based on the Minimum Buyback Size and Maximum Buyback Price, the Company would purchase a minimum of27,17,392 Equity Shares."" Here we list out to 5 things that a Bajaj Auto shareholder should know: 1] Buyback price: The board of directors of the company has fixed buyback price at ₹4600 per equity share. 2] Buyback size: The board of directors has approved share buyback not exceeding ₹2500 crore. 3] Buyback process: Bajaj Auto share buyback will be done from open market through stock exchange mechanism. 4] Buyback proceeds: The company has made it clear that fifty per cent of the buyback proceeds will be utilised by the company. 5] Buyback ratio: The maximum buyback size would be 9.61 per cent of total paid-up capital of the company. Bajaj Auto share price today is around ₹3795 (at 9:33 AM) on Tuesday. Disclaimer: The views and recommendations made above are those of individual analysts or broking companies, and not of Mint."
Updated: 28 Jun 2022,"Bajaj Auto set to buy back shares worth up to ₹2,500 cr",https://www.livemint.com/companies/news/bajaj-auto-set-to-buy-back-shares-worth-up-to-2-500-cr-11656352174836.html,"NEW DELHI : Bajaj Auto Ltd on Monday announced that its board has approved a plan to buy back shares worth as much as ₹2,500 crore from the open market. The maximum offer price for the buyback will be capped at ₹4,600 per share, the Pune-based maker of two- and three-wheeled vehicles informed stock exchanges. The offer represents 9.61 % and 8.71% of the aggregate of the total paid-up share capital and free reserves of the company, Bajaj Auto added. Shares of the company ended over 1% higher to close at ₹3,855 apiece on the NSE, almost in line with a 0.85% rise in the benchmark index. Bajaj Auto also said it has formed a buyback committee for the purpose and that the scheme will be launched in due course of time. “The company will utilize at least 50% of the amount earmarked as the maximum buyback size, that is ₹1,250 crore (minimum buyback size). The company would purchase a minimum of 27,17,392 equity shares,"" Bajaj Auto said. The company also said that the actual number of equity shares to be bought back and the company’s post-buyback shareholding will only be ascertained after completion of the exercise since it would be done from the open market. Promoters hold a 53.77% stake in Bajaj Auto. Retail investors own 15.72%, while the rest is held by foreign institutional investors (10.49%), insurance companies (8.03%), mutual funds(4.8%) and others (7.19 % ). Mitul Shah, head of research at Reliance Securities Ltd said Bajaj Auto’s buyback offer is below expectations in terms of the maximum buyback size, though the price cap of ₹4,600 marks a 19% premium to Monday’s closing price. Moreover, buyback through open market purchase may not take the stock price close to the upper band, which is not well received by investors. Therefore, the stock corrected from the day’s high after the buyback announcement, he said. Deepak Jasani, head of research at HDFC Securities said the buyback may not result in stabilization of the stock price. The company said that is cash-rich; however, it is investing only ₹2,500 crore towards the buyback. Analysts feel that Bajaj Auto may be holding on to cash to support the share price through some more buybacks in the future. Also, it could also be that the automaker may utilize the balance cash for either capital expenditure or may be eyeing some inorganic expansion plans that need to be watched for. “Around 10% of the cash that Bajaj Auto would have in the balance sheet by end of fiscal year 2023, is being paid back to shareholders in the form of buyback of shares,"" said Deven Choksey, managing director at KRChoksey Investment Managers Pvt. “Paying back lower-yield cash to investors helps in improving earnings ratios."" The buyback comes as Bajaj Auto is set to face stiff competition from bigger rivals such as Hero MotoCorp Ltd in the switch to cleaner vehicles. Bajaj Auto earlier this month rolled out its first electric scooter from its new plant with a production capacity of 500,000 units a year, while Hero MotoCorp, the world’s top two-wheeler maker, plans to launch its first electric model on 1 July. Bajaj Auto’s wholly-owned unit Chetak Technology and its vendor partners are planning to invest nearly ₹750 crore in the new EV manufacturing facility. It has sold 14,000 Chetak electric scooters and received 16,000 bookings. With inputs from Bloomberg"
Updated: 27 Jun 2022,"Bajaj Auto announces ₹2,500 crore share buyback",https://www.livemint.com/market/stock-market-news/bajaj-auto-announces-rs-2-500-crore-share-buyback-what-investors-should-know-11656320102208.html,"Homegrown motorcycles and three-wheeler manufacturer's board on Monday have approved share buyback of up to ₹2,500 crore at a price not exceeding ₹4,600 per share, via open market. Bajaj Auto shares were trading 0.7% higher at ₹3,840 apiece on the BSE in Monday's afternoon deals. The auto major's board earlier this month had deferred a decision on its proposed share buyback, and later decided to meet on Monday, June 27, 2022 to further deliberate on the proposal for buyback of fully paid-up equity shares of the company. “We wish to inform you that the board of directors of the company (Board) at its meeting held today has approved the proposal for buyback of the fully paid up equity shares of the company having a face value of ₹10/- each from the existing shareholders of the company from open market through stock exchange mechanism at a price not exceeding ₹4,600/- per equity share and such aggregate amount, up to ₹2,500 crore, representing 9.61 % and 8.71% of the aggregate of the total paid-up share capital and free reserves of the company,"" Bajaj Auto informed in an exchange filing today. The company added that indicative maximum number of shares proposed to be bought back, would be 54,34,782 equity shares (proposed buyback shares), comprising approximately 1.88% of the paid-up share capital of the company as of 27 June 2022. ""The Company will utilise at least 50% of the amount earmarked as the Maximum Buyback Size for the Buyback i.e. Rs. 1,250 Crores (""Minimum Buyback Size""). Based on the Minimum Buyback Size and Maximum Buyback Price, the Company would purchase a minimum of27,17,392 Equity Shares,"" it added. A share buyback is a process when a company buys its own outstanding shares to reduce the number of shares available in the open market. Further, since the buyback is from the open market, the details of the actual number of equity shares that would be bought back (including as a percentage of the existing paid-up capital) and the post Buyback shareholding pattern cannot be ascertained at this stage. The company said that the same will be provided upon completion of the share buyback. The buyback comes as Bajaj Auto is set to face stiff competition from bigger rivals such as Hero MotoCorp in the switch to cleaner vehicles. Bajaj Auto earlier this month rolled out its first electric scooter from its new plant with a production capacity of 500,000 units annually, while Hero MotoCorp – the world’s top two-wheeler maker -- is planning to launch its first electric model on 1 July. Bajaj Auto’s wholly-owned unit Chetak Technology and its vendor partners are planning to invest nearly ₹7.5 billion in the new EV manufacturing facility. It has sold 14,000 Chetak electric scooters and received 16,000 bookings."
