article_time,article_title,article_link,article_content
Updated: 08 Jun 2022,Russia has no extra oil to sign deals with two Indian buyers: Report,https://www.livemint.com/industry/energy/russia-has-no-extra-oil-to-sign-deals-with-two-indian-buyers-report-11654698191644.html,"NEW DELHI : Russia's Rosneft is holding back on signing new crude oil deals with two Indian state refiners, three sources with knowledge of the matter said, as it has committed sales to other customers. Indian refiners have been snapping up cheap Russian oil, shunned by western companies and countries since sanctions were imposed against Moscow for its invasion of Ukraine on Feb. 24, which Russia calls a ""special military operation"". A lack of new term supply deals with Rosneft may push Indian refiners to turn to the spot market for more expensive oil. It also indicates that Russia has managed to keep exporting its oil despite increasing pressure from Western sanctions to choke Moscow's revenue. Drawn to the discounts offered, three Indian state refiners - Indian Oil Corp, Bharat Petroleum Corp and Hindustan Petroleum - opened negotiations with Rosneft earlier this year for six-month supply deals. So far only IOC, the country's top refiner, has signed a deal with Rosneft, which will see it buy 6 million barrels of Russian oil every month, with an option to buy 3 million barrels more. The other two refiners' requests have since been turned down by the Russian producer, the sources said. ""Rosneft is non-committal in signing a contract with HPCL and BPCL. They are saying they don't have volumes,"" said one of the sources. Rosneft, IOC, HPCL and BPCL did not respond to Reuters's requests for comment. Russia is ramping up oil exports from its major eastern port of Kozmino by about a fifth to meet surging demand from Asian buyers and offset the impact of European Union sanctions. Trade sources said Rosneft is pushing barrels into the markets through trading firms such as Everest Energy, Coral Energy, Bellatrix and Sunrise. Bellatrix and Sunrise were not available for comment, while Coral and Everest did not respond to a Reuters email seeking comment. According to the shipping data cited by two traders in the Urals market, all four trading firms acted as suppliers of crude oil purchased from Rosneft to India. China has also boosted its purchases from Russia. Rosneft has awarded 900,000 tonnes (6.66 million barrels) of ESPO Blend crude oil loading in June to Unipec, the trading arm of Asia's top refiner Sinopec Corp, according to four traders. Indian sources said Russian oil is no longer available at deep discounts and they get fewer offers for sale on a Delivered At Port (DAP) basis, an international commercial term in which the seller pays for insurance and freight and ownership is transferred to the buyer only after the cargo is discharged. ""Earlier the companies were offering good discounts but that is not available now. Offers have been reduced and discounts are not as good as before, as insurance and freight rates have gone up,"" another source said. The European Union, which along with Britain and the United States dominate the international marine market, last week announced an immediate ban on new insurance contracts for ships carrying Russian oil, and gave a six-month grace period for existing contracts. The lack of shipping insurance coverage has hit IOC's purchases of Russian oil under a contract it signed with Rosneft last year, sources said. The contract gives IOC an option to buy 2 million tonnes of oil from Rosneft on a free on board (FOB) basis, which requires the buyer to charter ships and pay for insurance to load the cargoes from Russia. India largely buy Russian Urals crude, but the most recent IOC deal includes an option of supplies of ESPO Blend from the Russian port of Kozmino and Sakhalin's Sokol grade as well, one of the sources said. Indian refiners are however continuing to lift some volumes from the spot markets, and HPCL and BPCL might get about 1 million-2 million barrels of Russian oil in July, the sources said.  "
Updated: 30 May 2022,Bounce Infinity to set up battery swapping infra across BPCL fuel stations,https://www.livemint.com/auto-news/bounce-infinity-to-set-up-battery-swapping-infra-across-bpcl-fuel-stations-11653900509065.html,"Bharat Petroleum Corporation Limited (BPCL), and Bounce Infinity have joined hands to fortify the Bounce Infinity’s extensive battery swapping infrastructure. Under this partnership, Bounce Infinity will set-up battery swapping stations across Bharat Petroleum fuel stations in a phased manner. The company aims to set up 3,000 stations across top 10 cities.  Consumers looking to swap their nearly drained batteries can search for the nearest swapping location on the Bounce App. The smart framework will cater not only to the company's retail business, but will also support the interoperable partners (2W’s, 3W’s & other OEM’s) for ease of mobility across geographies and form factors i.e two wheelers & three wheelers. Battery swapping as a solution would also support those 2W’s & 3W’s that have been converted to EV from ICE. Battery swapping reduces the upfront cost of the scooter by 40-50%, as claimed by many researches. The Infinity swapping stations work on similar principles to a fuel station. Infinity battery swapping stations will have charged and ready-to-go batteries that customers can easily swap with their near-empty batteries.  Bounce Infinity has so far seen over 1.2 million battery swaps on its energy infrastructure; this partnership with Bharat Petroleum, which runs a distributed network of more than 20,000 fuel station reiterates the companies promise of making the swapping network accessible to consumers Vivekananda Hallakere, Co-Founder & CEO, Bounce, said, “Bounce Infinity has been strategically partnering with prominent industry players to revolutionize the battery swapping scenario. This partnership reiterates our commitment towards a cleaner and pollution-free country by making our network accessible to consumers at the same scale and convenience as refuelling. We look forward to a long-lasting partnership between Bounce Infinity and BPCL"". P.S. Ravi, Executive Director In-Charge (Retail), BPCL, said, “BPCL has always been at the forefront of providing all forms of energy solutions for personal and commercial mobility to our customers. As we pace ourselves for an exciting phase of energy transition towards clean energy, we are delighted to partner with Bounce Infinity, a leading start up offering innovative and state-of-the art smart battery swapping solutions for 2-wheeler and 3-wheeler EV customers."
Updated: 19 May 2022,The curious case of Fino Bank exits,https://www.livemint.com/industry/banking/the-curious-case-of-fino-bank-exits-11652893487158.html,"BENGALURU : If you are in Srinagar in April, it’s easy to believe all is well with the world. The senior leadership of Fino Payments Bank, who had travelled to Kashmir for an off-site last month, had other reasons—besides the splendid views—for optimism. They had pulled off a successful sale of shares to the public last November, business was recovering from the blows of the pandemic and the road ahead appeared a smooth one. At the sprawling LaLit Grand Palace, once home to Jammu and Kashmir royalty, the top brass of the payments bank spent the day in meetings, briefing its board about the strategy for the current financial year. Six of the eight board members later spent the evening with chief executive officer Rishi Gupta and half-a-dozen senior executives, including chairman Mahendra Chouhan and independent director Punita Kumar Sinha, on the lawns of the hotel that overlooks the Dal Lake. Missing from this off-site session were the two nominee directors of institutional investors ICICI Group and Bharat Petroleum Corporation Ltd. The two firms together own about 40% of Fino Paytech Ltd, the holding company of Fino Payments Bank, according to the draft red herring prospectus filed by the latter in 2021 before it was listed. Fino Paytech owns 75% of Fino Payments Bank.                                            "
Updated: 02 May 2022,Ukraine war: Who is buying Russian crude oil and who has stopped,https://www.livemint.com/industry/energy/ukraine-war-who-is-buying-russian-crude-oil-and-who-has-stopped-11651490568620.html,"Here is the response by countries regarding purchases of Russian oil since the war in Ukraine started on Feb. 24 and how companies have acted. Countries' responses Australia, Britain, Canada and the United States have imposed outright bans on Russian oil purchases but the 27 members of the European Union have not been able to agree on the embargo. The bloc is leaning toward a ban on imports of Russian oil by the end of the year as part of a sixth package of sanctions against Russia. Germany, the EU's largest economy, said it would be able to weather an EU embargo on Russian oil imports by the end of this year even though a stoppage could result in shortages. Hungary said it still opposed any European Union embargo on Russian oil and gas imports. Many refiners in Europe, however, have stopped buying Russian crude voluntarily, or promised to do so when their long-term contracts expire. Major global trading houses are also planning to reduce Russian crude and fuel purchases from May 15. As a result, Russian diesel exports from the Baltic port of Primorsk, a key supply source for Europe, were set to drop by more than 30% in May. China and India, which have refused to condemn Russia's actions, continue to buy Russian crude. Below are current and former buyers of Russian crude (in alphabetical order): Current buyers Bharat Petroleum Indian state-run refiner Bharat Petroleum Corp Ltd has bought 2 million barrels of Russian Urals for May loading from trader Trafigura, two people familiar with the purchase said. The company regularly buys Russian Urals for its 310,000 barrels per day (bpd) Kochi refinery in southern India. Hellenic Petroleum Greece's biggest oil refiner relies on Russian crude for about 15% of its intake. The company earlier this month secured additional supplies from Saudi Arabia. Hindustan Petroleum India's state refiner bought 2 million barrels of Russian Urals for May loading, according to trading sources last week. Indian Oil Corp India's top refiner has bought 6 million barrels of Urals since Feb. 24 and has a supply contract with Rosneft for up to 15 million barrels of Russian crude in 2022. However, the refiner, which also buys crude on behalf of its Chennai Petroleum subsidiary, has excluded several high-sulphur crude grades, including Urals, from its latest tender, according to trading sources. ISAB Italy's largest refinery, owned by Lukoil-controlled Swiss-based Litasco SA, has been forced to source nearly all of its crude oil from its Russian owner because international banks are no longer providing it with credit. The Italian government is considering temporary nationalisation of ISAB as one of its options if sanctions are imposed on Russian oil, two government sources told Reuters. Leuna The land-locked Leuna refinery in eastern Germany, majority-owned by France's TotalEnergies, is also fed Russian crude by the Druzhba pipeline. Mangalore Refinery and Petrochemicals The state-run Indian refiner has bought 1 million barrels of Russian Urals crude for May loading via a tender from a European trader, a rare purchase driven by the discount offered. Miro Russian crude continues to account for about 14% of the intake at Germany's largest refinery, Miro, which is 24% owned by Rosneft. MOL The Hungarian oil company, which operates three refineries in Hungary and Slovakia and Croatia, continues to buy Russian crude via the Druzhba pipeline, as well as refined products. The company said it would take two to four years and cost between $500 million and $700 million to replace Russian oil imports in case of a full European embargo. Nayara Energy The Indian private refiner, part-owned by Rosneft, has purchased Russian oil after a gap of a year, buying about 1.8 million barrels of Urals from Trafigura. Neftochim Burgas A Bulgarian refinery, owned by Russia's Lukoil, and with Russian crude accounting for about 60% of its intake, continues to refine Russian crude. PCK Schwedt Germany's PCK Schwedt refinery, 54% owned by Rosneft, receives crude oil via the Druzhba pipeline. Pertamina Indonesian state energy firm PT Pertamina is considering buying crude oil from Russia as it seeks oil for a newly revamped refinery. PKN Orlen Poland's largest refiner has stopped buying Russian crude on the spot market, switching to North Sea oil, but is still buying Urals under previously signed contracts which expire by the end of this year or later. The company, which operates refineries in Lithuania, Poland and the Czech Republic, saw its profit from refining surge in March thanks to the discount it pays for Russian oil. Sinopec China's state-run Sinopec, Asia's largest refiner, is continuing to purchase Russian crude under previously signed long-term contracts but is steering clear of new spot deals. Former buyers BP The British oil major, which is abandoning its stake in Rosneft, will not enter new deals with Russian entities for loading at Russian ports, unless ""essential for ensuring security of supplies"". ENEOS Japan's biggest refiner has stopped buying crude oil from Russia, while some cargoes signed under previous agreements will arrive in Japan until around April. The company plans to source alternative supplies from the Middle East. Eni The energy group, 30.3% owned by the Italian government, is suspending purchases of Russian oil. No Russian crude will be used at Germany's Bayernoil refinery, in which Eni and Rosneft have stakes. Equinor Norway's majority state-owned energy firm has stopped trading Russian oil as it winds down its operations in the country. Galp The Portuguese oil and gas company has suspended all new purchases of petroleum products from Russia or Russian companies. Glencore The global mining and trading firm, which holds a 0.57% stake in Rosneft, said it would continue to honour its obligations under previously signed contracts, but would ""not enter into any new trading business in respect of Russian origin commodities unless directed by the relevant government authorities"". Neste The Finnish refiner has not bought Russian crude oil on the spot market since the start of the war and is not planning to sign new deals when the existing long-term supply contract ends in July. From the start of April, the refiner has replaced about 85% of the Russian crude oil with other crudes. OMV Petrom Romania's top oil and gas firm, controlled by Austria's OMV has said it was preparing to wean itself off Russian crude imports, which account to about 30% of its Petrobrazi refinery's annual needs. Preem Sweden's largest refiner, owned by Saudi billionaire Mohammed Hussein al-Amoudi, has ""paused"" new orders of Russian crude, which accounted for about 7% of its purchases, replacing them with North Sea barrels. Repsol The Spanish company has stopped buying Russian crude oil in the spot market. Shell The world's largest petroleum trader has stopped buying Russian crude and on April 27 said it would no longer accept refined products with any Russian content, including blended fuels. Trafigura The Geneva-based global commodities trader plans to stop all purchases of crude oil from Rosneft by May 15 when tighter EU rules on Russian oil sales come into effect, and ""substantially"" reduce volume of refined products it buys from Rosneft. Total Energies The French oil companyhas said it would no longer enter into or renew the existing contracts to buy Russian crude oil and petroleum products, with the aim of halting all purchases by the end of 2022. The contracts primarily cover supplies for its Leuna refinery in eastern Germany, which gets Russian crude via the Druzhba pipeline, as well as Europe's gasoil supply. VARO Energy The Swiss refiner, which owns 51.4% in Germany's Bayernoil refinery, has said it does not plan to enter into new deals to buy Russian crude.   "
Updated: 28 Apr 2022,India asks state firms to consider buying Russian oil assets,https://www.livemint.com/news/world/india-asks-state-firms-to-consider-buying-russian-oil-assets-11651156477367.html,"India has asked state-run energy companies to evaluate the possibility of buying European oil major BP's stake in sanctions-hit Russian firm Rosneft, two people familiar with the matter said. BP has announced it is abandoning its 19.75% stake in Rosneft. The oil ministry last week conveyed its intent to ONGC Videsh Ltd (OVL), Indian Oil Corp., Bharat Petro Resources Ltd (BPRL), Hindustan Pertoleum's subsidiary Prize Petroleum Ltd, Oil India Ltd and GAIL (India) Ltd, the sources said. Indian companies and the oil ministry did not respond to Reuters emails seeking comment. While Western nations have imposed sanctions against Russia over the war in Ukraine, India has not explicitly condemned Moscow's actions there. The world's third biggest oil importer and consumer, India imports about 85% of its 5 million barrels per day (bpd) of oil needs. The call on Indian companies to explore buying the stake in Rosneft came after BP CEO Bernard Looney met Indian oil minister Hardeep Singh Puri in March. BP declined to comment. Oil ministry also asked OVL, the overseas investment arm of Oil and Natural Gas Corp, to consider buying a 30% stake held by Exxon Mobile Corp, in the Sakhalin 1 project in Russia's Far East. Exxon is the operator of the project. OVL already holds a 20% stake in the project. Exxon said on March 1 it would exit about $4 billion in assets and discontinue all its Russia operations, including Sakhalin 1. OVL also holds 26% stake in Vankorneft, owner of the Venkor field in the West Siberian Basin. Separately, a consortium of Oil India, IOC, and BPRL, the exploration arm of state refiner Bharat Petroleum Corp , holds a 23.9% stake in Vankorneft and a 29.9% stake in Taas-Yuryakh in east Siberia. One of the sources said Indian companies hope to get stakes in Russian assets at discounted rates given the risk involved, dubbing the potential transactions ""distress sales"". A second source said Indian companies needed to study the impact of sanctions on potential investments and yet to start a process of due dilligence. ""The fear is that this investment could get stuck in Russia as sanctions might bar us from bringing equity oil and gas to India."" ""Our effort has been to see how we can stabilise economic transactions, economic engagements with Russia in the current context ... There are of course constraints, there are sanctions by some countries, and we will have to kind of work through that,"" India's foreign ministry spokesperson Arindam Bagchi told a news conference. Exxon said on Wednesday its Russian unit Exxon Neftegas Ltd has declared force majeure for its Sakhalin-1 operations due to sanctions on Russia that have made it increasingly difficult to ship crude to customers. This story has been published from a wire agency feed without modifications to the text."
Updated: 25 Apr 2022,MG Motor to set up EV charging stations across the country with BPCL,https://www.livemint.com/auto-news/mg-motor-to-set-up-ev-charging-stations-across-the-country-with-bpcl-11650870968272.html,"MG Motor has partnered with Bharat Petroleum Corporation Limited (BPCL) to bolster the EV charging infrastructure across the country. The two entities will install EV chargers across highways and within cities. They can combine expertise to identify charging sites, garner consumer insights, devise loyalty programs, and create technology to manage charging systems. Rajeev Chaba, President and Managing Director, MG Motor India, said, “Our partnership with BPCL is yet another step to strengthening the EV charging infrastructure in India to energize and enhance customer confidence in EVs. BPCL's strong presence and vast network in India will ensure that existing and prospective customers across the country have convenient access to charging solutions. We aim to further expand the opportunities of charging an EV and educate consumers on the environmental benefits of the same."" Arun Kumar Singh, Chairman and Managing Director, BPCL said, “BPCL is setting up fast charging corridors across major highways in the country, inter-connecting major cities, and economic centres, and will have a network of 7000 conveniently located fast charging stations in the country in the next 2-3 years. These fast charging stations will come with a host of customer amenities viz, hygienic washrooms, refreshments, microATMs, etc. This era calls for strategic cross-industry collaboration to reach new and important milestones in the EV charging ecosystem and at BPCL, we are excited to expand our ambit and create positive synergies with innovative brands like MG Motor India to usher in the era of best-in-class EV charging solutions. MG Motor India is known for creating differentiated customer experiences through its wide range of evolved Internet SUVs and is a leading player in EVs in India. We look forward to this partnership, providing a fillip to countrywide adoption of electric mobility and opening up opportunities for creating exciting customer offerings in the personal mobility space."""
Updated: 23 Apr 2022,Centre  weighs  going  back to drawing board on BPCL sale,https://www.livemint.com/news/india/centre-weighs-going-back-to-drawing-board-on-bpcl-sale-11650649334170.html,"NEW DELHI : The government is weighing its options on the strategic disinvestment of Bharat Petroleum Corp. Ltd, including whether it needs to return to the drawing board and restart the bidding process or revise certain conditions in the existing process. Rising oil prices and the increasing tilt towards green energy have thrown up fresh issues for bidders, posing challenges for the disinvestment process, an official aware of the development said. “There are several issues... bidders also appear to be facing issues in terms of securing investors; the oil prices are not helping the situation either... we will have to take a call on the next steps,"" the official said on condition of anonymity. The government had received multiple bids for BPCL in November 2020 from miner Vedanta Resources, and private equity firms Apollo Global and I Squared Capital’s arm Think Gas. However, Mint has learnt that Think Gas has dropped out, leaving only two companies in the bidding process. Vedanta Resources is planning to set up a $10 billion fund to bid for the government’s stake in BPCL and other assets, chairman Anil Agarwal said in January. Apollo Global declined to comment. Emails sent to Vedanta and I Squared Capital did not elicit a response as of press time. Bidders need to have a net worth of $10 billion, and public sector units with government ownership of 51% and more have been excluded as per the initial terms and conditions set by the government when it began the BPCL disinvestment process in early 2020. The government is yet to invite financial bids, even though it had initially planned to close the deal by March 2021. The covid pandemic also led to delays in finding suitors. A second official said that the value that the government will get from the transaction is a key factor since BPCL’s share price has fallen over the past year. In April 2021, the stock was trading in a range of ₹418 to ₹422, but in April 2022, it fell to the ₹374-390 range. On Friday, the shares fell 1.06% to ₹393.5 on BSE. The government, which holds a 52.98% stake in BPCL, plans to sell its entire holding and transfer management control as part of the strategic disinvestment process, making the deal a lucrative one as a private company will be able to reap benefits from the profitable asset. However, at the current share price, the market cap of the country’s second-largest oil refining and marketing company comes to ₹85,360 crore, lower than over ₹90,000 crore back in November 2020 when it had received the bids. The government would get about ₹45,000 crore from the transaction at current valuation. Mint had reported in January 2021 that the transaction could be valued at ₹90,000 crore. Proceeds from the sale will help the government achieve its ₹65,000 crore disinvestment target set for FY23. Queries sent to the finance ministry and BPCL remained unanswered till press time. The qualifying bidder will not only have a controlling stake in BPCL but will also get access to a 25.77% market share in India’s fuel retailing segment, along with 15.3% of India’s total refining capacity. BPCL operates four refineries in Mumbai, Kochi, Bina, and Numaligarh in Assam, with a combined capacity of 38.3 million tonnes per annum. As part of the privatization process, BPCL last year sold its 61.65% stake in Assam-based Numaligarh Refinery Ltd (NRL) for ₹9,875 crore to a consortium of Oil India Ltd (OIL) and Engineers India Ltd (EIL) (49%) and the remaining 13.65% to the Assam government in March."
Updated: 26 Mar 2022,Bharat Bandh: Which states are not adhering to the strike? Check details,https://www.livemint.com/news/india/bharat-bandh-which-states-are-not-adhering-to-the-strike-check-details-11648311512698.html,"A joint forum of central trade unions has given a call for a nationwide strike, to protest against government policies affecting workers, farmers, and people. The call for a nationwide strike was taken after a meeting of the joint platform of central trade unions on March 22, 2022. After taking stock of preparations in various states, the unions announced a two-day all-India strike against ""the anti-worker, anti-farmer, anti-people and anti-national policies"" of the central government. The statement said that roadways, transport workers and electricity workers have decided to join the strike in spite of the impending threat of ESMA (Haryana and Chandigarh, respectively). Date of Nationwide strike A joint forum of trade unions which include INTUC, AITUC, HMS, CITU, AIUTUC, TUCC, SEWA, AICCTU, LPF and UTUC, have decide to observe a nationwide strike on 28,29 March in order to protest against the central government's ""the anti-worker, anti-farmer, anti-people and anti-national policies"". The strike notices have been given by unions in the sectors such as coal, steel, oil, telecom, postal, income tax, copper, banks, insurance among others, it also stated. The unions in railways and defence sector would be making mass mobilization in support of strike at several hundreds of spots, it stated. Banks join nationwide strike on Monday, Tuesday All India Bank Employees Association on Saturday announced on Facebook that the banking sector will be joining the nationwide strike called by the joint forum of Trade Unions on 28, 29 March.  The banks are joining the nationwide strike in order to protest against the central government's bid to privatize public sector banks, as well as the Banking Laws Amendment Bill 2021. West Bengal government offices to remain open on 28, 29 March The West Bengal on Saturday issued an order saying all state government offices will remain open and the employees will report to duty on those days. The order from the state government further added that the leaves will be treated as ‘dies-non’ and no salary will be admissible. “In view of calls given by different trade unions for a 48-hour nationwide strike/bandh on March 28 and 29, all state government offices will remain open and employees shall report for duty on those days. Leaves to be treated as ‘dies-non’ and no salary will be admissible,"" the order from the West Bengal government stated. Kerala High court bars 5 trade unions in BPCL from participating  The Kerala High Court on Friday, 25 March, restrained five trade unions in the Bharat Petroleum Corporation Limited (BPCL), Kochi, from participating in the nationwide strike on 28, 29 March called by a joint forum of trade unions.  Considering a plea filed by the BPCL challenging the trade unions in the company joining the protest, Justice Amit Rawal issued an interim order restraining the unions from going on strike according to their call from 7 am on March 28 to 7 am on March 30.  "
Updated: 08 Mar 2022,Divestment deadline may be extended,https://www.livemint.com/science/news/divestment-deadline-may-be-extended-11646680872466.html,"NEW DELHI : The Russia-Ukraine conflict may force India to extend deadlines for planned strategic divestments in some major state-run companies with potential investors seeking more time to submit bids, said two government officials aware of the developments, potentially impacting the government’s aim to bridge the fiscal deficit and raise funds for social welfare projects. The conflict will also likely hit valuations of Bharat Petroleum Corp. Ltd, Shipping Corporation of India, BEML Ltd and Pawan Hans Ltd, among others, that are being lined up for stake sales amid an overall delay in the entire process, the officials said. They said initial signs of a slowdown have already begun to emerge, with deadlines of some of the divestments being extended. This is set to derail the government’s disinvestment plan not only for this fiscal through March but also for the next year as investors remain on edge following growing uncertainty due to the global geopolitical tensions and rising oil and other commodity prices. “Nearly all transactions are in slow mode... investors are taking time because of uncertainties caused by war,"" one of the officials said, seeking anonymity. The second official cited above said while the government was trying to continue engaging with potential investors and bidders, waning investor sentiment has thrown a major spanner in the works. The planned sale of Life Insurance Corp. of India (LIC) shares by this fiscal end holds the key for the government to meet its reduced asset-sales target of ₹78,000 crore for FY22. The disinvestment proceeds were budgeted for ₹1.75 trillion. LIC’s public offering would follow the successful sale of Air India to Tata group. However, sweeping sanctions against Russia and the expulsion of several Russian banks from financial messaging platform SWIFT may dampen foreign institutions’ participation in LIC’s share sale, as reported by Mint on Monday. “We’ve been watching the situation since last month and expecting that there may be some improvement, but it’s only getting worse... some stability is needed, once that happens, markets will bounce back,"" the first official said, referring to the volatile stock markets that are reflective of investor sentiment. Queries emailed to a finance ministry spokesperson remained unanswered. For FY22, the government has received disinvestment proceeds of ₹12,423 crore as of 7 March from Air India, MOIL, NMDC, HUDCO, HCL and IPCL. This is far below the revised target of ₹78,000 crore. Economists said the government would have a bigger challenge at hand in FY23 as it would have to divest a much larger number of public sector shares, which may put further pressure on valuations of enterprises lined up for divestments. “The government will have to target sales worth ₹1.3 trillion next fiscal— ₹65,000 crore for LIC if it spills over to next fiscal and ₹65,000 crore target for FY23—which will be a major challenge, and it’s a big question whether the market will have the capacity to take on such a large number of PSU shares,"" said Madan Sabnavis, chief economist at Bank of Baroda. “Even if the Ukraine crisis is settled, it will be at least six months before the markets normalize,"" Sabnavis noted."
Updated: 23 Feb 2022,Sujoy Choudhury joins board of Indian Oil Corporation,https://www.livemint.com/companies/news/sujoy-choudhury-joins-board-of-indian-oil-corporation-11645635649503.html,"NEW DELHI : Sujoy Choudhury has joined the board of state-run Indian Oil Corporation as the Director for Planning & Business Development. Before assuming the office of Director (Planning and Business Development), Choudhury was heading Indian Oil's Punjab state office wherein he was in charge of all petroleum activities in the states of Punjab and Himachal Pradesh, and in the union territories of Jammu & Kashmir, Ladakh and Chandigarh, said a company statement. A mechanical engineer and MBA (Finance) from Jadavpur University, Kolkata, Choudhury brings with him a cross-functional experience spanning every facet of the Indian energy business, said the statement, adding that he has rich experience working in eastern, western and northern regions of the country. His major contributions include strengthening the oil infrastructure of the states and union territories, introducing winter grade diesel for high altitude areas, developing specialised lubricants for FMCG industry, and introducing geotextiles and steel concrete structures for construction in hilly terrains. Choudhury said: ""In my new role, I would look forward to leveraging the commitment of my fellow IOCians in the Business Development Group to power the aspirational growth trajectory of the 'energy of India'. Further, in another development, Sanjay Khanna on Tuesday, February 22, assumed the charge of director for refineries at Bharat Petroleum Corporation Ltd (BPCL). Khanna has earlier held the positions of Chief General Manager In-charge (Mumbai Refineries), Executive Director (Kochi Refineries) and Executive Director In-charge of Refineries, where he headed the refineries operations in BPCL."
