article_time,article_title,article_link,article_content
Updated: 06 Jun 2022,‘The world around us has turned more digital-savvy’,https://www.livemint.com/companies/people/the-world-around-us-has-turned-more-digitalsavvy-11654457755809.html,"NEW DELHI : India’s rural marketing landscape is set to change, said Amit Doshi, chief marketing officer at Bengaluru-based Britannia Industries Ltd, the maker of Good Day, Tiger, NutriChoice, Milk Bikis and Marie Gold biscuit brands. In an interview, Doshi, who had stints in Lenovo and Perfetti Van Melle, spoke of the acceleration in digital media consumption, evolution of the influencer ecosystem and the need for brands to be more empathetic in a post-covid world. Edited excerpts:   After covid-19, are brands weaving more sympathy into their messaging?  The pandemic taught marketers to be far more humane and connected with what was happening around us. There’s been a debate around purpose-led advertising, but this (pandemic) was a very different situation. I really hope that brands continue to stay humane. But at the same time, it’s very important that brands are not opportunistic about a situation like this. There is a certain role that categories and brands play in consumers’ lives and it’s extremely important that marketers are aware of where the line is. So, I would say that while it’s a good sign, it’s very important to know what role a brand can or cannot play in difficult situations. During covid, advertising for almost all of our brands turned contextual. We realized that while consumers were staying at home, they were also vulnerable to unhealthy eating. So, NutriChoice advertising was still about healthy snacking, but making sure that your hands don’t go to something unhealthy. Coming out of covid, I feel that all of us, including Britannia, need to be extremely close to the consumer. Because we’re also seeing some of the habits reverse as quickly; people are going back, they are travelling, kids are back to school.  Has the pandemic brought about a rapid shift in media spends? I’m a big believer in taking a balanced approach to marketing and media planning. It’s the classical approach of horses for courses. It completely depends on the markets that we’re speaking to, the socio-economic strata that consumers belong to. Media habits are very varied in a complex market like India. So, depending on the challenge that we have at hand, we work with first principles (of marketing) and come up with a media plan. Having said that, yes, we’ve seen digital media habits change dramatically during the pandemic. This year, that growth will accelerate. If you look projections by prominent media agencies, the prediction is that digital media spends this year will overtake those on television. That means we’ve got to keep with the pace of change, perhaps even stay ahead of the curve.  How much of this digital adoption is changing rural marketing? Has there been a fundamental change in consumer media habits on account of digital?  100%. It’s a massive change that we are seeing unfold in front of our eyes. If you see the influx of content consumption—all of these are trends that cut across the country. The world around us has definitely turned more digital-savvy, post-covid. That’s true of rural consumers as well. Cheap data connectivity, along with a smartphone at hand, and content consumption becoming more democratic, more vernacular, is certainly going to change the way the rural consumers consume media. If you look at the content creator ecosystem, content creation in India is actually bursting open across all strata of the economy. It’s not just a metro or urban phenomenon. Tomorrow’s biggest content creators are actually coming from small towns and rural centres. This will further accelerate consumption.  So, in all forms of digital, whether it’s social media, or its content platforms, like Jio, or even the digital editions of vernacular newspapers, there’s a lot of consumption that’s happening. The supply side is exploding, because the content creator ecosystem is no longer just coming from urban India. Finally, as FMCG expands on e-commerce, the pin code coverage will also increase.  If you look at all of this, I do feel that rural marketing as we know it, will change dramatically. There are some early experiments that we’re seeing in the industry.  How big is influencer marketing for Britannia? For me, influencers form one more conduit to engage with consumers. But I would say the work that most industries and companies in India still do with influencers is very scratchy where there is a product placement, and influencers carry it in their content.  Do we participate in that?  Of course, we do. So, in one case, we’ve helped transform a consumer into an influencer for the local community and now they’re the face of the brand.  In another case, which is for Marie Gold Jeera, we’ve actually used homemakers, who had clout and influence in the social media ecosystem, to actually help us develop products."
Updated: 13 May 2022,"Light packs to recycled cans, FMCG firms fight to cut costs",https://www.livemint.com/companies/news/light-packs-to-recycled-cans-fmcg-firms-fight-to-cut-costs-11652384250978.html,"NEW DELHI : If the plastic container of your regular moisturiser gets easily squished or if the ₹20 pack of your favourite chips brand appears smaller, don’t be alarmed. It’s just that their manufacturers are using thinner packaging to counter runaway costs in commodities, packaging and freight. Companies are also using recycled aluminium for cans, cutting advertising and marketing spends and postponing new launches. Parle Products, which makes biscuits under the Parle-G and Krack Jack brands, is looking at savings from carton configuration - meaning, it is looking at ways to add more packets of biscuits or snacks per carton. This will help the company lower its transport costs. This comes after Parle’s 7-8% price hike in the last six months, including both grammage cuts and direct price increases. Parle is also reducing the size packet sizes in its confectionery and snacks portfolio. “What we have done as part of our efforts to bring in cost efficiencies is started reducing the plastic used in our packs. It’s not more viable to give additional plastic unnecessarily,"" said Krishnarao Buddha, senior category head at Parle Products. This helps the company save packaging and transport costs. Rival Britannia Industries said it is doubling down on its cost saving programmes, as the inflationary situation looks “fairly grim"". This includes reducing distance to market as well as making its sourcing strategy more efficient. Varun Berry, managing director, Britannia said at a post earnings call on 4 May that the company is bringing in process automation to raise productivity, reducing distance to market to reduce cost and provide fresh products to consumers, reducing wastage at the factory and the marketplace, and moving to a target of using up to 60% of renewable energy. “That’s working quite well. From a material standpoint, our sourcing strategy is focused towards making sure that we get the best bang out of our buck,"" Berry said. Varun Chaudhary, managing director of CG Corp Global, which makes Wai Wai noodles said the company has had to re-evaluate its plans to make a bigger play in the biscuits category. “With the whole cost rise, now we are re-evaluating our prospect. Biscuit has maximum flour and also palm oil. Palm oil prices have touched an all-time high,"" he said. Food and beverage maker PepsiCo India said it is accelerating the mix of higher revenue packs to mitigate the impact of increase in commodity prices and inflationary pressures. “Rising input costs, particularly palm oil and paper, and increase freight costs have put significant pressure on the margins,"" a company spokesperson said. Brewer AB InBev said it does not see challenges related to higher raw material prices abating soon. The maker of Budweiser beer is working with its suppliers to increase the recycled content of aluminium in its cans, among other steps to trim costs. The beer industry has limited options to adjust to increased costs, as liquor prices are routed via state excise departments in India. “We witness this impact across our supply chain with materials like barley along with packaging costs remaining high. These essential materials for our business have always been the most stable in terms of pricing and availability,"" said Ashwin Kak, procurement & sustainability head, India & South East Asia, AB InBev. Kak said the company has introduced circular packaging initiatives like replacing cardboard packaging with material made from barley straw to carry its products. Beverage maker Coca-Cola India Pvt. Ltd is promoting returnable glass bottles, after years of focusing on disposable plastic bottles."
Updated: 02 May 2022,"Stocks to Watch: RIL, HDFC, Maruti, Wipro, Yes Bank, Tata Motors, Adani group ",https://www.livemint.com/market/stock-market-news/stocks-to-watch-ril-hdfc-maruti-wipro-yes-bank-tata-motors-adani-group-11651454570748.html,"NEW DELHI: Following are the stocks that could be in focus on Monday:  Reliance Industries: Is looking to build a mega land bank to set up renewable energy parks and projects, as the Mukesh Ambani-controlled conglomerate pivots from fossil fuels to clean energy. A land aggregation exercise is underway to set up solar power projects of 100GW by 2030. HDFC: The mortgage lender on Sunday raised its benchmark retail prime lending rate (RPLR) by 5 basis points (bps), leading to an identical hike in home loan rates for existing customers. However, there will be no change in interest rates for new customers as they will get an additional discount of 5 bps on the benchmark, negating the hike in RPLR. HDFC will also announce its March quarter earnings today. Maruti Suzuki: The country's largest carmaker Maruti Suzuki India has reported a 6% year-on-year decline in total wholesales to 1,50,661 units in April. Last month, Maruti's domestic sales slipped 7% on year to 1,32,248 units. The company posted a 51.1% year-on-year jump in consolidated net profit to ₹1,875.8 crore in the fourth quarter ended on March, despite chip shortages hampering production. Total revenue from operations stood at ₹26,749.2 crore as against ₹24,034.5 crore in the fourth quarter a year ago. Wipro: Reported a 3.1% sequential rise in its dollar revenue to $2,721.7 million for the quarter ended March, while revenue in constant currency grew 3.1%. Wipro has guided for 1-3% sequential growth in Q1FY23 revenue at $2,748 million to $2,803 million. Profit during the March quarter rose 3.98% sequentially to ₹3,087.3 crore and revenue rose 2.68% to ₹20,860 crore. Tata Motors: The company reported a 74% year-on-year jump in its total sales in April to 72,468 units. Tata Motors' domestic sales surged 81% on year to 71,467 units last month, while total passenger vehicle dispatches to dealers rose 66% to 41,587 units. Adani group: Is lining up massive investments in the healthcare sector and may acquire large hospitals, diagnostic chains, and offline and digital pharmacies, among other assets, to establish a foothold in the sector. Top executives of the group, which runs businesses ranging from airports to seaports, recently met several foreign banks and global private equity investors, where they outlined the group’s plans in the healthcare business. IndusInd Bank: Reported a 55.4% year-on-year rise in profit to ₹1,361.4 crore for the quarter ended March, as provisions declined 21.5% and asset quality improved. Net interest income grew 12.7 percent on year to ₹3,985.16 crore in Q4. Yes Bank: The lender’s plan to set up an asset reconstruction company is on track and it expects to transfer all its bad loans to the entity by end of June. As on 31 March, Yes Bank's gross bad loans stood at ₹27,976 crore. The bank posted a net profit of ₹367 crore for the March quarter, as against a loss of ₹3,788 crore a year ago. Biocon: Subsidiary Biocon Biologics said it can close the transaction of $3.34 billion Viatris' biosimilar business acquisition by as early as this quarter, if it gets a nod from regulatory agencies. In March, Biocon Biologics entered into a definitive agreement to acquire Viatris' biosimilars assets for $3.34 billion. The company will pay Viatris $2 billion in cash at the closing of the deal, and another $335 million in 2024. Jet Airways: The airline, under its new promoters, will operate proving flights during the first half of May, as it is set to launch its commercial operations in the July-September quarter. During proving flights, or test flights, the airline’s staff, including those at the check-in-counter, engineers, pilots, cabin crew, and maintenance technicians follow activities mirroring real-time commercial operations."
Updated: 02 Apr 2022,More consumers switch to smaller packs as inflation pinches,https://www.livemint.com/companies/news/more-consumers-switch-to-smaller-packs-as-inflation-pinches-11648838494236.html,"New Delhi: Indian consumers have started purchasing smaller packs of packaged goods as high inflation puts pressure on household budgets. Contribution of low-priced packs to overall sales within categories such as beverages, personal care and commodities moved up by 2%, 4% and 10.5% respectively in rural India between January and first week of March, according to data shared by retail technology platform Bizom. In urban India, contribution from lower price points in categories such as confectionery, commodities, home care and packaged foods moved up by 2.8%, 2.9%, 5.9% and 13.7% respectively. Commodities consist of packaged and branded edible oils, spices, rice, and flour. To be sure, a switch to low priced packs in categories such as confectionery and beverages was also driven by a strong return in out-of-home consumption during the period. Meanwhile, contribution of high value packs across all categories in urban India reported a decline, as per the retail intelligence platform that tracks sales across 7.5 million retail stores. Bizom compared the data to pre-covid period or 2020. “Across both urban and rural India, we see a strong trend of increased consumption across lower price points. Price inflation is among the key drivers of this shift across categories especially among commodity products driven by hyper-inflation in these products,"" said Akshay D’Souza, chief of growth and insights, Bizom. Companies selling everything from soaps, detergents to biscuits and edible oils have taken price hikes—prompting shoppers to look at cheaper or value alternatives. On Thursday Bloomberg reported that cake and cookie maker Britannia Industries Ltd. plans to hike prices as much as 7%. In large categories such as soaps, detergents, shampoo, biscuits and edible oils, price hikes have been to the tune of 15-20% year-on-year within key stock keeping units, analysts at BNP Paribas India said in a report dated 17 March. They noted that such price hikes were insufficient to offset cost inflation. They also flagged some downtrading within the fast-moving consumer goods market. “With price increase ahead of income growth, sector volume growth moderated and we see likelihood of some downtrading. After large price increases in the preceding period, we have seen relatively lower price hikes in Jan-March 2022, as companies could have been looking for consumers to absorb the recent price hikes and expecting commodity costs to moderate,"" they said. Meanwhile, consumers switched to cheaper packets in commodities such as edible oils and pulses. In personal care, fewer social interactions were prompting consumers to purchase lower usage packs, especially in rural areas, the Bizom data revealed. “With more price inflation on the horizon, we will see pressure on personal care and other discretionary products as consumers could look to rationalize their monthly spends by cutting on usage here,"" said D’Souza. In home care, data pointed to consumer preference toward high price point packs in rural. “In urban the wide availability of hygiene products is leading to this shift while rural consumers still seem to be buying longer duration packs as availability of their preferred brands seems to be erratic,"" the firm said in its findings. Meanwhile, companies said higher fuel prices could put pressure on household budgets, especially, for socio-economic classes B and C. “While we have not witnessed that in our business because it’s an everyday consumption item—be it milk or curd but I’m sure there is an inflationary pressure on consumers and across categories. Especially SEC B and C consumers are feeling the pinch of petroleum prices,"" said Sanjay Sharma, Business Head, dairy products, Mother Dairy Fruit & Vegetable Pvt. Ltd. Companies are likely to push cheaper and smaller stock keeping units, said others. “Consumers will downgrade to smaller and cheaper brands as well as. You will find better distribution for cheaper stock keeping units, that is, at price points of Rs10 and Rs20,"" said Aditya Goel, co-founder of Love in Store, a trade activation and execution company that works with FMCG companies and retailers. Bizom said within beverages demand trends indicate that mid-sized packs are leading growth. “Out of home packs for what is expected to be a warm summer and the upcoming IPL season, can help spike consumption at home too,"" said D’Souza. Parle Agro that sells juices and fizzy drinks said demand for its products remained firm as mobility improved. The company that sells Frooti and Appy Fizz beverages has not taken any price hikes in order to keep demand intact. “Two of our largest segments are really value packs which are at the Rs10 and lower price points. And then the larger value packs, which are for home consumption, those are two of our largest segments. From a value for money perspective that’s been something we’re very conscious of, and we’ve been able to provide that to consumers consistently,"" said Nadia Chauhan, JMD and CMO, Parle Agro."
Updated: 26 Mar 2022,It's raining earnings downgrades but these stocks offer some respite,https://www.livemint.com/market/mark-to-market/its-raining-earnings-downgrades-but-these-stocks-offer-some-respite-11648185069187.html,"The steep increase in prices of raw materials such as crude oil and metals following the Russia-Ukraine conflict has exposed many Indian companies to severe margin pressure, an analysis by domestic brokerage house IIFL Securities Ltd showed that. This is anticipated to lead to an increased risk of earnings downgrades. ""What began as an earnings sensitivity analysis has now started appearing more like an earnings downgrade expectation, because the values we assumed for the purpose of sensitivity for key variables − Brent crude (US$110), LME Metals Index (5000), US$/INR (78) and interest rates (100 basis points higher) − have begun looking like the more-likely levels that will sustain in FY23,"" IIFL said in a report on 23 March. One basis point is one hundredeth of a percentage point. Investors should note that many companies across the board rely on crude-based derivatives as inputs. For some companies, plastic products which are byproducts of crude, hurt their packing costs. These include cement, tyres, fast moving consumer goods and paint makers, among others. For the purpose of this analysis, IIFL has identified stocks price behaviour starting 23 February, when news flow on the war started impacting the markets. Results showed that CEAT Ltd, Apollo Tyres Ltd, MRF Ltd, Indian Oil, Kansai Nerolac, Paints Ltd, Hindustan Petroleum Corporation Ltd, Bharat Petroleum Corporation Ltd, Century Plyboards India Ltd, Havells India Ltd, Nykaa (FSN E-commerce Ventures Ltd), Berger Paints (I) Ltd, Cipla Ltd and CRISIL Ltd are the stocks where risks of a earnings downgrade is emerging. On the other hand, there are some stocks at odds with the broking frim's expectation of earnings vulnerability. Coforge Ltd, Quess Corp Ltd, Britannia Industries Ltd, L&T Infotech, Tanla Platforms Ltd, Mphasis Ltd, Hindustan Unilever Ltd, Bharat Forge Ltd and PNC Infratech Ltdare the stocks where there are upgrade opportunities, added the IIFL report."
Updated: 21 Mar 2022,Kotak Mahindra MF launched Kotak Nifty 100 Low Vol 30 ETF,https://www.livemint.com/mutual-fund/kotak-mahindra-mf-launched-kotak-nifty-100-low-vol-30-etf-11647868818936.html,"Kotak Mahindra Mutual Fund (MF) has launched Kotak Nifty 100 Low Vol 30 ETF, an open-ended scheme replicating/tracking the Nifty 100 Low Volatility 30 Index. The NFO opened for subscription on March 15, 2022 and closes on March 22, 2022. As per the NSE Indices’ information about the index, the NIFTY 100 Low Volatility 30 Index aims to measure the performance of the low volatile securities in the large market capitalisation segment. The securities are selected from the NIFTY 100 index and should be available for trading in the derivatives segment (F&O). The selection of securities and their weights in NIFTY100 Low Volatility 30 is based on volatility. The volatility of the securities is calculated as the standard deviation of daily price returns for last one year. In order to make the index replicable for passive products, as per the NSE, the weightage of the stocks with turnover less than the stock having the lowest turnover in NIFTY 50, has been capped at 3%. The top constituents of the index by weightage as of February 28, 2022, are Dabur India, Britannia Industries, Nestle India, Hindustan Unilever, Tata Consultancy Services, Bajaj Auto, Hero MotoCorp, Marico, Infosys and Cipla. The entry load and exit load is nil for the scheme. The minimum investment amount is ₹5,000 and in multiples of ₹1 thereafter. The performance of the scheme is benchmarked against the Nifty 100 Low Volatility 30 Index (Total Return Index) and its fund managers are Devender Singhal, Satish Dondapati and Abhishek Bisen. The investment objective of the scheme is to replicate the composition of the Nifty 100 Low Volatility 30 Index and to generate returns that are commensurate with the performance of the NIFTY100 Low Volatility 30 Index, subject to tracking errors. "
Updated: 11 Mar 2022,Colgate Vs Godrej: A tale of two CEO hires,https://www.livemint.com/market/mark-to-market/colgate-vs-godrej-a-tale-of-two-ceo-hires-11646994170490.html,
Updated: 31 Jan 2022,"Britannia’s Q3 margin drags, revenue shines",https://www.livemint.com/market/mark-to-market/britannias-q3-margin-drags-revenue-shines-11643563568401.html,"Britannia Industries Ltd had to battle a tough cost environment during the December quarter (Q3FY22) owing to persistent commodity cost inflation. While the packaged foods company’s gross margin was expected to drop year-on-year (y-o-y) in Q3, the extent of decline was more than expected. Last quarter, Britannia’s consolidated gross margin shrank as much as 518 basis points (bps) versus the year-ago period to 37.9%. One basis point is 0.01%. This is also the third consecutive quarter of y-o-y drop in Britannia’s gross margin. In Q1 and Q2, too, the company’s gross margin had dropped by 502bps and 296bps, y-o-y, respectively. The company said it continued to see an increase in commodity prices in Q3, with inflation about 4% sequentially and about 20% y-o-y. “We actioned price increases ahead of competition. But the upward trajectory in prices of commodities and fuel impacted profitability, which led us to action further price increases and accelerate cost efficiency programmes,"" said Britannia. It is somewhat comforting that the gross margin has improved sequentially, though below expectations. Further, a fall in employee costs helped curb the drop in Ebitda (earnings before interest, taxes, depreciation, and amortization) margin a bit. Ebitda margin dropped by 422bps y-o-y to 15.1%. The upshot: Ebitda in Q3 fell by 11.7% to about ₹540 crore. This is at a time when Britannia’s revenue performance beat expectations, with operating revenues increasing by 13.7% y-o-y to ₹3,531 crore. “Strong growth in revenue was buoyed by volume growth of about 5% (we expected +4%) and net realizations being higher by about 8.5% (versus our forecast of 7.5%),"" said analysts from JM Financial Institutional Securities Ltd in a report on 29 January. “Britannia’s ability to sustain volume growth at this level despite price hikes in the category is commendable, especially as nearly two-thirds of the price hikes (for price-pointed packs) need to be effected by grammage adjustments,"" the broker added. In the past one year, Britannia’s shares have declined by 2.6% vis-à-vis the 7.6% gain in the Nifty FMCG index. Bloomberg data shows the stock trades at almost 43 times estimated earnings for FY23. While valuations may not seem demanding, near-term triggers for the stock appear limited. Hereon, investors would closely track the impact on volumes, owing to subdued rural demand. In general, easing commodity costs will bring much needed relief to consumer companies, including Britannia."
Updated: 29 Jan 2022,"Urjit Patel resigns as non-executive, independent director of Britannia Ind",https://www.livemint.com/companies/people/urjit-patel-resigns-as-non-executive-independent-director-of-britannia-ind-11643449882670.html,"NEW DELHI: Former Reserve Bank of India (RBI) governor Urjit Patel on Friday resigned from the post of non-executive and independent director at packaged foods company Britannia Industries Ltd., citing a full-time work assignment starting next month. “It has been a pleasure to have been a part of the Board of the Company. Due to my new full-time work assignment staring next month, the attendant time constraint has complied me to tender my resignation as an independent Director of Britannia Industries Ltd. from January 31, 2022,"" Patel said in a letter that was uploaded on the exchanges late on Friday. ""I hereby confirm that there is no reason other than the one mentioned above for my resignation,"" according to the filing made to the exchanges. Patel was recently appointed vice president for investment operations in South Asia at the Beijing-based Asian Infrastructure Investment Bank (AIIB). His appointment is effective from 1 February, AIIB had said in a statement earlier this month.  Patel was the 24th governor of the Reserve Bank of India. "
Updated: 28 Jan 2022,Britannia December quarter profit down 18%,https://www.livemint.com/companies/news/britannia-december-quarter-profit-down-18-11643384515401.html,"NEW DELHI : Packaged foods company Britannia Industries Ltd. (BIL), on Friday reported a 18.4% dip in December quarter profit at ₹370 crore amid increasing input costs that prompted the company to accelerate its cost saving programs. In the year ago period—the company had reported a profit Rs452.64 crore. Total revenue from operations at the biscuit and butter maker grew 13% to ₹3,574.98 crore against the ₹3,165.61 crore reported a year ago. The company flagged a “significant"" slowdown in rural markets for makers of fast-moving consumer goods. “We delivered a high single digit volume growth significantly ahead of the market and a resilient double-digit top-line growth of 14%, driven by superlative performance across divisions and channels. While the rural markets across FMCG witnessed significant slowdown, we were able to maintain a significant competitive advantage through our focus to enhance rural footprint and our diligent market practices, which is reflected in the robust top-line growth and consistent gain in market share,"" said Varun Berry, Managing Director, Britannia Industries Ltd. Berry said the company continued to witness increased commodity prices with an inflation of 4% quarter-on-quarter and 20% over last year. Cost of material consumed during the quarter grew 22% year-on-year for the maker of Good Day and Marie Gold biscuits. Total expenses during the quarter were up 18.5% to touch ₹3,123.02 crore year-on-year. This is despite the company reporting a marginal dip in employee benefit expenses. As market leaders, we actioned price increases ahead of competition, said Berry. “However, the upward trajectory in prices of commodities and fuel impacted profitability, which led us to action further price increases and accelerate cost efficiency programs,"" he said. Companies across the board have been facing inflationary headwinds with prices of everything from raw materials to packaging material and transportation moving up. Mint had earlier reported that rival Parle Products plans to continue price hikes till the end of the current financial year. During the quarter the company relaunched its power brand “Good Day"" backed by TV, print and outdoor media, and visibility drives, towards the end of the quarter. “We are confident that our resilient brands and strategic growth initiatives will hold us on a path of sustainable and profitable share gain in the future as well,"" said Berry."
