article_time,article_title,article_link,article_content
Updated: 30 Jun 2022,The bright side of Asian Paints’ recovery,https://www.livemint.com/market/mark-to-market/asian-paints-beats-the-inflation-blues-with-robust-volume-growth-11656525265578.html,"The past few quarters have been lacklustre for the paint industry. Concerns over high raw material inflation, a slowdown in demand, and rising competition has taken the sheen away from paint stocks. Even the market leader in the decorative paints segment, Asian Paints Ltd, has not been spared. The stock slid to a 52-week low of ₹2,560 on 17 June on NSE and is now about 5% above that level. However, so far this calendar year, the stock has corrected by 20%. There are some bright spots that can soothe the frayed nerves of investors. An analysis by Antique Stock Broking suggests that during inflationary periods (FY11-12 and FY18-19), Asian Paints has absorbed part of the inflation to protect its volume growth and market share. “However, in subsequent years, the company has regained its margins by calibrated price hikes and operating scale,"" said Antique’s analysts in a report on 29 June.    "
Updated: 24 Jun 2022,Top picks: Sharekhan is bullish on these 6 cement stocks for robust gain ahead,https://www.livemint.com/market/stock-market-news/top-picks-sharekhan-is-bullish-on-these-6-cement-stocks-for-robust-gain-ahead-11656089157281.html,"The leading brokerage firm Sharekhan has placed a buy call rating on the shares of Shree Cement for a target price (TP) of ₹26000, Ultratech Cement (TP: ₹7100), Grasim Industries (TP: ₹1740), The Ramco Cement (TP: ₹850), JK Lakshmi Cement (TP: ₹600), and Dalmia Bharat (TP: 1850). These recommendations were made because the brokerage forecasts that, in accordance with the plans disclosed by major cement players, the cement sector would add more than 90 mtpa in capacity between FY2023 and FY2025. The brokerage has said in a note that “Cement industry is expected to add over 90 mtpa in capacities over FY2023- FY2025 as per plans announced by major players. This implies a 5% CAGR in installed capacity, while cement demand is estimated to post a 6-7% CAGR over FY2023-FY2025. With the rise in supply almost equivalent to demand growth, industry capacity utilizations levels would stay almost flat at 67-68% over FY2023- FY2025. Pan-India cement prices have risen each year during FY2015-FY2022 barring a couple of years, while in Q1FY2023, they are up 8% as compared to FY2022 level. Going by historical anecdotes, we believe cement prices to remain on an uptrend despite capacity additions over the next three years. On the cost front, International petcoke prices have corrected by 17% m-o-m and 20% from March 2022 levels in June 2022."" According to Sharekhan “The diesel prices across Metros declined by 5% m-o-m while they were up 3% y-o-y in June 2022. We expect the easing of petcoke/ coal prices during Q1FY2023 and ahead to reflect in operational performance for the industry from H2FY2023 as it exhausts high-cost fuel inventory fully during H1FY2023. We estimate our cement coverage universe to report 11% CAGR in sales volume over FY2022-FY2024 as against industry growth estimated at 6-7% per annum. Higher-than-industry growth is expected to be lead by market share gains by larger companies aided by rise in capacities."" The brokerage has claimed that “We estimate weighted average EBITDA/tonne for our coverage universe to grow at 4% CAGR during FY2022- FY2024 although the same may remain lower than peaks seen in FY2021. The improvement in EBITDA/tone is based on our assumptions of capacity utilizations remaining almost flat due to high capacity additions, part retention of growth in cement prices and easing of energy and freight costs."" By staying positive on the cement sector, Sharekhan has said “Our cement coverage universe has seen 30%-45% correction in stock prices over trailing five months led by Russia-Ukraine crisis, rise in energy costs and large capacity plans announced by leading cement players. The same has led to one year forward EV/EBITDA valuation multiples of almost all cement companies sinking below their historical averages. Notwithstanding, soft earnings performance for the cement pack in H1FY23, the recent correction offers good entry points for long term investors as sustainable infrastructure push over next 3-5 years coupled with easing out of input cost pressure in H2FY23E would drive stock performance over next 12-15 months. We remain construction and stay Positive on the sector. Our preferred picks are UltraTech, Shree Cement, Dalmia Bharat and JK Lakshmi Cement."" Weakness in demand, a decline in cement prices and a rise in key input costs like energy and freight costs are key risks to the industry, said Sharekhan, which investors should take note of. The views and recommendations made above are those of individual analysts or broking companies, and not of Mint.  "
Updated: 26 May 2022,Grasim’s paints blitz raises risks in the sector,https://www.livemint.com/market/mark-to-market/grasims-paints-blitz-raises-risks-in-sector-11653499326108.html,"Grasim Industries Ltd’s plans to enter the paints sector are at full throttle. The company will incur capital expenditure of ₹10,000 crore by FY25, which is twice the initial investment announced in 2021. Clearly, the competitive intensity in the Indian paints industry is heating up. In reaction, shares of Asian Paints Ltd and Berger Paints India Ltd fell by 7-8% on NSE on Wednesday. Grasim has also accelerated the execution of its paints capacity of 1,332 million litres per annum (mlpa) with the commissioning of plants to start by Q4FY24. This compares with around 1,750 mlpa capacity for Asian Paints but is much higher than that of Berger and Kansai Nerolac India Ltd. Asian Paints is now the market leader in the decorative paints segment, followed by Berger. Grasim aims to become the number two decorative paints company over a period of time.       "
Updated: 25 May 2022,Aditya Birla-owned Navyasa by Liva launches TV ad with Deepika Padukone,https://www.livemint.com/industry/advertising/aditya-birla-owned-navyasa-by-liva-launches-tv-ad-with-deepika-padukone-11653488381597.html,"Aditya Birla Group-owned clothing firm Navyasa by Liva has announced an advertising campaign with actor Deepika Padukone directed by Ogilvy and Mather India today. The 360-degree campaign, the company said, will have a television commercial that will represent how a saree is breaking stereotypes with its fluid nature.  Conceptualised in line with the theme ‘Free To Be’, the ﻿campaign, it said, will showcase the brand’s intent to revolutionise the way sarees are perceived.  The range has been created by designers Abir and Nanki along with the internal design team at Liva. Rajnikant Sabnavis, chief marketing officer of Grasim Industries (pulp and fibre), “The brand’s intention is clear that it is here to stay and the association with Deepika Padukone as the face of the brand will only up the ante and take the brand to the next level. She is a great fit for the brand. The campaign idea is in sync with the brand spirit and brings alive the ethos effectively. We are very happy to see the response to the campaign and the aspiration it inculcates among the audience.""  According to research website Statista, in 2020, the Indian advertising industry was valued at over $564 billion and it was projected to reach up to $700 billion by this year.  The industry had grown at a rate of 11.59% in the given time frame, and was poised for further growth on the back of rapid digitalisation in the upcoming years. "
Updated: 25 May 2022,"As Grasim doubles investment in paints, risks rise for incumbents",https://www.livemint.com/market/mark-to-market/as-grasim-doubles-investment-in-paints-risks-rise-for-incumbents-11653455724020.html,"Grasim Industries Ltd. now plans to invest ₹10,000 crore in the paints industry by FY25. Note that this is double of its ₹5,000 crore investment plan to set up its paints business, which was announced last year. Clearly, the competitive intensity in the once oligopolistic Indian paints sector is heating up, raising concerns of buisness disruption for incumbents Asian Paints Ltd. and Berger Paints India Ltd. Reacting to this development, shares of both these companies declined around 3% each on the National Stock Exchange in opening deals on Wednesday. Asian Paints is the market leader in the decorative paints segment, followed by Berger. Grasim has also accelerated the execution of its paint's capacity of 1,332 million litres per annum with the commissioning of plants to start by Q4FY24. It aims to become the number two decorative paints company over a period of time. Analysts note that this compares with 1,700 mlpa for Asian Pants and is much higher than Berger and Kansai Nerolac India Ltd. To be sure, the paints industry has high entry barriers and history shows that not many new comers have tasted huge success here. Scalability is among the key challenges that new companies in this sector have often faced, said analysts. For instance, international paint companies Nippo and Jotun. Even so, Grasim pumping in more funds, does come as a sentiment dampener for existing companies. ""We believe the threat from new competitors is higher than in the past, as the new entrants are domestic players that possess an understanding of the Indian commodity industry and have strong balance sheets and the drive to grow to be among the top players,"" analysts at Morgan Stanley India Company Pvt. Ltd said in a report on 24 May. Concurring, analysts at Jefferies India Pvt Ltd said, Grasim may go for an aggressive strategy (pricing or otherwise) and disturb the market structure which may have a greater impact on smaller players, but Asian Paints may also be at risk. ""This is reminiscent of Jio's foray into the telecom industry, with significant capacity additions, which ultimately resulted in lower industry tariffs,"" said the Jefferies report dated 24 May. Recall that in the telecom sector, quite a few firms folded up after Reliance Jio Infocomm Ltd. entered the market in 2016 with cut-throat pricing and huge investments. Meanwhile, the paints industry has been grappling with input cost inflation pressures weighing on their gross margins. Paint makers have taken several rounds of price hikes in FY22 and have guided for more to offset this impact."
Updated: 25 May 2022,"Stocks to Watch: NTPC, Dr Reddy's, Grasim Industries, Indian Hotels, Coal India",https://www.livemint.com/market/stock-market-news/stocks-to-watch-ntpc-dr-reddy-s-grasim-industries-indian-hotels-coal-india-11653441662930.html,"Here is a list of top 10 stocks that will be in focus on Wednesday: NTPC Ltd: The state-run company is moving at breakneck speed to increase coal supplies to fuel its thermal plants and ensure the units operate at more than 75% of capacity to avert another power crisis in India. The electricity giant not only aims to import 20 million tonnes of coal, at an eight-year high, over the next few months but is also targeting 85% growth in its captive coal production this year to 26 milli Dr Reddy's Laboratories: The drug major on Tuesday said it along with Senores Pharmaceuticals, Inc has launched Ketorolac Tromethamine tablets, used for managing severe pain, in the US market. The product is a therapeutic generic equivalent of the reference listed drug Toradol tablets. FMCG companies: The government on Tuesday exempted customs duty and agriculture infrastructure development cess on 2 million tonnes yearly import of crude soyabean and sunflower oil. The relief on edible oil comes into force on Wednesday and will be effective until March 2024. Eveready Industries: Entities controlled by the Burman family of Dabur have received the approval from the Sebi to launch an open offer for dry cell battery maker Eveready Industries India Ltd. The open offer for an additional 26% stake in Eveready will open on June 3 and close on June 16 at ₹320 a share.  Indian Hotels Company: The Tata group hospitality firm on Tuesday said its board has approved the re-appointment of Puneet Chhatwal as managing director and CEO for another term of five years. Chhatwal's reappointment is for another term commencing from November 6, 2022 up to November 5, 2027 subject to shareholders' approval. Coal India: The state-run company will open this year what is expected to become one of the country's biggest coal mines, as India struggles to keep pace with surging power demand, Reuters reported. Output from the new Siarmal mine in eastern Odisha state would rise gradually, reaching capacity of 50 million tonnes in about five to seven years. Adani Ports and SEZ: The company's net profit fell 20.5% to ₹1,024 crore in the March quarter. Revenue rose 6.47% to ₹3,845.03 crore while Ebitda fell 19.57% at ₹1,858.8 crore. Grasim Industries: The Aditya Birla Group firm on Tuesday reported a 55.56% increase in its consolidated net profit at ₹4,070.46 crore for the fourth quarter ended March. Grasim Industries' revenue from operations was up 18.07% at ₹28,811.39 crore. Titagarh Wagons: The company has bagged the single largest order ever from the Indian Railways for 24,177 wagons valued at over Rs.7,800 crore. The total order book of its Indian operations crosses ₹10,000 crore for the first time. Zee Media: The company reported a consolidated net loss of ₹51.45 crore for the fourth quarter ended 31 March. The company had posted a net profit of ₹10.50 crore during the January-March quarter of the previous fiscal, Zee Media Corporation Ltd (ZMCL) said in a regulatory filing. However, revenue from operations increased 37.78%to ₹247.73 crore during the quarter under review. "
Updated: 25 May 2022,Grasim doubles investment plan in paints to ₹10k cr,https://www.livemint.com/companies/news/grasim-doubles-investment-plan-in-paints-to-10k-cr-11653412793942.html,"NEW DELHI : Grasim Industries Ltd on Tuesday said it will invest ₹10,000 crore in its paints business by FY25, double the ₹5,000 crore announced in 2021. Market dynamics of the decorative paints segment have changed and the new capacity building initiative is backed by strong growth and outlook, the Aditya Birla group company said. Grasim is expanding production capacity to 1,332 million litre per annum (mlpa) and will commission plants by Q4 FY24. “The business is focused on timely execution of capacities. Civil construction has already commenced at two plant sites (Panipat and Ludhiana). Work at the Chamarajanagar plant is expected to start shortly. The remaining three plants are at different stages of government approval processes,"" it said in a statement. Grasim reported strong growth in consolidated profit in the March quarter, up 62% from the year-ago. Its standalone profit was up 122% from the year earlier. Grasim saw successful commissioning of projects in core business verticals such as viscose staple fibre (VSF) and caustic soda in FY22, which helped drive Q4 performance. The VSF business reported sales volumes of 179,000 tonnes in Q4FY22, up 22% a year ago, with a strong mix of value-added products at 25%. Its recently commissioned 600-TPD brownfield plant at Vilayat contributed 32,000 tonnes to sales volume and operated at 83% capacity, the company said. Growing volumes helped in the 13% sequential and 46% year-on-year growth in revenues for the VSF business during Q4, despite VSF prices softening marginally. Covid-led restrictions in China and the Russia-Ukraine war led to marginally muted demand for textiles. VSF prices averaged lower at ¥12,903 in Q4 compared to ¥13,637 in Q3, following the rise in covid infections in China. In its chemical business, the company witnessed a demand revival despite higher domestic caustic soda prices, which were in line with global prices. Its chloralkali processing business reported the highest ever quarterly Ebitda, or earnings before interest, taxes, depreciation, and amortization. The company’s standalone revenue growth for the chemicals business was up 45% from the year-ago."
Updated: 24 May 2022,"Grasim Industries doubles capex to ₹10,000 cr to set up paints business",https://www.livemint.com/companies/news/grasim-industries-doubles-capex-to-rs-10-000-cr-to-set-up-paints-business-11653399336600.html,"Grasim Industry on Tuesday said it has accelerated the execution of its paints business capacity of 1,332 MLPA with commissioning of plants to start by fourth quarter of FY24. ""The business is focused on the timely execution of its capacities. The civil construction has already commenced at two of its plant sites (Panipat and Ludhiana) and is expected to start shortly at Chamarajanagar. The remaining three plants are at different stages of government approval processes,"" the company said in a statement. ""Market dynamics of the decorative paints sector has changed with new capacities being announced backed by strong growth and outlook. We have accelerated the execution of our paint’s capacity of 1,332 MLPA with commissioning of plants to start by Q4FY24,"" it added. ""The project cost is likely to be 10,000 crore by FY25,"" Grasim said. In August last year, Grasim Industries' board had approved a ₹5,000 crore capital expenditure plan to set up a paints business. Grasim Industries is a leading global player in VSF and the largest chemicals player in India. It is also the largest cement producer and diversified financial services player in India through its subsidiaries UltraTech Cement and Aditya Birla Capital. For FY22, its revenue from operations was at ₹95,701.13 crore."
Updated: 24 May 2022,"Stocks to Watch: Maruti Suzuki, Zomato, Marico, ONGC",https://www.livemint.com/market/stock-market-news/stocks-to-watch-maruti-suzuki-zomato-marico-ongc-11653310053501.html,"Here is the list of the top 10 stocks that are likely to be in focus on Tuesday: Marico: The FMCG major has acquired a majority 54% stake in the digital-first healthy breakfast and snacks brand True Elements for an undisclosed amount. True Elements' existing leadership team will continue to run the brand independently and build synergies, it added. Maruti Suzuki India: The country's largest carmaker has agreed to acquire 12.09% equity stake in Sociograph Solutions Pvt Ltd. for ₹2 crore. SSPL is an artificial intelligence software company that specialises in visual AI platform predominantly used to help enterprises improve sales experiences and improve efficiency in their business. Zomato: The Indian food delivery firm reported a wider fourth-quarter loss on Monday as expenses nearly doubled, although revenue jumped 75%. The company's consolidated net loss widened to ₹3.60 billion for the three months ended March. 31, from ₹1.31 billion a year earlier. Revenue from operations rose to ₹12.12 billion rupees from ₹6.92 billion. Oil and Natural Gas Corporation: State-owned ONGC said it has become the first gas producer to trade domestic gas on the Indian Gas Exchange, trading unspecified volumes from its eastern offshore KG-DWN-98/2 block. Birlasoft: The company has posted net profit of Rs. 132.897 crores for the period ended March 31 as against Rs. 113.967 crores for the quarter ago period. Its revenue stood at ₹1,104.2 crore against ₹1,071.9 crore. The company will buyback up to 2.79% of shares at a price of ₹500 apiece for an amount up to ₹390 crore. Ramco Cements: The company reported a decline of 45.22% in consolidated net profit at ₹118.27 crore for the fourth quarter ended March. Total revenue was up 4.94% at ₹1,722.68 crore during the quarter under review as against ₹1,641.53 crore in the corresponding period of the previous fiscal. Rupa & Co: The company has accepted the resignation of Dinesh Kumar Lodha from the post of chief executive officer, effective from May 31, 2022. It also accepted the resignation of Ramesh Agarwal from the post of chief financial officer of the company. Bharat Electronics: The company's net profit for March quarter fell 16% year-on-year to ₹1140 crore. Revenue for the quarter fell 9% to ₹6320 crore.  Shilpa Medicare: The board of directors of the company, at its meeting held on Tuesday, has considered and recommended payment of dividend of Rs. 1.10 (110%) per equity share of face value of Rs. 1 each for the financial year 2021-2022. NHPC: The state-run firm plans to develop India’s largest floating solar project of 300 MW over Indravati river in Odisha in joint venture with the state government. A tender for the same has been floated with India’s largest power generation firm in talks for inking a power purchase agreement, said the chairman and managing director Abhay Kumar Singh.  "
Updated: 16 Feb 2022,Paint margins are peeling but price hikes may help,https://www.livemint.com/market/mark-to-market/paint-companies-to-get-gloss-back-after-a-pallid-q3-11644947626181.html,"It has been a somewhat gloomy earnings season for paint manufacturers. Sky-high raw material prices have understandably taken the sheen off profit margins. Gross margins of top listed paint companies have contracted by 631-832 basis points (bps) for the December quarter (Q3FY22). One basis point is 0.01%. Needless to say, this has become a sore point for investors. Nevertheless, to combat cost pressures, all companies took price hikes, helping the margin outlook. “Top paint makers have taken aggregate price hikes of 21-24% in the decorative coating business during the year-to-date FY22. This is likely to improve gross margins by 80-100bps sequentially in Q4FY22,"" said Varun Singh, analyst at IDBI Capital Markets and Securities Ltd.        "
