article_time,article_title,article_link,article_content
Updated: 09 Jul 2022,Investors wealth rises near ₹7.73 lakh cr this week on bullish markets,https://www.livemint.com/market/stock-market-news/investors-wealth-rises-near-rs-7-73-lakh-cr-this-week-on-bullish-markets-will-this-trend-continue-11657361726408.html,"Indian markets closed this week on a bullish note with Sensex nearing 54,500 and Nifty 50 above 16,200. On Friday, the benchmarks maintained their winning streak and settled in the green for the third day in a row despite mixed global cues. Overall, the week was positive and investors added notable gains in their portfolios. The bullish performance can be attributed to consolidation in commodity prices and a slowdown in foreign funds outflow. Investors' wealth on BSE skyrocketed by nearly ₹7.73 lakh crore this week. Going forward, the seesaw sentiment stays on the broader markets, however, the focus will shift to June 2022 quarterly earnings. On Friday, Sensex closed at 54,481.84 up by 303.38 points or 0.56%. Nifty 50 ended at 16,220.60 up by 87.70 points or 0.54%. A broad-based buying was seen across sectoral indices with capital goods outperforming and banking stocks also supporting the gains. Metal stocks were under pressure. Both Sensex and Nifty 50 have climbed more than 3% this week. The market cap of BSE stood at nearly ₹2,51,59,998.80 crore by end of July 8. The valuation has risen by ₹7,72,870.07 crore from the market cap of ₹2,43,87,128.73 crore on July 1.  Among the top 10 most valued companies on BSE, Reliance Industries (RIL) continues to lead with a market cap of ₹16,17,879.36 crore followed by TCS at ₹11,94,625.39 crore and HDFC Bank at ₹7,75,832.15 crore. Infosys and HUL also took the fourth and fifth spots with a market cap of ₹6,37,033.78 crore and ₹5,86,422.74 crore respectively. Others were - ICICI Bank with a market cap of ₹5,25,656.96 crore, LIC at ₹4,47,841.46 crore, SBI at ₹4,35,922.66 crore, HDFC at ₹4,06,213.61 crore and Bharti Airtel at ₹3,81,833.20 crore. Talking about this week's performance, Vinod Nair, Head of Research at Geojit Financial Services said, “During the week, the domestic market saw a bull run, led by consolidation in commodity prices, and reduced FII selling. Crude prices fell over recessionary fears. However, the fall has boosted the appetite for consumption, chemicals, logistics, and OMCs as it will reduce the cost burden of these sectors.""  Nair explained that falling crude prices will calm inflationary fears, reducing the burden on central banks to raise interest rates aggressively at upcoming meetings. Positive domestic macro and business data by banks were the other major factors that helped in boosting market sentiment.  He further said, currently, investors are preferring value than growth stocks, resulting in selling across sectors like IT. Defensive sectors like FMCG can perform better due to strong cash flow, high governance, dividend policy, and stable earnings growth. This month, FPI funds outflow stood at ₹4,418 crore as of July 8 from the Indian market (including equity, debt, debt-VRR, and hybrid market). Overall, this year, FPIs have pulled out a massive ₹2,31,708 crore from the market, as per NSDL data. So far in 2022, FPIs have only emerged as net sellers due to turmoil in macroeconomic factors. Meanwhile, the rupee has hit a series of all-time lows. On Friday, the local unit closed at 79.26 against the US dollar at the interbank forex market down by 13 paise amidst a strong greenback, persistent foreign funds outflow, and a slight rebound in crude prices. However, Nair also pointed out that this rally can fizzle out as correction in commodities prices & tightening monetary policy are negative for the global economy, limiting earnings growth & valuation expansion. Markets June 11 to June 15 outlook: Apurva Sheth, Head of Market Perspectives, Samco Securities said, ""the coming week is going to test the market in a number of ways as a multitude of important events are lined up. The USA’s much-anticipated inflation numbers, Producer Price Index (PPI), and the jobless claims data will keep the global markets on their toes. The inflationary problem is not just restricted to the west thus the Indian inflation numbers that are set to release will keep the markets back home busy. The Retail inflation eased to 7.04% in May vs. 7.79% in April, whether the declining trend continues or not is something that is keenly awaited."" ""Aside from macro data, quarterly results will influence market sentiment. The management commentary on future earnings growth trajectory will be of interest to D-street. With a slew of important events coming up, investors are advised to be careful and cautious in their investment decisions,"" Sheth added. Nair added, that the Q1 earnings season will be the prime focus of the market, in the near term. Giving an outlook on Nifty, Sheth said, in the short term, it may face stiff resistance around 16,200 levels. If it maintains above that level, the next obstacle could be around 16,500 levels. On the downside, 16,000 will serve as a strong support level. ICICI Direct analysts have given a bullish stance on markets ahead. The outlook is anchored on twin key observations - a) Breach of the key downward trend line which is in force since April 2022 indicating the end of the two-month corrective phase b) Current pull back is qualitatively better as compared with earlier pullbacks since April in terms of market breadth (measured by the percentage of stocks above 50 DMA (51%) strongest in two months indicating broad-based participation). Amongst sectors, BFSI, IT, Auto, Consumption, and capital goods are preferred while Pharma witnesses stock-specific action. On stocks, ICICI Direct analysts said, ""we prefer SBI, HDFC bank, Infosys, Tata Motors, DLF, L&T, Titan in large caps while in midcaps we prefer ABB, SKF, Persistent, Apollo Tyres, M&M Finance, Bajaj Electricals, Phoenix Mills, CCL Products, Indian Hotels, and Kansai Nerolac."" TCS and Avenue Supermarts stock will be in focus after their Q1 results. Companies like HCL Tech, HDFC Bank, Mindtree, Tata Metaliks, ACC, L&T Infotech, Tata Elxsi, JSPL, Federal Bank, and L&T Technology Services will also be in focus ahead of their quarterly earnings scheduled next week.  "
Updated: 08 Jul 2022,SBI vs HDFC vs ICICI vs IDFC vs Post Office vs RBL vs Yes Bank: Check RD rates,https://www.livemint.com/money/personal-finance/sbi-vs-hdfc-vs-icici-vs-idfc-vs-post-office-vs-rbl-vs-yes-bank-check-rd-rates-11657274580845.html,"A recurring deposit (RD) is one of the most well-liked debt investment products in the voyage of personal finance when it comes to establishing a secure investment by making monthly contributions and avoiding lump sums. Investors in this investment scheme are able to make monthly deposits as well as get returns akin to those of fixed deposits. The deposits would also get coverage up to Rs. 5 lakhs by DICGC, which adds another degree of protection to both your investment and return. The interest will be risk-free, as the name suggests, but investors should be aware that bank RD investments are not eligible for tax deduction under Section 80C of the Income Tax Act of 1961. However, TDS on recurring deposits is deductible at a rate of 10% on the interest earned over ₹40,000 under Section 194 A of the Income Tax Act of 1962. Therefore, individuals searching for SIP-like deposits can compare the interest rates here of recurring deposits of some top financial institutions by eliminating lump-sum deposits in fixed deposits.  State Bank of India (SBI), the largest lender in the nation, gives the same interest rates on FDs and RDs. Customers will get the interest rates on deposit accounts indicated below as per the bank's most recent modification, which took place on 14.06.2022.  HDFC Bank last changed the interest rates on recurring deposits on June 17, 2022. The bank is now giving an interest rate ranging from 3.75 per cent to 5.75 per cent for non-senior citizens and 4.25 per cent to 6.50 per cent for senior citizens on making deposits in RD for a duration of 6 months to 120 months.  Recurring Deposits at ICICI Bank will be offered for a minimum of 6 months and thereafter in multiples of 3 months up to a maximum of 10 years. The bank amended its interest rates on RDs on June 22nd, 2022, and as a result, it currently offers interest rates ranging from 3.75 per cent to 5.75 per cent for the general public and 4.25 per cent to 6.50 per cent for senior citizens.  Recurring deposits are available from IDFC First Bank, with maturities ranging from 6 to 120 months. One can make regular deposits at the bank with a minimum of Rs. 100 and a maximum of Rs. 75,000, respectively. Effective as of 1st July 2022, the bank is now offering an interest rate of 4.50% - 6.00% for the general public and 0.50% additional for senior citizens.  Recurring deposits at RBL Bank have a minimum duration of 7 days and a maximum term of 240 months. Additionally, a minimum recurring deposit of Rs. 1,000 can be made. The bank currently offers an interest rate on recurring deposits ranging from 3.25 per cent to 5.75 per cent for the general public and 3.75 per cent to 6.25 per cent for elderly people.  Recurring deposits are allowed by Yes Bank for periods of 6 months to 120 months. Effective as of 18th June 2022, the bank is offering an interest rate of 4.75% - 6.50% for regular customers and 5.25% - 7.25% for senior citizens.  To open a 5-Year Post Office Recurring Deposit Account, a minimum deposit of INR 100 per month or any amount in multiples of INR 10 with no upper limit must be made. The post office RD account, as its name implies, has a maturity period of 5 years (60 monthly contributions) starting on the day it is opened. However, the account holder has the option to extend the account for an additional 5 years and the interest rate at when the account was initially created will be applicable on the extended account. After three years from the date of account opening, Post Office RD accounts can be prematurely closed; however, if the premature withdrawal is made even one day before maturity, the interest rate for PO Savings Accounts will apply. The Post Office RD account will continue to provide an interest rate of 5.8% per year, compounded quarterly, according to a recent decision by the Finance Ministry to maintain the rates constant for post office small savings schemes for the second quarter of FY23."
Updated: 08 Jul 2022,How an Indian cement maker bought Russian coal using yuan,https://www.livemint.com/news/india/exclusive-how-an-indian-cement-maker-bought-russian-coal-using-yuan-11657240560306.html,"An Indian cement maker's recent purchase of Russian coal using yuan involved India's biggest private lender, HDFC Bank, according to an invoice seen by Reuters and a source, as more details emerge of the kind of trade that could blunt Western sanctions against Moscow. There is no suggestion that the purchase, the particulars of which have not previously been reported, in any way breaches sanctions imposed on Russia in the wake of its invasion of Ukraine. But the document shows one way in which Russia could continue to sell commodities abroad without settling in U.S. dollars despite restrictions aimed at freezing it out of financial markets. According to the invoice dated June 5 and a source familiar with the matter, HDFC Bank backed cement maker Ultratech's purchase of Russian coal from producer and trader SUEK for 172.7 million yuan ($25.74 million). The letter of credit for the deal was issued by HDFC Bank's Mumbai suburban branch of Andheri East, according to the invoice.  The dollar is the currency of choice for global trade in raw materials, but some traders say the yuan could be increasingly used to settle payments for supplies from Russia.  In the invoice, SUEK requests Ultratech remit the 172.7 million yuan to SUEK's account at the Shanghai branch of China Everbright Bank. SUEK lists the Hong Kong branch of international lender HSBC as the correspondent bank.  A correspondent bank acts as a middleman in the transfer of money from one bank to another. Reuters could not determine if a payment had been received by China Everbright or if HSBC or any other bank was involved in a transfer of funds.  HDFC Bank and HSBC declined to comment. Ultratech, SUEK and China Everbright Bank did not respond to requests for comment. It was not clear from the invoice which currencies were used to effect the yuan payment.  The amount listed was quoted in Chinese yuan and Reuters reported last week that Ultratech imported 157,000 tonnes of coal from Switzerland-registered SUEK and agreed to settle the final payment in that currency. YUAN TRADES STILL RARE For India, such payment methods could become more common as it seeks to maintain trade ties with Russia for commodities including oil and coal without the risk of contravening Western sanctions. India has deep political and security ties with Russia and has refrained from condemning the Ukraine war, which Russia says is a ""special military operation"". India's energy imports from Russia have soared recently as traders, unable to sell into many Western markets, have offered steep discounts. New Delhi defends its purchases of Russian goods, saying they are legal and that a sudden halt would inflate prices further and hurt consumers. Greater use of the yuan to settle payments could help insulate Moscow from punishment and bolster Beijing's push to further internationalise the yuan and chip away at the dominance of the U.S. dollar in global trade. It is, however, still rare for an Indian firm to agree to settle a trade with a non-Chinese company in yuan. In the absence of sanctions, overseas payments to Russian commodity and energy companies would typically be made in dollars via SWIFT to Russian accounts. For Indian trade settlements using the yuan, lenders would potentially send dollars to foreign banks with sufficient yuan reserves, or Chinese banks they have tie-ups with, in exchange for yuan to settle the trade. The invoice mentioned the SWIFT transaction IDs of both HSBC's Hong Kong branch and China Everbright's Shanghai branch. Reuters could not confirm whether any payment was made using the SWIFT platform. SWIFT is a secure messaging system that facilitates rapid cross-border payments, making international trade flow smoothly. Several Russian banks have been cut off from the system in recent months. ""As a matter of policy, SWIFT does not comment on flows between institutions,"" a spokesman said. India's bilateral trade with China, for which companies largely pay in dollars, has flourished even after a deadly military border clash between the two in 2020 that ratcheted up tensions that have still not subsided. New Delhi has increased scrutiny on Chinese investments and imports, and banned some mobile apps over security concerns. The Indian government and the central bank were aware of potential payments for Russian cargo in Chinese yuan, sources told Reuters last week. The government and central bank did not comment for this article."
Updated: 07 Jul 2022,SBI vs ICICI vs HDFC vs BoB vs PNB vs Axis Bank: Check home loan rates,https://www.livemint.com/money/personal-finance/sbi-vs-icici-vs-hdfc-vs-bob-vs-pnb-vs-axis-bank-check-home-loan-rates-11657192950652.html,"The Reserve Bank of India (RBI) increased the repo rate by 50 basis points to 4.9 percent at its Monetary Policy Committee (MPC) meeting in June. This had an effect on the retail loan segment, prompting both new and current loan borrowers to pay higher EMIs. Home loans are now more expensive as a result of the benchmark interest rate increase, and the rates are often significantly higher for borrowers without salaries or those with credit scores below 750. Repo Linked Loan Rate (RLLR) and Marginal Cost of Fund Based Lending Rate (MCLR) hikes are still in progress even after a month of MPC meetings. As a consequence, it is difficult to get a home loan with cheap interest rates currently. However, let's examine the home loan rates being provided by the largest lenders in our nation.  Bank of Baroda (BoB) accepts applications for home loans from Indian residents who are at least 21 years old. Additionally, eligible are non-resident Indians (NRIs) with Indian passports, persons of Indian origin (PIOs) with foreign passports, and overseas citizens of India (OCI). The bank has set a maximum age restriction of 70 years for borrowers who want to get loans, and the maximum loan term is 30 years. The effective interest rate on home loans for non-staff members ranges from 7.45 per cent to 8.80 per cent. While the interest rate that applies to staff members (Public Scheme) is 7.45 per cent.  The minimum interest rate for home loans was raised to 7.55 per cent on June 15, 2022, by SBI, the largest lender in our nation. On the bank's website, it is stated that the lender has also raised its External Benchmark-based Lending Rate (EBLR) from 7.05 per cent to a minimum of 7.55 per cent. With effect from June 15, 2022, SBI has increased the benchmark one-year MCLR rate from 7.20 per cent to 7.40 per cent and updated the marginal cost of fund-based lending rates (MCLR) by up to 0.20 per cent.  Home loans with reasonable interest rates are available from ICICI Bank for terms of up to 30 years. Through ICICI Bank Express Home Loan, a self-service digital platform for current as well as non-ICICI Bank customers, borrowers can obtain digital approval for a home loan. With effect from June 8, 2022, ICICI Bank updated its External Benchmark Lending Rate (EBLR). ""ICICI Bank External Benchmark Lending Rate"" (I-EBLR) is referenced to RBI Policy Repo Rate with a mark-up over Repo Rate. I-EBLR is 8.60% p.a.p.m. effective June 8, 2022,"" the bank has mentioned on its website.  The marginal cost of lending rate, or MCLR, has been raised by the HDFC Bank across all tenors, and the new MCLR rates are effective as of Thursday, July 7. The overnight, one-month, and three-month HDFC Bank MCLR rates were increased by 20 basis points to 7.70%, 7.75%, and 7.80%, respectively. The HDFC Bank MCLR rates have increased by 20 bps to 7.90% and 8.05%, respectively, for tenures of six months and one year. The MCLR for HDFC Bank has increased by 20 bps to 8.15 per cent and 8.25 per cent for terms of two and three years, respectively.  Repo Linked Lending Rate (RLLR) is now 7.40 per cent with effect from September 6,2022, and One Year MCLR Rate is 7.55 per cent at PNB. The home loan interest rates are as follows.  Home loans from Axis Bank start at Rs. 3,00,000 and include a number of benefits including longer-term, appealing interest rates, a simple application procedure, doorstep service, etc. No prepayment fees as well as floating and fixed interest rates are permitted by Axis Bank for home loans. The bank provides a floating rate of 7.60 per cent to 7.95 per cent per year for salaried individuals and a fixed rate of 12 per cent for home loans. The floating rate for individuals who are self-employed ranges from 7.70 per cent to 8.05 per cent annually. and the current fixed rate for loans is 12 per cent."
Updated: 07 Jul 2022,"HDFC Bank, Axis Bank, ICICI Bank to provide financial services for MoD",https://www.livemint.com/companies/news/hdfc-bank-axis-bank-icici-bank-to-provide-financial-services-for-overseas-procurement-by-mod-11657187365899.html,"HDFC Bank, Axis Bank, and ICICI Bank are the first private banks to provide financial services in overseas procurement for Defence Ministry. Up till now, only public sector banks were allowed to offer these services for the ministry. However, in line with further opening of allocation of government business to private sector banks by the Department of Financial Services, the Defence Ministry on Thursday assigned three private sector banks viz HDFC Bank Ltd., ICICI Bank, and Axis Bank to provide the Letter of Credit and Direct Bank Transfer business for overseas procurement by the ministry. On behalf of the Defence Ministry, PCDA, New Delhi has signed a memorandum of understanding (MoU) with each of these three banks recently. ""Till now, only authorised public sector banks were utilised to provide these services to MoD. With this for the first time three Private Banks have also been allowed to provide financial services for overseas procurement by MoD,"" the ministry said. Further, as per the ministry, the three private bank giants may be allocated with LC business of ₹2,000 crore each on the capital and revenue side, for a period of one year on a concurrent basis ( ₹666 crore for each bank under both capital as well as revenue). ""The performance of these Banks will be monitored regularly so as to take necessary further action as required,"" the ministry added. HDFC Bank is the largest bank in terms of market valuation, while ICICI Bank, SBI, Kotak Bank, and Axis Bank follows. HDFC Bank, ICICI Bank, and SBI are in the top 10 most valued companies on BSE. On BSE, HDFC Bank shares closed at ₹1394.45 apiece up by 1.67%. It has a market valuation of ₹7,74,554.61 crore currently and is the third most valued firm on BSE. ICICI Bank shares ended at ₹741.20 apiece up 2.09%. The bank's market cap stood at ₹5,15,605.02 and is the sixth most valued firm on BSE. Axis Bank shares finished at ₹659.30 apiece marginally up on the same exchange. The market valuation of the bank stood at ₹2,02,496.43 crore at the latest closing price."
Updated: 07 Jul 2022,Day trading guide for Thursday: 6 stocks to buy or sell today — 7th July,https://www.livemint.com/market/stock-market-news/day-trading-guide-for-thursday-6-stocks-to-buy-or-sell-today-7th-july-11657157169233.html,"Day trading guide: After showing higher level weakness on Tuesday, Indian stocks witnessed a sustainable upside bounce on Wednesday session and closed the day in positive territory. Nifty 50 index went 178 points higher at 15,989 whereas BSE Sensex shot up 616 points and closed at 53,750 levels. Nifty Bank index shot up 508 points and closed at 34,324 levels. According to stock market experts, a long bull candle was formed on the daily chart, that has almost engulfed the negative candle of the previous session. Technically, this indicates a negation of bearish formation and signals positive bias for the market ahead. Day trading guide for stock market today Speaking on Nifty 50 outlook, Nagaraj Shetti, Technical Research Analyst at HDFC Securities said, ""The short-term trend of Nifty has turned positive and the overall chart pattern hint at a possibility of a sharp upside breakout of the hurdle. The next upside levels on Nifty 50 to be watched are around 16,200 to 16,300 in the short term. Immediate support for NSE Nifty is placed at 15,900 levels."" Day trading stocks Sharing intraday stocks for today — share market experts — Mehul Kothari, AVP- Technical Research at Anand Rathi; Rajesh Bhosale, Technical Analyst at Angel One; Rohit Singre, AVP — Technical Research at Bonanza Portfolio and Anuj Gupta, Vice President — Research at IIFL Securities — recommended 6 stocks to buy today. Mehul Kothari's intraday stocks for today 1] Indusind Bank: Buy around ₹837, target ₹865, stop loss ₹820 2] Berger Paints: Buy around 592, target ₹612, stop loss ₹579 Rajesh Bhosale's day trading stocks to buy today 3] Oberoi Realty: Buy around ₹784, target ₹821, stop loss ₹764 4] Max Financial Services Ltd or MFSL: Buy around ₹824.40, target ₹869, stop loss ₹801 Rohit Singre's stock of the day 5] Praj Industries: Momentum buy at CMP, target ₹390, stop loss ₹363 Anuj Gupta's intraday stock 6] HDFC Bank: Buy at CMP, target ₹1430, stop loss ₹1340. Disclaimer: The views and recommendations made above are those of individual analysts or broking companies, and not of Mint."
Updated: 05 Jul 2022,"Stocks to Watch: HDFC, Tata Steel Long, Kotak Mahindra Bank, IndusInd Bank, TCS",https://www.livemint.com/market/stock-market-news/stocks-to-watch-hdfc-tata-steel-long-kotak-mahindra-bank-indusind-bank-tcs-11656984125938.html,"Here is the list of top 10 stocks that will be in news today: HDFC Bank/HDFC: India’s largest private lender HDFC Bank on Monday said the Reserve Bank of India (RBI) has approved its proposed merger with parent and mortgage lender HDFC. The two entities had announced a deal in April.  Kotak Mahindra Bank: The Reserve Bank of India on Monday penalized the private sector lenders Kotak Mahindra Bank for failing to comply with certain regulatory guidelines and imposed a penalty of ₹1.05 crore.  The RBI has also slapped a fine of ₹1 crore on IndusInd Bank. Tata Consultancy Services: The IT major has said that the punitive damages levied by a US court on the company in the EPIC Systems Corporation case has been reduced to $140 million. The company said the case was not supported by facts and that it did not misuse or derive any benefit from EPIC's documents. Tata Steel Long Products: The company has completed the acquisition of state-owned Neelachal Ispat Nigam Ltd for ₹12,100 crore, the Centre said. The strategic divestment of the Odisha-based steelmaker was underway since January 2021. Tata Motors: The carmaker expects second half of the current fiscalto be better in terms of performance with gradual improvement in the overall supply situation and stabilisation in commodity prices, according to company chairman N Chandrasekaran. Vedanta: The mining giant reported a 3% increase in its aluminium production to 5,65,000 tonnes in the April-June quarter of the ongoing fiscal. Mined metal production at Zinc India increased by 14% to 2,52,000 tonnes due to higher ore production across all the mines and supported by better mill recovery. Hospitality companies: The Central Consumer Protection Authority has barred hotels and restaurants from levying service charge automatically or by default in food bills and allowed customers to file complaints in case of violation. The CCPA has issued guidelines for preventing unfair trade practices and violation of consumer rights with regard to levying of service charge. Cipla: The US Food and Drug Administration has issued two observations to the drugmaker based on an inspection that was conducted at its Indore plant from 27 June to 1 July 2022. The observations are related to a drug filing for a product that was to be manufactured at the plant. Muthoot Finance: The gold loan-focussed NBFC  has said it has received an approval from Reserve Bank of India to open additional 150 branches across the country. The non-bank lender plans to open these branches across southern and northern parts of the country.    "
Updated: 04 Jul 2022,RBI approves HDFC Bank’s merger with parent HDFC,https://www.livemint.com/industry/banking/rbi-approves-hdfc-bank-s-merger-with-parent-hdfc-11656954645107.html,"MUMBAI : India’s largest private lender HDFC Bank on Monday said the Reserve Bank of India (RBI) has approved its proposed merger with parent and mortgage lender Housing Development Finance Corp Ltd (HDFC). “Please note that HDFC Bank has received a letter dated 4 July 2022 from the Reserve Bank of India (RBI) whereby the RBI has accorded its no objection for the scheme, subject to certain conditions as mentioned therein,"" it said in a regulatory filing. The merger, HDFC Bank said, is subject to various statutory and regulatory approvals, including approvals from the Competition Commission of India, the National Company Law Tribunal, other applicable authorities and the respective shareholders and creditors of the companies involved. HDFC Bank and HDFC had announced a deal in April, to make the merged entity more competitive, and allowing access to a captive customer base to cross-sell products. The merger, expected to close in 18 months subject to regulatory and other approvals, will significantly widen its lead over private sector peers ICICI Bank and Axis Bank, in terms of total loans. Currently, HDFC Bank is in the home loan business in conjunction with HDFC. As per the arrangement, HDFC Bank sells home loans, while HDFC approves and disburses. HDFC Bank gets a sourcing fee for the transactions and has the option to purchase up to 70% of the fully-disbursed loans. As of 31 December, the merged entity‘s loan book stood at ₹17.9 trillion, way ahead of ICICI Bank’s ₹8.14 trillion and Axis Bank’s ₹6.65 trillion."
Updated: 04 Jul 2022,"HDFC Bank Q1 deposits grow 19%, advances up 21.5%",https://www.livemint.com/news/india/hdfc-bank-q1-update-deposits-grow-19-advances-up-215-11656908599709.html,"Private lender HDFC Bank has issued an update of its operational performance during the quarter ended June 30, 2022. According to the exchange filing, the lender clocked a 21.5% growth in advances in June quarter to reach ₹13.95 lakh crore as against ₹11.48 lakh crore (YoY), and a growth of around 1.9% over ₹13.68 lakh crore as of March 31, 2022. HDFC Bank’s deposits aggregated to approximately ₹16.05 lakh crore as of June 30, 2022, a growth of around 19.3% over ₹13.45 lakh crore as of June 30, 2021 and a growth of around 2.9% over ₹15.59 lakh crore as of March 31, 2022. Retail deposits grew by around 18.5% over June 30, 2021 and around 3.5% over March 31, 2022; wholesale deposits grew by around 22.5% over June 30, 2021 and around 0.5% over March 31, 2022. The bank’s CASA (current account savings account) deposits aggregated to approximately ₹7,345 billion as of June 30, 2022, a growth of around 20.1% over ₹6,118 billion as of June 30, 2021 and were lower by around 2% from ₹7,510 billion quarter-on-quarter (QoQ).  Further, the bank’s CASA ratio rose to around 46% as of June 30, 2022, as compared to 45.5% as of June 30, 2021, however was down sequentially to 48.2% as of March 31, 2022. During the quarter ended June 30, 2022, the bank purchased loans aggregating ₹95.33 billion through the direct assignment route under the home loan arrangement with Housing Development Finance Corporation Limited (HDFC). Meanwhile, HDFC Bank and parent HDFC inched closer to the merger process as stock exchanges give thumbs up to their amalgamation scheme. The companies received 'observation letters' from stock exchanges, BSE, and NSE dated July 2. In Apriel, HDFC Bank announced that parent HDFC will merge with the bank to enable seamless delivery of home loans and leverage on the large base of over 68 million customers of HDFC Bank and inter alia improve the pace of credit growth in the economy.  HDFC Bank shares are down over 10% in a year's period whereas the bank stock has declined about 12% in 2022 (YTD) so far."
Updated: 04 Jul 2022,"Stocks to Watch: HDFC twins, Indigo, Glenmark, Hero Moto, NMDC",https://www.livemint.com/market/stock-market-news/stocks-to-watch-hdfc-twins-indigo-glenmark-hero-moto-nmdc-11656897500228.html,"Here is the list of top 10 stocks that will be in focus on Monday: HDFC Bank/HDFC: The bank and its parent iinched closer to the merger process as stock exchanges give thumbs up to their amalgamation scheme. Both HDFC Bank and HDFC have received ‘no adverse observations’ from BSE and a ‘no objection’ from the National Stock Exchange. Interglobe Aviation: Fifty-five per cent of IndiGo's domestic flights were delayed on Saturday as a significant number of cabin crew members took sick leave. Aviation regulator DGCA said it is looking into this. Glenmark Pharmaceuticals: The US FDA has issued Form 483 with one observation after an inspection at the company’s formulation manufacturing facility based out of Aurangabad, India between June 27 and July 1. The company said it is committed to undertaking all necessary steps required to address their observation at the earliest and added it is committed to maintaining the highest quality manufacturing standards at all of its facilities across the globe. Maruti Suzuki: Betting big on green technologies, the auto major plans to have strong hybrid technology across its model range in the next 5-7 years, as per a senior company official. The auto major aims to have strong and mild hybrid technologies as part of an initiative to have environment-friendly technology elements in each of its models, enabling better fuel efficiency and reduced carbon footprint. NMDC: The state-owned has registered a fall of about 14 per cent in its iron ore production at 2.57 million tonnes (MT) during June 2022. In June last year, it had produced 2.98 MT iron ore, NMDC said in a BSE filing. Last month the company also saw its sales falling to 1.90 MT, from 3.18 MT in June 2021, a year-on-year (y-o-y) fall of 40 per cent. Hero MotoCorp: The country's largest two-wheeler maker reported a 3% increase in total sales at 4,84,867 units in June. In the domestic market, sales rose to 4,63,210 units last month from 4,38,514 units in June. Exports last month stood at 21,657 units as against 30,646 units in the year-ago period. NTPC: With an aim to achieve the target of 60 GW of renewable energy capacity by 2032, NTPC signed a memorandum of understanding with the Government of Rajasthan for the development of 10 GW Ultra Mega Renewable Energy Power Park in Rajasthan. Vedanta: The Group expects its semiconductor business turnover to be in the range of $3-$3.5 billion out of which around $1 billion will come from exports, Vedanta Group's global managing director of display and semiconductor business Akarsh Hebbar told PTI, adding that its JV partner Foxconn has all the agreements and required technologies in place to start making electronic chips. Coal India: The world’s biggest producer of the fossil fuel, posted record production in the June quarter as it sought to meet strong demand from power plants amid an unprecedented heatwave. The state-run miner produced 159.8 million tonnes (MTs) of coal in the three months ended June, a nearly 29% rise from the 124 MTs produced a year earlier. All units of CIL recorded higher production in Q1. Ashoka Buildcon: The company's joint venture with Cube Construction Engineering Limited has emerged as the lowest bidder for the construction and maintenance of Rajiv Gandhi Fintech Digital Institute, Jodhpur. The awarded bid project cost is Rs.611 crore.     "
