article_time,article_title,article_link,article_content
Updated: 09 Jun 2022,3 life insurance stocks to BUY as recommended by Sharekhan,https://www.livemint.com/market/stock-market-news/3-life-insurance-stocks-to-buy-as-recommended-by-sharekhan-11654776908994.html,"Owing to the increase in new business premiums, brokerage company Sharekhan has given a bullish outlook on the life insurance sector. HDFC Life (Target price: ₹740), Max Financial Services (Target price: ₹1,100), and ICICI Prudential Life (Target Price: ₹660) are the brokerage's top recommendations with a buy rating. According to Sharekhan for May 2022, new business premium for the industry grew strongly by 89% y-o-y and 37% m-o-m on a lower base of May 2021, which saw muted growth on account of lockdowns. The growth in premium was primarily aided by private players whose NBP increased by 114% y-o-y in May 2022. Among the listed and other large players, SBI Life Insurance (SBI Life) reported the fastest new business premium growth in May 2022 (rose by ~136% y-o-y and 23% m-o-m). While LIC witnessed premium growth of 77% y-o-y and ~35% m-o-m. ICICI Prudential Life Insurance reported at par industry growth in premium (up ~87% y-o-y and 37% m-o-m). Max Life Insurance witnessed premium growth of 62% y-o-y and 32% m-o-m in May 2022. While HDFC Life Insurance reported premium growth of 62% y-o-y (4% m-o-m). Likewise, total annual premium equivalent (APE) for SBI Life Insurance saw strong growth of 182% y-o-y and 16% m-o-m. LIC saw its total APE growing by 79% y-o-y and 37% m-o-m. Total APE for Max Life Insurance rose by 73% y-o-y (39% m-o-m). For HDFC Life Insurance, APE grew by 54% y-o-y and 25% m-o-m in May 2022. For ICICI Prudential Life Insurance, APE grew by 40% y-o-y (flat m-o-m), Sharekhan has further said in a report. The brokerage has claimed in a note that “We believe that after witnessing muted growth in business premiums in January and February 2022, the life insurance industry is witnessing heathy recovery. The protection segment for life insurers is expected to continue to gain pace as supply-side issues subside and non-par and annuity segments are likely to witness strong growth. While ULIPs are expected to remain affected by volatility in capital markets. Further, after witnessing underperformance for the past two years, the insurance sector is poised to return to a healthy growth trajectory. Factors such as a large protection gap and expanding per capita income are key long-term growth drivers for the sector. In this backdrop, we believe strong players armed with the right mix of products, services, and distribution are likely to gain from this opportunity."" The views and recommendations made above are those of individual analysts or broking companies, and not of Mint.  "
Updated: 03 Sep 2021,Exide Industries shares zoom on insurance subsidiary sale. Should you buy?,https://www.livemint.com/market/stock-market-news/exide-industries-shares-zoom-on-insurance-subsidiary-sale-should-you-buy-11630645172673.html,"Exide Industries share price today shot up to the tune of 14 per cent after the company's communication with Indian exchanges in regard to 100 per cent divestment in its insurance subsidiary Exide Life Insurance. According to stock market experts, it's good news for Exide Industries promoters as they have managed to crack a deal with HDFC Life Insurance Company, where they will get both cash and equity from HDFC Life. This will help Exide Industries to launch its most awaited lithium battery and hence the stock is expected to remain bullish from short-term to long-term. Speaking on the reason for Exide Industries share price rise; Avinash Gorakshkar, Head of Research at Profitmart Securities said, ""HDFC Life Insurance is going to acquire Exide Life Insurance, a subsidiary of Exide Industries. In this deal, Exide Industries will not only get ₹726 crore cash, their promoters will be given 8,70,22,222 HDFC Life shares at an issue price of ₹685 per equity share. The company will be able to use this cash for reducing its debt and launching much awaited lithium battery. Apart from this, HDFC Life shares allotted to Exide Industries promoters will increase the investment value in company's financials. So, Exide Industries shares are expected to remain bullish from short-term to long-term."" Avinash Gorakshkar of Profitmart Securities said that Exide-HDFC Life deal is positive for both companies as Exide is getting both cash and shares from HDFC Life while HDFC Life will get the clientele of Exide Life Insurance for its future business. Advising Exide Industries share holders to hold the counter for further gains; Mudit Goel, Senior Research Analyst at SMC Global Securities said, ""One needs to avoid fresh buying at current levels but those who hold the counter should maintain their position with trailing stop loss at ₹184 per equity share. The stock may soon go up to ₹207."" He said that once the stock manages to break this ₹207 hurdle, it will become highly bullish and then fresh buying can be initiated. Exide Industries management informed about its 100 per cent equity sale in Exide Insurance to the Indian exchanges. The BSE informed about the communication citing, ""This is to inform that Board of Directors of Exide Industries Limited (Company) at its meeting held today, has considered and subject to the approval of its shareholders, approved the divestment of the Company's entire equity shareholding in Exide Life Insurance Company Limited, a material wholly owned subsidiary of the Company, by way of sale to HDFC Life Insurance Company Limited."" Disclaimer: The views and recommendations made above are those of individual analysts or broking companies, and not of Mint."
Updated: 12 Aug 2021,Max Life’s Q1 metrics mixed but outlook keeps investors hooked,https://www.livemint.com/market/mark-to-market/max-life-s-q1-metrics-mixed-but-outlook-keeps-investors-interested-11628746820636.html,"Shares of Max Financial Services Ltd have been on an upswing since April and have outperformed peers, such as HDFC Life Insurance Co. Ltd, and even the broad Nifty50 index. The June-quarter metrics of its subsidiary, Max Life Insurance, were mixed, but the outlook provided by the management seems to offer succour to investors. Max Life Insurance reported a 32% year-on-year (y-o-y) increase in business based on annualized premium equivalent (APE) as its partnership with Axis Bank ensured an increase in product sales. Axis Bank branches contributed 63% of the total business during the quarter, even as proprietary distribution channel suffered due to the regional lockdowns triggered by the second wave of covid-19. Indeed, the effect of the restrictions was visible on business growth, too. Max Life’s APE showed a 54% sequential drop, a fallout of the second wave and seasonality. Nevertheless, the life insurer managed to maintain the market share it had gained in the March quarter at 11%. The management has indicated that a surge in sales through online channels, focus on annuities and robust growth in individual protection plans should help growth. “Considering a gradual shift towards a more profitable product mix and relatively comfortable valuations, we continue to like Max Life,"" analysts at Emkay Global Financial Services Ltd said in a note. Another impact of the second wave was on the surge in claims, which were 1.3 times last year’s peak during the pandemic. The life insurer paid out a total of ₹236 crore as claims, which were four times the covid claims of FY21, said analysts at Jefferies India Pvt. Ltd. But all life insurers have seen a surge in claims and Max Life is not an outlier. Moreover, the insurer has a reserve provision that adequately covers the rise in claims. While higher claims were offset by reserves, Max Life’s value of new business (VNB) growth missed market expectations. An increase in costs and change in product mix was behind this. VNB margin, too, slipped sequentially to 19.7%. The company management has sounded optimistic on margins, going ahead, and believes business growth will bounce back. Needless to say, Axis Bank continues to drive growth for the company. “We estimate a 21% APE CAGR (compound annual growth rate) over FY21-23, with the VNB margin remaining stable at 26% in FY23,"" analysts at Motilal Oswal Financial Services Ltd said. With 25% gains since April, Max shares trade at roughly three times estimated embedded value for FY22. This is similar to peer HDFC Life Insurance, but higher than SBI Life Insurance Co. Ltd, the largest private sector life insurer in the country."
Updated: 21 Jul 2021,Covid's toll begins to show on HDFC Life books,https://www.livemint.com/market/mark-to-market/hdfc-life-sees-valuation-under-pressure-as-claims-surge-in-q1-11626755866914.html,"HDFC Life Insurance Company Ltd’s June quarter (Q1FY22) showed the flip side of the pandemic on an insurance firm’s performance. A surge in claims prompted it to set aside more reserves towards them. The private sector life insurer paid off 70,000 claims in Q1 totalling ₹1,598 crore on a gross basis, and said that peak mortality claims were 3-4 times that of the corresponding quarter last year. It anticipates claims to stay elevated in Q2 and Q3 too with the threat of a third wave. Therefore, HDFC Life has set aside ₹700 crore as an excess mortality reserve towards these anticipated claims. Its peer ICICI Prudential Life Insurance Company Ltd reported net claims of ₹500 crore, less than the ₹956 crore of HDFC Life.    "
Updated: 23 Jun 2021,HDFC Life declares a bonus of ₹2180 crore. Eligibility and other details here,https://www.livemint.com/insurance/news/hdfc-life-declares-a-bonus-of-rs-2180-crore-eligibility-and-other-details-here-11624428925670.html,"Mumbai: HDFC Life, one of India’s leading life insurers announced the bonus on its participating plans. The eligible ‘participating’ policyholders will get a share of the surplus generated in the participating fund and their benefit amount will increase with the declaration of bonuses every year. The bonus of ₹2180 crore was announced in the Company’s Board meeting held in April 2021. It exceeds the previous year’s bonus by 44 per cent. 15.49 lakh policyholders are eligible for this bonus. Out of the total amount of ₹2180 cr, Rs1,438 cr will be payable to policies in this financial year, as a bonus on maturing policies or as cash bonuses. The remaining bonus amount would be payable in the future when policies exit on maturity/death/surrender. Vibha Padalkar, MD & CEO, HDFC Life, said “We are happy to declare the bonus for our policyholders. We thank our policyholders for reposing their trust in HDFC Life and we stay committed to our promise of delivering the best in terms of products and services."" HDFC Life Insurance Company Limited is a listed life insurance entity promoted by HDFC Ltd., India’s leading housing finance institution and Standard Life Aberdeen, a global investment company. Established in 2000, HDFC Life is a leading long-term life insurance solutions provider in India, offering a range of individual and group insurance solutions that meet various customer needs such as protection, pension, savings, investment, annuity and health."
Updated: 26 May 2021,ICICI Prulife’s steady climb in valuations may sustain on growth efforts,https://www.livemint.com/market/mark-to-market/icici-prulife-s-steady-climb-in-valuations-may-sustain-on-growth-efforts-11622010595264.html,"MUMBAI: Investors of ICICI Prudential Life Insurance Ltd have had a lot to cheer for over the past few months and gains in the company's shares reflect this. As such, analysts have noted the modest valuations and held to their buy ratings on the stock. The insurance company added 110 new partners in the March quarter to boost business growth. Analysts at Jefferies India Pvt Ltd point out that the company may benefit immensely from its bancassurance partners. But there is another, albeit smaller, push that could benefit ICICI Prulife’s growth. Its banking partners have also grown their deposit base sharply. In fact, deposit growth for banks have been faster in the March quarter. With deposits coming in droves, banks have begun to cut deposit rates. Jefferies points out that this may redirect funds into traditional insurance plans. “Even as the cut in deposit rates primarily reflects the strengthening of their deposit franchise, we believe that it will have a positive rub-off for cross-sell of financial products, especially where returns are guaranteed (like non-par products and annuities) as well as other traditional products like PAR,"" said a note from the brokerage. ICICI Prulife’s bancassurance partners too have announced deposit rate cuts. Considering that they hawk the life insurer’s products, the drop in their deposit rates and the availability of insurance plans on the counter could direct flows into these plans easily. “We understand that these platforms collectively had originated about Rs6-7 billion ( ₹600-700 crore) of annualised new premiums over past year and targets would be to double this in the next 3 years or so, with ICICI Pru Life being a key beneficiary,"" the Jefferies note points out. The bancasurrance channel contributed 42% of the insurer’s annualised premium equivalent (APE) in FY21 and remains the strongest distribution channel. ICICI Prulife has had a tough two years when the company saw its business growth plummet. The pandemic had increased challenges with APE showing a contraction of 12% in FY21. However, the company’s efforts to regain growth has have been appreciated by investors. The fact that its shares trade at a far lower valuation multiple compared with its peers HDFC Life Insurance Company Ltd and SBI Life Insurance Company Ltd also works in its favour. The stock trades at a multiple of 2.3 times its estimated embedded value for FY22, cheaper than the multiple of 4.3 for HDFC Life and 2.5 for SBI Life."
Updated: 15 May 2021,"For life insurers, taming of second wave is key to growth",https://www.livemint.com/market/mark-to-market/beyond-base-effect-life-insurers-may-see-a-modest-fy22-11620709526412.html,"MUMBAI : Investors of India’s life insurance companies will need to look beyond the optically-pleasing growth metrics expected in FY22 to figure out the true performance of insurers. The first step towards this is to ignore the growth rates for April. Latest business data from the sector regulator shows that private life insurers saw their new business premium surge 90% year-on-year (y-o-y) in April while the largest, Life Insurance Corporation of India (LIC), witnessed a 74% increase. But these high percentages are solely due to a low base as April and May last year saw a strict nationwide lockdown due to the pandemic. Growth metrics for the next few months also may reflect such a statistical low base effect. According to analysts, a better way to judge the performance of insurers is to look at a two-year compounded annual growth rate (CAGR). On a two-year CAGR basis, private life insurers reported 6.2% growth in new business premium, while LIC saw a contraction of 4.7%, point out analysts at Nomura Financial Advisory and Securities (India) Pvt. Ltd in a note. Among private life insurers, HDFC Life Insurance Company Ltd trumped peers with a stellar 18% growth, while SBI Life Insurance Company Ltd maintained momentum, they added.       "
Updated: 19 Oct 2020,"Sensex, Nifty end higher buoyed by gains in banks, financials, FMCG stocks",https://www.livemint.com/market/stock-market-news/live-blog-sensex-nifty-live-today-19-10-2020-nifty-nse-bse-news-updates-11603074051678.html,"Welcome to the Mint live blog. Track this space for latest stock market updates.  Indian equities ended higher for the second day in a row, led by gains in banks, financials, FMCG and metal stocks. At close, the Sensex was up 448.62 points or 1.12% at 40431.60, while the Nifty climbed 110.50 points or 0.94% to end at 11873. About 1,470 shares advanced, 1150 declined, and 148 were unchanged. ICICI Bank, Axis Bank, Nestle, SBI and GAIL were among the top gainers on the Nifty, while Divis Labs, Eicher Motors, Hero MotoCorp, Cipla and Bajaj Auto dragged. Pharma, IT, media, and auto stocks were, however, under pressure. HDFC Bank, Reliance Industries, Infosys, HCL Technologies and Bajaj Finance were the most traded on the BSE. BSE Midcap and Smallcap indices rose 0.5% each.   After opening with a gap, the Nifty did not do much thereafter. We moved in a 50-70 point range. We need to get past 12050 in order to witness a serious up move. The support lies at 11650. HDFC Limited, Kotak Mahindra Bank and Hindalco are interesting buy ideas traders can work with.   Equitas Small Finance Bank IPO is set to open on Tuesday and aims to raise ₹518 crore. Interestingly, the IPO was expected to be around ₹1,000 crore which was to be completed before September 2019 end as per RBI directives. Due to some technical issues, it could not get through Sebi nod, and hence it was rescheduled for March 2020. However, the Covid-19 derailed those plans again and now finally it is tapping the markets. 25% of the book comes from the highly risky microfinance sector. Considering the rise in NPA across the whole industry due to the fallout of Covid-19, we advise investors to be careful. The true picture of the loans will only be known by March 2021 and until then we advise to stick only to the strongly capitalized lenders. A few well-diversified banks are available below the book value and therefore it makes little to no sense to look at a smaller riskier lender. Therefore we have a avoid on the IPO.   Prime Minister Narendra Modi on Monday said necessary changes are being made in every sector to ensure growth and to make this decade India's, the Press Trust of India reported. He also said that efforts are being made at all levels to make the country a global hub for higher education and its youth competitive.   The Indian government has asked at least eight state-run companies to consider share buybacks in the financial year that runs through March 2021, two government officials said, as it scours for ways to raise funds to rein in its fiscal deficit. Those asked include miner Coal India, power utility NTPC, minerals producer NMDC and Engineers India Ltd, said one of the sources, who sought anonymity as the discussions are private.   Bank of Maharashtra reported a 13.4% year-on-year rise in its September quarter net profit to ₹130.1 crore. Net interest income was up 4.4% at ₹1,120.4 crore. Gross NPAs was at 8.81% against 10.93% in the previous quarter while net NPAs came at 3.3% against 4.1%.    The combined CAPEX target for FY 2020-21 for these 14 CPSEs is ₹1,15,934 crore, the ministry tweeted. Minister Sitharaman emphasised on close monitoring of performance of CPSEs to ensure that the CAPEX to the tune of 75% of capital outlay is made by the end of the Q3 of 2020-21.   Edelweiss Alternative Asset Advisors (EAAA), part of Edelweiss Asset Management (EAM), on Monday said it has achieved the final close of its $900 million ( ₹6,600 crore) alternative investment fund - ESOF III. The third in the Special Opportunities Series, ESOF III was launched with an investment mandate centered around performing credit space with a focus on providing structured credit to Indian companies, the company said in a statement.   Steel Strips Wheels gets export orders of nearly 5,500 wheels for US truck trailer market. Orders will be executed in November from Chennai unit.   ""...A close below 11600 would apply brakes on the recent optimism and we may then see some extended correction in the market. Till then there is no reason to worry as we may see markets resuming the strength beyond 11850-11900 to surpass the 12000 mark convincingly. In the week gone by, we witnessed some sectoral shift in the market in the second half. The recent outperforming IT space had seen some decent profit booking along with Reliance; whereas on the other side, the banking which was considered to be a laggard has shown some serious strength to support the market. Hence going ahead, if Nifty has to resume the uptrend, the banking clearly plays a vital role in this. Apart from this, Midcaps are yet to perform and hence, the breakout in this index should bring back some excitement in the traders’ fraternity.""   Oil prices fell on Monday after China's third-quarter economic growth missed analysts' forecast, underscoring concerns that surging coronavirus cases globally are impacting demand in the world's largest oil importer. The world's second-largest economy in the third quarter expanded by 4.9% from a year earlier, government data showed. Brent crude for December slipped 15 cents, or 0.4%, to $42.78 a barrel while U.S. West Texas Intermediate crude for November was at $40.70 a barrel, down 18 cents. The contract will expire on Tuesday.   ""HDFC Bank reported an overall good set of numbers. Advance grew by 16% YoY and 3% QoQ, Retail book grew YoY / QoQ by 5% / 2 %...the bank provided Rs2300cr on unrecognized NPAs, including Rs1170cr additional contingent provisions to shore up Covid-19-related provisioning. The bank does not expect much restructuring. The asset quality of the NBFC subsidiary, HDB Fin Services, remains above the historical average, with the GNPA ratio rising to 4.5% (vs. 3.4% in Q2FY20). Currently, HDFC Bank is trading at 3.15x of FY22 ABV, which is lower compared to the historical average. We have a positive view on HDFC bank considering, reporting superior return ratio across the cycle and healthy provision coverage provide comfort on asset quality concern.""   Adani Enterprises, BHEL, Canara Bank, Escorts, Indiabulls Housing Finance, Vodafone Idea, Jindal Steel & Power, Punjab National Bank, PVR, SAIL and Tata Motors are under F&O ban for October 19. Securities in the ban period under the F&O segment include companies in which the security has crossed 95 percent of the market-wide position limit.   Adani Group and Piramal Enterprises are among four entities that have placed bids for DHFL, the first financial services player undergoing insolvency process, Press Trust of India reported citing sources. US-based Oaktree and Hong Kong-based SC Lowy also submitted bids for DHFL on 17 October - the deadline for bid submission.   Zydus Cadila has received tentative approval from the US FDA to market Tofacitinib extended-release tablets, 11 mg (US RLD: Xeljanz XR® Tablets), the company said in a filing to the exchanges. It is recommended for once-daily treatment of adult patients with moderately to severely active ulcerative colitis (UC). The drug will be manufactured at the group’s formulation manufacturing facility at the SEZ, Ahmedabad. It has 308 approvals and has so far filed over 390 ANDAs since the commencement of the filing process in FY 2003-04.   Shares of HDFC Bank were higher on Monday following strong September quarter results. The country's largest private lender reported an 18.4% year-on-year (YoY) growth in its net profit to ₹7,513.1 crore on substantial growth in interest earnings and other income. Net interest income (NII) rose 16.7% YoY to ₹15,774.4 crore. Emkay Global has raises its target price on the stock to ₹1,500 apiece and retained its BUY rating. JP Morgan has retained its Overweight rating and increased target price to ₹1,460 per share.   The U.S. government is embarking on a push to persuade developing countries to shun Chinese telecommunications equipment, offering financial assistance to use alternatives that Washington says are safer and have fewer strings attached. The U.S. is ready to offer loans and other financing, potentially worth billions of dollars in total, to countries to buy hardware from suppliers in democratic countries rather than from China, said Bonnie Glick, the deputy administrator at the U.S. Agency for International Development, which is spearheading the effort.   The index has a good support at 11650 and until we do not break that, we are in positive territory. The resistance on the upside is at 12050. If we are unable to move past either levels convincingly, we would be range bound and trading in this zone should be avoided. Stocks that look interesting for an up move include Axis Bank, HDFC Bank and Tata Steel.   Glenmark Pharmaceuticals Inc., USA, has received final approval by the US FDA for Sirolimus Tablets, 0.5 mg, 1 mg and 2 mg, the generic version of Rapamune 1 Tablets, 0.5 mg, 1 mg and 2 mg, of PF Prism CV.   The committee of creditors of Jet Airways has approved a revival plan for the airline submitted by a consortium consisting of Kalrock Capital and Murari Lal Jalan. However, there are still several uncertainties regarding the revival of Jet Airways, which was once India’s largest private airline. For starters, the slots owned by the airline at key airports, both domestic and international, have been redistributed to other airlines, which may resort to arbitration instead of letting go of the assets.   DLF Cyber City Developers Ltd (DCCDL), the rental arm of India’s largest real estate firm DLF Ltd, on Sunday said it has raised ₹2,400 crore from State Bank of India (SBI), in one of the largest lease rental discounting (LRD) deals in recent times. The debt transaction, at an interest rate of 7.35% for 15 years with a structured repayment schedule, enables DLF to reduce the cost of its debt, at a time banks are wary of financing real estate developers.   Russian Direct Investment Fund (RDIF) has signed a pact with Delhi-based pharmaceutical company Mankind Pharma for marketing and distribution of its Sputnik V vaccine, two sources in the know of the matter said. The pact with Mankind Pharma is expected to supplement the one with Dr Reddy’s Laboratories, but unlike Dr Reddy’s, Mankind will not be conducting the clinical trials. Last month, Dr Reddy’s and RDIF, Russia’s sovereign wealth fund, had entered into a partnership to conduct clinical trials of Sputnik V vaccine and its distribution in India   India's petrol sales rose in October for the first time since the nation imposed COVID-19 restrictions in late March, preliminary data shows, signalling a pick-up in industrial activity ahead of key festivals, Reuters reported. Diesel sales by the country's three state fuel retailers rose 8.8% year on year in the first half of October, according to provisional data compiled by Indian Oil Corp , the country's biggest refiner and fuel retailer. Petrol sales rose 1.5% year on year to 982,000 tonnes in the first half of October, up 1.45% from the same period last month, the data showed.   Brent crude for December inched up 4 cents to $42.97 a barrel and U.S. West Texas Intermediate crude was at $40.90 a barrel, up 2 cents, a day before the November contract expires.   Kerala Chief Minister Pinarayi Vijayan has written to Union Finance Minister Nirmala Sitharaman urging that the Centre should instead borrow ₹1.83 trillion. More states are expected to write to Sitharaman on Monday, the Business Standard reported. Jharkhand has rejected the Centre’s proposal of borrowing partial GST shortfall of ₹1.1 trillion and lending to states.   China's gross domestic product (GDP) grew 4.9% in July-September from a year earlier, but slower than the median forecast of 5.2%.   Shares of Reliance Industries Ltd, HDFC Bank, IndusInd Bank, Maruti Suzuki may be in focus today. Britannia Industries, HDFC Life Insurance Company, L&T Technology, ACC, Century Textiles, among others, will declare their September quarter results on Monday   Trends on SGX Nifty indicate a positive opening for the index in Indian equity indices with a 0.5% rise at 11,827.50 points. On Friday, the Sensex ended 254 points higher but just below 40,000 and Nifty ended at 11,762 in a choppy market.   Asian markets were higher on Monday, buoyed by hopes of a US fiscal package before the presidential elections next month and expectations of a coronavirus vaccine by the end of this year, though the mood was still cautious as infections jump, Reuters reported. MSCI's broadest index of Asia-Pacific shares outside Japan added 0.26% for its second straight day of gains. Japan's Nikkei climbed about 1% while South Korea's KOSPI and Australian shares were up 0.7% each.   US stocks ended the week on a mixed note on Friday as optimism over positive economic data was tempered by soaring US deficit and the growing realisation a new stimulus package is unlikely anytime soon, AFP reported. Better-than-expected retail sales data and consumer confidence showed Americans remain willing to spend -- for now -- and shares were boosted by positive news about Boeing's 737 MAX and drugmaker Pfizer. The benchmark Dow Jones Industrial Average gained 0.4% to finish at 28,606.31, while the broad-based S&P 500 was essentially flat, rising just 0.1% to end at 3,483.81. Led by declines inAmazon, Apple and Netflix, the tech-heavy Nasdaq fell 0.4% to close at 11,671.55.  "
Updated: 19 Oct 2020,"Stocks to Watch: RIL, HDFC Bank, IndusInd Bank, Maruti",https://www.livemint.com/market/stock-market-news/stocks-to-watch-ril-hdfc-bank-indusind-bank-maruti-11603071437544.html,"NEW DELHI: Here is the list of top 10 stocks that may be in focus on Monday: Reliance Industries Ltd: The conglomerate's telecom subsidiary Reliance Jio plans to launch a 5G smartphone for less than ₹5,000 and gradually reduce the price to ₹2,500-3,000 a unit when it scales up operation.IndusInd Bank: The Reserve Bank of India has slapped a fine of ₹4.50 crore for violation of certain rules. Violations are related to provisions of directions issued by RBI on ‘Exposure Norms’, ‘Prudential Norms on Income Recognition, Asset Classification and Provisioning pertaining to Advances’, among others, the lender said in a notification. Maruti Suzuki: The country's largest carmaker Maruti Suzuki India has announced special offers for government employees with benefits up to ₹11,000 over and above the ongoing festival consumer offers across its models, the Press Trust of India reported. HDFC Bank: Reported an a 18.4% year-on-year rise in net profit to ₹7,513 crore for the September quarter due to rise in total income and lower tax outgo. Net interest income—difference between interest earned and interested expended—grew 16.7% to ₹15,776.4 crore. Telcos: Reliance Jio gained 2.5 million active subscribers in July, reversing the decline seen in the previous month, while rivals Airtel and Vodafone Idea lost 0.4 million and 3.8 million active users respectively, as per latest reports based on Trai data. Jet Airways: The Committee of Creditors of the grounded airline has approved the revival plan submitted by UK-based Kalrock Capital and UAE-based entrepreneur Murari Lal Jalan to revive and operate the airline over a year after the carrier had to suspend operations due to acute fund crunch. DHFL: Adani Group and Piramal Enterprises are among four entities that have placed bids for DHFL, the first financial services player undergoing insolvency process, Press Trust of India reported citing sources. US-based Oaktree and Hong Kong-based SC Lowy also submitted bids for DHFL on 17 October - the deadline for bid submission. Avenue Supermarts: Has shut two outlets in the Mumbai region, one at Mira Road and the other at Kalyan, as it seeks to ramp up its e-commerce operations. The stores have been converted into online fulfillment centres, the company said which runs the DMart chain of stores said. Mahindra Group: Brookfield, Canada Pension Plan Investment Board (CPPIB), National Investment and Infrastructure Fund (NIIF) and Edelweiss Yield Plus Infrastructure Fund are among half a dozen investors in discussions to acquire nearly 600 megawatts (MW) of solar assets from Mahindra group’s renewable energy business, Mahindra Susten. NBFCs: Signs of a recovery for India’s troubled shadow banks have taken a step backward as concerns reemerged about the true impact of the pandemic on the lenders. Average spreads on the lenders’ AAA rated five-year bonds rose for the first time in four months in September. Of three other gauges tracking shadow bank sector health compiled by Bloomberg, two including banking system liquidity and outstanding debt weakened, while share performance index stayed put."
Updated: 10 Sep 2020,Investors choose HDFC Life over peers but valuations cause worry,https://www.livemint.com/market/mark-to-market/why-investors-seem-to-prefer-hdfc-life-among-life-insurers-11599734518910.html,"Shares of HDFC Life Insurance Ltd have recovered smartly since the lockdown was lifted, and are now only 5% lower compared to the pre-covid highs. This compares with a 15-16% drop in shares of other private life insurers such as SBI Life Insurance Co. Ltd and ICICI Prudential Life Insurance Ltd. What is behind the warmth of investors towards HDFC Life Insurance? To begin with, the private sector life insurer was on a strong footing even before the covid-19 pandemic hit in late March. The company’s FY20 performance was superior to its peers. Profitability indicators, such as value of new business growth and value of new business margin, trumped competitors consistently. For instance, HDFC Life’s value of new business margin was 25.9% for FY20 as against 18.7% for SBI Life and 21.7% for ICICI Prudential Life. Performance for the June quarter showed the impact of the lockdown. But HDFC Life managed to keep profitability metrics from eroding too much. Despite a 33% contraction in new business premium, the insurer kept its margins at 24.1%. Peers ICICI Prudential Life and SBI Life saw a sharper contraction in new business. To be sure, data from the sector regulator shows that HDFC Life has fared far better than peers in recovering from the pandemic’s blow.  The bounce back in new business premium in July and August has resulted in narrowing the decline in business for HDFC Life. On an annualized premium equivalent (APE) basis, the contraction in HDFC Life’s business was just 5% for the first five months of FY21. For SBI Life, the contraction was 19% and ICICI Prudential Life Insurance saw a decline of 40%. While it may seem to justify the valuations, some analysts said the shares may have turned pricey. Edelweiss Securities has kept its rating of reduce on the stock. “Valuations at 4.4 times price to embedded value for FY22 are due to a legacy of higher margin/growth compared to competition, along with brand benefits,"" wrote Edelweiss analysts in a note. A big concern for analysts is the potential moderation in the protection business, which has been a large contributor to margins for HDFC Life. Kotak Institutional Equities has said the increase in ratio of sum-assured to premium payout and the rise in average ticket size indicate that growth in simple term plans may be moderating, relative to that of other traditional products. This is a trend observed for most private sector insurers, but HDFC Life has been at the forefront of pushing protection plans. Besides, even those protection plans bundled with loans may see weak demand, analysts added. Since the protection plans are margin-friendly, this could weigh on them. Nevertheless, HDFC Life’s sustained recovery is its best ally in keeping investors interested. So far, the insurer has given little reason to doubt its revival trajectory."
