article_time,article_title,article_link,article_content
Updated: 08 Jul 2022,Automakers earnings still stuck in the slow lane,https://www.livemint.com/market/mark-to-market/dull-q1-for-autos-road-ahead-better-11657215939492.html,"The June quarter (Q1FY23) would be the first normal one after two years for Indian automakers. But, this does not mean that investors can expect companies to report stellar earnings for the quarter. Higher cost of commodities such as steel, aluminium and precious metals are likely to compress margins. Price hikes by companies can partly offset this. Kotak Institutional Equities expects Q1 gross margins of most automakers to drop by 50-80 basis points (bps) sequentially. One basis point is 0.01%.           "
Updated: 01 Jul 2022,Hero MotoCorp sales jump over 3% to 4.85 lakh units in June,https://www.livemint.com/companies/news/hero-motocorp-sales-jump-over-3-to-4-85-lakh-units-in-june-11656690907426.html,"Two-wheeler giant, Hero MotoCorp registered a 3.35% growth in sales to 4,84,867 units in June 2022 compared to the sales of 4,69,160 units in the same month last year. Sales of motorcycles boosted the performance in June. As per the regulatory filing data, Hero MotoCorp's total domestic sales climbed to 4,63,210 units in June 2022 compared to 4,38,514 units in June last year. However, exports declined to 21,657 units in the month under review against 30,646 units in June 2021. In terms of segment, sales of motorcycles advanced to 4,61,421 units in June 2022 against 4,41,536 units last year same month. A total of 23,446 scooters were sold in June 2022 - down from 27,624 units in June last year. In the first quarter of FY23 (April - June 2022), Hero MotoCorp sold 13.90 lakh units - registering a 17% growth from the previous quarter (January - March 2022) where sales stood at 11.89 lakh units. Meanwhile, in Q1FY23, sales witnessed robust double-digit growth of 35.7% over the corresponding quarter of the previous fiscal (FY22), when the company had sold 10.25 lakh units. ""The growth in volumes indicates the continuously improving consumer sentiment and the company expects the positive trend to continue in the coming months, on the back of a decent monsoon, and encouraging farm activity,"" Hero MotoCorp said in its filing. Strengthening its global business operations, Hero MotoCorp recently introduced Euro-5 compliant variants of three new products – the XPulse 200 4V motorcycle and Dash 110 and Dash 125 scooters in Turkiye. In June, Hero MotoCorp introduced the new Passion ‘XTec’. The motorcycle is packed with features such as the First-in-Segment Projector LED Headlamp, Full-Digital Instrument Cluster with Bluetooth Connectivity, SMS and Call Alerts, Real-Time Mileage Indicator, Low-Fuel Indicator, Side-Stand Engine Cut-Off, and Service Reminder. Also, the company launched a new community-riding platform, XCLAN expanding the motorcycling culture in the country. Further, the Automotive Component Manufacturers Association of India (ACMA), the apex body of the Indian auto component industry, and Hero MotoCorp, kicked off a one-of-its-kind EV Technology Expo in Jaipur during the month. On BSE, Hero MotoCorp shares closed at ₹2,759.90 apiece up by 1.48%."
Updated: 01 Jul 2022,Hero MotoCorp to raise prices of two wheelers from today. Check details here,https://www.livemint.com/news/india/hero-motocorp-to-raise-prices-of-two-wheelers-from-today-check-details-here-11656650740044.html,"Hero MotoCorp has announced that it will increase the prices of its motorcycles and scooter from today, July 1, 2022. The company, it its regulatory filing on June 23, notified that it will raise the prices of its motorcycles and scooter by up to ₹3,000 across the entire range from 1 July, 2022 onwards. Hero MotoCorp said in a statement, “Hero MotoCorp will make an upward revision in the ex-showroom prices of its motorcycles and scooters, with effect from July 1, 2022. The price revision will be up to Rs. 3000."" Additionally, the company said that the exact quantum of increase will be subject to the specific model and market.  The price hike has been attributed to the increased production cost due to the higher raw material prices. ""The price revision will be up to Rs. 3000. The exact quantum of increase will be subject to the specific model and market. The price revision has been necessitated to partially offset the steadily growing overall cost inflation, including commodity prices,"" as per the company statement. Meanwhile, earlier this week, the two-wheeler market leader Hero MotoCorp announced the launch of its new Passion 'XTec' motorcycle with prices starting at ₹74,590 (ex-showroom Delhi). The bike is powered by a 110cc engine with a power output of 9 BHP and has features like Bluetooth connectivity, SMS and call alerts, real-time mileage indicator, low-fuel indicator, side-stand engine cut-off and service reminder, Hero MotoCorp said in a statement.  It is available in two options with the drum brake variant priced at ₹74,590 and the disc brake variant tagged at ₹78,990 (ex-showroom Delhi), it added. Hero MotoCorp Head of Strategy and Global Product Planning Malo Le Masson said the company's range of 'XTec' products, such as the Splendor XTec, Glamour 125 XTec, Pleasure 110 XTec and Destini 125 XTec have ""received an overwhelming response from customers and we expect the Passion XTec to continue this trend.""  Stating that the Hero Passion brand enjoys massive customer trust for over a decade, Hero MotoCorp Chief Growth Officer Ranjivjit Singh said, ""We are certain that the Passion XTec will enable us to further consolidate our leadership in the country's motorcycle segment."""
Updated: 24 Jun 2022,"Stocks to Watch: ONGC, Hero MotoCorp, J&K Bank",https://www.livemint.com/market/stock-market-news/stocks-to-watch-ongc-hero-motocorp-j-k-bank-11656035553890.html,"Here is the list of the top 10 stocks that are likely to be in focus on Friday: ONGC: ONGC Videsh Ltd, the overseas investment arm of state-owned Oil and Natural Gas Corporation (ONGC), has made an oil discovery in a block in Colombia, the company said on Thursday. Hero MotoCorp: India's largest two-wheeler maker Hero MotoCorp on Thursday said it will increase the prices of its motorcycles and scooters by up to ₹3,000 per unit across the entire range effective from July 1. Jammu & Kashmir Bank: The bank's board will meet on 28 June to consider fundraising. Dish TV: A division bench of the Bombay High Court on Thursday dismissed the petition filed by Dish TV's promoter group firm, seeking to restrain Yes Bank from voting at the DTH operator's extraordinary general meeting. Tata Motors: The government has ordered an independent enquiry into a Nexon electric vehicle catching fire in Mumbai, a senior Road Transport and Highways ministry official said on Thursday. Tata Motors said it is also investigating the incident of its Nexon EV catching fire in Mumbai. Century Plyboards: The firm made an investment of ₹20.95 crore in its subsidiary Century Panels. Dalmia Bharat: Shares of cement companies have been beaten down because of escalated costs pressures and inadequate price increases. The shares of Dalmia Bharat Ltd are not an exception with the stock falling 32% so far in CY22. The underperforming trend in the shares could persist because of looming near-term margin challenges. Suyog Telematics: Nariman Investment Holdings offloaded over 4 lakh equity shares in Suyog Telematics through open market transactions. Ashiana Housing: Realty firm Ashiana Housing will invest around ₹350 crore over the next five years to develop a housing project in Pune as part of its expansion plan. The company has tied up with Pune-based Lohia Jain Group, which owns 11.33 acre land in Hinjewadi region. Thermax: Energy and environment solutions firm Thermax bought two firms in the renewable energy sector in India."
Updated: 23 Jun 2022,"Hero MotoCorp to raise two-wheelers' prices by up to ₹3,000 from 1 July",https://www.livemint.com/news/india/hero-motocorp-to-raise-two-wheelers-prices-by-up-to-rs-3-000-from-1-july-11655982916623.html,"Hero MotoCorp on 23 June announced that it will raise the prices of its motorcycles and scooter by up to ₹3,000 across the entire range from 1 July, 2022 onwards. Though the exact quantum of the price hike will depend on the basis of the particular model, the firm said in a stock regulatory filing.  The price hike has been attributed to the increased production cost due to the higher raw material prices. ""The price revision will be up to Rs. 3000. The exact quantum of increase will be subject to the specific model and market. The price revision has been necessitated to partially offset the steadily growing overall cost inflation, including commodity prices,"" the company statement said. ALSO READ: Honda hikes prices of these car models by up to ₹20,000. Check latest rates The two-wheeler major is not the only firm to have announced price hike. In April, country's largest car manufacturing firm Maruti Suzuki announced that it would increase prices during the month to offset the rising in input costs. Owing to constant increase in input costs largely driven by pricier commodities, the carmaker already hiked vehicle prices by around 8.8 percent between January 2021 and March 2022. But in April, it on an average increased cars' prices by 1.3 percent of all its models. Maruti Suzuki aims to sell 4-6 lakh CNG units in the current fiscal year depending upon supply situation of essential components. Also, several other carmakers too announced to have a raise citing similar issue related with high input costs. Likewise, Honda Cars India has raised the prices of its certain flagship models such as Honda City, Honda Amaze, and Honda WR-V by around ₹11,900 to ₹20,000 across all three models and their variants currently on offer.  "
Updated: 22 Jun 2022,"Stocks to Watch: HDFC Bank, YES Bank, Hero MotoCorp, Greenlam Industries",https://www.livemint.com/market/stock-market-news/stocks-to-watch-hdfc-bank-yes-bank-hero-motocorp-greenlam-industries-11655861672665.html,"Here is the list of the top 10 stocks that are likely to be in focus on Wednesday: HDFC Bank: HDFC Bank proposes to double its network of branches in the next three to five years by adding 1,500 to 2,000 branches annually, which would akin to adding a new HDFC Bank every five years, said its managing director and CEO Sashidhar Jagdishan. HDFC Life: HDFC Life has declared its highest ever bonus on its participating plans. The bonus of ₹2465 cr. was announced in the Company's Board meeting held in April 2022. 5.87 lakh policyholders are eligible for this bonus. Ansal Properties & Infrastructure: The Central Pollution Control Board has imposed a fine of ₹100 crore on real estate conglomerate Ansal Properties and Infrastructure Limited for violating several environmental laws at a residential project in Gurugram. Hero MotoCorp: Two-wheeler maker Hero MotoCorp has further strengthened its operations in Turkiye with the launch of Euro-5 compliant variants of its three vehicles in the country, the company said on Tuesday. Yes Bank: Private sector lender Yes Bank on Tuesday announced the appointment of Dheeraj Sanghi as its country head of branch banking. Coal India: Adani Enterprises and 10 other companies including offshore firms have expressed interest in bidding for coal import tenders floated by Coal India Limited, the public sector minor said on Tuesday. Greenlam Industries: The firm completed a share subscription agreement with Smiti Holding and Trading company for allotment of 63.1 lakh equity shares. Astral: The company subscribed Optionally Convertable Debentures of ₹194 crore allotted by Gem Paints. It also appointed directors on the boards of Gem Paints and Esha Paints. Filatex India: The credit rating on the firm's long-term bank facilities was changed to 'A+' from A, with a stable outlook by CARE. Jain Irrigation: Jain Irrigation Systems Ltd on Tuesday said its global irrigation business will be merged with Temasek-owned Rivulis in a cash-and-stock deal, a move that will help the company reduce its consolidated debt by ₹2,700 crore or around 45 per cent."
Updated: 16 Jun 2022,E-scooter maker Ather Energy tests IPO waters,https://www.livemint.com/industry/manufacturing/escooter-maker-ather-energy-tests-ipo-waters-11655319105445.html,"  Mumbai: Bengaluru-based electric 2-wheeler maker Ather Energy has initiated discussions with investment banks, exploring the possibilities of going public in the near future, said two people aware of the development, speaking on the condition of anonymity. Ather is one of India’s leading electric two-wheeler companies, founded by Tarun Mehta and Swapnil Jain in 2013. “Ather has met a few of the major domestic and foreign investment banks in recent weeks to discuss the feasibility of an IPO. These are very preliminary talks and they are trying to understand what valuations they can expect if they were to go ahead with an IPO in the coming quarters, as early as end of the year, but most likely in the first half of next calendar year,"" said the first person cited above. “Since talks are at a very early stage it is possible that Aether may not go ahead with an IPO at this point of time, given the current market conditions. Tech stocks have taken a beating in the recent market corrections caused by rising interest rates in the US and other major economies and investors are not too excited about tech IPOs right now. But still, a few consumer focused brands such as Ather have started engaging with banks on their IPO plans,"" the first person added. A spokesperson for Ather said that the company has no plans for an IPO this year. Last month Ather raised $128 million in its Series E round of funding from National Investment and Infrastructure Fund Ltd’s Strategic Opportunities Fund and Hero MotoCorp, which is a significant shareholder of Ather, valuing the company a little shy of $1 billion. The company said that it will use the funding to expand manufacturing facilities, invest in research and development, charging infrastructure and to grow its retail network. “After a strong start to the year, the company registered the highest ever monthly sales in April 2022 delivering 3,779 units to customers. Booking orders for Ather Energy’s flagship product, the Ather 450X is growing at 25% quarter-on-quarter. Ather Energy already has a robust retail sales network across the country, with presence in 32 cities with 38 Experience Centres and aims to expand to 150 Experience Centres in 100 cities by 2023,"" the company said in a press statement announcing the fundraise. In an interaction with Mint, Mehta added that Ather will use this investment to scale up production capacity at its second manufacturing plant, which is expected to go on-stream in a “few months from now"", and have a production capacity of 35,000 units a month. Ather’s existing production facility has a monthly production of only 10,000 units a month, whereas demand for Ather’s scooters is already in excess of 10,000 scooters a month, Mehta told Mint. The electric 2-wheeler market is growing and evolving very fast with several competitors such as Ather, Ola Electric, Bajaj Auto, Revolt Motor, Hero Electric, TVS Motor, Okinawa and Ampere, besides several other small players. India’s largest 2-wheeler maker Hero MotoCorp also plans to enter the space later this year. “Given the competition in the space and evolving regulations, especially around batteries, following the recent spate of safety issues, any serious player in the electric 2-wheeler space will need deep pockets to invest in product development, especially the new age players who don’t have legacy pan-India distribution networks. Going public could help provide Ather access to large pools of capital that are focused on ESG and green investments,"" said the second person cited above."
Updated: 14 Jun 2022,"LIC raises stake in Hero MotoCorp, HUL, Capri Global",https://www.livemint.com/market/stock-market-news/lic-raises-stake-in-hero-motocorp-hul-capri-global-11655223032841.html,"Life Insurance Corp of India, one of the largest domestic institutional investors in the country, has increased its stake in Hindustan Unilever Ltd, Hero MotoCorp and non-banking finance company Capri Global Capital through open market purchases over the last few months, the state-owned LIC said in a regulatory filing on Tuesday. The life insurer's shareholding in Hero MotoCorp, which is a leading manufacturer of motorcycles and scooters, has increased from 1,83,10,233 to 2,24,91,571 equity shares, or from 9.163% to 11.256% of the paid-up capital of the firm, the corporation said. The change in holding was during the period from 4 January last year to 13 June this year, it said, adding the stocks were bought through open market purchases at an average cost of ₹3,050.14. In another filing, it said LIC's shareholding in Hindustan Unilever (HUL) has increased from 11,73,80,500 to 11,76,90,500 equity shares, aggregating to 5.008% of the paid-up capital of the firm. ""Holding (in Hindustan Unilever) increased from 4.995 per cent to 5.008 per cent as on 13th June 2022 at an average cost of ₹2206.93,"" the company's statement read. The FMCG major is into home care, beauty and personal care; and foods and refreshment segments. Besides, LIC's shareholding in Capri Global Capital has increased from 88,58,348 equity shares to 1,24,00,000 equity shares or from 5.043% to 7.059%. The holding increased during the period from 21 February to 10 June, through open market purchases at an average cost of ₹624.61, it said. Capri Global is an NBFC with presence across different segments like MSME, construction finance, affordable housing and indirect retail lending segments. LIC shares on Tuesday closed at ₹674.20 apiece on BSE, up by 0.9% from its previous close. Hero MotoCorp scrip ended 1.74% lower at ₹2552.50; HUL at ₹2172.25 apiece, down by 1.08%, while Capri Global scrip ended 0.48% down at ₹690.95."
Updated: 06 Jun 2022,"Electric 2-wheeler sales see dip, industry says temporary blip",https://www.livemint.com/auto-news/electric-2-wheeler-sales-see-dip-industry-says-temporary-blip-11654451798707.html,"Registration of electric two-wheelers declined 20% from April to 39,339 in May after a surge in month-on-month sales, according to vehicle registration data on the VAHAN portal. While industry experts said the fall in registrations in a growing market, especially with demand outstripping supply for most vehicle segments, points to muted sentiment, it may be temporary and will not last beyond June-July. Some experts said several factors, such as supply chain disruptions, and safety concerns over EV batteries and the build quality of existing products have forced manufacturers to reassess the standards of their products, following instances of two-wheelers catching fire. Besides, e-scooter companies are also cautious as the EV battery and safety standards are likely to be rolled out soon. “There is some apprehension in the buyers’ minds due to the numerous instances of quality issues and fires in EVs that have been reported recently. While this may not cause a lasting slowdown in demand, there has been a small dip as some customers are choosing to delay purchases, awaiting clarity from the government and OEMs in terms of adherence to the new battery safety rules"", Vinkesh Gulati, president, Federation of Automobile Dealers Associations of India, said in an interview. Hero Electric, which occupied pole position in electric two-wheeler sales till a few months ago, slid to the fifth spot in May, with 2,849 registrations. “April was a washout month for us. We could resume production only by 15 May. It took one-and-a-half month to tide over the supply chain issues we were facing. We uprooted and re-laid our production lines, and have now reached a capacity of 200,000 units. We will be back to being the top player in the market next month onwards,"" Sohinder Gill, chief executive, Hero Electric, said. “There was a small dip in walk-ins for the industry in the aftermath of the fire incidents, but all leading OEMs have waiting periods now and demand continues to be strong,"" Gill added. In May, leading OEMs, barring Ather Energy, Bajaj Auto and Revolt Motor, showed a decline in registrations. Ola Electric, which is one of the top two players in the electric two-wheeler market, saw registration fall 28%. TVS Motor registrations were down 69%, Hero Electric 57%, Okinawa 16% and Ampere 11%, according to the VAHAN data, compiled by Elara Capital. Electric vehicle penetration as part of total two-wheeler registrations in May stood at 3.2%, compared to 4.1% in April. “Company-wise outperformers and underperformers would vary based on which company is able to ramp up capacity,"" Jay Kale, senior vice president, Elara Capital, said. Hero MotoCorp, India’s largest two-wheeler manufacturer, announced last week that it was postponing plans to roll out its first electric two-wheeler, by a few months and it will hit the market during the festive season, citing a semi-conductor shortage. “E-two-wheeler volumes dipped month-on-month on absolute basis and contribution to two-wheeler volumes. It could be attributable to chip shortages resulting in supply constraints, and softening demand after a number of fire incidents. The government’s stand on battery standards for safety and the OEMs’ response to the added safety and testing requirements will be keenly watched in the coming months,"" Kale said."
Updated: 03 Jun 2022,"Third-party insurance premium hike may hit 2W sales, but there's a silver lining",https://www.livemint.com/market/mark-to-market/thirdparty-insurance-premium-hike-may-hit-2w-sales-but-there-s-a-silver-lining-11654240361936.html,"The demand in the two-wheeler (2W) industry is slowly recovering on the back of improvement in rural markets and the ongoing wedding season. Amid this, an increase in third party insurance rates could weigh on affordability. Note that the cost of owning a 2W has been on the rise. In April 2020, the transition to stringent emission norms prompted 2W makers to hike prices. In recent quarters, companies resorted to increase in prices to pass on the elevated commodity costs. Also, higher fuel prices have not offered any respite. Vikram Kasbekar, executive director at Hero MotoCorp Ltd notes that increase in the third-party insurance rates at a time when the industry has just started to recover would adversely impact customer sentiments as this will further increase the upfront costs of 2Ws in India. Recall that in September 2018, changes in motor insurance policy for new 2Ws resulted in a significant increase in the cost of acquisition. But this time around there is a silver lining. The rates have been hiked only for the vehicles in the premium category which is over 150cc (cubic centimeters). There has been no hike in third-party insurance rates for the entry-level vehicles (75cc-150cc), which constitutes the largest portion of the 2W domestic market in terms of volumes. Note that rates have been hiked for 2Ws less than 75cc but there are no key products in this segment available in the market. Further, the increase in on-road price for a 250cc motorcycle due to the rate hike is less than 1%, according to ICRA Research. “As demand remains fragile, a further increase in the cost of acquisition could have constrained demand recovery for 2Ws in the near term. In this regard, the fact that the entry-level 2W segment has been left out of the insurance price hike, comes as a relief for the industry,"" said ICRA in a press release. Going ahead, the reopening of colleges and offices would boost demand for 2Ws. Also, the expectations of normal monsoon is likely to keep rural demand firm. However, semiconductor shortage and inflationary pressures continue to remain causes of concern."
