article_time,article_title,article_link,article_content
Updated: 03 Jul 2022,Quick commerce boom to drive ice cream sales: HUL,https://www.livemint.com/companies/people/quick-commerce-boom-to-drive-ice-cream-sales-hul-11656869183710.html,"NEW DELHI : Hindustan Unilever Ltd’s (HUL) ice cream business under the umbrella brand Kwality Wall’s is back to pre-pandemic levels, thanks to the prolonged summer this year. In an interview, Srinandan Sundaram, executive director, foods and refreshment, HUL, spoke about the surprise business recovery, increased focus on home delivery channels and an eye on viable acquisitions. Edited excerpts:    Have the sales of your foods and refreshment portfolio returned to pre-pandemic levels? Foods and refreshment has the tea, coffee, Horlicks and Boost, Kissan and Knorr and the ice cream businesses. Specifically in the context of ice creams, we are now seeing us move ahead of pre-pandemic levels. We assumed a certain set of growth but the growth rates far surpassed it. We got probably a good 10% to 12% higher growth than what we thought we will get. For two years, all the covid disruptions happened in March, April and May—peak season for ice cream.  The fact is that covid has not disrupted businesses this season, ice creams have been able to come back quite strongly.  It was a combination of weather becoming hotter and hotter, little bit of a delay in monsoon and this whole bit of when everything around us is expensive, it’s probably the smallest cost celebration a family can have.  Any numbers you could share?  We are reaching our closed period. But our ice cream portfolio has Magnum as the premium brand, then Cornetto and Feast which really sit in the middle and you’ve got the in-home through Wall’s which is the party packs. Kwality was acquired  in 1995 and Kwality Wall’s became the umbrella brand. We’ve also had an acquisition a couple of years back of Adityaa Milk (Vijaykant Dairy and Foods Products Ltd) for its ice cream business.  How do you plan to grow the business?  The journey has been largely one of developing this market. If you benchmark per capita consumption of ice cream in India, it’s among the lowest across the Unilever countries in which we operate. It’s close to 400ml per capita per year. It’s a country which has very little ice cream, very infrequently but has a hell of a lot of dessert.  This market is still seeing a lot more outside-the-home consumption. But with quick commerce coming in, they are also now beginning to see if people are ordering home.  That will help the industry to grow because if you want to have an ice cream and somebody can deliver it to you within half an hour, 40 minutes, for sure, it’s something that drives up the adoption.  So are you working towards home delivery?  Yes, it’s called Ice cream Now—a platform within our company, where we partner with pure quick commerce which is the food commerce kind of players of which Swiggy and Zomato is a very large part. We have made a compelling case that ice cream can add to their wallet.  We’re making sure that our brands have consistent presence of portfolio online, which is just availability in terms of physical stock. Then there’s performance marketing to ensure that when you are looking for ice creams, our brand features right on top. Third is to really strengthen the portfolio.  Currently, the channel is small and we’ve put a lot of premium products. Our premium portfolio is over-indexed in contribution because it’s being picked up a lot more by affluent consumers. So, it’s doing a world of wonders for brands like Magnum and premium tubs. Designing exclusively for this channel is still some time away. But that may come sooner than later the way it is going.  What’s your share of online business? It’s upwards of 7% right now. It has coincided with the rise of the investments coming in quick commerce. In fact, it could have been higher had we had planned this season better. The entire industry didn’t expect ice cream to come through the way it has come through. We’ve had issues of availability of stock... we could have done better if we had estimated how soon this industry will bounce back.  Did you expand your distribution during this period?  We did invest in (ice cream) cabinets which is one of the critical things. During covid, we went to a lot of chemist stores because they were allowed to open. More importantly, the chemists are very entrepreneurial. 12% is the incremental cabinets that we’ve invested in.  Is your Adityaa Milk acquisition complete? Are you expanding the brand?  Yes, the acquisition is complete. What we learned from Adityaa Milk is how to do low-cost ice cream since we were bringing in innovations only in the premium end of the market.  In this business, ₹10 and ₹20 price points are very crucial. We do sell the brand which is very strong in and around Belgaon. But for us, it is a manufacturing capacity. It’s not that Adityaa acquisition will only make Adityaa products.  Any other acquisitions that you may be eyeing?  Will we eye an acquisition? Yes; if something comes our way. But we can’t discuss it right now."
Updated: 02 Jul 2022,UK to offer 75 full scholarships on India's 75th year of independence,https://www.livemint.com/news/india/uk-to-offer-75-full-scholarships-on-india-s-75th-year-of-independence-11656754444511.html,"The United Kingdom (UK) has decided to offer 75 scholarships to Indian students in the country's 75th year of Independence. UK government has partnered with leading businesses in India to offer scholarships. The 75 scholarships will be fully funded for Indian students to study in the UK from September. Such would be the highest number of fully-funded scholarships given for the one-year master’s programme to date. In its statement, the UK government said HSBC, Pearson India, Hindustan Unilever, Tata Sons, and Duolingo are supporting this special initiative to celebrate India’s 75th year of independence. The programmes on offer include Chevening scholarships for a one-year master’s programme, with the opportunity to study any subject at any recognised UK university. In addition to this, the British Council in India is offering at least 18 scholarships for women in science, technology, engineering, and mathematics (STEM) – covering over 12,000 courses across more than 150 UK universities. Along with these, the British Council is also offering six English scholarships. Alex Ellis, British High Commissioner to India, said, ""In India’s 75th year, this is a great milestone together. Thanks to the exceptional support from our partners in industry, I am delighted to announce 75 scholarships for Indian students to experience the best of the UK. Nearly 30% of Chevening scholars in India come from smaller cities or are first-generation students, making this an increasingly diverse programme."" Hitendra Dave, CEO, of HSBC, said, ""We’re delighted to partner with Chevening for the ‘Chevening HSBC Scholarship’ programme. Our objective is to encourage young people with potential to become leaders and decision-makers in their fields by leveraging the world-class educational facilities offered under this programme. As a British bank with a significant lineage and legacy in India, we believe we have a meaningful role to play in developing leadership talent in the country."" The announcement comes as British and Indian leaders from international business and government gather in London for the India Global Forum. Notably, nearly 108,000 study visas were issued to Indian nationals in the year ending March 2022, almost double the number compared to the previous year."
Updated: 30 Jun 2022,Sanjiv Mehta appointed president commissioner of Unilever Indonesia,https://www.livemint.com/companies/news/sanjiv-mehta-appointed-president-commissioner-of-unilever-indonesia-11656585991052.html,"New Delhi: Sanjiv Mehta, CEO and managing director of packaged consumer goods company Hindustan Unilever is set to be appointed as the president commissioner (non-executive chairman) of Unilever Indonesia. Mehta will join the company’s board of commissioners and chair the same in a non-executive capacity, the company said in an announcement on Thursday. Mehta will continue to be chief executive officer and managing director, Hindustan Unilever Limited (HUL) and president, Unilever South Asia. He is also a member of the Unilever Leadership Executive. Unilever Indonesia is a public company and member of the Unilever group. Mehta’s appointment will be subject to approval from shareholders at the Unilever Indonesia’s next Extraordinary General Meeting to be held on 28 July 2022. “The Board of Commissioners of Unilever Indonesia is responsible for overseeing the policy and the implementation of the corporate governance agenda of the company, and providing advice to the Board of Directors in managing the company,"" according to a company statement. Established in 1933, Unilever Indonesia had a turnover of $2.7 billion as of December 2021. Unilever Indonesia has nearly 5000 employees. It manufactures over 40 Unilever brands including local jewels Bango and Sariwangi across nine factories situated in the country."
Updated: 28 Jun 2022,What is ‘shrinkflation’ and how is it playing out in India?,https://www.livemint.com/economy/how-shrinkflation-is-playing-out-in-india-11656335468700.html,"This is a form of inflation that isn’t easily visible to you, the consumer. Yet it has been creeping into your consumption basket lately, one small cut at a time. To tackle high raw material costs, several fast-moving consumer goods (FMCG) companies in India are downsizing product packets, while keeping the price unchanged. Dubbed ‘shrinkflation’, this effectively means consumers are paying the same for less of the product. Russia's war with Ukraine has sent commodity prices soaring globally, making it dearer for companies to procure raw materials they need to make daily consumer goods such as eatables and home and personal care products. Overall wholesale inflation in India marched to a 30-year high last month, while Hindustan Unilever Ltd, a top FMCG company, put its net material inflation (NMI) in the March quarter at 4.5 times that in the June quarter of 2020.            "
Updated: 24 Jun 2022,"Amazon, HUL, Marico ads among ‘most effective’ in 2021",https://www.livemint.com/industry/advertising/amazon-hul-marico-ads-among-most-effective-in-2021-11656057494161.html,"Campaigns by consumer firms Amazon, Hindustan Unilever Ltd, Marico, Mondelez and Whirlpool made it to the list of the most effective advertisements for 2021 in the television category, data, insights and consulting company Kantar said in its second India report on brand campaigns. Across television ads tested in India, the consultancy awarded standout performers in five product categories: food and beverage, personal care, durables, home care and services. The report titled ‘Creative Effectiveness Awards in India’ also included a special segment on social causes and ‘Un-stereotype’ which lauds gender progressive advertising. In the global study that covered more than 13,000 creatives from companies, Kantar looked at classical tools of storytelling. In India, it tested over 1300 ads and the winners exemplify essential characteristics of being creatively engaging and landing persuasive stories that enhance brand sales. The Mondelez ad by creative agency Ogilvy for its brand ChocoBakes Cake shows a boy and his sibling sneaking a cake in the middle of the night in their home very quietly. However, being floored by the taste of the product, their response manages to alert their parents to their stealthy escapade. In the personal care category the Nihar Naturals hair oil ad by Marico shows a girl breaking out of all the stereotypes she is expected to follow and becomes a journalist instead of pursuing a teaching course as was expected of her. Whirlpool’s Intellifresh Everyday Care, Surf Excel Matic Liquid and Amazon also made it to the list of the effective TV ads. In digital it was Vim Liquid, Comfort and Surf Excel that won the Kantar award. Kantar said it tested the ads among consumers. The testing fundamentally entails a survey and the questions that are asked are benchmarked to a database of norms that it has created. Typically, an ad gets tested among anywhere between 200 to 300 consumers within that one year period. Soumya Mohanty, managing director and chief client officer, insights division at the research firm said that the ads are tested on two pillars, the first by the consumer who is the jury which is defined by whether the ad led to any short term sales increases when they felt positively towards the brand. The second is if a brand is able to build equity which is a more long term measure. “Both of these get combined to make a creative impact. A lot of the ads that have won this year show a very positive gender portrayal. The company, she said, uses “un-stereotype"" as a metric where they test advertising to see if they portray a positive image of a female character and a male character and then use it to compare advertisements against each other to see which of them are more true on this aspect. “Ads that do well on the un-stereotype metric actually tend to give a much higher uplift on both brand equity, as well as short-term sales likelihood. So it makes incredible business sense to un-stereotype,"" she added. For creative digital advertising, Kantar said the ads must hook the consumers early and strike an emotive cord. Digital ads must ride the moment and embrace topical issues and trends to engage and be relevant, the company said."
Updated: 24 Jun 2022,Price hikes inevitable in packed consumer goods: HUL’s Paranjpe,https://www.livemint.com/companies/people/price-hikes-inevitable-in-packed-consumer-goods-hul-s-paranjpe-11656009191274.html,"NEW DELHI : Hindustan Unilever Ltd’s chairman Nitin Paranjpe on Thursday flagged the unprecedented levels of inflation, saying while the company will continue to drive its saving agenda, price hikes will be inevitable. “These are not easy times,"" Paranjape said at the company’s 89th Annual General Meeting held virtually on Thursday. “At a macroeconomic level, we are going through probably the most difficult economic situation; inflation is high,"" he said. Paranjpe added that geopolitical tensions, along with the world emerging from the pandemic, has caused disruptions in supply chains. “Therefore, in India, we are probably getting to a situation where we’ve now seen 14 consecutive months of double-digit wholesale price inflation,"" he said. This, he said, has had an effect on the fast-moving consumer goods markets. “The FMCG markets which have generally been strong for a long period of time have started seeing the effect of this. And more recently, we’ve seen market growth rates moderate and volume growth rates have actually become negative in the short term,"" he added. Companies have also been countering unusually high commodity inflation across raw materials. High input inflation has prompted companies to take direct price hikes across their portfolio as well as cut grammages of products they sell. HUL, that sells popular brand such as Sunsilk shampoo and Kissan sauces, said it will continue to drive savings. Paranjpe, however, did not rule out price hikes. “As a company, we are determined to try and see how we can mitigate the impact of some of this to our consumers. And therefore, our first action in all of this is to drive savings hard; your company does a great job at this. We drive continuous improvement and drive efficiencies. We get about 7% savings every single year, and we will continue to drive that hard,"" he said. Ingredients like palm oil, take crude, plastics, and costs of logistics, have seen inflation which is in excess of 50%, he said. The level of inflation is such that despite cost-saving efforts, it is inevitable that the firm will have to hike prices and therefore, they are going up, he said. “When that’s required, we do it in as calibrated a fashion as possible, in as thoughtful manner that is possible. And that’s what we will continue to do. There are price point packs that we have to be watchful, and we will follow the appropriate strategies—sometimes reducing volumes of fill levels, sometimes taking up prices…"" Paranjpe said. HUL is the country’s top pure-play fast moving consumer goods company with a turnover of ₹50,336 crore for the year ended 31 March 2022. The company, with its wide reach across 9 million outlets, is a barometer for household consumption of daily goods. Paranjpe’s comments come as the fast-moving consumer goods sector is seeing a steep slowdown in volume growth; this, along with decadal high inflation is posing a challenge to both companies and households."
Updated: 23 Jun 2022,"India requires astute handling, balancing act for growth: HUL Chairman",https://www.livemint.com/news/india/india-requires-astute-handling-balancing-act-for-growth-hul-chairman-11655998989814.html,"Amid the inflation in the country rising every quarter, Hindustan Unilever Limited's Chairman Nitin Paranjpe on 23 June said India will require some astute handling and a balancing act to make sure that growth does not stall. Paranjpe, while describing the current macroeconomic situation as 'probably the most difficult economic situation' during the annual general meeting (AGM), said global supply chain disruptions due to the pandemic and geopolitical tensions have had an impact on India as well. ""It is true that we are going through probably the most difficult economic situation. Inflation is high, there are supply chain disruptions that are going on,"" he said. He cited COVID-19 pandemic and geopolitical tension as reasons which disrupted many supply chains. ALSO READ: Wholesale inflation rises to record 15.88% in May ""Therefore in India, we are probably getting to a situation where we have now seen 14 consecutive months of double-digit wholesale price inflation (WPI). I don't know when we have last seen something like that,"" Paranjpe said. Stating that the WPI has had an effect on the Indian market, he said, ""FMCG markets, which have generally been strong for a long period of time, have started seeing the effect of this and more recently, we have seen market growth rates moderate and our volume growth rates have actually become negative in the short term"". ""Many people were complimenting India on how we were coming out of the COVID period but it does mean that the immediate feature is challenging, and it will require some astute handling and a balancing act to be able to make sure that growth does not stall and we are able to contain inflation."" However, he said, ""I remain confident that as a country, we will be able to navigate through this crisis there. It's not just my saying. The World Bank believes that India will remain the fastest-growing economy in the coming years and therefore that should give us look forward to it with optimism even though the short term is very very challenging"". Commenting on the FMCG industry, he said, ""I will say that we have to navigate the short term but I remain confident of the medium-term to longer-term future that this industry has"". Paranjpe cited low per capita consumption, a large young population, a growing middle class, rising affluence and adoption of digital technology as reasons for the company's bullishness for the sector. ALSO READ: The difficulty of inflation control under our current circumstances Responding to a query on a product price increase and its impact on consumers, Paranjpe said, "" ""The reality is that when you take ingredients like palm oil, you take crude, the impacted derivative outcomes in terms of plastics, and in terms of logistics, we have seen inflation, which is in excess of 50 per cent, that's the extent of inflation that we have seen. Therefore, it is truly an unprecedented moment. As a company, we are determined to try and see how we can mitigate the impact of some of this to our consumers"". He opined HUL undertakes the price hikes in a calibrated manner and would continue to do so. Though he acknowledged that it has hurt consumers. ""I feel for the common person in the country who has to deal with this hardship at this moment and you can be certain that this company will do everything possible to contain it to the extent that we can"", he added. Among other issues, Paranjpe spoke on company’s acquisition plans and growth strategy during the AGM. With inputs from PTI."
Updated: 20 Jun 2022,"HUL sees weak demand, but there is some respite on margin front",https://www.livemint.com/market/mark-to-market/hul-sees-weak-demand-but-there-is-some-respite-on-margin-front-11655710122911.html," Hindustan Unilever Ltd (HUL) continues to face the double whammy of subdued demand and elevated commodity costs. But the good news is cost pressures are easing gradually as palm oil prices are falling from recent highs. This commodity and its derivatives are important ingredients in the making of soaps, biscuits and noodles. Palm oil prices have retreated below the $1,300 per tonne mark which is significantly down from the peaks of $1,800-1,900 per tonne, note analysts at Edelweiss Securities in a report on 17 June. “We are enthused by this deflation, but its sustainability remains to be seen. Recent sharp rate hikes, liquidity drying-up and risk-off bode well for commodity deflation,"" added the report. Also, the inflation in tea price has softened, which is another positive. However, crude-related inputs continue to remain high, posing headwinds for margin. As such, the margin is likely to remain under pressure for a while. In the March quarter (Q4FY22), HUL’s Ebitda (earnings before interest, tax, depreciation and amortisation) margin had contracted by 27 basis points (bps) year-on-year (y-o-y) to 24.1%. One basis point is one hundredth of a percentage point. Note that Ebitda margin had risen by 99bps to 25% in Q3FY22. The company aims to resort to price hikes as the last measure. It would first focus on cost savings. But there is no respite on the demand front. Analysts at Jefferies India recently met the management of HUL where the latter stated that adversities in macro environment have resulted in industry trends being muted. Though there is value growth owing to price hikes, volumes have declined. Recall that HUL had clocked flat volume growth in Q4FY22. Rural demand continues to be weak but the expectation of a normal monsoon should augur well. The company further noted that smaller unit packs are seeing higher momentum but there are no signs of downtrading. The consumer discretionary segment is more impacted due to slowdown when compared to essentials. In Q1FY23E, Edelweiss expects HUL to see volume growth of 3-4% y-o-y, largely due to a favourable base (Q1FY22 grew 9%, Q1FY21 dipped 8%). “With this, we expect about 15% revenue growth year-on-year in Q1FY23E. However, we expect margins to compress on a quarter-on-quarter/y-o-y basis,"" said Edelweiss’ analysts. Investors have acknowledged the tough business environment. While shares of HUL were more than 4% up on Monday on the National Stock Exchange, they have declined by nearly 7% so far in the calendar year 2022. During the same timeframe, the sectoral Nifty FMCG index is down 1.5%. "
Updated: 17 Jun 2022,Bombay HC rules in favour of HUL in Sebamed ad case ,https://www.livemint.com/companies/news/bombay-hc-rules-in-favour-of-hul-in-sebamed-ad-case-11655443674712.html,"The Bombay High Court on Thursday granted complete relief to Hindustan Unilever Ltd (HUL) in an advertising case against German personal care brand Sebamed. The court has restrained USV Pvt Ltd, which retails Sebamed in India, from further infringing on the brands owned by HUL and also asked it to take down the advertisements that compare the Indian company's soap brands Lux, Dove and Pears with detergent bar Rin. A detailed order in the matter is awaited. A bench led by Justice AK Menon said, “Sebamed is restrained from further infringing on the brands owned by HUL."" Additionally, the court has granted a stay of four weeks on the operation of the order. In its petition before the Bombay HC, HUL prayed that Sebamed be restrained by an order and injunction by the court from using, telecasting or broadcasting or communicating to the public any content that disparages its brand. In its petition, Sebamed had claimed that its soaps were better than HUL’s soap brands. In January 2021, fast-moving consumer goods giant HUL moved the Bombay high court against Sebamed after an aggressive advertising campaign was launched by the latter earlier comparing the Indian company’s soap brands Lux, Dove and Pears to detergent brand Rin, alleging that the beauty soaps did not maintain the optimal 5.5 pH level used for skin. However, the court, while granting an interim relief to Sebamed said that the German company cannot be allowed to continue to advertise in a manner that ‘disparages’ or ‘belittles’ the products of Hindustan Unilever. Kritika Seth, founding partner, Victoriam Legalis – Advocates & Solicitors said that “Bombay High Court made it clear that comparative marketing is an infringement of a brand’s intellectual property. If a brand has any scientific advances over any other brand regarding its products, then the focus should be on creating awareness regarding such important aspects so that a consumer can make an informed decision. Comparative marketing not only infringes the brand but also denigrates the reputation of the brand that it has built over a period of time"". In the advertisement, Sebamed claims the pH of Lux beauty soap is 10, the same as that of a Rin detergent bar – both HUL brands. SebaMed claimed the pH level of its product is 5.5, which is perfect for sensitive skin. Essentially, pH (potential hydrogen) is the metric of how acidic or basic a product is in nature. HUL in its campaign claimed that dermatologists have put something unusually strong in the Dove bar and said it has been recommended as number one by dermatologists. This was done notably without even naming Sebamed in their advertisement. The company had issued a statement saying that “HUL products and claims are backed by strong technology and underpinning science and clinical evidence and decades of expert and consumer backed testing, enjoying strong brand loyalty.""    "
Updated: 08 Jun 2022,Kwality Wall’s ties up with Inox to introduce ‘CineGame’,https://www.livemint.com/companies/news/kwality-wall-s-ties-up-with-inox-to-introduce-cinegame-11654668018302.html,"NEW DELHI: Hindustan Unilever-owned Kwality Wall’s that makes frozen desserts and ice creams has announced its association with cinema chain INOX to introduce ‘Trixy CineGame’, a gaming experience on the cinema screen. Having withstood the worst of the pandemic, multiplexes are now enjoying better footfalls as much-awaited films with star cast see theatrical releases, it said.  This move precedes a three-layered dessert--Trixy Blueberry cheesecake cup-- which it will bring out this year. The interactive gaming experience will allow movie goers in Mumbai and Delhi to play the multiplayer game on their phones. The winners will receive surprise gift bags from Kwality Wall’s. Maya Ganapathy, general manager, Kwality Wall’s, India, said, “We needed a partner to introduce this unique product in an engaging and equally unique way and who better than INOX to play this role. Cinema is a great place to embrace innovation and interactivity and we are glad to associate with a like-minded partner like INOX to bring this launch to life on the big screen."" Anand Vishal, chief sales and revenue officer, INOX Leisure, said, “We are always upbeat about leveraging technology while providing our audience with experiences that engage and entertain them and brings value to our advertising partners. We are taking the ‘captivating’ cinema feel to the next level by introducing a unique playing concept of ‘CineGame’, making the breaktime ad-free and fun for the audience. This collaboration is a revolutionary step to make numerous touchpoints of the cinema journey, more innovative, engaging, and memorable."" “The cinegame experience is a winner because it brings together the three passions of movies, food and gaming this summer,‘’ said Ajay Mehta, senior vice-president, Mindshare Content+ and Partnerships. Ajay Mehta, founder and MD, iTV & Managing Director, Kinetic India, said ITV is happy to introduce cinegame. We are happy to have them premiering the technology at the multiplexes."" According to the IMARC Group, the ice cream market in India was valued at ₹165.2 billion in 2021."
