article_time,article_title,article_link,article_content
Updated: 08 Jul 2022,SBI vs HDFC vs ICICI vs IDFC vs Post Office vs RBL vs Yes Bank: Check RD rates,https://www.livemint.com/money/personal-finance/sbi-vs-hdfc-vs-icici-vs-idfc-vs-post-office-vs-rbl-vs-yes-bank-check-rd-rates-11657274580845.html,"A recurring deposit (RD) is one of the most well-liked debt investment products in the voyage of personal finance when it comes to establishing a secure investment by making monthly contributions and avoiding lump sums. Investors in this investment scheme are able to make monthly deposits as well as get returns akin to those of fixed deposits. The deposits would also get coverage up to Rs. 5 lakhs by DICGC, which adds another degree of protection to both your investment and return. The interest will be risk-free, as the name suggests, but investors should be aware that bank RD investments are not eligible for tax deduction under Section 80C of the Income Tax Act of 1961. However, TDS on recurring deposits is deductible at a rate of 10% on the interest earned over ₹40,000 under Section 194 A of the Income Tax Act of 1962. Therefore, individuals searching for SIP-like deposits can compare the interest rates here of recurring deposits of some top financial institutions by eliminating lump-sum deposits in fixed deposits.  State Bank of India (SBI), the largest lender in the nation, gives the same interest rates on FDs and RDs. Customers will get the interest rates on deposit accounts indicated below as per the bank's most recent modification, which took place on 14.06.2022.  HDFC Bank last changed the interest rates on recurring deposits on June 17, 2022. The bank is now giving an interest rate ranging from 3.75 per cent to 5.75 per cent for non-senior citizens and 4.25 per cent to 6.50 per cent for senior citizens on making deposits in RD for a duration of 6 months to 120 months.  Recurring Deposits at ICICI Bank will be offered for a minimum of 6 months and thereafter in multiples of 3 months up to a maximum of 10 years. The bank amended its interest rates on RDs on June 22nd, 2022, and as a result, it currently offers interest rates ranging from 3.75 per cent to 5.75 per cent for the general public and 4.25 per cent to 6.50 per cent for senior citizens.  Recurring deposits are available from IDFC First Bank, with maturities ranging from 6 to 120 months. One can make regular deposits at the bank with a minimum of Rs. 100 and a maximum of Rs. 75,000, respectively. Effective as of 1st July 2022, the bank is now offering an interest rate of 4.50% - 6.00% for the general public and 0.50% additional for senior citizens.  Recurring deposits at RBL Bank have a minimum duration of 7 days and a maximum term of 240 months. Additionally, a minimum recurring deposit of Rs. 1,000 can be made. The bank currently offers an interest rate on recurring deposits ranging from 3.25 per cent to 5.75 per cent for the general public and 3.75 per cent to 6.25 per cent for elderly people.  Recurring deposits are allowed by Yes Bank for periods of 6 months to 120 months. Effective as of 18th June 2022, the bank is offering an interest rate of 4.75% - 6.50% for regular customers and 5.25% - 7.25% for senior citizens.  To open a 5-Year Post Office Recurring Deposit Account, a minimum deposit of INR 100 per month or any amount in multiples of INR 10 with no upper limit must be made. The post office RD account, as its name implies, has a maturity period of 5 years (60 monthly contributions) starting on the day it is opened. However, the account holder has the option to extend the account for an additional 5 years and the interest rate at when the account was initially created will be applicable on the extended account. After three years from the date of account opening, Post Office RD accounts can be prematurely closed; however, if the premature withdrawal is made even one day before maturity, the interest rate for PO Savings Accounts will apply. The Post Office RD account will continue to provide an interest rate of 5.8% per year, compounded quarterly, according to a recent decision by the Finance Ministry to maintain the rates constant for post office small savings schemes for the second quarter of FY23."
Updated: 07 Jul 2022,SBI vs ICICI vs HDFC vs BoB vs PNB vs Axis Bank: Check home loan rates,https://www.livemint.com/money/personal-finance/sbi-vs-icici-vs-hdfc-vs-bob-vs-pnb-vs-axis-bank-check-home-loan-rates-11657192950652.html,"The Reserve Bank of India (RBI) increased the repo rate by 50 basis points to 4.9 percent at its Monetary Policy Committee (MPC) meeting in June. This had an effect on the retail loan segment, prompting both new and current loan borrowers to pay higher EMIs. Home loans are now more expensive as a result of the benchmark interest rate increase, and the rates are often significantly higher for borrowers without salaries or those with credit scores below 750. Repo Linked Loan Rate (RLLR) and Marginal Cost of Fund Based Lending Rate (MCLR) hikes are still in progress even after a month of MPC meetings. As a consequence, it is difficult to get a home loan with cheap interest rates currently. However, let's examine the home loan rates being provided by the largest lenders in our nation.  Bank of Baroda (BoB) accepts applications for home loans from Indian residents who are at least 21 years old. Additionally, eligible are non-resident Indians (NRIs) with Indian passports, persons of Indian origin (PIOs) with foreign passports, and overseas citizens of India (OCI). The bank has set a maximum age restriction of 70 years for borrowers who want to get loans, and the maximum loan term is 30 years. The effective interest rate on home loans for non-staff members ranges from 7.45 per cent to 8.80 per cent. While the interest rate that applies to staff members (Public Scheme) is 7.45 per cent.  The minimum interest rate for home loans was raised to 7.55 per cent on June 15, 2022, by SBI, the largest lender in our nation. On the bank's website, it is stated that the lender has also raised its External Benchmark-based Lending Rate (EBLR) from 7.05 per cent to a minimum of 7.55 per cent. With effect from June 15, 2022, SBI has increased the benchmark one-year MCLR rate from 7.20 per cent to 7.40 per cent and updated the marginal cost of fund-based lending rates (MCLR) by up to 0.20 per cent.  Home loans with reasonable interest rates are available from ICICI Bank for terms of up to 30 years. Through ICICI Bank Express Home Loan, a self-service digital platform for current as well as non-ICICI Bank customers, borrowers can obtain digital approval for a home loan. With effect from June 8, 2022, ICICI Bank updated its External Benchmark Lending Rate (EBLR). ""ICICI Bank External Benchmark Lending Rate"" (I-EBLR) is referenced to RBI Policy Repo Rate with a mark-up over Repo Rate. I-EBLR is 8.60% p.a.p.m. effective June 8, 2022,"" the bank has mentioned on its website.  The marginal cost of lending rate, or MCLR, has been raised by the HDFC Bank across all tenors, and the new MCLR rates are effective as of Thursday, July 7. The overnight, one-month, and three-month HDFC Bank MCLR rates were increased by 20 basis points to 7.70%, 7.75%, and 7.80%, respectively. The HDFC Bank MCLR rates have increased by 20 bps to 7.90% and 8.05%, respectively, for tenures of six months and one year. The MCLR for HDFC Bank has increased by 20 bps to 8.15 per cent and 8.25 per cent for terms of two and three years, respectively.  Repo Linked Lending Rate (RLLR) is now 7.40 per cent with effect from September 6,2022, and One Year MCLR Rate is 7.55 per cent at PNB. The home loan interest rates are as follows.  Home loans from Axis Bank start at Rs. 3,00,000 and include a number of benefits including longer-term, appealing interest rates, a simple application procedure, doorstep service, etc. No prepayment fees as well as floating and fixed interest rates are permitted by Axis Bank for home loans. The bank provides a floating rate of 7.60 per cent to 7.95 per cent per year for salaried individuals and a fixed rate of 12 per cent for home loans. The floating rate for individuals who are self-employed ranges from 7.70 per cent to 8.05 per cent annually. and the current fixed rate for loans is 12 per cent."
Updated: 07 Jul 2022,"HDFC Bank, Axis Bank, ICICI Bank to provide financial services for MoD",https://www.livemint.com/companies/news/hdfc-bank-axis-bank-icici-bank-to-provide-financial-services-for-overseas-procurement-by-mod-11657187365899.html,"HDFC Bank, Axis Bank, and ICICI Bank are the first private banks to provide financial services in overseas procurement for Defence Ministry. Up till now, only public sector banks were allowed to offer these services for the ministry. However, in line with further opening of allocation of government business to private sector banks by the Department of Financial Services, the Defence Ministry on Thursday assigned three private sector banks viz HDFC Bank Ltd., ICICI Bank, and Axis Bank to provide the Letter of Credit and Direct Bank Transfer business for overseas procurement by the ministry. On behalf of the Defence Ministry, PCDA, New Delhi has signed a memorandum of understanding (MoU) with each of these three banks recently. ""Till now, only authorised public sector banks were utilised to provide these services to MoD. With this for the first time three Private Banks have also been allowed to provide financial services for overseas procurement by MoD,"" the ministry said. Further, as per the ministry, the three private bank giants may be allocated with LC business of ₹2,000 crore each on the capital and revenue side, for a period of one year on a concurrent basis ( ₹666 crore for each bank under both capital as well as revenue). ""The performance of these Banks will be monitored regularly so as to take necessary further action as required,"" the ministry added. HDFC Bank is the largest bank in terms of market valuation, while ICICI Bank, SBI, Kotak Bank, and Axis Bank follows. HDFC Bank, ICICI Bank, and SBI are in the top 10 most valued companies on BSE. On BSE, HDFC Bank shares closed at ₹1394.45 apiece up by 1.67%. It has a market valuation of ₹7,74,554.61 crore currently and is the third most valued firm on BSE. ICICI Bank shares ended at ₹741.20 apiece up 2.09%. The bank's market cap stood at ₹5,15,605.02 and is the sixth most valued firm on BSE. Axis Bank shares finished at ₹659.30 apiece marginally up on the same exchange. The market valuation of the bank stood at ₹2,02,496.43 crore at the latest closing price."
Updated: 03 Jul 2022,"M-cap of 3 of top-10 valued firms eroded by ₹73,630 cr; RIL biggest loser",https://www.livemint.com/news/india/mcap-of-3-of-top-10-valued-firms-eroded-by-rs-73-630-cr-ril-biggest-loser-11656825997747.html,
Updated: 02 Jul 2022,Credit card spends in June likely to soften but to stay over ₹1 lakh cr mark,https://www.livemint.com/news/india/credit-card-spends-in-june-likely-to-soften-but-to-stay-over-rs-1-lakh-cr-mark-report-11656775448448.html,"Industry-wide credit card spends stayed above ₹1 lakh crore mark for the third consecutive month in May to ₹1.14 lakh crore registering a growth of 8% on a month-on-month basis. With that, the industry's credit card spends is at an all-time high. HDFC Bank and SBI Card credit card spends more than doubled in the month and dominated the overall industry. In June, the spends are likely to soften, however, can maintain more than ₹1 lakh crore mark. Data from ICICI Securities showed that HDFC Bank credit card spends more than doubled to ₹31,500 crore in May 2022 compared to ₹14,800 crore in the same month last year. SBI Card followed with spends of ₹21,200 crore in May 2022 against ₹10,000 crore in May last year. Axis Bank also witnessed strong growth in credit card spends to ₹9,600 crore versus ₹4,300 crore in May last year. Further, RBL Bank credit card spends stood at ₹4,600 crore in May 2022 versus ₹2,700 crore in May last year. While Citibank's spends stood at ₹4,500 crore compared to ₹2,600 crore in May 2021, while American Express' spends rose to ₹3,000 crore against ₹1,700 crore in May last year. HSBC credit card spends picked up slightly to ₹700 crore against ₹500 crore of May last year. Others recorded a spend of ₹16,700 crore against ₹6,000 crore in May last year. In May 2022, in terms of market share, the data revealed that HDFC Bank saw its market share in spends declining to 27.7% (versus 28.4% in May 2021). The case was similar for SBI Card whose market share dipped to 18.7% (versus 19.2% in May 2021). However, Axis Bank's market share inched up to 8.4% against 8.3% in May 2021. Research Analysts at ICICI Securities in their note said, SBIC’s improved marginally to 18.7% in May’22, up 9 basis points MoM. SBIC’s FY22 spends market share stood at 19%. HDFC Bank’s market share also improved 11.3 basis points MoM to 27.7%. According to the analysts, receivables are picking up with credit card outstanding ‘per card in force’ (CIF) at the industry level improving from the average Rs18,000 as of December 2021, to Rs20,000 for Jan-March 2022; Apr’22 inched up to Rs20,400 while May’22 retraced to Rs20,000. This was consistently ~7% higher in each of 3 the successive years (FY19/FY20/FY21 (end basis)). Accordingly, the ratio of ‘credit card to debit card’ spends was 1.74x as of May’22, which is the highest since Apr’19, when it was 1.0x, the analysts pointed out. Furthermore, the analysts explained that the ratio of UPI spends to credit card spends has continued to gradually increase from 3.24x in Jan’20 to 6.97x in Mar’21 and 9.2x in May’22. In volume terms, UPI transactions grew 135% YoY in May’22. The ticket size of payments to merchants grew 11% YoY to Rs842 and overall ticket size declined 9% YoY to Rs1,749. Within UPI, the value market shares of Google Pay and PhonePe remain at 34.6% and 48.3%, respectively, as of May’22. Going forward, the analysts said, as per trends, June 2022 spends are likely to see some softness compared to May’22 level but may remain above the ₹1 lakh crore mark. They added, ""revival in air travel, hospitality sector, as well as increasing inflation outlook set a positive backdrop to credit card spends as well as receivables."""
Updated: 30 Jun 2022,Post office schemes rates unchanged. Are these schemes attractive than bank FDs,https://www.livemint.com/money/personal-finance/post-office-schemes-rates-unchanged-are-small-savings-schemes-attractive-than-bank-fds-11656608735308.html,"Unexpectedly, the Finance Ministry has decided to keep the rates unchanged for post office small savings schemes for the second quarter of FY23. The Indian government decides interest rates on these savings schemes every 3 months of a year. Small savings schemes rates were expected to be hiked amidst the bank fixed deposits that have gained traction due to RBI rate hike. These government schemes are linked with government securities which have risen amidst bearish markets tone due to macroeconomic risks. In a statement on Thursday, FinMin said, ""The rates of interest on various small savings schemes for the quarter of the financial year 2022-23 starting from 1st July 2022 and ending on 30th September 2022 shall remain unchanged from those notified for the first quarter (1st April 2022 to 30th September 2022) of the financial year 2022-23."" Here's a brief glance!  Post Office Savings Account(SB): Here, an investor can earn up to 4% per annum. The minimum amount for opening the account is only ₹500. There is no maximum limit. Interest is calculated based on the minimum balance between the 10th of the month and the end of the month and allowed for whole rupees only. Under section 80TTA of the IT Act, from all savings bank accounts, interest up to ₹10,000 earned in a financial year is exempted from taxable income. 5-Year Post Office Recurring Deposit Account (RD): An interest rate of 5.8 % per annum (quarterly compounded) can be earned here on minimum deposits of ₹100 per month. There is no maximum limit. As per the India Post website, maturity values for ₹100 Dn are: - 5 Year = ₹6,969.67 after extension with deposit. - 6 Year = ₹8,620.98 - 7 Year= ₹10,370.17 - 8 Year= ₹12,223.03 - 9 Year= ₹14,185.73 - 10 Year= ₹16,264.76 Post Office Time Deposit Account (TD): Here, the minimum deposit value is ₹1,000 without any maximum limit. Notably, the interest rate is 5.5% each on a 1-year, 2-year, and 3-year time deposit. Meanwhile, the rate is 6.7% on a 5-year time deposit. There is also a tax benefit of ₹1.5 lakh under section 80C of the IT Act for a 5-year TD. As per the India Post, on deposits of ₹10,000 - the annual interest is ₹561 on 1-3 year time deposits. While the annual interest earned is ₹687 for ₹10,000 deposits on 5-year TD. Senior Citizen Savings Scheme (SCSS): Investors can earn 7.4% per annum under this scheme. There shall be only one deposit in the account in multiple of ₹1,000 maximum not exceeding ₹15 lakh. Interest is payable quarterly. Investment under this scheme qualifies for the benefit of section 80C of the Income Tax Act, 1961. However, interest is taxable if the total interest exceeds ₹50,000 in a financial year under the scheme, and TDS at the prescribed rate will also be deducted. Notably, there will be no TDS if form 15 G/15H is submitted and accrued interest is not above the prescribed limit. As per India Post, the quarterly interest turns out to be ₹185 on ₹10,000 deposit. Monthly Income Scheme Account (MIS): The interest rate here is 6.6% per annum. The maximum investment limit is ₹4.5 lakh in a single account and ₹9 lakh in a joint account. Interest shall be payable on completion of a month from the date of opening and so on till maturity. Interest is taxable in the hand of the depositor. The account can be closed on expiry of 5 years. As per the India Post, on deposits of ₹10,000 - the monthly interest works up to ₹55. Public Provident Fund Account (PPF ): The interest rate here is 7.1 % per annum (compounded yearly). The minimum investment is ₹500 and the maximum up to ₹1.50 lakh in a financial year. Deposits can be made in lump sum or in installments. The interest shall be calculated for the calendar month on the lowest balance in the account between the close of the fifth day and the end of the month. Interest earned is tax-free under Income Tax Act. Further, deposits qualify for deduction under section 80C of the Income Tax Act. The tenure is 15 years for the scheme. Sukanya Samriddhi Accounts (SSA): The interest rate is at 7.6%. Meanwhile, the minimum investment limit is ₹250 and the maximum up to ₹1.5 lakh in a financial year. The deposit can be made maximum up to the completion of 15 years from the date of opening. Also, deposits qualify for deduction under section 80C of the Income Tax Act. If a minimum deposit of ₹250 is not deposited in an account in a FY, the account will be treated as defaulted account. However, defaulted account can be revived before the completion of 15 years from the date of opening of the account by paying minimum of ₹250 + ₹50 default for each defaulted year. National Savings Certificates (NSC): The interest rate is 6.8% on 5-year NSC. According to India Post, ₹1,000 grows to ₹1,389.49 after 5 years. That said, the minimum investment amount is ₹1,000 with a maturity period of 5 years and there is no maximum limit. Deposits under the scheme qualify for the benefits under section 80C of the IT Act. Kisan Vikas Patra (KVP ): The interest rate here is 6.9% compounded annually. The amount invested gets doubled in 124 months (10 years 4 months). The minimum investment limit is ₹1,000 and there is no maximum limit. Many expected small savings schemes' interest rates to go up for the second quarter of FY23 due to rising government bonds owing to strong demand. According to Trading Economics data, the 10-year yield of g-secs is around 7.45 %, while the 5-year yield is at 7.26% on June 30. In line with Shyamala Gopinath Committee recommendations to ensure small savings schemes are market-linked, the Finance Ministry in March 2016, had announced instead of annual resetting of small savings schemes' interest rates for the next financial year, the interest rates from now on will be reset every quarter based on the G-Sec yields of the previous three months. In 2011, the Gopinath committee had recommended keeping small savings interest rates higher by 25-100 basis points from the average yields of government securities. With the small savings schemes' interest rates kept unchanged, are they attractive compared to bank deposits that have witnessed massive hikes in their interest rates since RBI started to hike repo rate?. Since May this year, RBI has hiked the repo rate by 90 basis points - taking the rate to 4.90%. Here is the list of interest rates offered by major banks on their fixed deposits. SBI: From June 14, SBI is offering a 5.30% interest rate to regular customers on 1 year to less than 2 years tenure. The rate is 5.80% for senior citizens on the same tenure. Meanwhile, the bank offers a 5.35% rate to regular customers and 5.85% to senior citizens on 2 years to less than 3 years tenure. The interest rate is 5.45% for regular customers on 3 years to less than 5 years tenure, and 5.95% is offered to senior citizens for the same. On 5 years and up to 10 years tenure, the rate is 5.50% for regular customers and 6.30% for senior citizens. These rates are applicable on FDs below ₹2 crore. HDFC Bank: On FDs below ₹2 crore, HDFC Bank offers a 5.35% rate on tenures 1 year to 2 years for regular customers, while the rate comes at 5.85% for senior citizens on the same. A regular customer earns 5.50% on their deposits maturing 2 years 1 day - 3 years. For the same period, senior citizens earn 6%. The rate is 5.70% for regular customers on 3 years 1 day- 5 years tenure, and 6.20% for senior citizens on the same. Meanwhile, the rate is 5.75% for regular customers and 6.50% for senior citizens for 5 years 1 day - 10 years tenure. An Additional Premium of 0.25% (over and above the existing premium of 0.50%) is also given to Senior Citizens who wish to book the Fixed Deposit of less than ₹5 crore for a tenure of 5 years 1 Day to 10 Years. ICICI Bank: On FDs below ₹2 crore, ICICI Bank offers a 5.35% rate on deposits maturing from 1 year to 2 years. A senior citizen earns 5.85% for the same period. Meanwhile, for regular customers, the rate is 5.50% on 2 years 1 day to 3 years tenure; 5.70% on 3 years 1 day to 5 years; and 5.75% on 5 years 1 day to 10 years tenure. A senior citizen earns 6% on 2 years 1 day to 3 years tenure; 6.20% on 3 years 1 day to 5 years; and 6.50% on 5 years 1 day to 10 years. Resident Senior citizen customers will get an additional interest rate of 0.25% for a limited time over and above the existing additional rate of 0.50% per annum for above 5 years tenure."
Updated: 30 Jun 2022,"Small savings scheme: Govt keeps interest rate on PPF, NSC others unchanged",https://www.livemint.com/news/india/govt-keeps-interest-rates-on-small-savings-schemes-unchanged-for-july-sept-quarter-11656564947176.html,"The Central Government on Thursday kept interest rates on small savings schemes, such as the Public Provident Fund (PPF) and National Savings Certificate (NSC), unchanged for the July to September quarter of FY23 amid high inflation and rising interest rate.  This is the ninth quarter in a row that small savings interest rates have not changed. The interest rate on small savings schemes has not been revised since the first quarter of 2020-21. New investments made during the second quarter of FY 2022-23 into these schemes will also earn the same interest rates as in the previous quarter. The PPF will continue to earn 7.10%. The Senior Citizens Savings Scheme (SCSS) will continue to earn 7.40%, and post office time deposits will fetch 5.5-6.7%, the Finance Ministry said. Interest rates on small savings schemes are reset on a quarterly basis, in line with the movement in benchmark government bonds of similar maturity. During the last quarter, the government had decided to maintain the status quo. The Shyamala Gopinath committee in 2011 had recommended to make small savings scheme market linked.  Analysts had indicated a possibility of the interest rates being raised this time given the increase in G-Sec yields over the last quarter. As of today, India 10-year Bond yield was at 7.424%, compared with 6.843% on 31 March. Notably, the Reserve Bank of India (RBI) has also raised the policy interest rate by 90 basis points during the April-June quarter. Amid rising inflation, the government in March kept interest rates unchanged for small savings schemes, including PPF and NSC, for the first quarter of 2022-23. PPF and NSC will continue to carry an annual interest rate of 7.1% and 6.8%, respectively, in the first quarter of the next fiscal. ""The rate of interest on various small savings schemes for the first quarter of the financial year 2022-23, starting from April 1, 2022, and ending on June 30, 2022, shall remain unchanged from the current rates applicable for the fourth quarter (January 1, 2022, to March 31, 2022) for FY 2021-22,"" the finance ministry had said in a notification earlier. The one-year term deposit scheme will continue to earn an interest rate of 5.5% in the first quarter of the next fiscal while the girl child savings scheme Sukanya Samriddhi Yojana will fetch 7.6%. It is to be noted that the country's biggest lender State Bank of India (SBI) offers 5% interest rate on one-year fixed deposit. The interest rate on the five-year senior citizens' savings scheme will be retained at 7.4%. The interest on the senior citizens' scheme is paid on a quarterly basis. The interest rate on savings deposits will continue to be at 4% per annum. Term deposits of one to five years will fetch an interest rate in the range of 5.5-6.7%, to be paid quarterly while the interest rate on five-year recurring deposits will earn a higher interest of 5.8%. Recently, the Provident Fund (PF) rate was reduced to a four-decade low of 8.1% for 2021-22 from 8.5%. Defending the proposal to cut interest rate paid on employees' provident fund deposits, Finance Minister Nirmala Sitharaman, earlier this month, said the rate is dictated by today's realities where interest rate on other small saving instruments was even lower. FM Sitharaman had also cited the comparative prevailing interest rates of other schemes saying Sukanya Samriddhi Yojana offers 7.6%, Senior Citizen saving scheme (7.4%) and PPF (7.1%) while SBI's 5-10 year fixed deposits gives 5.50%."
Updated: 30 Jun 2022,Apple iPhone 12 prices slashed on Amazon. Here's how to avail the discount,https://www.livemint.com/news/india/apple-iphone-12-prices-slashed-on-amazon-ahead-of-iphone-14-launch-here-s-how-to-avail-the-discount-11656579643318.html,"NEW DELHI : The Apple iPhone 14 is likely to be launched in September this year.  Apple analyst Ming-Chi Kuo, who claims the firm is planning to bring major updates to the front camera of iPhone 14. In his tweet, Kuo said the firm has now locked in suppliers for the iPhone 14’s front-facing selfie camera, which is getting the biggest upgrades in years. Meanwhile, the Apple iPhone 12 has been put on massive discounts on e-commerce site Amazon. The device is being sold with a discount of up to ₹20,851 on Amazon. One can buy the Apple iPhone 12 at this massive discount now, or wait till the Amazon Prime day sale to be held in 2022, when Apple is speculated to offer even larger discounts on its devices.  For now the 128gb variant of the iPhone 12 is available at ₹58,999 on Amazon. The variant's otherwise selling price is ₹69,900. The discount can be further escalated by attaching card benefits and exchange price value on the older device.  Customers can get up to an ₹8,900 discount on exchanging their smartphones with the iPhone 12 purchase. The exact value of the discount depends on the smartphone’s model and condition and is up to Amazon.  This being said, a customer can avail a maximum discount of up to ₹20,000 by combining exchange value, amazon discount and card benefits on purchasing an Apple iPhone 12 from Amazon.  Customers can also avail an additional 5% cashback by using the Amazon Pay ICICI Bank credit card for buying the iPhone 12 smartphone. However, 5% cashback is provided to only Amazon Prime customers while a 3% cashback is provided to non-prime buyers. Customers can also get a 10% instant discount of up to ₹1500 on SBI Credit Card EMI transactions with a minimum purchase value of ₹5000. On Non-EMI transactions via SBI credit cards, customers can get a 10% discount of up to ₹1000. "
Updated: 29 Jun 2022,"Top picks: BNP Paribas 'conservative' on Indian banks, suggests 6 stocks to buy ",https://www.livemint.com/market/stock-market-news/top-stock-picks-6-indian-bank-stocks-to-buy-as-recommended-by-bnp-paribas-11656494793155.html,"Given the lack of a margin of safety in overall sector valuations, inflation uncertainties delaying the return of mid-teens credit growth and lack of appetite for risk-on sub-segments like CV financing, SME financing, MFI, BNP Paribas said its stance on the banking sector remains conservative.  “We note however that the challenges facing the sector and indeed impediments to stock performance are not exactly existential in nature. We seem to be nearing a trough in the asset-quality cycle and provisioning levels appear demonstrably sufficient. Capitalisation for sector-leading large private banks is more than adequate in our view,"" it said in a note on Indian banks. BNP Paribas thinks deposit flows have entrenched a lot of cost-stability advantages that larger banks enjoy. Valuations, while not a bargain, are not in the highest reaches of trading bands either. BNP Paribas' top stock picks - HDFC Bank: The global brokerage believes recent headwinds on tech investment news flow create a special opportunity in HDFC Bank as its traditional strengths (CASA tailwinds, best-in-class asset quality) are being somewhat discounted. Its Buy tag on HDFC Bank shares comes with a target price of ₹1,710. ICICI Bank: ICICI Bank remains a play on credit revival with high provisioning levels, tech investments and continued CASA mobilization, it said with target price of ₹890.  Axis Bank: “We choose Axis Bank for the valuation headroom it offers as well as gearing to a credit cycle recovery through both asset quality and loan growth. Our comfort with AXSB’s provision levels is as high as what we have for ICICIBC’s but recognise that a lower CASA and higher cost of funds ensure that higher rates do not confer an equal amount of competitive benefits on it as on HDFC Bank and ICICI Bank,"" the note stated. The brokerage's Buy tag on the bank stock comes with a target price of ₹970. Further, BNP Paribas also has buy ratings on IndusInd Bank (TP: ₹1,030), AU Small Finance Bank (TP: ₹750) and State Bank of India (SBI) with price target at ₹500. Meanwhile, it has Hold recommendations on Kotak Mahindra Bank (TP: ₹1,830) and City Union Bank (TP: ₹130).  The views and recommendations made above are those of individual analysts or broking companies, and not of Mint"
Updated: 28 Jun 2022,ICICI Bank makes interest rate revisions on these fixed deposits: Details here,https://www.livemint.com/money/personal-finance/icici-bank-makes-interest-rate-revisions-on-these-fixed-deposits-details-here-11656407388952.html,"Interest rates have changed for term deposits, ranging from ₹2 crore to ₹5 crore, according to private sector lender ICICI Bank. The bank has updated its interest rates as of today, June 28, 2022, and currently provides an interest rate range of Rs. 3.10 per cent to Rs. 5.70 per cent on deposits maturing in 7 days to 10 years. A maximum interest rate of 5.70 per cent is now being offered by ICICI Bank to both the general public and senior citizens on term deposits with maturities ranging from 18 months to 10 years.  The bank is now giving an interest rate of 3.10 per cent on deposits made between 7 and 29 days, and 3.25 per cent on term deposits made between 30 and 45 days. Term deposits with maturities between 46 and 60 days will now pay interest at a rate of 3.50 per cent, while those with maturities between 61 and 90 days will now pay interest at a rate of 4 per cent. On term deposits maturing from 91 days to 184 days, ICICI Bank now provides an interest rate of 4.75 per cent. On deposits maturing from 185 days to 270 days, the bank now offers an interest rate of 5.10 per cent. Fixed deposits that mature in 271 days or less will now have an interest rate of 5.25 per cent, while term deposits that mature in 1 year or less will now have an interest rate of 5.40 per cent. On deposits maturing in 18 months to 10 years, ICICI Bank is now offering an interest rate of 5.70 per cent. On June 22, 2022, ICICI Bank last changed the interest rates on fixed deposits below ₹2 crore. The bank is now giving a regular rate of 2.75 per cent to 5.75 per cent and 3.25 per cent to 6.50 per cent to senior citizens on fixed deposits maturing in 7 days to 10 years. Fixed deposits maturing in 5 years 1 day to 10 years offer a maximum interest rate of 5.75% to regular customers and 6.50% to senior citizens."
