article_time,article_title,article_link,article_content
Updated: 03 Jul 2022,Maruti Suzuki plans to deploy hybrid technology across all models in next 5 yrs,https://www.livemint.com/auto-news/maruti-suzuki-plans-to-deploy-hybrid-technology-across-all-models-in-next-5-yrs-11656834962377.html,"Maruti Suzuki India (MSI) plans to have strong hybrid technology across its model range in the next 5-7 years. The auto major aims to have strong and mild hybrid technologies as part of an initiative to have environment-friendly technology elements in each of its models, enabling better fuel efficiency and reduced carbon footprint. Battery electric vehicles, CNG cars and greater focus on ethanol and bio-CNG compliant engines would also be prioritised going ahead. MSI Chief Technical Officer C V Raman said that in the next five to seven years, every model will have some element of green technology or the other, adding that there will be no pure petrol powertrain across the range. Meanwhile, a senior official from MSI also informed that the country's largest carmaker is planning to invest around ₹18,000 crore on a new manufacturing facility in Haryana. The new plant is expected to replace the company's Gurugram-based facility and is likely to have an installed production capacity of 7.5-10 lakh units per annum. According to news agency PTI, MSI Chairman confirmed the company's ₹18,000 crore investment plan and said that the company had always planned to shift the Gurugram facility to a nearby location. He however declined to share details about the location finalised by the company. The auto major however remains wary of the state's new policy that has mandated 75 per cent job reservation for the locals in business and factory establishments. The company has been in talks with the state government but the issue remains unresolved, he added. When asked about the timeline for starting the project, Bhargava said, ""We don't know yet, can't say right now."" He, however, stated that the production capacity of the plant would be 7.5 -10 lakh units per annum depending upon the market growth in India. MSI announced that it has decided to shift its Gurugram plant, which is spread over 300 acres, because of congestion and traffic hassles. The plant, which is the company's first in the country, falls around residential areas. It is where the company began its India journey in 1983 by rolling out its first model -- the iconic Maruti 800. Amid rapid development in Gurugram, the company now finds its plant in the middle of a bustling city that has made the movement of trucks carrying raw materials and finished products in and out of the plant difficult. Local residents and authorities want the issue of congestion due to the plant to be addressed. Currently, the Gururgam plant rolls out many of the company's popular models, including Alto and WagonR, with an estimated annual capacity of around 7 lakh units. Besides Gurugram, MSI has another manufacturing unit in Haryana at Manesar. Both these units have combined production capacity of about 15.5 lakh units per annum. With an installed production capacity of 7.5 lakh units per year, its parent Suzuki Motor Corp has also set up a facility in Gujarat after the third unit started production in April this year."
Updated: 01 Jul 2022,Maruti Suzuki's Brezza launch keeps Motilal Oswal bullish on the auto stock,https://www.livemint.com/market/stock-market-news/maruti-suzuki-brezza-to-help-recover-market-share-says-motilal-oswal-with-buy-tag-11656667894651.html,"Carmaker Maruti Suzuki India has launched its all new Brezza, with the latest advanced features, and a price starting from ₹7.99 lakh (ex-showroom) as it seeks to strengthen its presence in the SUV segment to reinforce its leadership position. It has already garnered more than 45k bookings in the first eight days since bookings were opened. The new Maruti Brezza will be competing with the likes of Hyundai Venue, Kia Sonet, Tata Nexon, M&M XUV300, etc. in the UVC category. The UVC segment constitutes 54% of SUV volumes for the industry (~40% including MPVs) for FY22. ""Strong demand, improving semiconductor supplies, moderating commodity inflation, and a favorable forex rate will aid a margin recovery. Robust demand and strong recoveries in both market share (+600bp) and margin (+550bp) over FY22-24E, will drive a 66% CAGR in EPS,"" said brokerage Motilal Oswal in a note. The domestic brokerage and research firm has maintained its Buy rating on Maruti Suzuki shares with a target price of ₹10,000 per share. The auto stock is up more than 11% in 2022 (YTD) so far. Brezza is the first of many new platforms and SUV launches planned over the next two years. Considering that the Brezza was the oldest model in the hyper-competitive UVC segment, this platform upgrade was timely, the note stated.  “It will help MSIL recover part of its lost market share in this important SUV segment. We are building in average monthly domestic volumes (including supplies to Toyota) of ~15k units in FY24 v/s 11.7k units in FY22,"" Motilal Oswal added. The company, along with its vendor partners, have Invested ₹7.6 b on the development of the new Brezza. The management indicated changing consumer buying behavior towards vehicle purchase. As part of the company's vision of providing 'Joy of mobility' to as many people as possible, the automaker said it will strengthen its presence across segments, with special focus on SUV portfolio. The views and recommendations made above are those of individual analysts or broking companies, and not of Mint"
Updated: 01 Jul 2022,"Auto sales in June: Kia records 60% increase, Maruti Suzuki sells 1,47,368 units",https://www.livemint.com/news/india/auto-sales-in-june-kia-records-60-increase-maruti-suzuki-sells-1-47-368-units-11656666773502.html,"There were numerous fresh launches in the passenger vehicle sector in June, and the chip supply problem also seemed to be improving. All of this has resulted in very strong demand for passenger vehicles. The market for commercial vehicles has been boosted by pent-up demand, firming freight rates, and an increase in infrastructure activity. The two-wheeler space is the only one that has not recovered yet as the demand for weddings is declining by 10 to 15 percent month over month.  Maruti Suzuki India, the biggest automaker in India, said on July 1 that total wholesales increased by 5.7% in June to 1,55,857 units. In June 2021, the business had delivered 1,47,368 units to dealers, according to a statement from the company. According to the corporation, domestic sales rose 1.28 percent in May to 1,32,024 units from 1,30,348 units in June 2021. Sales of micro cars, which include the Alto and S-Presso, decreased from 17,439 units in the same month last year to 14,442 units this month. However, sales in the compact segment—which include vehicles like the Swift, Celerio, Ignis, Baleno, and Dzire—rose to 77,746 units in June 2022 from 68,849 units the previous month. From 602 units in June 2021, sales of the mid-size vehicle Ciaz surged to 1,507 units last month. However, sales of utility cars, such as the Vitara Brezza, S-Cross, and Ertiga, fell to 18,860 units from 28,172 in the same month last year, according to MSI. According to the corporation, exports increased significantly last month, reaching 23,833 units, up from 17,020 automobiles in the same month in 2021.  In June, Bajaj Auto sales were unchanged from the same month in 2021, when they were 3,46,136 units, at 3,47,004 units. According to a statement released on July 1, domestic sales (of two-wheelers and commercial vehicles) fell 15% to 1,38,351 units in June from 1,61,836 units in June 2021.However, exports increased 13% to 2,08,653 units in June 2021 above 1,84,300 automobiles. 3,15,948 automobiles were sold in total, including exports, in June 2022, an increase of 2% over 3,10,578 units in the same month the previous year. However, according to the announcement, domestic two-wheeler sales decreased 20%, to 1,25,083 vehicles, from 1,55,640 units in June 2021. In comparison to the same month last year, when 1,54,938 vehicles were exported, two-wheeler exports increased by 23% to 1,90,865 units. When compared to the 35,558 vehicles sold in June 2021, total sales of commercial vehicles fell 13% in a single month to 31,056 units, the business reported.  On July 1, Kia India recorded its highest-ever monthly wholesales at 24,024 units in June, representing a 60% increase over the same time in 2021. In June 2021, the carmaker had delivered 15,015 cars to dealers. The business claimed that it dispatched 1,21,808 units in the domestic market during the first half of 2022, surpassing the milestone of one lakh sales. With 8,388 and 7,895 units, respectively, Seltos and Carens continued to be the top contributors to Kia's overall sales in June. 7,455 and 285 units came from Sonet and Carnival, respectively. ""Despite the global supply chain constraints, we are still managing to achieve milestones in record time,"" Kia India Vice President & Head of Sales and Marketing Hardeep Singh Brar said in a statement. The company is well aware of the lengthening wait times for its model range, and it is making the necessary adjustments to production to speed up delivery to customers.  On July 1, Tata Motors Ltd. revealed that total domestic sales increased by 82% in June 2022 to 79,606 units. In the same month last year, the business reported total domestic sales of 43,704 units, according to a statement from Tata Motors. Additionally, domestic passenger vehicle (PV) sales increased by 87% to 45,197 units from 24,110 units in the same month last year. PV sales were 1,30,125 units in the first quarter of 2022–2023 as opposed to 64,386 units in the same period the previous year. ""Our SUV portfolio contributed 68 percent of Q1 FY23 sales. Electric vehicle sales attained new heights with quarterly sales of 9,283 in Q1FY23 and highest-ever monthly sales of 3,507 units in June 2022,"" Tata Motors Passenger Vehicles Ltd and Tata Passenger Electric Mobility Ltd Managing Director Shailesh Chandra said.  MG Motor India stated on Friday that its retail sales increased by 27% to 4,503 units in June. 3,558 units had been sold at retail by the corporation during the same month last year. The company said in a statement that the sales momentum that is seen across all models is the result of some improvement in chip availability, despite the fact that the prognosis is still limited due to supply-chain bottlenecks and significant logistical challenges. With continuous monthly bookings of over 4,000 and 1,000 units, respectively, the company's flagship brands, the Hector SUV and electric SUV ZS EV, continue to enjoy high consumer demand. The production and supply chain concerns will be addressed, according to MG Motor India, which also expects a gradual improvement in the situation in the second half of 2022.  Volkswagen Passenger Cars India reported sales of 21,588 units for the first half of the year, or almost a twofold rise (January-June). According to a statement from Volkswagen Passenger Cars India, the company sold 10,843 units under the VW brand during the same period last year. According to the statement, the growth has been fueled by the recently released Volkswagen Virtus, Tiguan, and Taigun SUVs. The business said that since the Virtus global sedan's June 9, 2022, introduction in India, it had shipped 2,500 units. ""Amidst the industry challenges that are impacting the supply chain, we are witnessing a high demand for our youngest and freshest product portfolio in the Indian market,"" Volkswagen Passenger Cars India Brand Director Ashish Gupta said.  In June 2022, Skoda Auto India recorded sales of 6,023 vehicles, an increase of more than eight times. In the same month last year, the business sold 734 vehicles, according to a statement from Skoda Auto India. The company reported selling 28,899 units in the first six months of the year, which is more than the 23,858 units it expects to sell annually in 2021. The company's India 2.0 models, the Kushaq and Slavia, entered the market against a very difficult background but are still registering solid sales, according to Skoda Auto India Brand Director Zac Hollis. ""A global pandemic, intermittent lockdowns, economic upheaval, geopolitical instability, and now a continued semiconductor shortage upsetting the supply chain. So, it is an incredible achievement for all of us. Skoda Auto India to continue breaking and setting new sales records,"" he added.  Nissan Motor India has said that domestic wholesales increased slightly in June to 3,515 units. According to a statement from Nissan Motor India, the company recorded domestic wholesales of 3,503 units in the same month last year. According to the report, exports totaled 4,497 units, down from 5,661 units in the same time last year. Rakesh Srivastava, managing director of Nissan Motor India, stated that the company's compact SUV Magnite continues to have high demand momentum with a backlog of more than 16,000 bookings. ""We do see improvements on the supply side in the coming months and would be able to serve more customers,"" he added.  Suzuki Motorcycle India recorded a 68,018 unit increase in total sales, or a 37 percent increase. According to a statement released by Suzuki Motorcycle India Pvt Ltd (SMIPL), the company sold 49,662 units in June 2021. The Japanese two-wheeler manufacturer shipped 52,929 units into the domestic market, up from 40,474 units during the same time last year. 15,089 units were exported last month. The previous year, there were 9,188 units of the same. Satoshi Uchida, the managing director of Suzuki Motorcycle India, claimed that the company's two-wheelers are experiencing rising demand both in India and abroad, which is the cause of the steady sales success. ""As a responsible company, we remain committed to deliver quality products to all our customers,"" he added.  Royal Enfield, a manufacturer of motorcycles, stated on Friday that its overall sales for June increased by 43% to 61,407 units. In the same period last year, the business had sold a total of 43,048 units, according to a statement from Royal Enfield. Domestic sales increased by 40% this month to 50,265 units from 35,815 units in June 2021. 11,142 units of exports represented a 54% increase. According to the report, the same month last year saw 7,233 units sold.  The largest two-wheeler manufacturer of India, Hero MotoCorp, stated that total sales increased by 3% to 4,84,867 units in June. The company had sold 4,69,160 units in the corresponding month in 2021, Hero MotoCorp said in a statement. Sales in the domestic market increased last month from 4,38,514 units in June 2021 to 4,63,210 units. In contrast to the same month a year earlier, when exports were 30,646 units, they were 21,657 units in June. ""The growth in volumes indicate the continuously improving consumer sentiment and the company expects the positive trend to continue in the coming months, on the back of a decent monsoon, and encouraging farm activity,"" the two-wheeler major stated.  Honda Motorcycle and Scooter India (HMSI) has revealed that its overall two-wheeler sales increased by 67% year over year in June to 3,83,882 units. In June 2021, the company had sold 2,32,497 automobiles altogether. In the domestic market, sales increased by 65% to 3,55,560 units in June 2022 from 2,12,453 units in the same month the previous year, the report added. ""The growth expectations with which we set out in the beginning of FY23 is gradually turning into a reality. Timely arrival of monsoon has impacted the economic indicators favourably,"" Atsushi Ogata, Managing Director, President and CEO at Honda Motorcycle and Scooter India, said. (With agency inputs)"
Updated: 29 Jun 2022,Why Toyota-Suzuki stands a better chance than the auto marriages of the past,https://www.livemint.com/opinion/online-views/why-toyota-suzuki-stands-a-better-chance-than-the-auto-marriages-of-the-past-11656493986270.html,"Auto majors Toyota and Suzuki have announced plans for deepening their collaboration in India. The partnership of almost two years stands out, as tie-ups between auto companies invariably end up on the chopping board. Cracks start to appear within two or three years. The sector has a history of divorces following short honeymoons: Ford-Mahindra; Tata Motors-Volkswagen (the joint venture stalled and was called off before take-off); Mahindra-Renault and so on. In Toyota-Suzuki’s case, however, the relationship has been growing stronger and deeper in defiance of the history of car-makers’ demonstrated record of finding it hard to blend cultures of manufacturing and business alliances over the long term. The net outcome of the marriage between Toyota and Suzuki could prove to be an automotive landmark. What’s different about the Toyota-Suzuki dalliance? For one, there’s a crystal-clear business case for who brings what to the table. Suzuki (Maruti) is the undisputed market champ in India in terms of revenue, with proven expertise in two distinct domains: lightweight manufacturing and small cars. Toyota, on the other hand, is revered in Japan, where it is the number one maker of cars, and an established leader in hybrid and electric automotive technology; its hybrid car, Prius, has been around for 25 years.     "
Updated: 27 Jun 2022,Maruti Suzuki bets on hybrids over electric vehicles in clean shift,https://www.livemint.com/auto-news/maruti-suzuki-bets-on-hybrids-over-electric-vehicles-in-clean-shift-11656299876616.html,"Maruti Suzuki India Ltd., the automaker that sells every other car on the nation’s roads, believes electric vehicles aren’t the answer to reducing carbon emissions in the world’s third-biggest releaser of greenhouse gases -- at least not in the immediate future. India’s largest automaker reckons that vehicles powered by hybrid technology, natural gas and biofuels present a better path toward a cleaner future than electric cars considering the nation generates about 75% of its electricity from dirty coal, Chairman R.C. Bhargava said in an interview.  “Talking about electric cars without looking at the greenness of the electricity generated in the country is an inadequate approach to this problem,"" Bhargava said in an interview from his home in Delhi last week. “Until the time we have a cleaner grid power, it’s necessary to use all the available technologies like compressed natural gas, ethanol, hybrid and biogas, which will help reduce the carbon footprint and not push any one technology."" Those views put Bhargava at odds somewhat with several of the world’s largest car manufacturers, including No. 2 player Volkswagen AG, which is forecast to unseat Tesla Inc. as the leading maker of electric cars as soon as 2024. Toyota Motor Corp., which sells the most cars globally, is putting a lot of money into electrifying its line up too but believes in hybrid technology as a logical interim step while the industry builds out stable battery supply chains. India’s shift to electric vehicles is also much slower than other major markets like China and the US even though Prime Minister Narendra Modi has committed to making the South Asian nation a net-zero carbon emitting one by 2070. Arthur D. Little estimates by 2030, electric passenger cars will make up only about 5% of total EV sales. More progress on the two- and three-wheeler front will bring the automobile battery-powered total to about one-third. Charging EVs with clean energy and reducing dependence on coal is difficult in India, the world’s second-most populous country with some 1.4 billion people. The nation was forced to import millions of tons of coal after electricity demand soared amid scorching summer temperatures and rising industrial activity after the pandemic. Maruti plans to launch its first hybrid car under a partnership between its parent Suzuki Motor Corp. and Toyota within 12 months, Bhargava said. Hybrid cars are also a better alternative than EVs given India lacks adequate charging infrastructure, he said.  Maruti will additionally move “aggressively"" into cars that run on compressed natural gas because they’re cleaner than petrol or diesel models and cheaper than EVs, making them a viable option for low-income consumers who want to upgrade from a two-wheeler, he said. Although compressed natural gas is a fossil fuel, it’s one of the cleanest burning in terms of emissions. As the availability of chips improves, Maruti expects to sell 600,000 compressed natural gas cars in the year ending March 2023 versus 230,000 units the previous fiscal year. Maruti currently has nine compressed natural gas models and is planning to introduce more such variants. Using biofuels to power passenger cars is another alternative, however the investment to make it commercially viable is lacking, Bhargava said. There are problems with biofuels also, with their prolonged use in cars potentially extremely harmful to the planet’s limited farmland. India currently blends gasoline with 10% ethanol, which is largely derived from sugarcane, while roughly two-fifths of America’s corn and soybean crops end up burned in engines. Indonesia’s expected consumption of 10 billion liters of biodiesel this year will use up almost a quarter of its palm oil crop. But India does have a big advantage when it comes to generating biogas, considering it has the largest cattle population in the world and the chief raw material for biogas is cattle dung, Bhargava said. Maruti is working with the government and oil companies to boost the production of biogas, he said, adding that the government should give incentives for its production and create vendor development projects to improve the collection, transport and storage of dung from villages. Developing cleaner alternatives will mean Maruti and its suppliers will have to bolster their engineering capabilities, Bhargava said. Maruti plans to hire more engineers, he said, declining to specify the percentage of manpower expansion. “EVs are not going to be a large part of car sales, irrespective of what other manufacturers are saying or planning,"" Bhargava said. “The ability to get green transportation is going to take time in India because of the nature of our electricity generation.""   This story has been published from a wire agency feed without modifications to the text. Only the headline has been changed."
Updated: 24 Jun 2022,Maruti Suzuki and Toyota to produce hybrid SUV in India,https://www.livemint.com/auto-news/maruti-suzuki-and-toyota-to-produce-hybrid-suv-in-india-11656091542642.html,"Toyota Kirloskar Motor (TKM), the local unit of Toyota Motor Corp, is set to begin production of an SUV developed by Suzuki Motor Corporation at its factory in Bidadi, Karnataka from August this year, the company announced on Friday. The car, which will be offered in two hybrid electric variants - mild and strong - will be positioned as a high-traction mid-sized Sports Utility Vehicle (SUV) to take on best-sellers Creta and Seltos, made by South Korean rivals Hyundai and Kia, respectively. The SUV will be cross-badged by the two companies, allowing both Maruti Suzuki and Toyota Kirloskar Motor to sell the car in India and export markets in Africa under different brand names. While the mild hybrid technology for the SUV will be supplied by Suzuki and strong hybrid tech by Toyota, the companies will sell both variants under their respective brands. Toyota is expected to introduce the SUV under the brand name Hyryder in a global unveil on 1 July, according to people aware of the plans. Meanwhile, Maruti Suzuki is gearing up for the launch of a refreshed version of its compact SUV Brezza on 30 June. It is unclear how soon the Toyota and Maruti models will go on sale after production begins in August. “In our partnership, we are already supplying the Baleno since June 2019, which is badged as the Glanza for Toyota, and the Vitara Brezza since September 2020, which was re-badged as the Urban Cruiser"", Shashank Srivastava, executive director, Maruti Suzuki, said. The move by the two Japanese heavyweights to deepen their alliance in India comes at a time when Maruti Suzuki is gearing up to introduce an SUV-focused new product lineup to fill gaps in its portfolio and enable it to claw back the market share it has lost to rivals Tata Motors and Hyundai who have been introducing SUVs at a time the segment accounts for over 40% of all passenger vehicle sales. The Japanese multinationals first inked their business alliance in 2017. “Toyota and Suzuki are promoting mutual supply of vehicles globally, which is one of the collaborations in the business partnership, and the two companies will now start production of a new SUV model developed by Suzuki at Toyota Kirloskar Motor Pvt. Ltd. (TKM) from August. Maruti Suzuki India Limited and TKM will market the new model in India as Suzuki and Toyota models, respectively. Furthermore, the two companies are planning to export the new model to markets outside India including Africa,"" the two companies announced in a press release."
Updated: 24 Jun 2022,"Toyota-Suzuki to launch hybrid SUV in India, Maruti to market the new model",https://www.livemint.com/auto-news/toyotasuzuki-to-launch-hybrid-suv-in-india-11656052496353.html,"Toyota Motor Corp and Suzuki Motor Corp said today said they will begin production in August of their first hybrid sport utility vehicle (SUV) in India. The hybrid sport utility vehicle (SUV), developed by Suzuki, will be manufactured at Toyota Kirloskar Motor Pvt. Ltd plant in India from August. Maruti Suzuki India Limited and Toyota Kirloskar Motor will market the new model in India as Suzuki and Toyota models, respectively.  Furthermore, the two companies are planning to export the new model to markets outside India including Africa. According to a statement from Toyota, the powertrains of the new model will be equipped with hybrid technologies developed by Suzuki and Toyota.  “By bringing together strengths of both Toyota and Suzuki through the collaboration, the two companies will be able to provide a wide variety of vehicle electrification technologies to customers and contribute to the acceleration of electrification and the realization of a carbon-neutral society in India,"" the automaker said.  Toyota Motor Corporation (Toyota) and Suzuki Motor had entered into a business alliance in 2017.  Toyota and Suzuki are promoting mutual supply of vehicles globally, which is one of the collaborations in the business partnership. Since then, the two companies have been bringing together Toyota's strength in electrification technologies and Suzuki's strength in technologies for compact vehicles for joint collaboration in production and in the widespread popularization of electrified vehicles. Toyota President Akio Toyoda said: ""We are pleased to announce the new SUV with Suzuki, a company that has a long history of local involvement in the Indian business. Today, the automotive industry is facing various challenges such as electrification and carbon neutrality. By leveraging the respective strengths of Toyota and Suzuki to provide Indian customers with a variety of options, we hope to contribute to the reduction of CO2 emissions and realize a society where 'no-one is left behind' and 'everyone can move freely.'"" Suzuki President Toshihiro Suzuki said: ""Production of the new SUV at Toyota Kirloskar Motor is a project that can contribute to the growth of India through providing eco-friendly mobility needed by customers. We recognize that it is a big milestone toward further deepening our collaboration in the future. We appreciate the support from Toyota, and at the same time, will explore new synergy and business opportunities through continuous collaboration."""
Updated: 17 Jun 2022,Day trading guide for Friday: 6 stocks to buy or sell today — 17th June,https://www.livemint.com/market/stock-market-news/day-trading-guide-for-friday-6-stocks-to-buy-or-sell-today-17th-june-11655427123268.html,"Day trading guide for Friday: Following weak global cues and mounting fears of recession, Indian stock market extended its losing streak on fifth straight session on Thursday. Nifty 50 index dipped 331 points and closed at 15,360 levels while BSE Sensex crashed 1045 points and closed at 51,495 mark. Nifty Bank index ended 721 points lower at 32,617 levels. BSE small-cap and mid-cap indices fell 2.3 per cent and 2.9 per cent respectively, under-performing the Nifty. Global stock markets fell Thursday as fears of a recession grew after the Federal Reserve's biggest rate hike in nearly three decades and the Swiss National Bank raised its policy interest rate for the first time in 15 years in a surprise move on Thursday. According to stock market experts, a long bear candle was formed on the daily chart after opening higher. This candle has broken decisively below the important support band of 15,700 to 15,600 levels and closed lower. This downside breakout of the support could hint more downside for the market ahead and any upside bounce from here could be a sell on rise opportunity. Day trading guide for stock market today Speaking on day trading guide for Nifty today, Nagaraj Shetti, Technical Research Analyst at HDFC Securities said, ""The sharp weakness of Thursday below the crucial support of 15,600 levels indicate significant downside breakout in the market. One may expect Nifty to slide down to the next lows of around 15,000 to 14,800 in the near term. Any upside bounce from here could be a sell on rise opportunity."" Expecting pullback from short term support levels, Ruchit Jain, Lead Research at 5paisa.com said, ""The momentum readings on the lower time frame chart has reached the oversold zone and hence, a pullback move could be seen from the short term supports in the near term. But until there’s change in data or the structure, the trend remains bearish. The immediate supports for Nifty are placed around 15,270 and 15,080 and because the readings on lower time chart are oversold, a pullback can be seen from these levels. On pullback moves, 15,650 to 15,800 will be seen as immediate resistance zone."" Day trading stocks Sharing intraday stocks for today, stock market experts — Mehul Kothari, AVP — Technical Research at Anand Rathi; Ravi Singh, Vice President & Head of Research at Share India Securities and Avinash Gorakshkar, Head of Research at Profitmart Securities — recommended 6 stocks to buy today. Mehul Kothari's intraday stocks for today 1] HDFC Bank: Buy around ₹1282, target ₹1340, stop loss ₹1255 2] Indus Towers: Buy around ₹204, target ₹212, stop loss ₹198 Ravi Singh's stock picks for Friday 3] Nippon Life India Asset Management Ltd or NAM-India: Buy around ₹285, target ₹300, stop loss ₹280 4] Gabriel India: Buy around ₹116, target ₹125, stop loss ₹108 Avinash Gorakshkar's day trading stocks to buy today 5] Dabur India Ltd: Buy at CMP, target ₹530, stop loss ₹480 6] Maruti Suzuki India Ltd: Momentum buy at CMP, target ₹8200, stop loss ₹7600. Disclaimer: The views and recommendations made above are those of individual analysts or broking companies, and not of Mint."
Updated: 12 Jun 2022,Maruti Suzuki dispatches record 2.33 lakh vehicles via Railways in FY2021-22,https://www.livemint.com/auto-news/maruti-suzuki-dispatches-record-2-33-lakh-vehicles-via-indian-railways-in-fy202122-11655013610690.html,"Maruti Suzuki India has shipped 2.33 lakh vehicles through Railways last fiscal, its highest ever dispatch, since commencing the initiative eight years ago. The automaker said it were increased by 23% in 2021-22 up from 1.89 lakh units it transported using Railways in the 2020-21. Cumulatively, the auto major has transported close to 11 lakh vehicles through Indian Railways in the last eight years, helping avoid over 4,800 MT of carbon dioxide emissions. The move has helped save over 1,56,000 truck trips and over 174 million litres of fuel, according to the carmaker. ""Railway logistics offers a significant potential over road logistics to lower carbon footprint and reduce road congestion. Over the years we have consciously increased the share of car dispatches from our factory to dealers using railways,"" MSI Executive Director Rahul Bharti told PTI news agency From around 66,000 units in 2014-15, it has reached an all-time high of 2.33 lakh units in 2021-22, he noted. ""To further increase the share, we are taking several steps. As an industry first initiative, we have formed joint ventures with the governments of Gujarat and Haryana to set-up in-plant railway sidings at Hansalpur and Manesar manufacturing plants,"" Bharti said. Realising the environmental benefits, the auto major said it has worked with Indian Railways to increase the use of rail transport for vehicle dispatch. MSI was the country's first automobile manufacturer to obtain an Automobile Freight Train Operator (AFTO) license in 2013. This license allowed the company to fabricate and operate high-speed, high-capacity auto-wagon rakes on the Indian Railways network. The company has 41 railway rakes, with a capacity of over 300 vehicles per rake. Currently, Maruti Suzuki utilises six loading terminals across Delhi-NCR and Gujarat (Gurgaon, Farukhnagar, Kathuwas, Patli, Detroj and Chharodi) and 16 destination terminals (Bangalore, Nagpur, Mumbai, Guwahati, Mundra Port, Indore, Kolkata, Chennai, Hyderabad, Ahmedabad, Farukhnagar, Siliguri, Coimbatore, Pune, Agartala and Silchar). With the addition of Agartala (in 2019) and Silchar (in 2021), cars dispatched for North-Eastern states now reach in nearly eight days. (With PTI inputs)"
Updated: 01 Jun 2022,"Reconsider '6 airbags must' proposal; norm to hit small car market, jobs: Maruti",https://www.livemint.com/auto-news/maruti-wants-govt-to-reconsider-proposal-to-make-6-airbags-must-in-cars-says-norm-to-hit-small-car-market-jobs-11653995837464.html,"The government should reconsider the proposal to make six airbags mandatory in passenger vehicles, auto major Maruti Suzuki India (MSI) said, adding that the norm will adversely hit the already shrinking small car market and may even impact jobs in the auto sector going ahead. Maruti said the regulation would largely impact the cost-sensitive entry-level car segment, which has been facing headwinds and witnessing dwindling sales over the last three years, making it even more difficult for two-wheeler users to upgrade to small cars.  Earlier this year, the road transport ministry said it will make it mandatory for carmakers to provide a minimum of six airbags in motor vehicles that can carry up to 8 passengers for enhanced safety of occupants from October 2022. In an interaction with PTI, MSI Chairman RC Bhargava said the cost of the entry-level cars has already gone up considerably due to the implementation of various regulatory norms in the past few years, including the BSVI emission regime from April 1 2020. 'Sales of small cars impacted in non-metro markets' With prices going up, the sales of small cars have been impacted especially in the non-metro markets across the country, the veteran industry leader noted. He cautioned that with the implementation of the six airbag regulation the prices will further go up leading to further shrinking of the domestic small car industry. ""So, the fear is that due to this (six airbags) the market will become smaller. The car manufacturing sector is important because it is a big creator of employment. When the car sells in the market it creates many jobs -- drivers, maintenance, repairs, accessories etc,"" Bhargava stated. He added: ""If the car market does not grow like what has been happening in the last three years it will have an adverse effect on job creation and economic growth"". When asked how much the price of cars could go up due to the addition of airbags, Bhargava said: ""I am not sure but it could be in the range of ₹20,000-25,000, which for a small car buyer is a lot of money"". Bhargava noted that there were not many countries across the globe, which may have implemented such a regulation. ""I think, we will be among the first countries to do that...so we in the industry think that it is not the right time to bring six airbag regulations. We would like the government to reconsider this matter,"" Bhargava said. While acknowledging that airbags do help save lives in case of road accidents, Bhargava noted that the cost increase due to the regulation will, however, deter many driving two-wheelers to upgrade to entry-level cars. ""Driving a two-wheeler is any day more unsafe than driving a car. So, overall fatalities due to car accidents may come down..whereas the chances of fatalities in the two-wheeler may go up. So, overall if there is benefit in all of this, it is a matter of pondering,"" he stated. The matter needs to be seen in totality, Bhargava noted. He stated that the impact on small cars is more compared to bigger cars when the cost goes up. ""So, that is what has happened and now, we will have this extra cost again of additional airbags, so the industry has expressed a view that the market will become further smaller for the small cars,"" Bhargava said. He noted that with a hit on the affordability factor, small car offtake is shrinking in the smaller cities, towns and rural areas while the market for expensive cars in urban centres was going up across the country. Understanding the additional airbags mandate for cars From 1 April, 2019, several safety features became mandatory, which includes a driver-side airbag. Passenger airbag was mandatory from 1 January, 2022. The government says the airbags will ensure the safety of passengers across all segments, irrespective of the cost/variant of the vehicle. While this may be true but the additional airbags are expected to increase the costs of cars by around ₹50,000. According to the latest government data, a total of 1,16,496 road accidents occurred on national highways (NHs), including expressways, in 2020, causing 47,984 deaths. For some cars that do not offer side and curtain airbags in any variants will require changes to the body shell as well as to the interior trim and fittings to ensure that the airbags deploy safely and effectively. This would further increase the cost of vehicles. Airbag count in other nations Back in 1988, the US passed a Federal law, which made a driver airbag compulsory for all cars sold in the country. In 1998, the US passed a law that required all cars and light trucks sold in the United States have airbags on both sides of the front seats.  Till date, there is no law that enforces six airbags as standard, although in most developed, highly industrialised countries, average car safety levels are much higher than they are in India. According to German mobility magazine Bubgeldkatalog, airbags are not mandatory by law in Germany. Although not must, almost all new vehicles are equipped with a minimum of one airbag, especially small.  "
