company_name,main_link
Adani Ports & Special Economic Zone,https://www.livemint.com/market/market-stats/stocks-adani-ports-special-economic-zone-share-price-nse-bse-S0003086
Apollo Hospitals Enterprise,https://www.livemint.com/market/market-stats/stocks-apollo-hospitals-enterprise-share-price-nse-bse-S0003104
Asian Paints,https://www.livemint.com/market/market-stats/stocks-asian-paints-share-price-nse-bse-S0003079
Axis Bank,https://www.livemint.com/market/market-stats/stocks-axis-bank-share-price-nse-bse-S0003048
Bajaj Auto,https://www.livemint.com/market/market-stats/stocks-bajaj-auto-share-price-nse-bse-S0003120
Bajaj Finance,https://www.livemint.com/market/market-stats/stocks-bajaj-finance-share-price-nse-bse-S0003015
Bajaj Finserv,https://www.livemint.com/market/market-stats/stocks-bajaj-finserv-share-price-nse-bse-S0003036
Bharat Petroleum Corp,https://www.livemint.com/market/market-stats/stocks-bharat-petroleum-corp-share-price-nse-bse-S0003060
Bharti Airtel,https://www.livemint.com/market/market-stats/stocks-bharti-airtel-share-price-nse-bse-S0003039
Britannia Industries,https://www.livemint.com/market/market-stats/stocks-britannia-industries-share-price-nse-bse-S0003082
Cipla,https://www.livemint.com/market/market-stats/stocks-cipla-share-price-nse-bse-S0003049
Coal India,https://www.livemint.com/market/market-stats/stocks-coal-india-share-price-nse-bse-S0003044
Divis Laboratories,https://www.livemint.com/market/market-stats/stocks-divis-laboratories-share-price-nse-bse-S0003081
Dr Reddys Laboratories,https://www.livemint.com/market/market-stats/stocks-dr-reddys-laboratories-share-price-nse-bse-S0003058
Eicher Motors,https://www.livemint.com/market/market-stats/stocks-eicher-motors-share-price-nse-bse-S0003093
Grasim Industries,https://www.livemint.com/market/market-stats/stocks-grasim-industries-share-price-nse-bse-S0003182
HCL Technologies,https://www.livemint.com/market/market-stats/stocks-hcl-technologies-share-price-nse-bse-S0003045
HDFC Bank,https://www.livemint.com/market/market-stats/stocks-hdfc-bank-share-price-nse-bse-S0003020
HDFC Life Insurance Company,https://www.livemint.com/market/market-stats/stocks-hdfc-life-insurance-company-share-price-nse-bse-S0003103
Hero Motocorp,https://www.livemint.com/market/market-stats/stocks-hero-motocorp-share-price-nse-bse-S0003088
Hindalco Industries,https://www.livemint.com/market/market-stats/stocks-hindalco-industries-share-price-nse-bse-S0003072
Hindustan Unilever,https://www.livemint.com/market/market-stats/stocks-hindustan-unilever-share-price-nse-bse-S0003053
Housing Development Finance Corporation,https://www.livemint.com/market/market-stats/stocks-housing-development-finance-corporation-share-price-nse-bse-S0003013
ICICI Bank,https://www.livemint.com/market/market-stats/stocks-icici-bank-share-price-nse-bse-S0003019
ITC,https://www.livemint.com/market/market-stats/stocks-itc-share-price-nse-bse-S0003028
Indusind Bank,https://www.livemint.com/market/market-stats/stocks-indusind-bank-share-price-nse-bse-S0003023
Infosys,https://www.livemint.com/market/market-stats/stocks-infosys-share-price-nse-bse-S0003032
JSW Steel,https://www.livemint.com/market/market-stats/stocks-jsw-steel-share-price-nse-bse-S0003097
Kotak Mahindra Bank,https://www.livemint.com/market/market-stats/stocks-kotak-mahindra-bank-share-price-nse-bse-S0003043
Larsen & Toubro,https://www.livemint.com/market/market-stats/stocks-larsen-toubro-share-price-nse-bse-S0003025
Mahindra & Mahindra,https://www.livemint.com/market/market-stats/stocks-mahindra-mahindra-share-price-nse-bse-S0003059
Maruti Suzuki India,https://www.livemint.com/market/market-stats/stocks-maruti-suzuki-india-share-price-nse-bse-S0003046
NTPC,https://www.livemint.com/market/market-stats/stocks-ntpc-share-price-nse-bse-S0003057
Nestle India,https://www.livemint.com/market/market-stats/stocks-nestle-india-share-price-nse-bse-S0003095
Oil & Natural Gas Corporation,https://www.livemint.com/market/market-stats/stocks-oil-natural-gas-corporation-share-price-nse-bse-S0003030
Power Grid Corporation Of India,https://www.livemint.com/market/market-stats/stocks-power-grid-corporation-of-india-share-price-nse-bse-S0003068
Reliance Industries,https://www.livemint.com/market/market-stats/stocks-reliance-industries-share-price-nse-bse-S0003018
SBI Life Insurance Company,https://www.livemint.com/market/market-stats/stocks-sbi-life-insurance-company-share-price-nse-bse-S0003216
Shree Cement,https://www.livemint.com/market/market-stats/stocks-shree-cement-share-price-nse-bse-S0003220
State Bank Of India,https://www.livemint.com/market/market-stats/stocks-state-bank-of-india-share-price-nse-bse-S0003016
Sun Pharmaceutical Industries,https://www.livemint.com/market/market-stats/stocks-sun-pharmaceutical-industries-share-price-nse-bse-S0003089
Tata Consultancy Services,https://www.livemint.com/market/market-stats/stocks-tata-consultancy-services-share-price-nse-bse-S0003051
Tata Motors,https://www.livemint.com/market/market-stats/stocks-tata-motors-share-price-nse-bse-S0003022
Tata Steel,https://www.livemint.com/market/market-stats/stocks-tata-steel-share-price-nse-bse-S0003026
Tataconsumer,https://www.livemint.com/market/market-stats/stocks-tataconsumer-share-price-nse-bse-S0003126
Tech Mahindra,https://www.livemint.com/market/market-stats/stocks-tech-mahindra-share-price-nse-bse-S0003115
Titan Company,https://www.livemint.com/market/market-stats/stocks-titan-company-share-price-nse-bse-S0003074
UPL,https://www.livemint.com/market/market-stats/stocks-upl-share-price-nse-bse-S0003029
Ultratech Cement,https://www.livemint.com/market/market-stats/stocks-ultratech-cement-share-price-nse-bse-S0003075
Wipro,https://www.livemint.com/market/market-stats/stocks-wipro-share-price-nse-bse-S0003105
