article_time,article_title,article_link,article_content
Updated: 03 Jul 2022,Windfall tax to regain the ₹1 lakh crore revenue lost in excise cuts: Report,https://www.livemint.com/news/india/windfall-tax-by-govt-to-regain-most-of-rs-1-lakh-crore-revenue-lost-in-excise-cuts-sources-11656826873556.html,"The windfall tax on oil produced within India and fuel exported overseas will make up for more than three-fourths of the revenue that the government lost when it cut excise duty on petrol and diesel to cool soaring inflation, according to news agency PTI report citing industry sources said. This development comes following India joining on July 1 a select group of countries that began taxing windfall gains accruing to oil companies from soaring energy prices. What is windfall tax? A windfall tax is a type of one-off tax on companies that have seen their profits increase extraordinarily based on favorable market conditions. The government has imposed a ₹6 per litre tax on the export of petrol and jet fuel (ATF) and ₹13 a litre on the export of diesel effective July 1. A ₹23,250 per tonne tax was levied on crude oil produced domestically. Meanwhile, two sources with knowledge of the calculations said, the tax on crude oil producers like Oil and Natural Gas Corporation (ONGC), Oil India Ltd and Vedanta Ltd alone will fetch the government ₹69,000 crore annually considering 29.7 million tonnes of oil production in 2021-22 fiscal (April 2021 to March 2022), . Notably, for the remaining nine months of the current fiscal, the levy would get the government almost ₹52,000 crore if the tax remains in place till March 31, 2023.On top of this, the new tax brought in on the export of petrol, diesel and ATF would bring in additional revenue. According to one of the sources, ""India exported 2.5 million tonnes of petrol, 5.7 million tonnes of diesel and 797,000 tonnes of ATF during April and May. Even if these volumes fall to a third due to the new levy and other restrictions imposed, the government would still be richer by at least ₹20,000 crore if the tax continues till March 2023."" Reliance Industries Ltd operates a 35.2 million tonnes a year only-for-exports oil refinery at Jamnagar in Gujarat and that refinery is expected to continue overseas shipments even with the new tax, the second source said. Some exports are also expected from the firm's adjoining 33 million tonnes a year refinery that is meant to cater to the domestic market. ""Reliance has a fuel retailing joint venture with BP and that joint venture operates 1,459 out of 83,423 petrol pumps in the country. Even after meeting the full requirement of the 1,459 petrol pumps and selling some fuel to PSU retailers, it still would be left with exportable surplus"" the source said. Similarly, Rosneft-backed Nayara Energy operates a 20 million tonnes a year refinery at Vadinar in Gujarat. It has 6,619 petrol pumps whose full requirement would be less than about 12 million tonnes of petrol, diesel and ATF that the refinery produces annually. The two taxes together will accrue as much as ₹72,000 crore or over 85 per cent of the revenue that the government lost from cutting excise duty on petrol and diesel, sources said. (With inputs from PTI)"
Updated: 01 Jul 2022,"RIL, ONGC shares crash after govt hikes export tax on petrol, diesel",https://www.livemint.com/news/india/govt-hikes-export-tax-on-petrol-diesel-and-atfs-ril-shares-see-sharp-fall-11656651138911.html,"The government on Friday announced an increase in taxes on the export of petrol, diesel, and aviation turbine fuel (ATF). The centre has also mandated exporters to meet the requirements of the domestic market first. The government has levied a ₹6 per litre tax on exports of petrol and ATF and ₹13 per litre on exports of diesel. The government has also announced taxes on windfall gains made by crude oil producers. The government also slapped a ₹23,230 per tonne additional tax on domestically produced crude oil to take away windfall gains accruing to producers from high international oil prices, a separate government notification showed. Shares of Reliance Industries Ltd (RIL), Oil and Natural Gas Corporation (ONGC) witnessed a sharp fall after the export tax hike announcement. RIL shares plunged more than 5%, its biggest decline in about 18 months, whereas ONGC shares tanked 10% in Friday's early deals, while BSE Sensex was down nearly a per cent. “Reliance is witnessing a sharp fall after the Government has levied taxes on windfall gains made by domestic refineries. Earlier Reliance was firing on all cylinders but now there is a break in its refinery business as the commodity cycle is also reversing however other verticals have strong growth potential,"" said Santosh Meena, Head of Research, Swastika Investmart Ltd. Fuels from Mukesh Ambani-led RIL's Jamnagar refinery are exported to several countries across the world.  Gasoline exporters have been asked to give a self declaration that 50% of the quantity mentioned in the shipping bill has been or will be supplied to the domestic market during the current financial year. The tax on exports follows oil refiners, particularly the private sector, reaping huge gains from exporting fuel to markets such as Europe and the US. The tax on domestically produced crude oil follows local producers reaping windfall gains from the surge in international oil prices.  Domestic petrol and diesel prices have been steady since May when the government announced a cut in excise duty on petrol by 8 per litre, and 6 rupees per litre on diesel on May 21, 2022. The domestic fuel prices are likely to remain low as the taxes announced today by the government do not impact them."
Updated: 23 Jun 2022,ONGC Videsh announces new oil discovery in Colombia,https://www.livemint.com/news/world/ongc-videsh-announces-new-oil-discovery-in-colombia-11655990996838.html,"ONGC Videsh Limited (OVL), Indian oil and gas explorer Oil and Natural Gas Corporation's overseas arm on 23 June announced to have made an oil discovery in the recently drilled well of Urraca-IX, in Colombia's Llanos Basin CPO-5 block. Adding more, the OVL said that the Urraca-1X was spudded on 20 April and drilled to target depth (TD) of 10956 feet, encountering 17 feet thick oil-bearing sands at a depth from 10201 feet-10218 feet. ""During initial testing with Electrical Submersible Pump (ESP), fluid flowed @ approx. 600 bbl./day with around 40-50% W/C and oil of 16oAPI. Oil discovery in the Lower Mirador play in this well opens up new areas for further exploration in the northern part of the block,"" it said in a statement. Earlier, ONGC Videsh had discovered commercial oil in the Lower Sand pay in Mariposa and Indico fields in the block in 2017 and 2018 respectively, which are currently commercially producing at 20,000 bbl oil per day. ALSO READ: Oil Ministry mulls proposal for new ONGC chairman, may extend higher age limit Block CPO-5 was awarded to ONGC Videsh Limited in the 2008 bid round of Colombia. ONGC Videsh holds 70 per cent participating interest (PI) in the block along with operatorship, while remaining 30 per cent is held by partner Geopark, the statement added. ""ONGC Videsh has a significant presence in oil & gas sector in Colombia, with three other exploratory blocks in the country and joint ownership of the oil producing company Mansarovar Energy Colombia Ltd (MECL),"" ONGC said. Oil discovery in a new play in the block with the well Urraca-1X, reiterates the technical and operational prowess of ONGC Videsh and adds one more feather in its cap towards the extensive Exploration and Drilling campaign in Colombia, the Indian oil and gas explorer said."
Updated: 19 Jun 2022,"Oil Ministry mulls proposal for new ONGC chairman, may extend higher age limit",https://www.livemint.com/news/india/oil-ministry-mulls-proposal-for-new-ongc-chairman-may-extend-higher-age-limit-11655657701122.html,"The Oil Ministry Ministry has proposed raising of eligibility age as well as a shorter tenure for the new chairman and managing director of Oil and Natural Gas Corporation. The following proposal has been raised after the government failed to find any suitable candidate for top job. According to the proposal,  any candidate to be eligible for consideration should not be more than 60 years of age on the date of occurrence of vacancy, said ministry's office memorandum sent to the Department of Personnel and Training (DoPT) on 17 June. The recent vacancy arose after Shashi Shanker superannuated on 31 March, 2021. Currently, the minimum age prescribed for being eligible for the top job is 45 years. Apart from this, internal candidates need to have two years of residual service as on the date of vacancy and three years for external candidates. ALSO READ: ONGC results: 31% jump in Q4 profit on high oil, gas prices The new proposal says any eligible candidate who is not more than 60 years of age at the time of occurrence of vacancy which was 1 April, 2021, should be considered eligible. This means, current acting chairman, Alka Mittal -- scheduled to retire in August-end would come under the zone of consideration. Also, the ministry has also proposed appointment for a period of three years from the date of joining instead of the present five-year term. The selection for the top post will be done through a three-member search-cum-selection committee headed by PESB chairman and composed of oil secretary and former Indian Oil chairman B Ashok. Earlier on 4 February, the panel was formed, but the terms of reference are being framed only now. ""Keeping in view the strategic importance and vision for the company and its future, the board did not recommend any candidate and decided to constitute a search committee,"" the ministry letter said referring to PESB's interviews on 5 June, 2021. The panel was constituted after eight months of that recommendation on 4 February. The Appointments Committee of the Cabinet (ACC) approved ""consideration of central government officers, including those of the armed forces of the Union and the all India services for the post on immediate absorption basis."" ALSO READ: ONGC to boost exploration with ₹31,000 cr investment over 3 years ""Energy security is critical for the nation. ONGC plays a pivotal role in exploration as India's National Oil Company (NOC). Its activities need to be scaled significantly and rapidly. As an NOC, it is necessary to have a specially designed 'sui generis' job description for ONGC in order to attract the best talent available,"" it said. If the proposal is accepted, it will throw open the field for ONGC's former director (finance) Subhash Kumar as well as current acting chairman Alka Mittal. Both of them are otherwise were ineligible for the post. As per government practice, PESB recommends a name for a board-level position at least three months prior to arising of the vacancy. While in ONGC's case, PESB advertised and interviewed candidates after the retirement of Shashi Shanker on 31 March, 2021. With Shashi Shanker's retirement, director for finance and senior most director on ONGC board -- Subhash Kumar -- was given the additional charge of chairman and managing director. When he retired on 3 December, 2021, ONGC's Director for Human Resources -- Alka Mittal -- was given additional charge. She will superannuate in August. With the age relaxations proposed, other internal directors of ONGC would also become eligible. With inputs from PTI"
Updated: 28 May 2022,ONGC results: 31% jump in Q4 profit,https://www.livemint.com/news/india/ongc-results-31-jump-in-q4-profit-on-high-oil-gas-prices-11653754926561.html,"ONGC results: On May 28, Oil and Natural Gas Corporation (ONGC) reported a 31.5 percent increase in net profit for the March quarter, owing to the best-ever price for crude oil it produces and sells. According to the company's regulatory filing, standalone net profit was ₹8,859.54 crore, or ₹7.04 per share, in January-March, compared to ₹6,733.97 crore, or ₹5.35 per share, in the same period a year ago. From ₹21,188.91 crore in January-March 2021 to ₹34,497.24 crore in the fourth quarter of the fiscal year 2021-22, revenue from operations increased to ₹34,497.24 crore. ONGC reported a record net profit of ₹40,305.74 crore for the full fiscal year (April 2021 to March 2022), up from ₹11,246.44 crore the previous year. This comes after international energy costs began to rise in late 2021 and peaked in February after Russia invaded Ukraine. ONGC receives international pricing for the crude oil it produces, hence the rise in energy prices benefited it. ONGC gets international rates as the downstream fuel retailers too price petrol, diesel and other petroleum products at global rates. Consolidated net profit, after including those earned by its subsidiaries like HPCL and ONGC Videsh Ltd, soared to ₹12,061.44 crore in March quarter and ₹49,294.06 crore in the full fiscal 2021-22. This compared to ₹10,963.04 crore in January-March 2021 and ₹21,360.25 crore in 2020-21. (With PTI inputs)"
Updated: 28 Jan 2022,"Adani, IOC, 10 others bag licenses for city gas distribution networks",https://www.livemint.com/news/india/adani-ioc-10-others-bag-licenses-for-city-gas-distribution-networks-11643384280982.html,"NEW DELHI : Adani Total Gas Ltd, Indian Oil Corporation Ltd and Bharat Petroleum Corporation Ltd (BPCL) are among 13 successful bidders for city gas distribution (CGD) network in the lates round of bidding conducted by the Petroleum and Natural Gas Regulatory Board (PNGRB). In a statement on Friday, PNGRB said that in its meeting on January 27, the board approved the issuance of letter of intent (LoI) to the 13 successful bidders for 52 geographical areas. The letters of intent were issued on Friday. Out of the 52 geographical areas, Adani Total bagged licenses for 14 geographical area. The state-run energy majors Indian Oil and BPCL won licenses for 8 and 4 geographical areas respectively. Megha Engineering & Infrastructures Limited bagged 13 licenses. Other winners in the latest round were the consortium of Assam Gas Company and Oil India, consortium of Dinesh Engineers and Resonance Energy and Tolani Projects, GAIL and Sholagasco Pvt Ltd. The last date of bid submission was December 15, 2021. A total of 439 bids were received from 26 bidders against 61 out of 65 areas offered."
Updated: 19 Dec 2021,ONGC subsidiary OPaL reports first-ever profit of ₹18 cr during April-Sept,https://www.livemint.com/industry/energy/ongc-subsidiary-opal-reports-first-ever-profit-of-rs-18-cr-during-aprilsept-11639912387122.html,"NEW DELHI : India's top oil and gas producer ONGC has scripted a sharp turnaround in fortunes of its subsidiaries with its petrochemical unit reporting its first ever profit, a top official said.  ONGC Petro additions Ltd (OPaL), the venture ONGC floated for downward integration and expansion into petrochemical field by utilizing its naphtha stream from Hazira and Uran and C2+ components from imported LNG, has been steadily seeing operational profit or EBITDA improvement since 2016-17 but the lopsided capital structure with high-debt servicing cost and high depreciation during the initial period of capitalisation led to incurring net losses.  ""During the first half of the current fiscal (April to September), OPaL made a profit after tax of ₹18 crore,"" ONGC Chairman and Managing Director Subhash Kumar said.  Kumar, who pivoted the turnaround story with his finance background, said OPaL is in the process of exiting from the SEZ which would improve the profitability by ₹800 crore per annum and about ₹600 crore of more profits will be added if the government were to approve a proposal for the company becoming a unit of ONGC or is merged with it.  Oil and Natural Gas Corporation (ONGC) during 2002 to 2006 conceptualized several joint ventures to diversify in other than exploration and production (E&P) business with an objective of value addition, downstream integration and monetisation of its own stranded gas assets.  These projects - OPaL, ONGC Mangalore Petrochemicals Ltd (OMPL) and ONGC Tripura Power Company (OTPC) were successfully implemented and are now operating at full capacity.  ONGC as promoter played lead role in selection of LSTK/PMC contractors, execution of various feedstock and off-take agreements, resolution of various complex techno- commercial, regulatory and taxation issues crept during execution and commissioning of these projects.  Besides resolving operational, financial and regulatory issues, it let the joint ventures be headed by professional domain expert best from the industry.  Kumar said as per ONGC 2040 Strategy, going forward 70 per cent revenue is expected from refinery and petrochemical business and 10 per cent profit will be contributed from non-oil and gas sector, and so the role of these non-E&P JVs will continue to play a crucial role in the Group.  ONGC holds 49.36 per cent stake in the 1.1 million tons per annum capacity OPaL, GAIL has 49.21 per cent and GSPC the remaining 1.43 per cent.  ""ONGC has played a crucial role in OPaL's turnaround story starting from support during construction phase, its stabilization and continuous supply of feed stock from its plant which is crucial to the profitability of any petrochemical venture.  In addition to an equity contribution of ₹998 crore, ONGC has also subscribed to share warrants issued by OPaL amounting to ₹3,451 crore,"" he said.  The firm also single handedly backstopped ₹7,778 crore CCDs and provided comfort letters amounting to ₹9,500 crore for the loans, he said.  OTPC, in which ONGC holds 50% stake, set up a 726.6 MW gas-based power plant in Tripura. The plant started operation in March 2014. Kumar said OTPC is a classic case of an efficiently managed entity.  During the project phase in order to avoid delays, entire oversized cargo (ODC) was routed through Bangladesh.  Plant has been generating profit since inception and is one of a few gas based companies paying dividends. OTPC caters to about 30% of electricity requirement of the entire North Eastern region at a competitive tariff.  It is the anchor customer for offtake of ONGC's gas from Tripura, off-taking about 60% of total gas production and thus utilizing the stranded gas in the region unlocking the value of ₹700 crore per annum.  With these investments, the state of Tripura has become power surplus from power deficient state, enabling exporting electricity to Bangladesh.  Till date with an equity investment of ₹560 crore, ONGC has received about ₹310 crore as dividend and ₹106 crore premium on sale of residual equity to GIP in 2015. Petronet MHB Ltd is another classic turn around story where ONGC as a promoter played a crucial role in turning a loss making entity to a profit making dividend paying entity.  With continuous guidance at Board level and effective management the company is consistently making profits even during the Pandemic period. ONGC has earned a total dividend of ₹208 crore out of total investment of ₹274 crore.  In case of OMPL, the standalone petchem unit was subject to low spreads due to cyclic nature due to supply/demand dynamics in the region.  To tide over this, ONGC has initiated a merger of the company with its refinery subsidiary Mangalore Refinery and Petrochemicals Ltd (MRPL).  ""ONGCs presence across the value chain and beyond the E&P business is also an effective way to mitigate risk. ONGC Group is able to better shield itself from volatile crude markets as the combined entity will have exposure across commodity cycles,"" he said.  The company had acquired the government's 51.11% equity stake in HPCL to expand its presence into midstream and downstream sectors. ""Going forward, ONGC's major stake in HPCL and MRPL will become the dominant driving factor for maximizing the shareholding value,"" he added.  This story has been published from a wire agency feed without modifications to the text. Only the headline has been changed."
Updated: 03 Dec 2021,ONGC aims to foray into renewable space,https://www.livemint.com/industry/energy/ongc-aims-to-foray-into-renewable-space-11638514401610.html,"In a bid to increase its footprint in the renewable space, especially in solar energy, Oil and Natural Gas Corporation (ONGC) signed an agreement with Solar Energy Corporation of India (SECI) on Thursday.  The Memorandum of Understanding (MoU) provides a broad, overarching framework for ONGC and SECI to collaborate and cooperate for undertaking renewable energy projects including solar, wind, solar parks, EV value chain, green hydrogen, storage, etc,"" an official release said. The MoU was signed by ONGC Chairman and Managing Director Subhash Kumar and SECI Managing Director Suman Sharma, a statement said. Kumar said, ""While we appreciate the magnitude and urgency of the climate change challenge, we also understand our commitment towards energy security of the country and are committed to carrying out our business in a sustainable manner."" ""ONGC has a multipronged strategy to make its green energy portfolio richer and has plans to progressively move towards carbon neutrality by effective carbon management and adding renewable energy capacity,"" he added. As per the statement, ONGC has cut down its carbon emission intensity by 13.67 per cent over the last five years as part of making its operations more sustainable through diverse emissions reduction initiatives. The company is considering India's first 200-300 MW demonstration wind offshore power project for which feasibility study is carried out jointly with NTPC Ltd. Meanwhile, Sharma said, “SECI is happy to associate with ONGC in this path-breaking initiative that will open new avenues of sustainable development and promises to take India to new frontiers of technology and scale. We are dedicated towards fulfilling India’s climate commitments and look forward to a continuing partnership."""
Updated: 08 Nov 2021,Govt calls for NTPC to become global energy behemoth,https://www.livemint.com/companies/news/govt-calls-for-ntpc-to-become-global-energy-behemoth-11636352058787.html,"New Delhi: The union government has called for state-run NTPC Ltd to become the largest energy multinational. This was articulated by power and new and renewable energy minister Raj Kumar Singh on Sunday. This comes in the backdrop of India’s largest power generation firm’s pivot towards green energy. NTPC Group posted a net profit of $1.85 billion in FY21. It has also set an aim of 10% reduction in net energy intensity. “Shri Singh also emphasised that NTPC should raise the level from being a national company to being an international behemoth and should dream of becoming the biggest multi-national in field of energy,"" NTPC said in a statement. The state-run company has an installed capacity of about 67 gigawatt (GW) across 70 power projects, with 18 GW under construction. It has set an ambitious aim of 60 GW renewable energy capacity by 2032 from the existing 4.7 GW. NTPC has won 4.32 GW of renewable energy bids since the last financial year. It plans to invest ₹1 trillion between 2019 and 2024 to become a 130GW power producer by 2032. Speaking at NTPC’s Raising Day, “In his address he further stressed that NTPC needs to keep growing and add capacity as the country needs to keep pace with the ever growing demand for energy. He also underlined NTPC’s impressive record of producing almost a billion units every day."" India’s daily electricity consumption has crossed 4 billion units , resulting in a 18% spike in coal consumption during August-September 2021 compared to the corresponding period in 2019. NTPC is also preparing to list its clean energy units NTPC Renewable Energy Limited (NTPC REL) and NVVN. As part of its diversification strategy, NTPC is also looking to leverage hydrogen for transportation by mixing the fuel with natural gas for City Gas Distribution (CGD) network. NTPC REL has also inked a pact with the Union territory of Ladakh for a green hydrogen mobility project, with the company along with NVVN jointly executing the project. NTPC also plans to partner with National Investment and Infrastructure Fund, the country’s quasi-sovereign wealth fund, and Oil and Natural Gas Corporation to acquire and develop green energy assets including offshore wind projects.  "
Updated: 28 Sep 2021,NTPC won 4.32 GW capacity in renewable energy bids since FY21,https://www.livemint.com/industry/energy/ntpc-won-4-32-gw-capacity-in-renewable-energy-bids-since-fy21-11632828430866.html,"New Delhi: As part of its pivot towards green energy, India’s largest power generation company NTPC Ltd has won 4.32 gigawatt (GW) of renewable energy bids since the last financial year. This assumes significance given that the state-run NTPC Ltd recently bid a record low solar tariff of Rs1.99 per unit setting a new benchmark in the sector. “A total of 1560 MW of renewable bids won in FY21, which constitute 15% of total bids finalized in the country in FY21, through open competition. We have also won 2765 MW RE bids in FY22 till date. NTPC has now emerged as a serious player in Indian RE sector,"" said NTPC chairman and managing director Gurdeep Singh at the 45th annual general meeting of the state-run firm. NTPC recently won 1.9 GW solar power project contract in the bids floated by Indian Renewable Energy Development Agency Limited (IREDA). This comes in the backdrop of India’s plan to leverage state-run power sector firms to augment its clean energy plans, with the central PSUs to be given in-principle approval to bid for a pre-determined capacity of renewable energy projects based on their balance sheet. “We have made plans for creating a renewables portfolio which could be as large as the thermal portfolio. Accordingly, the renewable targets have been revised to 60 GW from 30 GW by 2032,"" Singh said. NTPC is, meanwhile, preparing to list its clean energy units NTPC Renewable Energy Limited (NTPC REL) and NTPC Vidyut Vyapar Nigam Ltd (NVVN). The company has set an ambitious aim of 60 GW renewable energy capacity by 2032 from the existing 4.7 GW. It plans to invest ₹1 trillion between 2019 and 2024 to become a 130GW power producer by 2032. “As indicated last year, a separate subsidiary for renewables, NTPC Renewable Energy Limited has been formed to add renewables through focused approach. We will also list this company in due course,"" Singh said. “Efforts are also underway for increasing power trading through NVVNL. We are focusing on increasing business portfolio of NVVNL which will also be listed in due course,"" Singh added. NTPC Group posted a net profit of $1.85 billion in FY21. It has also set an aim of 10% reduction in net energy intensity. The state-run company has an installed capacity of about 67 GW across 70 power projects, with 18 GW under construction. “NTPC group topped the 300 BU generation mark for 2nd time and registered highest group generation since inception,"" Singh said. NTPC also plans to partner with National Investment and Infrastructure Fund (NIIF), the country’s quasi-sovereign wealth fund, and Oil and Natural Gas Corporation to acquire and develop green energy assets including offshore wind projects. “Approval has also been received from Government of Madhya Pradesh for development of solar plant in the land acquired for a coal-based plant. Additionally, discussions are also in progress with various State Governments for allocation of land parcels and water bodies,"" Singh said. As part of its diversification strategy, NTPC is also looking to leverage hydrogen for transportation by mixing the fuel with natural gas for City Gas Distribution (CGD) network. NTPC REL has also inked a pact with the Union territory of Ladakh for a green hydrogen mobility project, with the company along with NVVN jointly executing the project. “Your company believes that Green Hydrogen is going to occupy significant energy space in future and the interplay between electrons and molecules would lead to significant benefits. Accordingly, we have initiated development projects as well as field demonstration projects for Hydrogen production. An agreement has been signed with Union Territory of Ladakh for setting up of country’s first green Hydrogen mobility project in the region,"" Singh said. “We have taken up pilot projects on fuel cell-based storage and short-term energy storage micro grid project. Additionally, R&D works are in progress for development of High Temperature Steam Electrolysers, Static Hydrogen Compression System, and development of sea water electrolyser,"" Singh added. With the current cost of green hydrogen produced by electrolysis estimated at around ₹350 per kg, India’s green hydrogen playbook plans to bring it down to ₹160 per kg by 2029-30. Such a cost price will make India's plan to build green hydrogen plants to run on electricity produced by green energy sources a value proposition. Apart from providing grid-scale storage solutions and feedstock for ammonia production, hydrogen can be used for fuel cell and is being leveraged for mobility applications and transportation. It also has usage in sectors such as chemicals, iron, steel, fertilizer, refining, and heating. “We are exploring various options using Hydrogen like transport, blending with natural gas, green ammonia, methanol etc. and aspire to lead “Hydrogen Economy"" in India and globally,"" Singh said. NTPC has also secured a raft of project contracts under the aegis of International Solar Alliance (ISA) in Cuba, Niger and Malawi to help set up solar parks to meet these countries’ electricity demands. NTPC is also eyeing similar opportunities in other ISA member countries in Africa such as Sudan, Congo, Mozambique, Egypt, Uganda, Rwanda, Gambia, Tanzania, Senegal, and Zimbabwe. NTPC has been engaged as a facilitator by ISA and is targeting to help set up 10 GW capacity in ISA member countries. “We are actively pursuing various option for increasing geo-strategic reach. We have undertaken PMC assignments for 1835 MW solar capacity under ISA programme,"" Singh said."
