article_time,article_title,article_link,article_content
Updated: 27 Oct 2021,"Stocks to Watch: Adani Ports, Maruti, ITC, Bajaj Auto, PNB, Titan",https://www.livemint.com/market/stock-market-news/stocks-to-watch-adani-ports-maruti-itc-bajaj-auto-pnb-titan-11635298865484.html,"NEW DELHI: Here is the list of top 10 stocks that could be in focus on Wednesday: Axis Bank: The private sector lender, after market hours on Tuesday, reported a 7.3% rise in its net interest income to ₹7,900 crore in the three months ended September. Net profit surged 86% to ₹3,133.3 crore during the period because of lower provisions. Zee Entertainment: Invesco’s demand that Zee Entertainment Enterprises Ltd convene a special shareholders’ meeting to oust managing director Punit Goenka and recast the board is not legally compliant, the Bombay high court ruled on Tuesday. Meanwhile, the National Company Law Tribunal will hear if Zee should be ordered to convene the shareholders’ meeting on Wednesday. Kotak Mahindra Bank: The private sector lender, Axis Bank and IndusInd Bank have made binding offers to buy Citi's consumer business in India, valued at about $2 billion, said people with knowledge of the matter. The US bank under CEO Jane Fraser is looking to exit consumer banking in 13 countries, including India. IRB Infrastructure Developers: Will raise ₹5,347 crore from Spanish infrastructure group Ferrovial SA and Singapore’s sovereign wealth fund GIC, in the largest equity fundraising by an Indian roads developer. Ferrovial’s subsidiary Cintra Global SE will invest up to ₹3,180 crore for a 24.9% stake in IRB Infrastructure, while GIC will invest up to ₹2,167 crore for a 16.9% stake. IDFC: IDFC Financial Holding Company has written to IDFC First Bank informing it on its value unlocking plans. IDFC Financial Holding holds 36.50% equity in IDFC First Bank. Five-year lock-in period for IDFC Ltd as promoter of the bank ended on 30 September, 2020. Post this, RBI has clarified that IDFC Ltd can exit as the promoter of IDFC First Bank. Cadila Heathcare: The Centre has negotiated the pricing of Zydus Cadila's Covid-19 vaccine ZyCoV-D and is set to roll it out in the public immunisation programme within weeks. This will mean initiating vaccination of children 12 years and above with identified comorbidities. Dr Lal PathLabs: On Tuesday said it has agreed to acquire Sequoia Capital-backed Suburban Diagnostics in an all-cash deal. The company is making the purchase at an enterprise value of 18.5X of FY22 audited earnings before income, tax, depreciation and amortization (Ebitda) of Suburban Diagnostics. This works out to a minimum of ₹925 crore with a cap of ₹1,150 crore, the company informed the exchanges. Bajaj Finance: After market hours on Tuesday reported consolidated net profit of ₹1,481 crore, up 53.4% on year, for the September quarter. Net interest income rose 28% to ₹5,335 crore from ₹4,162 crore year. Gross NPA was at 2.45% Vs 2.96% a quarter ado, while net NPA was at 1.10% Vs 1.46%. Cipla: Reported a consolidated net profit of ₹711 crore, up 7% on year, for the quarter ended September, aided by strong performance in the domestic as well as international markets. Revenue was up 0.28% at ₹5,519.8 crore. Power Grid: The state-run utility firm said the high voltage direct current (HVDC) power transmission links connecting three states of Chhattisgarh, Tamil Nadu and Kerala have started commercial operation."
Updated: 26 May 2021,ICICI Prulife’s steady climb in valuations may sustain on growth efforts,https://www.livemint.com/market/mark-to-market/icici-prulife-s-steady-climb-in-valuations-may-sustain-on-growth-efforts-11622010595264.html,"MUMBAI: Investors of ICICI Prudential Life Insurance Ltd have had a lot to cheer for over the past few months and gains in the company's shares reflect this. As such, analysts have noted the modest valuations and held to their buy ratings on the stock. The insurance company added 110 new partners in the March quarter to boost business growth. Analysts at Jefferies India Pvt Ltd point out that the company may benefit immensely from its bancassurance partners. But there is another, albeit smaller, push that could benefit ICICI Prulife’s growth. Its banking partners have also grown their deposit base sharply. In fact, deposit growth for banks have been faster in the March quarter. With deposits coming in droves, banks have begun to cut deposit rates. Jefferies points out that this may redirect funds into traditional insurance plans. “Even as the cut in deposit rates primarily reflects the strengthening of their deposit franchise, we believe that it will have a positive rub-off for cross-sell of financial products, especially where returns are guaranteed (like non-par products and annuities) as well as other traditional products like PAR,"" said a note from the brokerage. ICICI Prulife’s bancassurance partners too have announced deposit rate cuts. Considering that they hawk the life insurer’s products, the drop in their deposit rates and the availability of insurance plans on the counter could direct flows into these plans easily. “We understand that these platforms collectively had originated about Rs6-7 billion ( ₹600-700 crore) of annualised new premiums over past year and targets would be to double this in the next 3 years or so, with ICICI Pru Life being a key beneficiary,"" the Jefferies note points out. The bancasurrance channel contributed 42% of the insurer’s annualised premium equivalent (APE) in FY21 and remains the strongest distribution channel. ICICI Prulife has had a tough two years when the company saw its business growth plummet. The pandemic had increased challenges with APE showing a contraction of 12% in FY21. However, the company’s efforts to regain growth has have been appreciated by investors. The fact that its shares trade at a far lower valuation multiple compared with its peers HDFC Life Insurance Company Ltd and SBI Life Insurance Company Ltd also works in its favour. The stock trades at a multiple of 2.3 times its estimated embedded value for FY22, cheaper than the multiple of 4.3 for HDFC Life and 2.5 for SBI Life."
Updated: 03 Mar 2021,SBI Life’s optimism to get tested in FY22 as LIC’s IPO looms large,https://www.livemint.com/market/mark-to-market/fy22-to-test-sbi-life-s-optimism-as-lic-s-listing-looms-11614770478858.html,
Updated: 23 Jan 2021,SBI Life net plunges 40.2% to ₹233 crore in Dec quarter,https://www.livemint.com/companies/company-results/sbi-life-net-plunges-40-2-to-rs-233-crore-in-dec-quarter-11611318207860.html,"Private life insurer SBI Life on Friday reported a steep 40.2% plunge in net income to ₹232.85 crore in the December quarter, mainly due to a massive rise in coronavirus related provisions. Net premium income rose to ₹13,766.49 crore in Q3 from ₹11,694.51 crore a year ago. The insurer said it has assessed the overall impact of the pandemic on its business and financials, including valuation of assets, policy liabilities and solvency for the reporting period and made adequate provisions. Based on the evaluation, the company has kept an additional reserve of ₹70.38 crore for the pandemic - over and above the policy level liabilities, it added. New business margin rose 100 bps to 19.3%, while assets under management has crossed the ₹2 lakh crore mark, clipping at 28% year-on-year. Its market share among private players rose to 23.7% in terms of new business premium. Renewal premium grew by 27%, the company said in a statement, adding its overall market share in total new business premium rose ₹23.7% to ₹14,440 crore. Gross written premium increased 21% to ₹34,610 crore mainly due to strong growth in renewals, which rose 27% from ₹15,910 crore to ₹20,170 crore. Total cost ratio has come down to 8.5 from 10, and the commission ratio declined to 3.4 from 4. Despite operating expenses coming down to 5.1% from 6%, the net income tanked as higher provisions and claims appended the overall numbers. The solvency ratio stood at 2.34 as against the regulatory requirement of 1.50. SBI Life counter closed over 2% down at ₹861.60 per scrip on the BSE, while the index tanked over 746 points on profit booking. This story has been published from a wire agency feed without modifications to the text. Only the headline has been changed."
Updated: 24 Dec 2020,SBI Life acquires 9% stake in Paisalo Digital for ₹186.20 crore,https://www.livemint.com/companies/news/sbi-life-acquires-9-stake-in-paisalo-digital-for-186-20-crore-11608818724817.html,"NEW DELHI : SBI Life Insurance Company on Thursday said it has acquired nearly 9% stake in non-banking finance company Paisalo Digital for about ₹186.20 crore through the open market. SBI Life has acquired a total of 38,00,000 equity shares equivalent to 8.99% at Rs 489.99 per share for a cash consideration as an ordinary course of business on the stock exchange on December 24, it said in a regulatory filing. It is not a related party transaction, the insurer added. Paisalo Digital has a market capitalisation of ₹2,204.69 crore as on December 24, 2020. The company's turnover as of March 31, 2020, was Rs 337.45 crore. The promoters hold 46.07% stake in the company, foreign portfolio investors 23.91%, LIC 3.53% and others 26.49%. Incorporated on March 5, 1992, Paisalo Digital provides loans to individuals, SME and MSMEs and to Joint Liability Group (microfinance) through 129 branches across the country. The company's profit after tax in FY20 stood at ₹54 crore and a loan book of Rs 1,725 crore."
Updated: 10 Sep 2020,Investors choose HDFC Life over peers but valuations cause worry,https://www.livemint.com/market/mark-to-market/why-investors-seem-to-prefer-hdfc-life-among-life-insurers-11599734518910.html,"Shares of HDFC Life Insurance Ltd have recovered smartly since the lockdown was lifted, and are now only 5% lower compared to the pre-covid highs. This compares with a 15-16% drop in shares of other private life insurers such as SBI Life Insurance Co. Ltd and ICICI Prudential Life Insurance Ltd. What is behind the warmth of investors towards HDFC Life Insurance? To begin with, the private sector life insurer was on a strong footing even before the covid-19 pandemic hit in late March. The company’s FY20 performance was superior to its peers. Profitability indicators, such as value of new business growth and value of new business margin, trumped competitors consistently. For instance, HDFC Life’s value of new business margin was 25.9% for FY20 as against 18.7% for SBI Life and 21.7% for ICICI Prudential Life. Performance for the June quarter showed the impact of the lockdown. But HDFC Life managed to keep profitability metrics from eroding too much. Despite a 33% contraction in new business premium, the insurer kept its margins at 24.1%. Peers ICICI Prudential Life and SBI Life saw a sharper contraction in new business. To be sure, data from the sector regulator shows that HDFC Life has fared far better than peers in recovering from the pandemic’s blow.  The bounce back in new business premium in July and August has resulted in narrowing the decline in business for HDFC Life. On an annualized premium equivalent (APE) basis, the contraction in HDFC Life’s business was just 5% for the first five months of FY21. For SBI Life, the contraction was 19% and ICICI Prudential Life Insurance saw a decline of 40%. While it may seem to justify the valuations, some analysts said the shares may have turned pricey. Edelweiss Securities has kept its rating of reduce on the stock. “Valuations at 4.4 times price to embedded value for FY22 are due to a legacy of higher margin/growth compared to competition, along with brand benefits,"" wrote Edelweiss analysts in a note. A big concern for analysts is the potential moderation in the protection business, which has been a large contributor to margins for HDFC Life. Kotak Institutional Equities has said the increase in ratio of sum-assured to premium payout and the rise in average ticket size indicate that growth in simple term plans may be moderating, relative to that of other traditional products. This is a trend observed for most private sector insurers, but HDFC Life has been at the forefront of pushing protection plans. Besides, even those protection plans bundled with loans may see weak demand, analysts added. Since the protection plans are margin-friendly, this could weigh on them. Nevertheless, HDFC Life’s sustained recovery is its best ally in keeping investors interested. So far, the insurer has given little reason to doubt its revival trajectory."
Updated: 21 Aug 2020,"Stocks to Watch: SBI Life, Divis Labs, GMM Pfaudler, Bosch, Jet Airways",https://www.livemint.com/market/stock-market-news/stocks-to-watch-sbi-life-divis-labs-gmm-pfaudler-bosch-jet-airways-11597975760994.html,"NEW DELHI : Here’s a list of top ten stocks that may be in news on Friday: SBI Life and Divis Labs: SBI Life Insurance Company Ltd and Divi’s Laboratories Ltd will replace Bharti Infratel and Zee Entertainment Enterprises Ltd in the Nifty 50 index as part of the National Stock Exchange’s semi-annual review of indices. These changes will become effective from 25 September. GMM Pfaudler: Process equipment manufacturer GMM Pfaudler has acquired a 54% stake in its parent firm Pfaudler Group for a consideration of around $27.4 million. GMM, which supplies process equipment to pharmaceutical and chemical industries, has signed definitive agreements to acquire a majority stake in Pfaudler Group from the private equity firm Deutsche Beteiligungs AG Fund VI (DBAG) for the stake. Bosch: The world's largest automotive component maker’s Indian arm, has seen an order book erosion of $800 million for BS VI projects as covid-19 pandemic pulled the market into deep end, The Economic Times reported. Jet Airways: The deadline for completion of Jet Airways (India) Ltd's insolvency resolution process, which was earlier extended till 21 August due to the nationwide lockdown to contain the spread of the covid-19 virus, will be extended further due to the pandemic. However, the resolution professional (RP) entrusted by the lenders of the airline to complete the insolvency process, hasn't given a fresh deadline yet. Phoenix Mills: Mall developer Phoenix Mills Ltd raised ₹1,100 crore from institutional investors through a qualified institutional offering (QIP) this week, according to a Mint report. Indian Overseas Bank: The state-owned lender posted a net profit of ₹121 crore for June quarter 2020 mainly due to fall in bad loans. Indian Overseas Bank posted a net loss of ₹342.08 crore for the same quarter a year ago. V-Guard Industries: Axis Mutual Fund has sold 94.97 lakh shares or 2.22% equity stake in V-Guard Industries for ₹152.18 crore, via open market transactions. The mutual fund manager offloaded the shares in the secondary market at an average price of ₹160.25 apiece. Wipro: The IT firm has implemented a blockchain-based small-scale liquefied natural gas trading platform for Uniper Global Commodities SE and its 100% LNG-for-trucks subsidiary, Liqvis GmbH. The platform simplifies the commodity supply chain and enable growth of the logistics-heavy decentralized LNG-for-trucks business, Wipro said in a statement. MOIL: State-owned MOIL posted a net profit of ₹1.88 crore for the quarter ended June. The company had posted a ₹90.69-crore net profit during the year-ago period, MOIL said in a BSE filing. Future Enterprises: Kishore Biyani-led Future Enterprises Ltd (FEL) has defaulted on interest payment of non-convertible debentures. ""The company is unable to service its obligations in respect of the interest on non-convertible debentures (NCDs) due on August 16, 2020, since August 16, 2020 was holiday, interest was due on 17 August 2020,"" Future Enterprises Ltd said in a regulatory filing."
Updated: 20 Aug 2020,"SBI Life, Divi’s Lab to replace Bharti Infratel, Zee Ent in Nifty index",https://www.livemint.com/market/stock-market-news/sbi-life-divi-s-lab-to-replace-bharti-infratel-zee-entertainment-in-nifty-index-11597942261698.html,"SBI Life Insurance Company Ltd and Divi’s Laboratories Ltd will replace Bharti Infratel and Zee Entertainment Enterprises Ltd in the Nifty 50 index as part of the National Stock Exchange’s semi-annual review of indices. “The Index Maintenance Sub-Committee (IMSC) has decided to make the following replacement of stocks in various indices as part of its periodic review. These changes shall become effective from 25 September,"" NSE said in a statement. SBI Life Insurance Company Ltd is the second insurance company to be part of the Nifty 50 index composition. HDFC Life Insurance HDFC Life Insurance Company Ltd replaced Vedanta Ltd in the Nifty 50 index starting 31 July. SBI Life Insurance was listed on the stock exchanges on 3 October 2017 with an issue price of ₹700. On Thursday, the stock closed at ₹852.85. From listing, its market capitalisation has risen 20% or ₹14468.41 crore to ₹85268.41 crore. Consequently, Zee Entertainment Enterprises Ltd is excluded from Nifty 100 and included in Nifty Midcap 150, Nifty Smallcap 250 among other indices. The exchange also revised criteria for Nifty 500, Nifty 100 and Nifty Midcap 150 indices. The press statement stated that to be part of the Nifty 500 index, companies should rank within top 800 based on both average daily turnover and average daily full market capitalization based on previous six months period data. Additionally, the investible weight factor (IWF) of stock should be at least 0.10 (10% free float) “Six month average free float market capitalization of the stock should be at least 25% of the six month average full market capitalization of the existing smallest index constituent (prior to index review) by full market capitalization in Nifty 500 as of the cut-off date,"" NSE release said."
Updated: 06 May 2020,SBI Life Insurance jumps 5% as company reports 16% YoY rise in Q4 net profit,https://www.livemint.com/market/stock-market-news/sbi-life-insurance-jumps-5-as-company-reports-16-yoy-rise-in-q4-net-profit-11588754381586.html,"MUMBAI: Shares of SBI Life Insurance rose 4.7% after the company reported a 16% year-on-year increase in its January-March (Q4) net profit to ₹530.67 crore compared with ₹457.68 crore in the year-ago period. At 2pm, the stock traded at ₹740, up 3.4% from its previous close, while benchmark Sensex was up 1% at 31778.08 points. Net premium earned rose 4.7% year-on-year to ₹11,862.98 crore in the quarter ended March. Annualised premium equivalent--a common sales measure for life insurers--declined about 13% year-on-year to ₹2,690 crore. In a note brokerage firm Emkay Global Financial Services said “SBIL also depends heavily on bancassurance ( about 67% of distribution), which could trigger steady growth for ULIPs especially during H2FY19-20 as the overall equity market is seeing some stabilizing trends"". For the full year, net profit rose 7.2% to ₹1,422.17 crore, while net premium earned jumped 22.6% to ₹40,324.01 crore. Value of new businesses, used to measure profitability of the new business written in a period, increased 17% to ₹2,010 crore in FY20, while margin expanded 100 bps year-on-year to 18.7% for FY20. The company witnessed some slowdown in persistency during April, which is a factor that could impact growth in FY20-21. ""Though persistency trends have generally held up for FY19-20, witnessing improvement across cohorts, we think that FY20-21 would be a challenging year in terms of maintaining the renewal pipeline. With customers going into cash conservation mode and a weak economic outlook, drop in persistency could be a risk,"" said Nirmal Bang Securities in a note to clients. SBI Life provided around ₹53 crore for its exposure to debt-ridden mortgage lender Dewan Housing Finance bonds in its unit-linked portfolio. The company's assets under management grew to ₹1.60 trillion as on 31 March 2020 from from ₹1.41 trillion a year ago, with a debt-equity mix of 79:21. Approximately 93% of the debt investments are in AAA and sovereign instruments. SBI Life Insurance Company is one of the leading life Insurance companies in India. The company has a distribution network of 186,495 trained insurance professional and widespread operations with 937 offices across the country."
Updated: 01 Feb 2020,Life insurance companies tumble 5-10% as Budget announces new income tax regime,https://www.livemint.com/market/stock-market-news/life-insurance-companies-tumble-5-10-as-budget-announces-new-income-tax-regime-11580548258599.html,"New Delhi: Shares of life insurance companies were down 5-10% as finance minister Nirmala Sitharaman, while presenting the Union Budget on Saturday, offered a sharp reduction in tax rates for those who do not avail of any exemptions. While shares of HDFC Life Insurance Company were down 5%, those of ICICI Life Insurance Company and SBI Life Insurance Company slumped 10% lower each. The Nifty 50 was down 1.7% at 11836.25 points. “There is fear among investors that if a lot of people choose the new income tax regime, all these deductions will go. Many tax payers would use life insurance policies and ULIPS (unit-linked insurance plans) to fill their quota of deductions. This may not apply anymore,"" an official at a domestic brokerage house said, adding that even under the old tax regime, it seems about 70 deductions will no longer be allowed. Two other factors that could weigh on life insurance companies’ stocks could be a decline in the broader market and the proposal of Life Insurance Corporation of India’s initial public offering made today. Shares of general insurance companies, though weak, were in line with the decline in the benchmark index. Traders felt it was unlikely the government would do away with deductions for health insurance policies, while most general insurance policies are anyway not covered under these deductions, the official said. "
