article_time,article_title,article_link,article_content
Updated: 08 Jul 2022,SBI shares give breakout. What's driving this banking stock — explained,https://www.livemint.com/market/stock-market-news/sbi-shares-give-breakout-what-s-driving-this-banking-stock-explained-11657247886651.html,"State Bank of India (SBI) share price: Maintaining its 'uptrend' that began around a fortnight ago, SBI shares have given a breakout on closing basis. According to stock market experts, SBI shares have given fresh breakout at ₹485 levels on Wednesday session and it may give sharp upside move in near term as Nifty Bank index is also in uptrend. According to stock market experts, subsidiary business of SBI like cards, insurance, gold loan, etc. have performed well in recent quarters and it is expected to maintain this momentum in future as well. They said that credit growth and recent correction in the stock is expected to attract bulls and positional investors who are scanning Indian stocks after recent sell-off. SBI share price chart pattern Expecting further upside in SBI share price, Sumeet Bagadia, Executive Director at Choice Broking said, ""SBI shares have given fresh breakout at ₹485 apiece levels on closing basis on Wednesday session. As Nifty Bank index is also in uptrend, one can expect further upside in SBI scrip in short term."" Fundamentals of SBI shares On what is fueling SBI share price rally, Avinash Gorakshkar, Head of Research at Profitmart Securities said, ""SBI is expected to report strong credit growth in current fiscal and its subsidiary businesses like cards, insurance, gold loan, etc. have done well in recent quarter and this momentum is expected to further continue. In fact, SBI's gold loan has crossed ₹1 lakh crore AUM, which is a big number from a public sector bank's perspective."" However, Avinash Gorakshkar said that some treasury loss is expected to Indian public sector bank in Q1FY23 and SBI won't remain insulated from it. In that case, there can be some softness expected in the stock on every rise. But, he maintained that overall sentiment for SBI shares is bullish in medium to long term. SBI share price target On suggestion to stock market investors in regard to SBI scrip, Sumeet Bagadia of Choice Broking said, ""SBI shares have strong support at ₹470 whereas it has strong resistance at around ₹525 apiece levels. One can buy at around ₹485 maintaining stop loss below ₹470 whereas those who have this stock in their portfolio should maintain a trailing stop loss below ₹470 per share levels."" Disclaimer: The views and recommendations made above are those of individual analysts or broking companies, and not of Mint."
Updated: 07 Jul 2022,Paritosh Tripathi appointed MD & CEO of SBI General Insurance,https://www.livemint.com/companies/people/sbi-general-insurance-appoints-paritosh-tripathi-as-md-and-ceo-11657174591370.html,"SBI General Insurance Company Ltd. has announced Paritosh Tripathi as managing director and chief executive officer, effective 5 July. He was nominated by the parent company, State Bank of India, for the post and succeeds P.C. Kandpal. Tripathi is in-charge of the SBI General Insurance’s overall business strategy & growth, operations, budgets, and strategic growth. He has over 32 years of banking experience. In the first half of his banking career, he had worked primarily in the MSME and mid-corporate segment, shifting international banking and Bancassurance later. Before joining SBI General Insurance, Tripathi was general manager, operations, internal banking group, with State Bank of India and was also on the Board of Sterling Bank, Nigeria, and SBI Canada.  From 2017 to 2020, he was Head Bancassurance, firstly with SBI Mutual Fund and then with SBI General Insurance. Prior to that, he was Head FI Relationship (East Asia) in Hong Kong and CEO SBI DIFC Branch in Dubai. Before taking up these international roles, he was with SBI Delhi Circle where he handled various assignments in the bank."
Updated: 06 Jul 2022,State Bank of India (SBI) customers can avail these 5 banking services on phone,https://www.livemint.com/money/personal-finance/state-bank-of-india-sbi-customers-can-avail-these-5-banking-services-on-phone-11656994644751.html,"The State Bank of India (SBI) customers will no longer need to visit the nearest branches to avail certain banking services as the the bank is offering a number of important services on the phone. Recently, SBI has released two new toll free numbers, by calling on which its customers can avail banking services on their phone, even on bank holidays, as well as on second Saturdays and Sundays. “Fulfill your banking needs, just call! Call SBI Contact Centre toll-free at 1800 1234 or 1800 2100,"" SBI said in a tweet dated 3 July.  SBI customers can avail the following services by calling on either of the two toll free numbers mentioned above. 1) Account balance and details of last five transactions 2) Status of ATM card blocking as well as dispatch 3) Request a new ATM card after the previous one is blocked 4) Cheque book dispatch status 5) Details of tax deducted at source (TDS), deposit interest certificate by e-mail “Please Call SBI's 24X7 helpline number i.e. 1800 1234 (toll-free), 1800 11 2211 (toll-free), 1800 425 3800 (toll-free),1800 2100(toll-free) or 080-26599990. Toll free numbers are accessible from all landlines and mobile phones in the country,"" SBI has mentioned on its website. State Bank of India is the largest commercial bank in terms of assets, deposits, branches, customers, and employees. It is also the largest mortgage lender in the country which has so far fulfilled the home buying dreams of over 30 lakh Indian families. The home loan portfolio of the bank stands at ₹5.62 lakh crore. As on March 31, 2022, the bank has a deposit base of over ₹40.5 lakh crore with CASA ratio of 45.28% and advances of more than ₹28 lakh crore. SBI commands a market share of 35.3% and 23.7% in home loans and auto loans respectively. SBI has the largest network of 22,266 branches and 65,030 ATMs / ADWMs in India with 68,016 BC outlets. The number of customers using internet banking and mobile banking stand at 100 million and 48 million respectively."
Updated: 04 Jul 2022,‘SBI to use analytics to track emerging stress across sectors’,https://www.livemint.com/companies/people/sbi-to-use-analytics-to-track-emerging-stress-across-sectors-11656874227527.html,"MUMBAI : State Bank of India (SBI), the country’s largest lender, wants to use granular data generated in its branches every day to predict stress and pre-emptively act to shield its balance sheet. Accordingly, the state-owned lender is looking at ways to use advanced analytics to sift through data and find patterns that indicate incipient stress. In an interview, Ashwini Kumar Tewari, managing director in charge of risk, compliance, and stressed assets at SBI, explained how the bank digitized some stressed asset management processes. Edited excerpts: What kind of stress are you seeing among retail and small business borrowers? Most of our retail customers are salaried; therefore, we do not see any challenge. Our non-salaried set, though small, is facing some stress, but the net number taken together is quite under control. While the cashflows to the micro, small and medium enterprise (MSME) segment were clearly impacted but our lending parameters to this segment are very stringent. We do not give them an equivalent loan amount as salaried borrowers, and the loan-to-value is also lower. Even in the salaried segment, people lost jobs and had their salaries cut, but since we do not go down to the low credit score profiles, our overall experience in covid-19 has not been adverse. Has technology helped turnaround time in stressed asset resolution? For one-time settlement and compromise, we have an open platform where a person can apply online instead of coming to a branch. Internally we have a dashboard to track this at the operational level as well as the management level. We are thus able to control the turnaround time and see the quantum of recoveries. The legal team is a major component of the stressed assets vertical. We have an application called the Litigation Management System with modules such as the National Company Law Tribunal (NCLT), the debt recovery tribunal, and courts. Here, the entire case history is available and provides reminders for documents that come up for renewal for the next hearing, among other things. We have also digitized the wilful defaulter management system. What are some of the new technology initiatives your department has planned? We have so much data in the system. It would be useful to leverage this data not only from the risk perspective but also to see how things are moving in real-time in various parts of the country and different sectors. This is one area where we would like to use artificial intelligence and machine learning. Right now, our analytical teams are embedded in the risk, products divisions and operational risk areas. We get all the non-performing asset (NPA) data from across the country, including individual account data, and the aggregation happens at the circle level. Say there are problems in the steel sector in a particular state; one way to know is to track media reports but is our database showing impending stress from that region? After it becomes NPA, it will have to be dealt with, but if there are early indicators of stress, then this can be handled proactively. Do you think it is faster to resolve stressed loans outside the purview of the Insolvency and Bankruptcy Code (IBC)? In a few cases where we realized that getting upfront cash is important and the process itself may take a long time, it is better to sell to asset reconstruction companies.I believe there are certain changes being contemplated in IBC. If they happen, like pre-pack insolvency for corporates, we may have some more cases handled better. Everyone talks about the highlighted cases, but the smaller cases of ₹5 lakh or ₹10 lakh are not in the media. There are cases from branches in tier 3 and tier 4 cities which are seeing very good recovery."
Updated: 03 Jul 2022,"M-cap of 3 of top-10 valued firms eroded by ₹73,630 cr; RIL biggest loser",https://www.livemint.com/news/india/mcap-of-3-of-top-10-valued-firms-eroded-by-rs-73-630-cr-ril-biggest-loser-11656825997747.html,"The combined market valuation of three of the 10 most valued domestic firms eroded by ₹73,630.56 crore last week, with Reliance Industries Limited taking the biggest hit. While HUL and ICICI Bank were the other laggards from the top-10 pack, TCS, HDFC Bank, Infosys, LIC, SBI, HDFC and Bharti Airtel were the gainers. However, the combined gain of the seven firms at ₹49,441.05 crore was less than the total loss suffered by the three companies. Last week, the Sensex climbed 179.95 points or 0.34 per cent, while the Nifty gained 52.80 points or 0.33 per cent. The market valuation of Reliance Industries Ltd (RIL) declined by ₹62,100.95 crore to reach ₹16,29,684.50 crore. ICICI Bank's valuation fell by ₹6,654.2 crore to ₹4,89,700.16 crore and that of Hindustan Unilever Ltd (HUL) dipped ₹4,875.41 crore to ₹5,36,364.69 crore. Among the gainers, the market valuation of Infosys jumped ₹15,172.88 crore to ₹6,21,907.38 crore. The market capitalisation (m-cap) of State Bank of India (SBI) climbed ₹11,200.38 crore to ₹4,16,690.11 crore. The valuation of Life Insurance Corporation of India (LIC) went up by ₹9,519.12 crore to ₹4,28,044.22 crore and that of TCS advanced ₹8,489 crore to stand at ₹12,13,396.32 crore. HDFC added ₹3,924.46 crore to its valuation to reach ₹4,01,114.96 crore. The m-cap of Bharti Airtel gained ₹1,043.49 crore to ₹3,69,833.12 crore and that of HDFC Bank went up by ₹91.72 crore to ₹7,51,892.03 crore. In the ranking of top-10 firms, Reliance Industries retained its top slot, followed by TCS, HDFC Bank, Infosys, HUL, ICICI Bank, LIC, SBI, HDFC and Bharti Airtel. This story has been published from a wire agency feed without modifications to the text. Only the headline has been changed."
Updated: 01 Jul 2022,"SBI crosses ₹1-trillion in gold loans, says chairman Dinesh Khara",https://www.livemint.com/companies/news/sbi-crosses-rs-1-trillion-in-gold-loans-says-chairman-dinesh-khara-11656669432102.html,"MUMBAI: The country's largest lender State Bank of India (SBI) crossed the trillion rupee-mark in gold loans last week and expects the segment to see significant growth in the current fiscal, chairman Dinesh Khara said on Friday. “In gold loans we are seeing a good traction in the current year and I would like to draw your attention to a very important point. Invariably we have seen that during inflationary conditions gold is one of the preferred asset classes and that means there is traction for gold loans too,"" said Khara, adding that the bank has a 24% market share in gold loans. Khara said that in first quarter of FY23, SBI saw decent traction in gold loans and much better growth compared to what it witnessed in the same period in the past. “I expect that in the current year (FY23), we should be in a position to grow well in this segment,"" he said. On retail loan growth, Khara said it continues to be an important engine for the public sector lender. “(Going by) the way it has grown in the past, we expect that we should be in a position to ride the growth potential available in the retail segment,"" he said. However, it does not mean that other opportunities are not available in terms of the asset growth, he said, adding that there is demand from the corporates, small businesses and also in the international book. Meanwhile, the bank on Friday announced a clutch of services including a new type of pre-approved loans, and application programming interface (API) banking for corporates and aggregators."
Updated: 29 Jun 2022,"Top picks: BNP Paribas 'conservative' on Indian banks, suggests 6 stocks to buy ",https://www.livemint.com/market/stock-market-news/top-stock-picks-6-indian-bank-stocks-to-buy-as-recommended-by-bnp-paribas-11656494793155.html,"Given the lack of a margin of safety in overall sector valuations, inflation uncertainties delaying the return of mid-teens credit growth and lack of appetite for risk-on sub-segments like CV financing, SME financing, MFI, BNP Paribas said its stance on the banking sector remains conservative.  “We note however that the challenges facing the sector and indeed impediments to stock performance are not exactly existential in nature. We seem to be nearing a trough in the asset-quality cycle and provisioning levels appear demonstrably sufficient. Capitalisation for sector-leading large private banks is more than adequate in our view,"" it said in a note on Indian banks. BNP Paribas thinks deposit flows have entrenched a lot of cost-stability advantages that larger banks enjoy. Valuations, while not a bargain, are not in the highest reaches of trading bands either. BNP Paribas' top stock picks - HDFC Bank: The global brokerage believes recent headwinds on tech investment news flow create a special opportunity in HDFC Bank as its traditional strengths (CASA tailwinds, best-in-class asset quality) are being somewhat discounted. Its Buy tag on HDFC Bank shares comes with a target price of ₹1,710. ICICI Bank: ICICI Bank remains a play on credit revival with high provisioning levels, tech investments and continued CASA mobilization, it said with target price of ₹890.  Axis Bank: “We choose Axis Bank for the valuation headroom it offers as well as gearing to a credit cycle recovery through both asset quality and loan growth. Our comfort with AXSB’s provision levels is as high as what we have for ICICIBC’s but recognise that a lower CASA and higher cost of funds ensure that higher rates do not confer an equal amount of competitive benefits on it as on HDFC Bank and ICICI Bank,"" the note stated. The brokerage's Buy tag on the bank stock comes with a target price of ₹970. Further, BNP Paribas also has buy ratings on IndusInd Bank (TP: ₹1,030), AU Small Finance Bank (TP: ₹750) and State Bank of India (SBI) with price target at ₹500. Meanwhile, it has Hold recommendations on Kotak Mahindra Bank (TP: ₹1,830) and City Union Bank (TP: ₹130).  The views and recommendations made above are those of individual analysts or broking companies, and not of Mint"
Updated: 24 Jun 2022,SBI introduces new toll free number for a host of banking services,https://www.livemint.com/news/india/sbi-introduces-new-toll-free-number-for-a-host-of-banking-services-11656078955941.html,"The largest lender in the country, State Bank of India (SBI), has added a new toll-free number for a variety of financial services to better serve its customers. By dialling this new contact centre number, customers can execute necessary and fundamental banking activities from the comfort of their home or from any other location, saving them the time and inconvenience of visiting a bank office or using an electronic medium. Through a recent Tweet published on 23rd June 2022, SBI has said “Dial our new easy to remember number for banking assistance on the go! Call SBI Contact Centre toll free at 1800 1234."" Dial our new easy to remember number for banking assistance on the go! Call SBI Contact Centre toll free at 1800 1234.#SBI #SBIContactCentre #TollFree #PhoneBanking #AmritMahotsav #AzadiKaAmritMahotsavWithSBI pic.twitter.com/lHWjYOQ8dz Using this new toll-free number, customers of SBI can conduct banking services such as account balance/last 5 transactions, ATM Card blocking & dispatch status, dispatch status of cheque book, TDS details & deposit interest certificate by e-mail, and request for a new ATM Card after blocking the previous one. For the benefit of its customers, SBI has mentioned on its website that “Please Call SBI's 24X7 helpline number i.e. 1800 1234 (toll-free), 1800 11 2211 (toll-free), 1800 425 3800 (toll-free),1800 2100(toll-free) or 080-26599990. Toll free numbers are accessible from all landlines and mobile phones in the country.""  Apart from the above said new customer care number of SBI, individuals can also call on toll free number: 1800 2100, toll free number: 1800 11 2211, toll free number: 1800 425 3800, and toll number: 080-26599990. These numbers are listed on the website of SBI, and customers can use any number to file their complaints. In order to report unauthorised transactions, customers of SBI can call on 1800 11 1109 (Toll Free), 94491 12211 (Mobile number, Toll Free), or 080 - 2659 9990 (Toll number). These toll-free numbers are accessible from all landlines and mobile phones of India. SBI has mentioned on its website that “SBI now provides your Account Balance and Transaction details over phone round the clock. Information on deposits & loan schemes and services also available.""  Customers who are unhappy with the phone call resolutions to their complaints or who are tech-savvy and wish to file a complaint immediately can send an email to customercare@sbi.co.in or contactcentre@sbi.co.in. Individuals will receive a ticket number through SMS or email once their complaint or request has been successfully registered.  Customers who want to raise their concerns through mail can type “HELP"" and send it to “918108511111"". Those who are not satisfied with the services offered by the bank can type “UNHAPPY"" and send it to 8008 20 20 20. According to the website of SBI “Send SMS “HELP"" to “918108511111"" to get full list of services as response through SMS. You can block the ATM Card linked to the registered account in case of loss/theft. To block atm card, send an SMS from registered mobile number as 'BLOCK XXXX' to 567676 (XXXX represents last 4 digit of the card number)."""
Updated: 21 Jun 2022,Good news for govt employees! Centre plans to create integrated pension portal,https://www.livemint.com/news/india/good-news-for-govt-employees-centre-plans-to-create-integrated-pension-portal-collaborates-with-sbi-11655799926945.html,"The central government is planning to create an integrated pension portal to enhance the ease of living of pensioners. In this regard, the Centre's Department of Pension & Pensioners’ Welfare (DoPPW) will collaborate with the State Bank of India (SBI). During the bankers' awareness programme in Udaipur Rajasthan, a session on pension policy reforms and digitisation regarding the disbursement of pensions to central government pensioners was organised to update the SBI field functionaries. Other special sessions were organized on income tax matters related to pensioners as well as digital means of submitting annual life certificates. During the session, the central government noted that immediate efforts were needed for the creation of an integrated pension portal by linking the existing portals of the DoPPW and the SBI to provide seamless services to pensioners. Digital life certificate and face authentication technology would be a game-changer for pensioners and banks in the submission of life certificates, it said. Four such awareness programmes will be conducted in collaboration with the State Bank of India to cover the whole country, it said. Awareness programmes on similar lines will be conducted in collaboration with other pension disbursing banks in 2022-23, the statement said."
Updated: 21 Jun 2022,SBI Annuity Deposit Scheme: How to get monthly income on a single deposit?,https://www.livemint.com/money/personal-finance/sbi-annuity-deposit-scheme-how-to-get-monthly-income-on-a-single-deposit-11655780021453.html,"In the face of rising interest rates, the country's largest lender, State Bank of India (SBI), offers a scheme called SBI Annuity Deposit Scheme, which is nothing more than an investment product in which investors are required to park a lump sum deposit and can earn monthly annuity installments that include a portion of the principal amount as well as interest.  All residents, including minors, are eligible to apply for the scheme through a single or joint method, according to SBI's official website. Customers who are NRO or NRE are not eligible for this product, however, senior citizens are eligible for an additional rate of interest over the regular rate. According to SBI guidelines, one can apply for the SBI Annuity Scheme using savings, current, or OD account, and the account selected for the scheme must be a legitimate operational account with Internet Banking enabled and the account should not have been halted, dormant, or locked.  The SBI Annuity Scheme is available at all SBI branches and comes with a tenure of 36, 60, 84, or 120 months. To establish an SBI Annuity Scheme with a maturity duration of 3 to 10 years, a minimum deposit amount for annuity deposit must be made, which is based on a minimum monthly annuity of Rs. 1000 for the applicable period. According to SBI guidelines, the maximum deposit limit through online banking would be the same as the maximum limit set for fund transfer within one's own account but through offline mode, no maximum deposit limit is there. The interest rate provided on the SBI Annuity Deposit Scheme will be as applicable to term deposits of the term chosen by the account holder. On the SBI Annuity Scheme, the rate of interest applicable to SBI Term Deposits for the general public and senior citizens will be offered. SBI increased interest rates on fixed deposits on June 14, 2022. SBI currently offers an interest rate of 5.45 per cent to 5.50 per cent to the general public and 5.95 per cent to 6.30 per cent to senior citizens on deposits maturing in 3 to 10 years. TDS will be applied to the interest paid on the Annuity deposit and for this PAN is necessary to submit to avoid the TDS amount.  Premature closure is authorized in the event of the depositor's death, and premature payment is permissible for deposits up to Rs. 15.00 lacs, according to SBI's terms and conditions. Premature withdrawals are subject to the same premature penalty as term deposits. According to SBI's current premature closure guidelines, for term deposits above ₹5.00 lacs, the applicable penalty will be 1% (all tenors) and 1% below the rate applicable at the time of deposit will be provided to the depositor as a premature withdrawal amount for the period of deposit remained with the bank. An overdraft/loan of up to 75% of the balance amount of the annuity can be issued for specific circumstances such as education, marriage, or any other emergency. According to SBI, annuity payments will be credited to the loan account only after the OD/loan has been disbursed."
