article_time,article_title,article_link,article_content
Updated: 09 Jul 2022,Tata Motors hikes passenger vehicle prices to offset rising input costs,https://www.livemint.com/news/india/tata-motors-hikes-passenger-vehicle-prices-to-offset-rising-input-costs-11657348290616.html,"Tata Motors on Saturday announced that it has raised the prices of its passenger vehicle range with immediate effect in a bid to partially offset the impact of rising input costs. The auto major said in a statement, that the weighted average increase in price of 0.55% will come into effect starting Saturday across the range, depending upon the variant and model. The company has taken extensive measures to absorb a significant portion of the increased input costs, it said. ""However, to offset the residual impact of the accumulated increase in input costs, it is passing on a minimised price hike,"" it added. The company sells a range of models including Punch, Nexon, Harrier and Safari in the domestic market. Tata Motors has already hiked prices of its commercial vehicles range by 1.5 - 2.5% from this month, according to news agency PTI report. Meanwhile the automobile major's global wholesales including luxury car brand Jaguar Land Rover, increased by a whopping 48% in the quarter ending June 2022 (Q1FY23) period to 3,16,443 vehicles compared to the same quarter last year. According to the regulatory filing, global wholesales of all Tata Motors commercial vehicles and Tata Daewoo range in the first quarter of FY23 were at 1,03,529 units higher by 97%, over Q1 of FY22. In Q1FY23, global wholesale of all passenger vehicles stood at 2,12,914 units higher by 32% as compared to Q1 FY22.  Notably, in its quarter under review, global wholesales for Jaguar Land Rover were at 82,587 vehicles ( JLR number for Q1FY23 includes CJLR volumes of 10,772 units). In terms of model-wise, Jaguar wholesales for the quarter were 14,596 vehicles, while Land Rover wholesales for the quarter were 67,991 vehicles. Meanwhile earlier this month, Tata Motors announced its June monthly and Q1FY23 sales data excluding Jaguar Land Rover sales. On July 1, Tata Motors data revealed that total domestic sales jumped 2,25,828 units up by 110% in Q1FY23 compared to sales of 1,07,786 units in the same quarter last year. Meanwhile, total domestic passenger car sales skyrocketed by 102% in Q1FY23 to 1,30,125 units compared to 64,386 units in the corresponding period a year ago. Overall, domestic and international market sales stood at 2,31,248 vehicles, compared to 1,14,784 units during Q1 FY22.  "
Updated: 08 Jul 2022,Tata Motors global wholesales record 48% rise in Q1FY23; shares jump 2%,https://www.livemint.com/companies/news/tata-motors-global-wholesales-record-48-rise-in-q1fy23-shares-jump-2-11657274800480.html,"Automobile major, Tata Motors' global wholesales including luxury car brand Jaguar Land Rover, rises by a whopping 48% in the quarter ending June 2022 (Q1FY23) period to 3,16,443 vehicles compared to the same quarter last year. As per the regulatory filing, global wholesales of all Tata Motors commercial vehicles and Tata Daewoo range in the first quarter of FY23 were at 1,03,529 units higher by 97%, over Q1 of FY22. In Q1FY23, global wholesale of all passenger vehicles stood at 2,12,914 units higher by 32% as compared to Q1 FY22. Meanwhile, in the quarter under review, global wholesales for Jaguar Land Rover were at 82,587 vehicles ( JLR number for Q1FY23 includes CJLR volumes of 10,772 units). In terms of model-wise, Jaguar wholesales for the quarter were 14,596 vehicles, while Land Rover wholesales for the quarter were 67,991 vehicles. On Thursday, Tata Motors announced that Jaguar Land Rover's retail sales in Q1FY23 were 78,825 vehicles, broadly flat (183 units lower) compared with the previous quarter ending 31 March 2022 and down 37% (46k units) from the quarter a year ago ending 30 June 2021. Compared to the prior quarter, retails were higher in the UK (+10%) and Europe (+49%) but were lower in China (-5%), North America (-30%) and Overseas (-10%) reflecting the transition to new models and delivery times to these markets. Earlier this month, Tata Motors announced its June monthly and Q1FY23 sales data excluding Jaguar Land Rover sales. On July 1, Tata Motors data revealed that total domestic sales jumped 2,25,828 units up by 110% in Q1FY23 compared to sales of 1,07,786 units in the same quarter last year. Meanwhile, total domestic passenger car sales skyrocketed by 102% in Q1FY23 to 1,30,125 units compared to 64,386 units in the corresponding period a year ago. Overall, domestic and international market sales stood at 2,31,248 vehicles, compared to 1,14,784 units during Q1 FY22. Talking about wholesales, Ashwin Patil, Senior Research Analyst at LKP Securities said, ""As Covid wave in China subsided in June and other markets too recovering gradually, JLR wholesales have bounced back well in Q1 FY23 by 48%. We need to wait and watch for such consistent volume performance amidst a good product launch pipeline."" In its report earlier, analyst at LKP Securities said, ""Tata Motors is seeing a strong PV business, along with a very healthy revival in CVs and improvement in JLR business."" On BSE, Tata Motors shares ended at ₹440.15 apiece up by 2.17%. At the closing price, Tata Motors' market cap was around ₹1,46,169.96 crore."
Updated: 08 Jul 2022,Day trading guide for Thursday: 6 stocks to buy or sell today — 8th July,https://www.livemint.com/market/stock-market-news/day-trading-guide-for-thursday-6-stocks-to-buy-or-sell-today-8th-july-11657245225332.html,"Day trading guide: Following dip in dollar index and crude oil prices, Indian stocks extended its rally on second straight session on Thursday. The BSE Sensex shot up 427 points and closed at 54,178 mark while the Nifty 50 index surged 143 points and closed at 16,133 levels. Nifty Bank rallied 596 points and finished at 34,920 mark on Thursday. Put Call Ratio stood at 1.04 and volatility index India VIX ended at 19.20, down by 5 per cent. According to stock market experts, global equity markets were up as softer oil prices and a weaker dollar signaled fears about inflation and the pace of monetary tightening are fading. They said that a small positive candle was formed with a long lower shadow. Technically, this pattern indicates a continuation of upside move in near term. Day trading guide for stock market today ""A small positive candle was formed with a long lower shadow. Technically, this pattern indicates a continuation of up move post upside breakout of the crucial overhead resistance at 15900 levels. After the upside breakout of the hurdle at 15900 levels recently, the market is now advancing towards another hurdle of the previous opening downside gap of 13th June at 16175 levels. Hence a sustainable move above 16200 levels could open further sharp upside move ahead. Immediate support for Nifty 50 index is placed at 16000 levels,"" said Nagaraj Shetti, Technical Research Analyst at HDFC Securities. Predicting strong upside in Nifty today, Chinmay Barve, Head — Technical and Derivatives Research at Profitmart Securities said, ""Nifty 50 index has managed to sustain above its 5 days exponential moving average which clearly highlights its strong undertone."" Expecting Nifty Bank index to outperform other indices, Ruchit Jain, Lead Research at 5paisa.com said, ""The Bank Nifty index is continuing its outperformance which is likely to continue given the participation from the large cap space. Amongst the other sectoral indices, the Nifty Metal index has given a closing above its 20-day EMA and hence some positive action could be witnessed in this sector."" Day trading stocks On intraday stocks for today, share market experts — Sumeet Bagadia, Executive Director at Choice Broking; Mehul Kothari, AVP — Technical Research at Anand Rathi; Rohit Singre, AVP — Technical Research at Bonanza Portfolio and Avinash Gorakshkar, Head of Research at Profitmart Securities — recommended 6 stocks to buy today. Sumeet Bagadia's intraday stocks for today 1] NMDC: Buy at CMP, target ₹120, stop loss ₹105 2] UPL: Buy at CMP, target ₹700 to ₹710, stop loss ₹660 Mehul Kothari's stocks to buy today 3] SBI Life: Buy around ₹1125, target ₹1170, stop loss ₹1105 4] Larsen & Toubro: Buy around ₹1612, target ₹1655, stop loss ₹1585 Rohit Singre's pick of the day 5] Mahindra CIE Automotive: Momentum buy at CMP, target ₹255, stop loss ₹232 Avinash Gorakshkar's stock of the day 6] Tata Motors: Buy at CMP, target ₹465, stop loss ₹415. Disclaimer: The views and recommendations made above are those of individual analysts or broking companies, and not of Mint."
Updated: 06 Jul 2022,Rakesh Jhunjhunwala portfolio: Experts bullish on this Tata stock. Do you own?,https://www.livemint.com/market/stock-market-news/rakesh-jhunjhunwala-portfolio-experts-bullish-on-this-tata-stock-do-you-own-11657075866039.html,
Updated: 06 Jul 2022,"Stocks to Watch: Adani Power, Tata Motors, Biocon, Marico, NTPC",https://www.livemint.com/market/stock-market-news/stocks-to-watch-adani-power-tata-motors-biocon-marico-ntpc-11657070229423.html,"Here is the list of top 10 stocks that will be in focus today: Adani Power: The company said it will seek shareholders' approval for the proposed related-party transaction worth up to ₹5,000 crore with AdaniConnex Pvt Ltd during its annual general meeting on July 27. The transaction involves sale by Adani Power of its SPVs/ subsidiaries. Tata Motors: The Bombay high court on Tuesday upheld Brihanmumbai Electric Supply & Transport (BEST) undertaking’s decision to disqualify Tata Motors’ bid from supplying electric buses worth ₹2,450 crore. Biocon: The company's arm Biocon Biologics has said its Bengaluru-based manufacturing plant has received EU GMP certification from Ireland's Health Products Regulatory Authority following a GMP inspection in April. Marico: The FMCG major has reported a volume decline ""in mid-single digits"" in its India business during April-June. The performance was particularly dragged by a sharp drop in Saffola Oils. Excluding Saffola Oils, the India business posted marginal volume growth. Parachute Coconut Oil recorded a minor volume decline, said Marico. Tata Power: The company has signed a Memorandum of Understanding (MoU) with the government of Tamil Nadu to invest approximately ₹3,000 crore, for setting up a greenfield 4 gigawatts solar cell and 4 gigawatts solar module manufacturing. Westlife Development: ICICI Prudential Life Insurance Company has sold 2.02% of its stake in the Indian fast food restaurant holding company, bringing the its shareholding down to 5.13% from from 7.15%. Hindalco/Vedanta: The two firms and several companies in West Asia, have expressed interest in Coal India’s proposed aluminium project in Odisha, two officials aware of the matter told Mint The world’s biggest coal producer recently invited expressions of interest (EoI) for equity partners in the project that includes bauxite mining, alumina refinery and aluminium and an associated coal preparation plant. NTPC: The state-owned power major said that its coal output grew by 61% to 42.40 lakh metric tonnes in April-June quarter from 26.40 lakh metric tonnes (MT) in the same period a year ago. Pakri-Barwadih (Jharkhand), Dulanga (Odisha) and Talaipalli (Chhattisgarh) have contributed to achieving the coal production. Bajaj Finance: The lender has booked 74 lakh new loans in April-June quarter against 46 lakh a year ago. Consolidated core AUM grew 31% toRs 2.04 trillion. Deposits rose 22% to ₹34,100 crore as on 30 June. Tata Steel: The company said its consolidated steel output remained flat at 7.66 million tonnes (MT) during April-June quarter of the current financial year. The company's consolidated sales during the said period fell 4 per cent to 6.53 MT, from 6.83 MT in the year-ago quarter.  "
Updated: 06 Jul 2022,Day trading guide for Wednesday: 6 stocks to buy or sell today — 6th July,https://www.livemint.com/market/stock-market-news/day-trading-guide-for-wednesday-6-stocks-to-buy-or-sell-today-6th-july-11657071308434.html,
Updated: 06 Jul 2022,HC upholds BEST’s call to disqualify TaMo’s bid for e-buses,https://www.livemint.com/companies/news/hc-upholds-best-s-call-to-disqualify-tamo-s-bid-for-ebuses-11657051742836.html,"MUMBAI : The Bombay high court on Tuesday upheld Brihanmumbai Electric Supply & Transport (BEST) undertaking’s decision to disqualify Tata Motors’ bid from supplying electric buses worth ₹2,450 crore. A division bench of Justice Sanjay Gangapurwala and Justice M.J. Jamdar said, “Tata Motors was rightly disqualified. It is held that the decision of BEST to hold Evey Trans responsive is incorrect. Evey is also held non-responsive. BEST may, if required issue a fresh tender."" Evey Trans Pvt. Ltd is the competing bidder firm along with Tata Motors for the tender floated by BEST. Resultantly, the contract for 2,100 electric buses awarded to Evey Trans will likely be cancelled. A detailed order, however, is awaited in the matter. On 7 June, the high court had reserved its order in the matter. Earlier in May, Tata Motors moved the Bombay High Court by filing a writ a petition challenging its rejection from the tender for electric buses and its award to Hyderabad-based Evey Trans. It had also alleged BEST of corruption and favouritism. In a tender floated by BEST, it invited bids for operation of State Carriage Services for public transport of 1,400 single-decker Air Condition electric buses in Mumbai and its extended suburbs on gross cost contract model for 12 years. After which, Tata Motors filed its technical and financial bid for the tender following a pre-bid meeting during which it requested that BEST amend certain tender parameters, which BEST agreed to do. Meanwhile, BEST released the tender’s technical suitability evaluation, which Tata claimed was incorrectly labelled as “technically non-responsive"" while terming Evey’s bid as “responsive"". Tata Motors had challenged the award of tender to Evey on the grounds that 2 hours before the technical evaluation, in complete disregard of tender conditions which put a specific emb argo on any changes to the technical bid after opening of the technical bid, BEST allowed Evey Trans to change its bid."
Updated: 02 Jul 2022,"Rakesh Jhunjhunwala's wealth dips over ₹8,300 cr in first quarter of FY23",https://www.livemint.com/market/stock-market-news/rakesh-jhunjhunwala-s-wealth-dips-over-rs-8-300-cr-in-first-quarter-of-fy23-here-s-how-stocks-performed-11656768992952.html,"Rakesh Jhunjhunwala is one of the largest investors and preachers of the stock market. His investment is diverse including major segments like auto, banking, pharma, financials, gaming, metal, and hotels among others. However, from record-high gains in Q4FY22, the ace investor has registered a significant decline in his wealth since then due to market volatility. In the April - June 2022 quarter, Jhunjhunwala's wealth declined by a whopping nearly 25%. As per Trendlyne data, Jhunjhunwala's portfolio wealth dipped by at least 24.67% to ₹25,425.88 crore in the June 2022 quarter compared to the previous quarter. From January to March 2022, Jhunjhunwala's wealth had soared to a new high of ₹33,753.92 crore. That said, Jhunjhuwala's wealth has declined by ₹8,328.04 crore in the first quarter of FY23.  He publicly holds 33 stocks on exchanges. Titan is his largest holding valued at ₹8,728.9 crore as of July 1, 2022. Meanwhile, his shareholding in Star Health & Allied Insurance stood at ₹4,775.2 crore, followed by ₹2,431.8 crore in Metro Brands, while it is ₹1,619.8 crore in Tata Motors and ₹1,315 crore in Crisil. These are his top 5 stocks in value terms. In stock-wise performance, during Q1 of FY23, data showed that in percentage terms his loss was massive in DB Realty as the stock nosedived by over 49% in the last 3 months. Delta Corp and TV18 Broadcast stock followed with a decline of around 48%, while Indiabulls Real Estate shed nearly 45%, NALCO dived nearly 44%, and Indiabulls Housing Finance slipped about 43%. Meanwhile, stocks like Aptech, Dishman Carbogen, Star Health, Prakash Industries, Man Infra, and SAIL dipped between 31% to 40%. Further, stocks like Rallis India, Wockhardt, Tata Communications, Orient Cement, Canara Bank, Titan, Nazara Tech, and Geojit Financial Services plunged between 21-30%. As for stocks like Va Tech Wabag, Firstsource Solution, Anant Raj, Lupin, Jubilant Pharmova, Fortis Healthcare, VIP Industries, NCC, Escorts Kubota, Bilcare, The Mandhana Retail, Edelweiss Financial Services, GMR Infra, and MCX dipped between 11-20%. Stocks like Karur Vysya Bank, Tata Motors, Federal Bank, TARC, Indian Hotels, Jubilant Ingrevia, and Prozone Intu dived between 2-8%. Agro Tech Foods and Crisil were flat in the quarter. On the gaining side, during the quarter, his wealth rose in Autoline Industries as the stock surged nearly 7% followed by Prakash Pipes jumping over 4%, Ion Exchange climbing nearly 3%, and Metro Brands soaring 2.5%. Jhunjhunwala's buying and selling in the above stocks will soon be revealed as the listed companies announce their shareholding pattern for the quarter ending June 2022. It will be keenly watched whether Jhunjhunwala added a new stock to his portfolio amidst a deep bearish market tone. On the market weekly outlook, Yesha Shah, Head of Equity Research, Samco Securities said, ""Market is expected to remain volatile due to a slew of market-moving events. On the macroeconomic front, investors will be watching FOMC minutes to see where the economy is headed. Furthermore, global markets would be influenced by China's inflation figures, which are due next week. Back home, the first quarter of fiscal year 23 earnings season will drive market sentiment and stock-specific actions. Investors should pay careful attention to management commentary and select solid fundamental companies in order to focus on the long-term picture."""
Updated: 01 Jul 2022,Tatas just came a bit closer to becoming India’s first semiconductor powerhouse,https://www.livemint.com/opinion/online-views/tatas-just-came-a-bit-closer-to-becoming-india-s-first-semiconductor-powerhouse-11656672417367.html,"India’s largest electric carmaker, Tata Motors, and Japanese chip manufacturer, Renesas Electronics, are partnering to design and develop semiconductors. The tie-up will help Tata Motors tide over the global auto chips crunch that has affected its earnings and resulted in production cuts and even temporary plant shutdowns. Designing chips in collaboration with Renesas will come in handy for the current and newer electric cars to be made by Jaguar Land Rover. Electric cars are the future of the auto industry. Tata Motors, which sold 19,105 electric cars last year, a more than a four-fold jump from the 4,218 in the year ended March 2021, has doubled down on its investments in the segment. Tata Motors had a market cap of $17.5 billion as of 29 June; the electric car division managed to raise $1 billion from TPG, the private equity group, at a $9.1 billion valuation in October last year. As car makers across the world look to make electric cars, computing power has emerged as the new horsepower. More microchips, such as the ones Renesas makes, are getting embedded in cars. These microcomputers control varied functions from fuel injections to running infotainment systems and acting as the car’s brain for cruise control.        "
Updated: 29 Jun 2022,Why Toyota-Suzuki stands a better chance than the auto marriages of the past,https://www.livemint.com/opinion/online-views/why-toyota-suzuki-stands-a-better-chance-than-the-auto-marriages-of-the-past-11656493986270.html,
