article_time,article_title,article_link,article_content
Updated: 05 Jul 2022,IT services firms likely to report strong revenue in Q1,https://www.livemint.com/companies/company-results/it-services-firms-likely-to-report-strong-revenue-in-q1-11657042305039.html,"BENGALURU :   Top Indian IT services companies are expected to report strong revenue growth of 2.3-4.3% quarter-on-quarter (Q-o-Q) in constant currency during the fiscal first quarter ended June, according to analysts. Tata Consultancy Services Ltd (TCS) will kick off the earnings season on Friday. However, the peak revenue growth of these companies is likely to be behind them and the momentum is expected to start softening from H2 FY23 due to absence of large deal wins and clients postponing their technology spends. While the long-term demand environment remains unaltered, elevated inflation and an economic slowdown in the US and Europe is likely to impede growth in the second half of the fiscal. “We anticipate Infosys to lead on organic revenue front with growth of 4.3% QoQ in constant currency, followed by TCS at 3.6% QoQ in constant currency. Growth in Tech Mahindra, Wipro and HCL Technologies is expected to be soft due to seasonal weakness and moderation in demand,"" ICICI Securities said in a pre-earnings note. Margins are likely to be under pressure due to wage hikes, higher backfilling costs, increase in travel/visa/other discretionary costs with the easing of travel restrictions, and back-to-office trends, said Emkay Research. “Due to cross-currency headwinds, benefits from rupee depreciation will be marginal in Q1."" The brokerage firm expects Infosys to retain its annual revenue growth guidance of 13-15% in constant currency and EBIT margin guidance of 21-23% for FY23. HCL Technologies is also likely to retain its 12-14% revenue growth and 18-20% EBIT margin guidance range. Wipro should guide for a 2.5-4.5% sequential growth in constant currency with Rizing adding about 1% incrementally for Q2 FY23. In the absence of large deal wins, smaller deals will drive deal intake in the June quarter. “ACV (annual contract value) of signed deals to remain strong. We expect the deal intake to remain healthy across companies in Q1, with an uptick in smaller deals (led by clients’ urgency to execute digital transformation deals quickly) driven by increased demand for cloud adoption, digital transformation and customer experience transformation deals,"" Emkay Research said."
Updated: 04 Jul 2022,Tech Mahindra opens new campus,https://www.livemint.com/industry/infotech/tech-mahindra-opens-new-campus-11656954877258.html,
Updated: 04 Jul 2022,"Tech Mahindra to hire 1,000 for new campus in Coimbatore",https://www.livemint.com/companies/tech-mahindra-to-hire-1-000-for-new-campus-in-coimbatore-11656932306421.html,"Tech Mahindra Ltd on Monday announced the opening of a new campus in Tidel Park Coimbatore, Tamil Nadu, for which it aims to hire 1,000 people in FY22-23 as part of its focus to tap local talent. Spanning over 10,000 sq. ft., Tech Mahindra said the campus will focus on building a next-generation technology hub in Coimbatore with an aim of delivering cutting-edge solutions for the company’s global customers in various industry segments such as automobile, banking, e-commerce, finance, and research & development. “The campus will also focus on developing new technology stack pertaining to intelligent automation, artificial intelligence/ robotic process automation, full-stack development, customer experience (CX), and other next-gen application development and management skills (ADMS) skills,"" the company said in a statement. “At Tech Mahindra, we believe that tier-2 and tier-3 cities are emerging as future talent hubs and have the potential to drive the next phase of growth. Our biggest focus for FY22-23 is to create a more diverse and inclusive talent pool,"" said Harshvendra Soin, global chief people officer and head – Marketing, Tech Mahindra. “We are excited to inaugurate a new campus in Coimbatore and we truly believe that it will help us drive business growth in unexplored markets by providing a seamless customer experience. Through this new campus, we aim to provide growth opportunities and make the most of the immense potential held by several individuals residing in Coimbatore,"" he added."
Updated: 27 Jun 2022,SAP launches metaverse initiative to accelerate cloud adoption in India,https://www.livemint.com/companies/news/sap-launches-metaverse-initiative-to-accelerate-cloud-adoption-in-india-11656319492477.html,"German tech major SAP AG on Monday launched its initiative on metaverse, aimed at accelerating cloud adoption among Indian enterprises. Targeted at digital-first clients, SAP said its ‘cloud on wheels’ platform will enable customers across phases of their digital transformation to experience the full range of ‘Rise with SAP’ offerings and enable them to “reimagine"" processes for improved business outcomes. SAP has been applying digital twin technology – virtual replicas of existing structures, capital goods and industry processes – to help customers gain insights into and predict real scenarios. By expanding into the metaverse, SAP aims to introduce measures to support digital B2B services such as Rise with SAP, SAP’s Digital Core, Procurement, Customer and People Experience solutions. “Metaverse is a representation of the current experience economy that provides an experiential platform like never before. By leveraging it, we hope to revolutionize various elements of our customer experience and build a network of sustainable cloud companies within a truly digital universe. Our ambition is to engage with thousands of organizations through this platform over the course of this year,"" said Kulmeet Bawa, president and managing director, SAP Indian subcontinent. Tech companies across the globe have been quick to enter the metaverse bandwagon ever since Facebook rebranded itself as meta. Even Indian IT services companies like Infosys Ltd and Tech Mahindra Ltd have launched their own metaverse initiatives. On the metaverse experience platform, “users will be immersed into an outside-in view of SAP solutions based on their business profile, industry, and size,"" SAP said. “Existing and prospective customers can create their own digital avatars with a front row view of how they can speed-up their cloud migration and digital transformation initiatives. They will get a first-hand experience of relevant SAP cloud offerings to address their business requirements as well as facilitate interactions with other existing users on the platform."""
Updated: 23 Jun 2022,"Wipro, Tech Mahindra shares near 52-week low. Right time to accumulate?",https://www.livemint.com/market/stock-market-news/wipro-tech-mahindra-shares-near-52-week-low-right-time-to-accumulate-11655948018021.html,
Updated: 14 Jun 2022,"Sensex ends in the red, Nifty below 15,750; oil and gas stocks top drags",https://www.livemint.com/market/live-blog/share-market-live-updates-sensex-nifty-bse-nse-stock-market-today-14-06-2022-ril-viacom-ipl-zomato-srei-11655171309721.html,"India's equity markets were volatile on Tuesday, swinging between gains and losses. Investors now await the US Fed's next policy announcement, due Wednesday, for clues on how aggressive the central bank intends to be in raising rates.  India's benchmark equity indices ended Tuesday lower, but off lows, tracking global peers and as domestic inflation data cemented the case for more rate hikes, going ahead. High global energy and raw material prices combined with a weak rupee fuelled the fastest annual rise in India's annual wholesale price-based inflation to 15.88% in May. US equity futures pared gains on Tuesday and a rebound in European stocks proved short-lived, suggesting markets aren’t out of the woods after a rout driven by expectations of sharper Federal Reserve interest-rate hikes to fight inflation. Back home, the benchmark Sensex fell 153.13 points to end the session at 52,693.57, while the Nifty was down 42.30 points at 15,732.10.  Realty, metal indices rose, while auto and oil and gas stocks fell. The midcaps and the smallcaps also ended with minor cuts.   High global energy and raw material prices combined with a weak rupee fueled the fastest annual rise in India's wholesale prices in more than 30 years, raising expectations for the central bank to order more interest rate hikes. A surge in crude oil and commodity prices since Russia invaded Ukraine in February has set inflation alight in many countries, forcing central banks to raise interest rates. Wholesale prices, akin to producer prices, climbed 15.88% in May from year ago levels, staying in double-digits for a 14th straight month, and was, according to economists, India's highest since September 1991.   Aviation regulator DGCA on Tuesday said it has imposed a fine of ₹10 lakh on Air India for denying boarding to passengers holding valid tickets and thereafter not providing mandatory compensation to them. ""After that a series of checks were carried out by DGCA and during our surveillance at Bengaluru, Hyderabad and Delhi, there were specific instances, in the case of Air India - where the regulation (regarding compensation to passengers) is not being followed and therefore, a show cause notice was issued to the airline and also a personal hearing was afforded,"" the Directorate General of Civil Aviation (DGCA) said in a statement. According to the regulator, Air India may not have a policy in this regard and does not pay compensation to the passengers.   The U.S. dollar consolidated gains near a 20-year peak on Tuesday while its rivals from the Aussie to the euro nursed steep losses as traders braced for aggressive interest rate hikes from the Federal Reserve this week. Expectations for a 75 basis-point increase at the conclusion of a two-day meeting on Wednesday are nearly baked into prices, according to CME's Fedwatch Tool with investment banks like Goldman Sachs expecting a 75 basis-point rate hike in June and July, and a 50 basis-point rise in September. A 75 basis-point increase would be the biggest since 1994 and with world stock markets nursing deep losses, the dollar's appeal as a safe-haven asset is also boosting its allure.   The Indian government’s spending on information technology is expected to grow 12.1% to $9.5 billion in 2022, far higher than the 5% rise globally, according to Gartner, Inc. The research firm estimates government IT spends for the year globally to touch $565.7 billion. “Contrary to the worldwide spending, all segments will experience growth in India in 2022,"" Apeksha Kaushik, principal analyst, Gartner, said in an interview.  Global geopolitical tensions and looming recession in the US are not expected to have much impact on India, she added. While software spends by the Union government will grow at the fastest pace globally at a record 28% and cross the $2 billion mark in 2022, IT services is likely to post 13.4% growth to hit $2.4 billion.     European stocks edged higher from their lowest level in over a year as investors bought the dip after a global rout sparked by worries of aggressive central bank policy tightening amid stubbornly high inflation. The Stoxx Europe 600 Index was up 0.3% after slumping Monday to its lowest since March 2021. Banks led the advance with rate-sensitive sectors outperforming following a dip in Treasury yields. Insurance and energy stocks also rose, while real estate declined.   Bajaj Finance Limited, the lending and investing arm of Bajaj Finserv, has increased the interest rates on its fixed deposit (FD) programme by up to 20 basis points (bps), for tenors between 24 to 60 months (except 44 months).    Prime Minister Narendra Modi has asked various government departments and ministries to undertake the recruitment of 10 lakh people on a ""mission mode"" in the next year and a half, his office said on Tuesday. The direction from Modi came following a review of the status of human resources in all government departments and ministries, the Prime Minister's Office (PMO) said. The government's decision comes amid the opposition's frequent criticism of it on the issue of unemployment. A large number of vacant posts in different government sectors has often been flagged.   India's palm oil imports in May fell 10% from a month ago as top producer Indonesia curbed exports of the edible oil, a trade body said on Tuesday. The south Asian country is the world's biggest importer of vegetable oils and lower purchases could weigh on Malaysian palm oil futures. India imported 514,022 tonnes of palm oil in May, down from 572,508 tonnes in April, according to the Solvent Extractors' Association (SEA) of India. Indonesia, the world's biggest producer and exporter of palm oil, on April 28 halted exports of the product to control soaring prices at home. Jakarta allowed exports to resume from May 23, but put in place policies to safeguard domestic supplies. Indian refiners in May sourced more palm oil from Malaysia, Thailand and Papua New Guinea, but still the overall imports were down, the SEA said.   Nifty The Nifty began the new week with heavy losses amid weak global cues and closed below 15800 level. All sectoral indices closed deep in the red with IT, media and metal being top losers. Ahead of the FOMC meeting, we expect the Nifty to remain subdued. It may face resistance at higher levels due to aggressive writing at ATM and OTM Call strikes. Bank Nifty The Bank Nifty also witnessed selling pressure in line with the Nifty and closed with a loss of more than 1100 points. Looking at options data, the Bank Nifty’s immediate support is at 33000 while on the higher side, 34000 Call strike will act as resistance and limit upside gains.     Inspite of a strong demand outlook for IT services providers, worsening global macro economic scenario raises concern of a recession. For IT sector, this could translate into lower client spending, thus weighing on demand pipeline beyond FY23. Striking a note of caution, analysts at Kotak Institutional Equities said, ""Profit warning from clients of IT companies and increasing external risks makes the assumption of 6-8% global IT spending growth, unreasonable. We moderate our stance and bake in normalized global IT spending growth of 3-4% for CY2023E and 7% for CY2022E."" (Read here)   Nifty is currently trading at 20.7x 1-year forward EPS which is 1% discount to 10 year average of 20.9x Past 3 major corrections show that NIFTY has bottomed out around 10 year average PE except in March 20, when it bottomed out at 23% discount to 10 year average.  -- Base Case we value NIFTY at 10 year av. PE (20.7x) with March 24 EPS of 891 and arrive at June 23 target of 18622 (18470 based on 20.8xMarch 24 EPS), 13% upside -- Bull Case we value NIFTY at 10% premium to 10 year average (23x) and arrive at bull case target of 20484 (20317 earlier) -- Bear Case like March20 can see Nifty trading at 20% discount to LPA with a target of 14898. However we remain positive on India growth given strong tailwinds and expect positive returns by end of FY23  Downgrades outweigh upgrades by 2.25:1 -- Major Rating Upgrade: Avenue Supermart, Jubilant Foods, Hindalco, JK Lakshmi, Aarti Inds, LIC Housing and Chola. -- Rating Downgrade: Ambuja Cement, Bayer, Avaas Housing, LTTS, HCL, Tata Steel, JSPL, JSW Steel, IOC and Lupin -- Major Estimates Upgrade - M&M, SBI, Chola, Ambuja cement, Fine Org, and IOC -- Estimate Downgrade - HDFC, HDFC Bank, Muthoot, Ramco Cement, Kansai, Apollo Hospital, NH, Infy, Wipro, Zeel, Tata Steel, JSPL, JSW, SAIL, GAIL, IOC, Aurobindo and Lupin.   French energy company TotalEnergies said on Tuesday it has agreed to buy a 25% stake in Adani New Industries Limited (ANIL) as part of a deal to form a new green hydrogen project in India with the Adani company. TotalEnergies, one of the world's biggest oil and gas producers, has faced criticism from climate activists and has been moving into the renewable energy sector and diversifying away from hydrocarbon-centred activities in recent years.   Indonesia on Tuesday issued regulations backing recently announced changes on a palm oil export tax policy, including cutting the maximum levy rate to accelerate shipments that have been slow to rebound after the ending of an export ban. But the levy rate will be raised in August, according to the finance ministry regulations, sparking concerns from an industry group. Indonesia, the world's biggest palm oil exporter, allowed palm shipments to resume from May 23 following a three-week export ban designed to boost cooking oil stocks and keep runaway local prices in check. Authorities have since launched an export acceleration programme and tweaked tax rules after shipments were slow to restart amid confusion over procedural issues. Details of Tuesday's regulations were in line with previous announcements, including lowering the maximum levy rate for crude palm oil to $200 a tonne from $375, effective until 31 July.   Bitcoin extended declines on Tuesday as investor sentiment took another leg down over fears that bigger Federal Reserve interest-rate hikes loom to quell inflation. The world’s largest digital token shed as much as 10.3% to reach $20,824, the lowest level since December 2020. A range of other tokens from Ether to Avalanche were also nursing losses.   Gold hovered near a four-week low on Tuesday, as some bears looked to book profits, but prices remained largely pressured by a strong dollar and investors dumping bullion to cover for losses in other assets. Amid prospects of aggressive monetary policy tightening, spot gold rose 0.4% to $1,825.97 per ounce, in Asian deals, after falling to its lowest since May 19 at $1,810.90 earlier in the session.   The market crashed with full force on the first day of the week, as benchmark indices slumped below their crucial levels on across-the-board selling pressure. There have been heightened concerns amongst investors that central banks will be more aggressive in the coming months to hike interest rate hikes in order to combat inflation, which will in turn hurt economic growth and put margins under pressure. Markets were also down due to continued strength in Brent crude prices, 10-year bond yields rising to 3.20% from recent lows of 2.80%, and the expected CPI numbers. The fear and uncertainty was clearly visible in India's VIX, which is up over 15% at 22.50.  Technically, if the Nifty breaks and closes below 15700, it will be a major downside event for the market. In such a situation, the index would fall to the level of 15500-15400 in the short term. It is advisable to reduce a weak long position below the 15700 level. Also, Bank Nifty could drop to 32000 level if it ends below 33500.   Oil prices seesawed in positive and negative territory on Tuesday, holding up despite recession fears and potential new COVID-19 curbs in China that could dampen demand as the market remains tightly supplied. U.S. West Texas Intermediate (WTI) crude eased 4 cents to $120.89 a barrel in early deals, while Brent crude futures dipped 6 cents to $122.21 a barrel.   Retail inflation eased in May from the eight-year high it hit the previous month but remained well above the central bank’s upper tolerance level, adding pressure on policymakers to tame unrelenting price rise. Consumer Price Index inflation moderated to 7.04% in May from 7.79% in April, helped by slower increases in food prices, data released by the Ministry of Statistics and Programme Implementation (MOSPI) showed on Monday. (Read here)   Shares of Mahindra & Mahindra, Srei, Zomato, Uflex, Zydus Life, RIL, among others, will be in focus today.   Nifty futures on the Singapore Exchange fell 117.50 points, or 0.74%, to 15,661.00 in early deals on Tuesday, indicating a negative start for Indian benchmarks. India's benchmark equity indices slumped over 2.5% on Monday amid a sell-off in global markets. The rupee plunged 20 paise to close at an all-time low of 78.13 against the US dollar, as a lacklustre trend in domestic equities and stronger greenback overseas weighed on investor sentiment. The Sensex fell 1,456.74 points to end the day at 52,846.70, having touched an intraday low of 52,527.08. The Nifty was down 427.40 points or 2.64% at 15,774.40.    Asian shares tumbled on Tuesday after Wall Street hit a confirmed bear market milestone and bond yields struck a two-decade high on fears aggressive U.S. interest rate hikes would push the world's largest economy into recession. MSCI's broadest index of Asia-Pacific shares outside Japan was down 0.9%. Australian shares S&P/ASX200 sank 5% in early trade, while Japan's Nikkei stock index was down 1.74%. In Hong Kong, the Hang Seng Index slipped 1.44% and China's CSI300 Index was down nearly 1% at open. US futures steadied in the wake of a three-day rout in the S&P 500 of nearly 9%. Robust earnings from technology bellwether Oracle Corp. lifted battered tech shares in extended US trading. On the Wall Street on Monday, the S&P 500 fell 151.23 points to 3,749.63 and dropped 21.8% below its record set early this year to put it into what investors call a bear market. The S&P 500 has lost nearly 9% in just three days. That’s its worst such stretch since the earliest days of the coronavirus crash in March 2020.  The Dow lost 876.05, or 2.8%, to 30,516.74 on Monday, and the Nasdaq composite dropped 530.80, or 4.7% to 10,809.23.  "
Updated: 06 Jun 2022,Tech Mahindra opens technology development centre in Oman,https://www.livemint.com/companies/news/tech-mahindra-opens-technology-development-centre-in-oman-11654503949566.html,"BENGALURU: Tech Mahindra Ltd. on Monday inaugurated an innovation and technology development centre, in Muscat, Oman. The centre will cater to the telecom, oil and gas, banking, financial services, and insurance (BFSI), energy & utilities and public sector by leveraging artificial intelligence (AI), big data & analytics, cloud, and 5G technologies. This is in line with Pune-based Tech Mahindra’s commitment to invest in upskilling and reskilling of local talent to take on projects in Oman and around the world. “I believe the vision of Oman based on the pillars of ‘People and Society’, ‘Economy and Development’, and ‘Governance and Institutional Performance’ will transform and enhance the country’s economy. Tech Mahindra is pleased to play a part in this strategic narrative and support in building a resilient tomorrow for Oman, that thrives on growth & innovation, with a keen focus on empowering women,"" said CP Gurnani, managing director and chief executive, Tech Mahindra. “As a global organisation, we are committed to honing talent across geographies, and our initiatives have been warmly embraced in Oman. This innovation and development centre will grow Omani talent in the technology industry and will enable us to leverage it for markets globally,"" Gurnani added. Tech Mahindra already has a significant footprint in Oman and the newly-inaugurated innovation and development centre is yet another step towards contributing to the development of the country by tapping its young talent, said Ram Ramachandran, head of Middle East and Africa at Tech Mahindra. Tech Mahindra also inaugurated Maker’s Lab, an R&D unit within the centre, which will have a strategic focus on creating IPs, solutions, and services that harness the power of technology to make continuous advancements that will enable digital transformation, smart enterprise solutions, cloud transformation, big data and analytics."
Updated: 03 Jun 2022,"Sensex zooms 600 pts on IT rally; Infosys, Tech Mahindra, Wipro top gainers",https://www.livemint.com/market/stock-market-news/sensex-zooms-600-pts-on-it-rally-infosys-tech-mahindra-wipro-top-gainers-11654232922081.html,"Asian share markets are higher today, following rallies on Wall Street ahead of US jobs data due later in the day. The Nikkei is up 1.2% while the Shanghai Composite is up 0.4%. In US stock markets, Wall Street indices rebounded on Thursday as shares of megacap stocks like Tesla, Nvidia, Meta Platforms and Netflix jumped after Federal Reserve policymakers indicated they will not desist in the fight to tame inflation. The Dow Jones gained 1.3% while the Nasdaq zoomed 2.7%. Back home, Indian share markets are trading on a positive note. Benchmark indices staged a gap-up opening today following gains in SGX Nifty futures and tracking a rally in US markets overnight. Market participants are trackingFII & DII activityclosely. FIIs turned sellers to the tune of 4.5 bn while DIIs remained net buyers to the tune of 1.3 bn.                                 "
Updated: 01 Jun 2022,Day trading guide for Wednesday: 6 stocks to buy or sell today — 1st June,https://www.livemint.com/market/stock-market-news/day-trading-guide-for-wednesday-6-stocks-to-buy-or-sell-today-1st-june-11654047119778.html,"Day trading guide for Wednesday: After showing a sharp upside move on Monday, Indian stock market shifted into a consolidation zone with weak bias on Tuesday session. Nifty 50 ended 76 points lower at 16,584 levels whereas BSE Sensex shed 359 points and closed at 55,566 mark. Nifty Bank dipped 339 points and closed at 35,487 levels.  According to stock market experts, market has failed to sustain the upside recovery. They went on to add that current market pattern indicates cooling off of the up trend post sharp upside move, which could be considered as a temporary halt in the upside momentum. Day trading guide for stock market today Speaking on day trading guide for Nifty today, Nagaraj Shetti, Technical Research Analyst at HDFC Securities said, ""The near term uptrend status of Nifty remains intact. The present consolidation movement or minor downward correction could continue for the next 1-2 sessions, which is likely to prepare a base for another round of sharp upside move in Nifty for the near term. The next upside levels for NSE Nifty to be watched around 16,900 to 17,000 levels."" Day trading stocks Sharing intraday stocks for today, stock market experts — Sumeet Bagadia, Executive Director at Choice Broking; Rohit Singre, AVP — Technical Research at Bonanza Portfolio and Ravi Singh, Vice President & Head of Research at Share India Securities — recommended 6 stocks to buy today. Sumeet Bagadia's intraday stocks for today 1] JSW Steel: Momentum buy at CMP, target ₹570 to ₹580, stop loss ₹530 2] Tech Mahindra: Buy at CMP, target ₹1225, stop loss ₹1150 Rohit Singre's day trading stocks to buy today 3] Bharat Forge: Buy at CMP, target ₹750, stop loss ₹685 4] Arvind Fashions: Buy at CMP, target ₹277, stop loss ₹260 Ravi Singh's stocks to buy today 5] Coal India: Buy around ₹193, target ₹200, stop loss ₹190 6] GAIL: Buy around 147, target ₹152, stop loss ₹145. Disclaimer: The views and recommendations made above are those of individual analysts or broking companies, and not of Mint."
Updated: 30 May 2022,Day trading guide for Monday: 6 stocks to buy or sell today — 30th May,https://www.livemint.com/market/stock-market-news/day-trading-guide-for-monday-6-stocks-to-buy-or-sell-today-30th-may-11653872692642.html,"Day trading guide for Monday: Indian stock market recovered from the lows last week and NSE Nifty ended around 0.50 per cent higher on the expiry date i.e. on Friday session. the 50-stock index consolidated within a broad range of 15,900 to 16,400 during the last week sessions as Nifty 50 index resisted around its ‘20 day-EMA’ on pullback moves and it has ended marginally above that average on Friday. According to stock market experts, traders should should trade with a positive bias and avoid 'sell on rise' as 'buy on dips' looks better trade strategy in current market pattern. Day trading guide for stock market today Speaking on day trading strategy for Nifty today, Subash Gangadharan, Senior Technical and Derivative Analyst at HDFC Securities said, ""Upside momentum will pick up if the Nifty can cross the recent swing high of 16,415, which has been acting as a strong resistance recently. We recommend a stock specific approach and recommend buying stocks from sectors that are showing relative strength."" Advising 'buy on dips' strategy for traders, Ruchit Jain, Lead Research at 5paisa.com said, ""In the recent corrective phase, Nifty has resisted around its ‘20 day-EMA’ on pullback moves and it has ended marginally above that average on Friday. Looking at the other sectoral indices, we expect the index to continue its pullback in the coming week as well and thus we could see some larger retracement of the previous correction. The initial retracement resistance will be seen around 16550 which we expect to get tested soon."" On suggestion to traders for market this week, Ruchit Jain of 5paisa.com said, ""Traders are advised to trade with a positive bias for the coming week and look for stock specific approaches where we could see good opportunities."" Day trading stocks Sharing intraday stocks for today, stock market experts — Sumeet Bagadia, Executive Director at Choice Broking; Rohit Singre, AVP — Research at bonanza Portfolio and Mudit Goel, Senior Research Analyst at SMC Global Securities — recommended 6 stocks to buy. Sumeet Bagadia's intraday stocks for today 1] Tech Mahindra: Buy at CMP, target ₹1160 to ₹1180, stop loss ₹1090 2] Bandhan Bank: Buy at CMP, target ₹340, stop loss ₹315 Rohit Singre's stocks to buy today 3] State Bank of India or SBI: Momentum buy at CMP, target ₹500, stop loss ₹455 4] Tata Steel: Buy at CMP, target ₹1100, stop loss ₹1010 Mudit Goel's day trading stocks to buy today 5] Larsen & Toubro or LT: Buy at CMP, target ₹1630, stop loss ₹1585 6] Hero Motocorp: Buy at CMP, target ₹2760, stop loss ₹2705. Disclaimer: The views and recommendations made above are those of individual analysts or broking companies, and not of Mint."
