article_time,article_title,article_link,article_content
Updated: 06 Jul 2022,Geopolitical tensions have helped US economy historically: Zerodha co-founder ,https://www.livemint.com/news/world/geopolitical-tensions-have-helped-us-economy-historically-zerodha-co-founder-says-11657100641421.html,"Zerodha co-founder Nikhil Kamath on Tuesday said the United States is still by far the biggest game around. Kamath said historically geopolitical tensions have helped the US economy. He then asked what will happen to the economy amidst the current tension between Russia-Ukraine.   Data uploaded by Kamath on his Twitter account showed that among G20 countries, the US holds a 33% share of the global equity market cap followed by China which holds 10.97%, European Union holds 6.24%, while Japan held 5.20%, and Saudi Arabia holding 3.12%. These five countries account for a 58.53% share of the global equity market cap. India is at the sixth spot - accounting for 3.11% of the global market equity cap followed by Canada accounting for 3.03%, while France and the UK hold 2.82% each. Further, among G20 nations, China and India hold a major share of the global population at about 17.67% and 17.12% respectively. The US accounts for 4.16% of the global population, European Union holds 5.59%, and Japan accounting a 1.57% share of the global population. Kamath said, “All said and done; the US is still by far the biggest game around. Historically geopolitical tensions have helped the US economy."" adding ""what'll happen this time around?."" According to a Bloomberg report, US Secretary of State Antony Blinken plans a candid discussion about the war in Ukraine with his Chinese counterpart during an upcoming summit in Bali. A top Biden administration official earlier urged Beijing to stop spreading Russian “lies"" about the Kremlin’s invasion of its neighbor. Further, the report said, Blinken does not plan to meet Russian Foreign Minister Sergei Lavrov during the Group of 20 ministerial gathering in Bali this week. President Joe Biden has called for Russia to be removed from the G20 over the invasion and diplomats have previously walked out of a Lavrov speech in protest of the Kremlin’s war. Global markets have taken a massive hit since February last week when Kremlin carried out an all-out invasion of Ukraine. Since then, crude oil prices have spiked to multi-year high along with other commodity prices escalating inflation pressures that led to monetary policy tightening. The pandemic and supply chain disruption has further added to the global economy's woes. Concerns of a possible recession ahead have fuelled fears among investors that have pushed markets into a deep bearish tone since May. The uncertainty around the Russia - Ukraine conflict continues. G20 is a strategic multilateral platform connecting the world’s major developed and emerging economies. Notably, G20 members represent more than 80% of world GDP, 75% of international trade, and 60% of the world population. G20 countries are - Argentina, Australia, Brazil, Canada, China, France, Germany, India, Indonesia, Italy, Japan, Republic of Korea, Mexico, Russia, Saudi Arabia, South Africa, Turkey, the United Kingdom, the United States, and the European Union."
Updated: 05 Jul 2022,Producers will need DM’s approval to feature children in their programmes,https://www.livemint.com/industry/media/producers-will-need-dm-s-approval-to-feature-children-in-their-programmes-11656959259614.html,"NEW DELHI : Producers of television programmes, web shows, social media content, and advertisements, as well as live commercial events featuring a child or children below the age of 18 years, will now need the permission of the district magistrate (DM). Not just that, before starting the activity, the producer of any such audio-visual content or commercial event will have to furnish an undertaking to the DM providing the list of the participating children, as well as the consent of parents or guardians, as well as the name of the individual from the production or event management team who will be responsible for the safety and security of the children. This provision is part of the draft Regulatory Guidelines for Child Participation in the Entertainment Industry or any commercial entertainment activity issued by the National Commission for Protection of Child Rights (NCPCR). The draft has been uploaded on the commission’s website for comments. The permission by the producers of the shows has to be sought from the DM of the place where the activity is being performed. The guidelines state that, if required, the DM will instruct the Child Protection Unit for a District to inspect the workplace and accordingly issue the permit to a producer, which shall be valid only for six months. The draft guidelines are expansive in scope and cover television programmes such as reality shows, TV serials, news and informative media, movies, content on OTT platforms and social media, advertising, performing arts or any other kind of involvement of children in commercial entertainment activities. The guidelines focus on the emotional health of a child and propose that no child should be cast in a role or situation that is inappropriate or that may distress him or put him in embarrassing situations. “No child should be exposed to ridicule, insult or discouragement, harsh comments or any behaviour that could affect his/her emotional health,"" the draft said. The draft guidelines also cover ground to ensure the physical well-being of children. They maintain that a child, especially below the age of 6 years, should not be exposed to harmful lighting, or irritating or contaminated cosmetics. “Every person involved in the production who may be in contact with children shall submit medical fitness certificates and certificate for not carrying obvious contagious disease before shooting with children and police verification of such staff shall be done,"" according to the draft guidelines. The other details pertain to wages and working hours, as well as children’s right to education while they are working in various shows."
Updated: 01 Jul 2022,"Stocks to Watch: HUL, RIL, Coal India, UPL, Airtel",https://www.livemint.com/market/stock-market-news/stocks-to-watch-hul-ril-coal-india-upl-airtel-11656640281790.html,"Here is the list of the top 10 stocks that are likely to be in focus on Friday: Hindustan Unilever: Hindustan Unilever Ltd CEO and managing director Sanjiv Mehta will be appointed as president commissioner (non-executive chairman) of Anglo-Dutch FMCG major Unilever's Indonesia business. Coal India: Coal India Ltd is looking at taking all its eight subsidiaries public as prices of the fossil fuel soared after power demand rebounded from the pandemic, a government official aware of the development said. Bharti Airtel: The Competition Commission of India approved Google’s investment of nearly $1 billion for 1.28% in Bharti Airtel. Bajaj Consumer Care: Bajaj Consumer Care Ltd is set to diversify its range under the flagship Almond Drops brand by launching more skin and hair care products. This is part of a broader attempt to diversify its portfolio. AU Small Finance Bank: Rating agency Crisil On Thursday revised its outlook on long-term debt instruments (tier-II bonds, non-convertible debentures, and subordinated debt bonds) of AU Small Finance Bank to AA/Stable. Reliance Industries: Reliance Brands has announced a strategic partnership with Pret A Manger, a global fresh food and organic coffee chain, to launch and build the brand in India. Lupin: Drug maker Lupin on Thursday said it has received approval from the US health regulator to market Paliperidone extended-release tablets, used to treat Schizophrenia, in the American market. Novartis: Drug firm Novartis India on Thursday said its division Sandoz Technical Operations has inaugurated a new manufacturing facility in Maharashtra. UPL: Agrochemical major UPL on Thursday announced partnership with global agribusiness player Bunge to form new firm Origeo that will strive to increase productivity, profitability and sustainability for farmers in Brazil. Jupiter Wagons: Mobility solutions provider Jupiter Wagons Ltd (JWL), which had announced the reverse merger with CEBBCO (Commercial Engineers & Body Builders Company Ltd) through the acquisition of the company, completed its listing on the bourses on Thursday."
Updated: 24 Jun 2022,"This CEO with 'Vitiligo' has an important message on body image, check details",https://www.livemint.com/news/india/this-ceo-with-vitiligo-has-an-important-message-on-body-image-check-details-11656009258362.html,"Negative perceptions and feeling about one's body may impact the quality of one's life. However, social media have helped in changing the perceptions towards one's physical appearance and remarkable stories of people moving beyond these perceived barriers about perfection are being circulated on social media these days. Sri Lankan entrepreneur Thushara Karunaratne, who is the CEO of Sui Generis, admits that he was hesitant to upload his display picture on social media initially, as he has vitiligo. He was concerned ahead of posting his display image citing his connections may not be comfortable with his health condition. After much a thought, the CEO of medical equipment company, posted an image of himself on his LinkedIn account and shared his story too. He noted that he has not travelled outside the country and that he even shunned in-person meetings. ALSO READ: Doctors, social media influencers required to pay TDS on freebies from 1 July Adding on, he wrote that in case anyone bumped into him outside, they should just remember that it was the same self that lives inside his body. Here is his LinkedIn post: Behind sharing his image on LinkedIn, Thushara Karunaratne's intentions were loud and the message was clear – that you are more than your appearance, health condition, or any other perceived notions about your body. Soon after Thushara Karunaratne's post, his thoughts were echoed by others as it got over 42k likes. Following Thushara Karunaratne's steps, life coach Neeti Savla too shared a video on LinkedIn. She too has vitiligo and was insecure initially. She wrote, ""Vulnerability Alert - For the first time ever on camera: This is how I look without makeup as a woman of colour with a disease called vitiligo."" Adding more, she wrote, ""If you have ever felt insecure about your body while looking at other beautiful people - this one is for you: Watch this video and take it as FULL permission to show up exactly the way you FEEL like the most AUTHENTIC YOU!"" Here is her post: The disease –  vitiligo – is caused by the lack of Melanin which is a pigment in the skin. It can affect any part of the body and sometimes is also related to heredity. In India, 2-5 per cent of the population is affected by the condition which often leads to social and psychological distress."
Updated: 16 Jun 2022,"Airtel unveiles high speed broadband services in Ladakh, Andaman and Nicobar",https://www.livemint.com/companies/news/airtel-unveiles-high-speed-broadband-services-in-ladakh-andaman-and-nicobar-11655384325608.html,"Bharti Airtel on Thursday launched a high-speed Fiber-To-The-Home (FTTH) broadband service – Airtel Xstream Fiber in Ladakh and Andaman and Nicobar Islands. By doing so, the telecom giant becomes the first private ISP to roll out FTTH broadband in these remote geographies. Airtel Xstream Fiber is equipped with advanced technology for a superior experience. Its next-gen Wi-Fi routers deliver symmetrical download and upload speeds and can connect up to 60 devices concurrently. This is backed by Airtel’s superior 24x7 customer support and proven network reliability. As of March 31, 2022, Airtel Xstream Fiber had over 4.8 million customers. Vir Inder Nath, CEO – Broadband business at Bharti Airtel said, “We are delighted to bring Airtel Xstream Fiber’s high-quality broadband experience to these regions. The post-pandemic era has led to a surge in demand for high-speed broadband in homes, especially for work for home, online learning as well as online entertainment. Airtel is investing aggressively to serve this customer need and plans to expand its FTTH footprint to 2000 towns across the country over the next three years and contribute to a digitally connected India."" Apart from high-speed data and unlimited local/STD calls, Airtel Xstream Fiber broadband plans also come bundled with a range of Airtel Thanks benefits, which include complimentary subscriptions to premium OTT content for the complete digital entertainment. At present, Airtel Xstream Fiber’s high-speed broadband is available to customers in Leh in Ladakh, and Port Blair in Andaman and Nicobar Islands. Airtel plans to scale the service to other key locations in the regions in the coming months. K. Rajaraman, Secretary - Department of Telecom, Government of India said, ""We congratulate Airtel on the launch of its FTTH service in Ladakh and Andaman and Nicobar. The commissioning of the undersea cable link between Chennai and Port Blair by the Honourable Prime Minister last year has brought high-speed data connectivity to the region as part of the Government’s Digital India vision. It’s encouraging to see the initiatives of private operators like Airtel to bring high-speed broadband to citizens in this area."" Furthermore, the FTTH broadband service is available in 847 cities and towns across India and aims to scale this footprint to 2000 towns by 2025. Airtel targets to grow its installed homes broadband passes by 150% to 40 million during the same period."
Updated: 16 Jun 2022,"Stocks to Watch: HDFC, SBI, Yes Bank, UPL, Zomato, telcos ",https://www.livemint.com/market/stock-market-news/stocks-to-watch-hdfc-sbi-yes-bank-upl-zomato-telcos-11655342092243.html,
Updated: 15 Jun 2022,HBSE class 12 result declared: 87.08% students pass Haryana board exams,https://www.livemint.com/news/india/hbse-class-12-result-2022-haryana-board-class-12-results-to-be-out-today-check-details-here-11655274149923.html,"The Board of School Education Haryana (BSEH) on Wednesday declared the class 12 results. Candidates will be able to access their marks soon on the official website – bseh.org.in. The overall pass percentage of regular students stands at 87.08%. This means that out of the total 2,45,685 students who took the exam, 2,13,949 have passed. It is an improvement compared to 2020 when 80.34% of students had passed. This year, the top three ranks have been clinched by girls. Kajal from KCM Public Senior Secondary School bagged rank 1 by scoring 498 marks. She is followed by Muskan from SD Girls College and Shakshi from Bana Shravannath Senior Secondary School who received 496 marks.  The third rank went to Shruti from Tagore Senior Secondary School and Punam from Bal Vidya Niketan Sr Secondary School who secured 495 marks.  The state board conducted the state board class 10 and class 12 examination 2022 from 30 March to 29 April. Notably, it had on Monday withheld the board results of certain schools on account of fake School Leaving Certificates (SLC). The SLC certificates of 73 students of 40 non-state permanent-temporary recognised schools of class 12 and two students of two government schools were found to be bogus.  How to check Haryana board class 12 results?  How to check results via SMS? Compose a new message and type ‘RESULTHB12’ space your roll number. Send it to 56263.  The Haryana government last year cancelled the board examination of class 12 due to the surge in Covid-19 cases across the state and country. However, this year the board examination was held offline in a pen and paper mode, following all the protocols and guidelines.  Notably, the overall passing percentage for the year 2021 was 100% compared to 80.34% in 2020. No candidate was failed or compartmentalised. More importantly, total number of 2,27,585 candidates had registered for the examination, of which 1,14,416 were boys and 1,06,847 were girls.  "
Updated: 13 Jun 2022,Walking down memory lane: YouTube's first ever video makes netizens nostalgic,https://www.livemint.com/news/world/walking-down-memory-lane-youtube-s-first-ever-video-makes-netizens-nostalgic-11655095286766.html,"YouTube began its streaming journey long before Instagram and Tiktok took over the lives of netizens. Despite massive competition, YouTube still retains its status as favorite space among the netizens for video streaming. So in the year 2005, YouTube shared its very first video with the world featuring its 25-year-old co-founder Jawed Karim vlogging from a zoo.  The 18-second video was shared by YouTube's Instagram page with the caption, ""if you think about it, it all started with a Short #YouTubeFactsFest."" Uploaded to YouTube, on April 23, 2005, ""Me at the zoo"" is the platform's first video which features co-founder Jawed Karim in front of two elephants at the San Diego Zoo, stating how long their trunks are. “All right, so here we are in front of the, uh, elephants, and the cool thing about these guys is that, is that they have really, really, really long, um, trunks, and that's, that's cool, and that's pretty much all there is to say,"" Karim is heard saying in the video. Meanwhile, the netizens have reacted flawlessly to this walk down the memory lane. On its Instagram where the video has been shared, some commented, “we came full circle"" while others expressed how much YouTube has managed to impact their lives. Recently, the popular streaming site has come under fire over unnecessary advertisements on their platform, with Elon Musk last week slamming YouTube saying ""YouTube seems to be nonstop scam ads."" Musk targeted YouTube over the number of ads the platforms deliver to the viewers, calling it all a scam. Soon after the tweet was published it gathered a lot of attention from the audience. While, fans agreed to Musk and asked him to buy YouTube in addition to his Multi-Million Dollar Twitter deal. Right after sharing his tweet Musk shared a meme, criticizing YouTube for its ads and how the company reacts when there is an obvious scam going all over its website."
Updated: 06 Jun 2022,"Uttarakhand Board Class 10, 12 results declared. Direct links, process here",https://www.livemint.com/news/india/uttarakhand-board-class-10-12-results-declared-direct-links-process-here-11654513879864.html,"The Uttarakhand Board of School Education (UBSE) has declared the board examination result for Class 10 and Class 12 on 6 June at 4 pm. The results were declared by Dr. Dhan Singh Rawat, the Education Minister of Uttarakhand in a press conference.  The results of all the candidates have been uploaded on the official website- uaresults.nic.in and ubse.uk.gov.in. It is important to note that the Uttarakhand Board will declare the UK Board 10th Result 2022 and UK Board 12th Result 2022 online via the official websites.  The decision to publish the UBSE class 10, 12 results 2022 online has been done to provide a quick and easy way to students to check their High School and Intermediate Class Results. To ensure safety of the UBSE Result 2022 data, the board will publish the result through login process and provide some personal details on the website to check their results. To check and download your UBSE Class 10 and UBSE Class 12 result click here It is a possibility that excess traffic might hamper the webpage of the official website. It may not load. Candidates must not panic.  They should try checking their scores on the official website after sometime.  UK Board class 10, 12 result: How to check result -Go to the UBSE official website, uaresults.nic.in or ubse.uk.gov.in. -On the home page, look for the result link -Fill in the details -The result will be available on screen.  "
Updated: 24 May 2022,NHA launches revamped ABHA mobile app,https://www.livemint.com/news/india/nha-launches-revamped-abha-mobile-app-11653374041004.html,"NEW DELHI: The National Health Authority (NHA) under its flagship scheme of Ayushman Bharat Digital Mission (ABDM) has announced the launch of a revamped Ayushman Bharat Health Account (ABHA) mobile application. “The updated version of the ABHA app has a new User Interface (UI) and added functionalities that enable individuals to access their health records anytime and anywhere. Existing ABHA app users can also update their previous app versions to the latest one,"" NHA said in a press statement. The application enables an individual to create an ABHA address (username@abdm), an easy to remember username that can be linked with the 14 digit randomly generated ABHA number. “The mobile application also enables users to link their health records created at ABDM compliant health facility and view them in their smartphones. The application also allows self-uploading of physical health records in the ABDM compliant health lockers along with sharing of digital health records such as diagnostic reports, prescriptions, CoWIN vaccination certificate etc. after the consent of an individual through the ABDM network,"" it said. It has new functionalities such as edit profile, link and unlink ABHA number (14 digit) with ABHA address. Other functionalities such as login via face authentication / fingerprint/ biometric and ability to scan QR code at the counter of the ABDM compliant facility for express registration shall also be released soon. “The ABHA app will be instrumental in helping citizens to create their longitudinal health records. The patients can access their health records with the help of their ABHA address in seconds which will empower them in many ways. It will enable them to save their health history on a single platform and access or share their health records anytime and anywhere without a worry of losing them. This digitization of data exchange will ensure better clinical decision making and continuum of care,"" said RS Sharma, CEO, NHA. The Ayushman Bharat Health Account (ABHA) Mobile App (previously known as NDHM Health Records or PHR App) is available on the Google Play Store, and has over 4 lakh downloads. The iOS version of the ABHA mobile app will be launched shortly, NHA said in a statement."
